5VS,20130606,0.23,0.24,0.23,0.235,549000
5VS,20130605,0.23,0.235,0.225,0.23,1200000
5VS,20130604,0.22,0.23,0.22,0.23,930000
5VS,20130603,0.22,0.23,0.22,0.225,2709000
5VS,20130531,0.23,0.23,0.225,0.225,1812000
5VS,20130530,0.235,0.24,0.235,0.235,1298000
5VS,20130529,0.24,0.245,0.24,0.24,1016000
5VS,20130528,0.235,0.245,0.235,0.245,4925000
5VS,20130527,0.24,0.24,0.235,0.235,228000
5VS,20130523,0.245,0.245,0.235,0.235,2071000
5VS,20130522,0.245,0.25,0.245,0.245,6616000
5VS,20130521,0.25,0.25,0.24,0.24,4605000
5VS,20130520,0.25,0.25,0.245,0.245,8716000
5VS,20130517,0.25,0.25,0.245,0.245,520000
5VS,20130516,0.255,0.255,0.25,0.25,4359000
5VS,20130515,0.255,0.26,0.25,0.255,19664000
5VS,20130514,0.25,0.25,0.25,0.25,400000
5VS,20130513,0.255,0.26,0.25,0.25,16218000
5VS,20130510,0.25,0.26,0.25,0.255,7848000
