Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.76,0.77,0.75,0.76,825000,0.76
2013-06-03,0.76,0.76,0.75,0.75,188000,0.75
2013-05-31,0.75,0.76,0.75,0.76,3202000,0.76
2013-05-30,0.76,0.76,0.75,0.76,2139000,0.76
2013-05-29,0.77,0.77,0.76,0.76,1415000,0.76
2013-05-28,0.76,0.77,0.75,0.76,1177000,0.76
2013-05-27,0.75,0.76,0.75,0.76,3457000,0.76
2013-05-24,0.75,0.75,0.75,0.75,000,0.75
2013-05-23,0.78,0.78,0.75,0.75,4543000,0.75
2013-05-22,0.78,0.79,0.77,0.78,4840000,0.78
2013-05-21,0.79,0.79,0.78,0.78,1012000,0.78
2013-05-20,0.79,0.79,0.78,0.78,614000,0.78
2013-05-17,0.79,0.79,0.78,0.79,1945000,0.79
2013-05-16,0.78,0.79,0.78,0.78,2530000,0.78
2013-05-15,0.78,0.79,0.78,0.78,1513000,0.78
2013-05-14,0.79,0.79,0.77,0.77,2093000,0.77
2013-05-13,0.80,0.80,0.78,0.79,1089000,0.79
2013-05-10,0.81,0.81,0.80,0.80,1112000,0.80
2013-05-09,0.81,0.81,0.80,0.81,1421000,0.81
2013-05-08,0.84,0.85,0.82,0.83,1202000,0.82
2013-05-07,0.84,0.84,0.83,0.84,826000,0.83
2013-05-06,0.83,0.85,0.82,0.83,3530000,0.82
2013-05-03,0.82,0.82,0.82,0.82,685000,0.81
2013-05-02,0.82,0.83,0.81,0.82,2130000,0.81
2013-05-01,0.82,0.82,0.82,0.82,000,0.81
2013-04-30,0.84,0.85,0.82,0.82,3591000,0.81
2013-04-29,0.85,0.85,0.83,0.84,1115000,0.83
2013-04-26,0.86,0.86,0.85,0.86,945000,0.85
2013-04-25,0.86,0.86,0.85,0.85,1820000,0.84
2013-04-24,0.85,0.86,0.85,0.86,742000,0.84
2013-04-23,0.85,0.85,0.85,0.85,891000,0.84
2013-04-22,0.83,0.85,0.83,0.85,1423000,0.83
2013-04-19,0.85,0.85,0.83,0.84,896000,0.83
2013-04-18,0.85,0.85,0.83,0.84,761000,0.83
2013-04-17,0.83,0.85,0.83,0.85,989000,0.83
2013-04-16,0.83,0.83,0.82,0.82,221000,0.81
2013-04-15,0.83,0.83,0.82,0.82,401000,0.81
2013-04-12,0.83,0.83,0.82,0.82,282000,0.81
2013-04-11,0.83,0.83,0.82,0.83,216000,0.82
2013-04-10,0.83,0.83,0.82,0.83,229000,0.82
2013-04-09,0.83,0.83,0.82,0.82,157000,0.81
2013-04-08,0.83,0.83,0.82,0.82,283000,0.81
2013-04-05,0.83,0.83,0.82,0.83,798000,0.82
2013-04-04,0.83,0.83,0.82,0.83,515000,0.82
2013-04-03,0.83,0.83,0.82,0.83,821000,0.82
2013-04-02,0.82,0.83,0.81,0.82,1709000,0.81
2013-04-01,0.82,0.82,0.82,0.82,44000,0.81
2013-03-29,0.82,0.82,0.82,0.82,000,0.81
2013-03-28,0.82,0.82,0.81,0.82,1479000,0.81
2013-03-27,0.82,0.82,0.82,0.82,551000,0.81
2013-03-26,0.83,0.83,0.82,0.82,118000,0.81
2013-03-25,0.83,0.83,0.82,0.83,571000,0.82
2013-03-22,0.82,0.82,0.82,0.82,1261000,0.81
2013-03-21,0.82,0.82,0.82,0.82,2076000,0.81
2013-03-20,0.82,0.83,0.82,0.82,687000,0.81
2013-03-19,0.83,0.83,0.82,0.83,1066000,0.82
2013-03-18,0.83,0.83,0.82,0.82,476000,0.81
2013-03-15,0.84,0.84,0.82,0.83,802000,0.82
2013-03-14,0.83,0.84,0.83,0.83,618000,0.82
2013-03-13,0.83,0.83,0.83,0.83,386000,0.82
2013-03-12,0.83,0.83,0.83,0.83,174000,0.82
2013-03-11,0.83,0.83,0.82,0.82,351000,0.81
2013-03-08,0.83,0.83,0.83,0.83,383000,0.82
2013-03-07,0.83,0.83,0.82,0.83,119000,0.82
2013-03-06,0.83,0.83,0.82,0.83,226000,0.82
2013-03-05,0.83,0.83,0.82,0.83,1547000,0.82
2013-03-04,0.83,0.83,0.81,0.82,1833000,0.81
2013-03-01,0.82,0.83,0.82,0.82,737000,0.81
2013-02-28,0.83,0.83,0.82,0.83,1096000,0.82
2013-02-27,0.83,0.83,0.82,0.83,847000,0.82
2013-02-26,0.83,0.83,0.83,0.83,276000,0.82
2013-02-25,0.83,0.83,0.82,0.83,1208000,0.82
2013-02-22,0.82,0.82,0.81,0.82,816000,0.81
2013-02-21,0.83,0.83,0.81,0.82,1086000,0.81
