Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.10,0.10,0.10,0.10,1305000,0.10
2013-06-03,0.10,0.10,0.10,0.10,26000,0.10
2013-05-31,0.10,0.10,0.09,0.10,870000,0.10
2013-05-30,0.10,0.10,0.10,0.10,188000,0.10
2013-05-29,0.10,0.10,0.10,0.10,594000,0.10
2013-05-28,0.10,0.10,0.10,0.10,103000,0.10
2013-05-27,0.10,0.10,0.10,0.10,000,0.10
2013-05-24,0.10,0.10,0.10,0.10,000,0.10
2013-05-23,0.10,0.10,0.10,0.10,82000,0.10
2013-05-22,0.10,0.10,0.10,0.10,230000,0.10
2013-05-21,0.10,0.10,0.10,0.10,111000,0.10
2013-05-20,0.10,0.10,0.10,0.10,50000,0.10
2013-05-17,0.10,0.10,0.10,0.10,239000,0.10
2013-05-16,0.10,0.10,0.10,0.10,256000,0.10
2013-05-15,0.10,0.10,0.10,0.10,73000,0.10
2013-05-14,0.10,0.10,0.10,0.10,18000,0.10
2013-05-13,0.10,0.11,0.10,0.11,81000,0.11
2013-05-10,0.10,0.10,0.10,0.10,353000,0.10
2013-05-09,0.10,0.11,0.10,0.10,406000,0.10
2013-05-08,0.10,0.10,0.10,0.10,271000,0.10
2013-05-07,0.10,0.10,0.10,0.10,408000,0.10
2013-05-06,0.10,0.10,0.10,0.10,353000,0.10
2013-05-03,0.10,0.10,0.10,0.10,80000,0.10
2013-05-02,0.10,0.10,0.10,0.10,106000,0.10
2013-05-01,0.10,0.10,0.10,0.10,000,0.10
2013-04-30,0.10,0.10,0.10,0.10,465000,0.10
2013-04-29,0.10,0.10,0.10,0.10,202000,0.10
2013-04-26,0.10,0.10,0.10,0.10,421000,0.10
2013-04-25,0.10,0.10,0.10,0.10,62000,0.10
2013-04-24,0.11,0.11,0.10,0.10,52000,0.10
2013-04-23,0.11,0.11,0.10,0.10,573000,0.10
2013-04-22,0.11,0.11,0.11,0.11,3840000,0.11
2013-04-19,0.10,0.10,0.10,0.10,50000,0.10
2013-04-18,0.10,0.10,0.10,0.10,630000,0.10
2013-04-17,0.09,0.09,0.09,0.09,210000,0.09
2013-04-16,0.10,0.10,0.10,0.10,150000,0.10
2013-04-15,0.10,0.10,0.10,0.10,100000,0.10
2013-04-12,0.10,0.10,0.10,0.10,000,0.10
2013-04-11,0.10,0.10,0.10,0.10,1061000,0.10
2013-04-10,0.10,0.10,0.10,0.10,455000,0.10
2013-04-09,0.10,0.10,0.10,0.10,180000,0.10
2013-04-08,0.10,0.10,0.10,0.10,730000,0.10
2013-04-05,0.10,0.10,0.10,0.10,930000,0.10
2013-04-04,0.10,0.10,0.10,0.10,55000,0.10
2013-04-03,0.10,0.10,0.10,0.10,10000,0.10
2013-04-02,0.10,0.10,0.10,0.10,645000,0.10
2013-04-01,0.10,0.10,0.10,0.10,420000,0.10
2013-03-29,0.10,0.10,0.10,0.10,000,0.10
2013-03-28,0.10,0.10,0.10,0.10,195000,0.10
2013-03-27,0.10,0.10,0.10,0.10,654000,0.10
2013-03-26,0.10,0.10,0.10,0.10,300000,0.10
2013-03-25,0.10,0.11,0.10,0.11,1162000,0.11
2013-03-22,0.10,0.10,0.10,0.10,1382000,0.10
2013-03-21,0.10,0.10,0.10,0.10,661000,0.10
2013-03-20,0.10,0.10,0.10,0.10,000,0.10
2013-03-19,0.10,0.10,0.10,0.10,416000,0.10
2013-03-18,0.10,0.10,0.10,0.10,80000,0.10
2013-03-15,0.10,0.10,0.10,0.10,2911000,0.10
2013-03-14,0.09,0.10,0.09,0.10,1706000,0.10
2013-03-13,0.10,0.10,0.10,0.10,1343000,0.10
2013-03-12,0.10,0.10,0.10,0.10,1845000,0.10
2013-03-11,0.11,0.11,0.09,0.10,3121000,0.10
2013-03-08,0.12,0.12,0.11,0.11,1310000,0.11
2013-03-07,0.12,0.12,0.11,0.11,1938000,0.11
2013-03-06,0.12,0.12,0.12,0.12,2775000,0.12
2013-03-05,0.12,0.12,0.12,0.12,3497000,0.12
2013-03-04,0.12,0.12,0.12,0.12,2413000,0.12
2013-03-01,0.13,0.13,0.12,0.12,5476000,0.12
2013-02-28,0.13,0.13,0.13,0.13,2900000,0.13
2013-02-27,0.13,0.13,0.13,0.13,5726000,0.13
2013-02-26,0.13,0.13,0.13,0.13,2086000,0.13
2013-02-25,0.13,0.13,0.13,0.13,3986000,0.13
2013-02-22,0.13,0.13,0.13,0.13,5666000,0.13
2013-02-21,0.13,0.13,0.13,0.13,3476000,0.13
2013-02-20,0.13,0.14,0.13,0.13,8076000,0.13
2013-02-19,0.13,0.13,0.13,0.13,2572000,0.13
2013-02-18,0.14,0.14,0.13,0.13,16406000,0.13
2013-02-15,0.13,0.14,0.13,0.13,23474000,0.13
2013-02-14,0.13,0.13,0.13,0.13,2891000,0.13
2013-02-13,0.13,0.13,0.13,0.13,7407000,0.13
2013-02-12,0.13,0.13,0.13,0.13,000,0.13
2013-02-11,0.13,0.13,0.13,0.13,000,0.13
2013-02-08,0.13,0.13,0.12,0.13,8541000,0.13
2013-02-07,0.13,0.13,0.13,0.13,3446000,0.13
2013-02-06,0.13,0.14,0.13,0.13,6504000,0.13
2013-02-05,0.13,0.14,0.13,0.13,4926000,0.13
2013-02-04,0.14,0.14,0.13,0.13,4091000,0.13
2013-02-01,0.13,0.14,0.13,0.14,29320000,0.14
2013-01-31,0.14,0.14,0.13,0.13,4830000,0.13
2013-01-30,0.14,0.14,0.13,0.14,11841000,0.14
2013-01-29,0.13,0.14,0.13,0.14,14460000,0.14
2013-01-28,0.13,0.14,0.13,0.13,7456000,0.13
2013-01-25,0.13,0.13,0.13,0.13,12893000,0.13
2013-01-24,0.14,0.14,0.13,0.13,10285000,0.13
2013-01-23,0.14,0.14,0.13,0.14,8252000,0.14
2013-01-22,0.14,0.14,0.13,0.13,2793000,0.13
2013-01-21,0.14,0.14,0.13,0.14,3939000,0.14
2013-01-18,0.14,0.14,0.13,0.14,28777000,0.14
2013-01-17,0.13,0.14,0.13,0.14,79615000,0.14
2013-01-16,0.12,0.13,0.12,0.12,11156000,0.12
2013-01-15,0.12,0.13,0.12,0.12,7052000,0.12
2013-01-14,0.12,0.13,0.12,0.12,3891000,0.12
