Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.20,0.20,0.20,0.20,000,0.20
2013-06-03,0.20,0.20,0.20,0.20,000,0.20
2013-05-31,0.20,0.20,0.20,0.20,000,0.20
2013-05-30,0.20,0.20,0.20,0.20,20000,0.20
2013-05-29,0.20,0.20,0.20,0.20,000,0.20
2013-05-28,0.20,0.20,0.20,0.20,52000,0.20
2013-05-27,0.19,0.19,0.19,0.19,000,0.19
2013-05-24,0.19,0.19,0.19,0.19,000,0.19
2013-05-23,0.19,0.19,0.19,0.19,000,0.19
2013-05-22,0.19,0.19,0.19,0.19,000,0.19
2013-05-21,0.19,0.19,0.19,0.19,000,0.19
2013-05-20,0.19,0.19,0.19,0.19,000,0.19
2013-05-17,0.19,0.19,0.19,0.19,000,0.19
2013-05-16,0.19,0.19,0.19,0.19,000,0.19
2013-05-15,0.19,0.19,0.19,0.19,000,0.19
2013-05-14,0.19,0.19,0.19,0.19,000,0.19
2013-05-13,0.19,0.22,0.19,0.19,67000,0.19
2013-05-10,0.20,0.20,0.20,0.20,000,0.20
2013-05-09,0.19,0.20,0.19,0.20,7000,0.20
2013-05-08,0.20,0.20,0.19,0.19,352000,0.19
2013-05-07,0.25,0.25,0.25,0.25,000,0.25
2013-05-06,0.25,0.25,0.25,0.25,000,0.25
2013-05-03,0.25,0.25,0.25,0.25,000,0.25
2013-05-02,0.26,0.26,0.22,0.25,47000,0.25
2013-05-01,0.25,0.25,0.25,0.25,000,0.25
2013-04-30,0.25,0.25,0.25,0.25,000,0.25
2013-04-29,0.25,0.25,0.25,0.25,46000,0.25
2013-04-26,0.26,0.26,0.26,0.26,000,0.26
2013-04-25,0.22,0.26,0.22,0.26,43000,0.26
2013-04-24,0.22,0.23,0.22,0.22,146000,0.22
2013-04-23,0.22,0.23,0.22,0.22,96000,0.22
2013-04-22,0.22,0.22,0.20,0.22,81000,0.22
2013-04-19,0.21,0.21,0.21,0.21,000,0.21
2013-04-18,0.21,0.21,0.21,0.21,000,0.21
2013-04-17,0.21,0.21,0.21,0.21,000,0.21
2013-04-16,0.21,0.21,0.21,0.21,30000,0.21
2013-04-15,0.21,0.21,0.21,0.21,000,0.21
2013-04-12,0.21,0.21,0.21,0.21,000,0.21
2013-04-11,0.21,0.21,0.21,0.21,000,0.21
2013-04-10,0.21,0.21,0.21,0.21,000,0.21
2013-04-09,0.21,0.21,0.21,0.21,000,0.21
2013-04-08,0.21,0.21,0.21,0.21,000,0.21
2013-04-05,0.21,0.21,0.21,0.21,000,0.21
2013-04-04,0.21,0.21,0.21,0.21,000,0.21
2013-04-03,0.21,0.21,0.21,0.21,000,0.21
2013-04-02,0.21,0.21,0.21,0.21,1000,0.21
2013-04-01,0.17,0.17,0.17,0.17,1000,0.17
2013-03-29,0.17,0.17,0.17,0.17,000,0.17
2013-03-28,0.17,0.17,0.17,0.17,000,0.17
2013-03-27,0.17,0.17,0.17,0.17,1000,0.17
2013-03-26,0.18,0.18,0.18,0.18,000,0.18
2013-03-25,0.17,0.18,0.17,0.18,40000,0.18
2013-03-22,0.17,0.17,0.17,0.17,4000,0.17
2013-03-21,0.16,0.16,0.16,0.16,000,0.16
2013-03-20,0.16,0.16,0.16,0.16,000,0.16
2013-03-19,0.16,0.16,0.16,0.16,000,0.16
2013-03-18,0.16,0.16,0.16,0.16,5000,0.16
2013-03-15,0.17,0.17,0.17,0.17,000,0.17
2013-03-14,0.17,0.17,0.17,0.17,000,0.17
2013-03-13,0.17,0.17,0.17,0.17,000,0.17
2013-03-12,0.17,0.17,0.17,0.17,000,0.17
2013-03-11,0.17,0.17,0.17,0.17,100000,0.17
