Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.41,0.41,0.41,0.41,515000,0.41
2013-06-03,0.41,0.41,0.41,0.41,282000,0.41
2013-05-31,0.41,0.41,0.41,0.41,381000,0.41
2013-05-30,0.41,0.41,0.40,0.41,966000,0.41
2013-05-29,0.41,0.42,0.41,0.41,278000,0.41
2013-05-28,0.41,0.41,0.41,0.41,000,0.41
2013-05-27,0.43,0.43,0.41,0.41,467000,0.41
2013-05-24,0.41,0.41,0.41,0.41,000,0.41
2013-05-23,0.42,0.42,0.41,0.41,1062000,0.41
2013-05-22,0.41,0.43,0.41,0.43,3177000,0.43
2013-05-21,0.41,0.41,0.41,0.41,1000,0.41
2013-05-20,0.41,0.41,0.41,0.41,310000,0.41
2013-05-17,0.41,0.41,0.41,0.41,56000,0.41
2013-05-16,0.41,0.41,0.41,0.41,619000,0.41
2013-05-15,0.42,0.42,0.41,0.41,296000,0.41
2013-05-14,0.43,0.44,0.43,0.44,3747000,0.42
2013-05-13,0.43,0.43,0.43,0.43,1465000,0.41
2013-05-10,0.41,0.43,0.41,0.43,1434000,0.41
2013-05-09,0.42,0.43,0.41,0.41,1748000,0.40
2013-05-08,0.42,0.42,0.41,0.42,184000,0.40
2013-05-07,0.41,0.42,0.41,0.42,569000,0.40
2013-05-06,0.41,0.42,0.41,0.41,773000,0.40
2013-05-03,0.41,0.41,0.41,0.41,270000,0.39
2013-05-02,0.41,0.41,0.41,0.41,661000,0.40
2013-05-01,0.41,0.41,0.41,0.41,000,0.40
2013-04-30,0.41,0.41,0.41,0.41,41000,0.40
2013-04-29,0.41,0.41,0.41,0.41,867000,0.40
2013-04-26,0.41,0.41,0.41,0.41,487000,0.39
2013-04-25,0.41,0.41,0.41,0.41,60000,0.39
2013-04-24,0.41,0.41,0.41,0.41,200000,0.39
2013-04-23,0.41,0.41,0.41,0.41,346000,0.39
2013-04-22,0.41,0.41,0.41,0.41,448000,0.39
2013-04-19,0.41,0.41,0.41,0.41,257000,0.39
2013-04-18,0.41,0.41,0.41,0.41,244000,0.39
2013-04-17,0.41,0.41,0.41,0.41,210000,0.39
2013-04-16,0.41,0.41,0.41,0.41,818000,0.39
2013-04-15,0.41,0.41,0.41,0.41,193000,0.39
2013-04-12,0.41,0.41,0.41,0.41,271000,0.39
2013-04-11,0.41,0.41,0.41,0.41,177000,0.39
2013-04-10,0.41,0.41,0.41,0.41,179000,0.39
2013-04-09,0.41,0.41,0.41,0.41,10000,0.39
2013-04-08,0.41,0.41,0.41,0.41,137000,0.39
2013-04-05,0.41,0.41,0.41,0.41,87000,0.39
2013-04-04,0.41,0.41,0.41,0.41,100000,0.40
2013-04-03,0.41,0.42,0.41,0.41,106000,0.40
2013-04-02,0.42,0.42,0.41,0.41,161000,0.40
2013-04-01,0.41,0.42,0.41,0.42,544000,0.40
2013-03-29,0.42,0.42,0.42,0.42,000,0.40
2013-03-28,0.41,0.42,0.41,0.42,518000,0.40
2013-03-27,0.41,0.42,0.41,0.41,213000,0.40
2013-03-26,0.41,0.42,0.41,0.42,497000,0.40
2013-03-25,0.41,0.41,0.41,0.41,90000,0.39
2013-03-22,0.41,0.41,0.41,0.41,168000,0.40
2013-03-21,0.41,0.41,0.41,0.41,222000,0.40
2013-03-20,0.41,0.41,0.41,0.41,624000,0.39
2013-03-19,0.41,0.41,0.41,0.41,855000,0.39
2013-03-18,0.41,0.41,0.41,0.41,325000,0.39
2013-03-15,0.41,0.41,0.41,0.41,394000,0.39
2013-03-14,0.41,0.41,0.41,0.41,169000,0.39
2013-03-13,0.41,0.41,0.41,0.41,487000,0.39
2013-03-12,0.41,0.41,0.41,0.41,916000,0.40
2013-03-11,0.41,0.41,0.41,0.41,287000,0.39
2013-03-08,0.41,0.41,0.41,0.41,201000,0.39
2013-03-07,0.41,0.41,0.41,0.41,1128000,0.39
2013-03-06,0.43,0.43,0.41,0.41,878000,0.40
2013-03-05,0.41,0.42,0.41,0.42,180000,0.40
2013-03-04,0.42,0.43,0.41,0.41,392000,0.39
2013-03-01,0.43,0.43,0.42,0.43,1182000,0.41
2013-02-28,0.43,0.43,0.43,0.43,211000,0.41
2013-02-27,0.44,0.44,0.43,0.43,1334000,0.41
2013-02-26,0.43,0.44,0.43,0.44,7062000,0.42
2013-02-25,0.44,0.44,0.43,0.43,1698000,0.41
2013-02-22,0.43,0.43,0.42,0.43,1266000,0.41
2013-02-21,0.44,0.44,0.43,0.43,1543000,0.41
2013-02-20,0.43,0.43,0.43,0.43,1085000,0.41
2013-02-19,0.43,0.43,0.43,0.43,362000,0.41
2013-02-18,0.43,0.43,0.43,0.43,508000,0.41
2013-02-15,0.43,0.43,0.42,0.42,467000,0.40
2013-02-14,0.43,0.43,0.42,0.43,1037000,0.41
2013-02-13,0.43,0.43,0.42,0.42,426000,0.40
2013-02-12,0.43,0.43,0.43,0.43,000,0.41
2013-02-11,0.43,0.43,0.43,0.43,000,0.41
2013-02-08,0.43,0.43,0.43,0.43,139000,0.41
2013-02-07,0.43,0.43,0.42,0.43,436000,0.41
2013-02-06,0.43,0.43,0.43,0.43,353000,0.41
2013-02-05,0.43,0.44,0.43,0.43,307000,0.41
2013-02-04,0.44,0.44,0.43,0.44,324000,0.42
2013-02-01,0.44,0.44,0.43,0.43,179000,0.41
2013-01-31,0.44,0.44,0.43,0.44,410000,0.42
2013-01-30,0.44,0.44,0.43,0.43,583000,0.41
2013-01-29,0.44,0.44,0.44,0.44,289000,0.42
2013-01-28,0.44,0.44,0.44,0.44,729000,0.42
2013-01-25,0.44,0.44,0.44,0.44,494000,0.42
2013-01-24,0.44,0.44,0.44,0.44,1298000,0.42
2013-01-23,0.44,0.44,0.44,0.44,6095000,0.42
2013-01-22,0.44,0.45,0.44,0.44,7919000,0.42
2013-01-21,0.42,0.44,0.41,0.44,2506000,0.42
2013-01-18,0.42,0.43,0.41,0.43,989000,0.41
2013-01-17,0.41,0.42,0.41,0.41,819000,0.40
2013-01-16,0.41,0.42,0.41,0.41,341000,0.40
2013-01-15,0.41,0.42,0.41,0.41,2051000,0.39
2013-01-14,0.43,0.43,0.41,0.42,3026000,0.40
2013-01-11,0.44,0.44,0.44,0.44,774000,0.42
2013-01-10,0.44,0.44,0.44,0.44,132000,0.42
2013-01-09,0.44,0.44,0.44,0.44,492000,0.42
2013-01-08,0.44,0.44,0.44,0.44,1328000,0.42
2013-01-07,0.44,0.44,0.44,0.44,596000,0.42
2013-01-04,0.44,0.44,0.44,0.44,439000,0.42
2013-01-03,0.44,0.44,0.44,0.44,1541000,0.42
2013-01-02,0.44,0.44,0.44,0.44,1111000,0.43
2013-01-01,0.44,0.44,0.44,0.44,000,0.42
2012-12-31,0.44,0.44,0.44,0.44,279000,0.42
2012-12-28,0.44,0.45,0.44,0.45,649000,0.43
2012-12-27,0.44,0.44,0.44,0.44,172000,0.42
2012-12-26,0.43,0.44,0.43,0.43,484000,0.41
2012-12-25,0.43,0.43,0.43,0.43,000,0.41
2012-12-24,0.43,0.43,0.43,0.43,124000,0.41
2012-12-21,0.43,0.43,0.43,0.43,632000,0.41
2012-12-20,0.44,0.44,0.43,0.43,1012000,0.41
2012-12-19,0.44,0.44,0.43,0.44,521000,0.42
2012-12-18,0.44,0.44,0.44,0.44,2366000,0.42
2012-12-17,0.44,0.44,0.44,0.44,261000,0.42
2012-12-14,0.43,0.44,0.43,0.44,2100000,0.43
2012-12-13,0.43,0.43,0.43,0.43,655000,0.41
2012-12-12,0.43,0.43,0.43,0.43,579000,0.41
2012-12-11,0.42,0.43,0.42,0.43,241000,0.41
2012-12-10,0.43,0.43,0.42,0.42,405000,0.40
2012-12-07,0.43,0.43,0.43,0.43,50000,0.41
2012-12-06,0.42,0.43,0.42,0.43,1180000,0.41
2012-12-05,0.41,0.43,0.41,0.43,949000,0.41
2012-12-04,0.41,0.42,0.41,0.41,913000,0.40
2012-12-03,0.41,0.42,0.41,0.41,213000,0.40
2012-11-30,0.43,0.43,0.42,0.42,1543000,0.40
2012-11-29,0.43,0.43,0.42,0.43,237000,0.40
2012-11-28,0.42,0.43,0.42,0.42,1373000,0.40
2012-11-27,0.42,0.43,0.42,0.42,1120000,0.40
2012-11-26,0.42,0.43,0.41,0.41,457000,0.39
2012-11-23,0.42,0.42,0.41,0.42,1016000,0.40
2012-11-22,0.42,0.42,0.42,0.42,376000,0.40
2012-11-21,0.42,0.42,0.42,0.42,389000,0.40
2012-11-20,0.42,0.42,0.42,0.42,2215000,0.40
2012-11-19,0.42,0.42,0.41,0.42,3092000,0.40
2012-11-16,0.41,0.43,0.41,0.42,1478000,0.40
2012-11-15,0.43,0.43,0.41,0.41,2485000,0.39
2012-11-14,0.44,0.44,0.44,0.44,314000,0.41
2012-11-13,0.44,0.44,0.44,0.44,000,0.41
2012-11-12,0.44,0.44,0.44,0.44,674000,0.41
2012-11-09,0.44,0.45,0.44,0.44,316000,0.41
2012-11-08,0.46,0.46,0.44,0.45,640000,0.42
2012-11-07,0.44,0.46,0.44,0.45,1314000,0.42
