Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.41,0.44,0.41,0.44,37664000,0.44
2013-06-03,0.40,0.41,0.38,0.41,16080000,0.41
2013-05-31,0.41,0.41,0.40,0.40,5338000,0.40
2013-05-30,0.40,0.41,0.39,0.40,10595000,0.40
2013-05-29,0.41,0.41,0.40,0.40,6281000,0.40
2013-05-28,0.40,0.41,0.40,0.41,6934000,0.41
2013-05-27,0.40,0.41,0.40,0.40,2878000,0.40
2013-05-24,0.40,0.40,0.40,0.40,000,0.40
2013-05-23,0.41,0.41,0.40,0.40,6243000,0.40
2013-05-22,0.38,0.42,0.38,0.41,31101000,0.41
2013-05-21,0.41,0.41,0.39,0.39,13640000,0.39
2013-05-20,0.41,0.41,0.40,0.41,11284000,0.41
2013-05-17,0.42,0.42,0.41,0.41,7173000,0.41
2013-05-16,0.43,0.43,0.41,0.42,14371000,0.42
2013-05-15,0.43,0.43,0.42,0.43,7863000,0.43
2013-05-14,0.43,0.44,0.42,0.42,39080000,0.42
2013-05-13,0.47,0.48,0.45,0.46,14339000,0.46
2013-05-10,0.48,0.48,0.47,0.47,6865000,0.47
2013-05-09,0.49,0.49,0.47,0.47,8397000,0.47
2013-05-08,0.49,0.50,0.47,0.48,47648000,0.48
2013-05-07,0.44,0.47,0.44,0.47,16459000,0.47
2013-05-06,0.47,0.47,0.43,0.44,17394000,0.44
2013-05-03,0.52,0.52,0.46,0.46,35605000,0.46
2013-05-02,0.52,0.54,0.52,0.52,5129000,0.52
2013-05-01,0.52,0.52,0.52,0.52,000,0.52
2013-04-30,0.54,0.54,0.52,0.52,2867000,0.52
2013-04-29,0.54,0.55,0.53,0.53,5812000,0.53
2013-04-26,0.52,0.54,0.52,0.54,8854000,0.54
2013-04-25,0.52,0.53,0.51,0.52,6804000,0.52
2013-04-24,0.53,0.54,0.52,0.52,3445000,0.52
2013-04-23,0.54,0.54,0.52,0.52,3248000,0.52
2013-04-22,0.52,0.54,0.52,0.53,4938000,0.53
