Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.16,0.16,0.16,0.16,370000,0.16
2013-06-03,0.16,0.16,0.16,0.16,000,0.16
2013-05-31,0.16,0.16,0.16,0.16,28000,0.16
2013-05-30,0.16,0.16,0.16,0.16,000,0.16
2013-05-29,0.16,0.16,0.16,0.16,68000,0.16
2013-05-28,0.16,0.16,0.16,0.16,5000,0.16
2013-05-27,0.16,0.16,0.16,0.16,100000,0.16
2013-05-24,0.16,0.16,0.16,0.16,000,0.16
2013-05-23,0.16,0.16,0.16,0.16,5000,0.16
2013-05-22,0.16,0.17,0.16,0.17,9000,0.17
2013-05-21,0.16,0.16,0.16,0.16,15000,0.16
2013-05-20,0.16,0.16,0.16,0.16,15000,0.16
2013-05-17,0.16,0.16,0.16,0.16,6000,0.16
2013-05-16,0.16,0.16,0.16,0.16,20000,0.16
2013-05-15,0.16,0.16,0.16,0.16,72000,0.16
2013-05-14,0.16,0.16,0.16,0.16,000,0.15
2013-05-13,0.17,0.17,0.16,0.16,90000,0.15
2013-05-10,0.16,0.16,0.16,0.16,250000,0.16
2013-05-09,0.16,0.16,0.16,0.16,90000,0.16
2013-05-08,0.16,0.16,0.16,0.16,000,0.15
2013-05-07,0.16,0.16,0.16,0.16,59000,0.15
2013-05-06,0.16,0.16,0.16,0.16,59000,0.15
2013-05-03,0.16,0.16,0.16,0.16,4000,0.16
2013-05-02,0.16,0.16,0.16,0.16,15000,0.16
2013-05-01,0.16,0.16,0.16,0.16,000,0.16
2013-04-30,0.16,0.16,0.16,0.16,88000,0.16
2013-04-29,0.16,0.16,0.16,0.16,40000,0.16
2013-04-26,0.16,0.16,0.16,0.16,12000,0.15
2013-04-25,0.17,0.17,0.17,0.17,000,0.17
2013-04-24,0.17,0.17,0.17,0.17,12000,0.17
2013-04-23,0.16,0.16,0.16,0.16,100000,0.16
2013-04-22,0.16,0.16,0.16,0.16,145000,0.16
2013-04-19,0.16,0.17,0.16,0.17,79000,0.16
2013-04-18,0.16,0.16,0.16,0.16,37000,0.16
2013-04-17,0.16,0.16,0.16,0.16,107000,0.15
2013-04-16,0.16,0.16,0.16,0.16,100000,0.16
2013-04-15,0.16,0.16,0.16,0.16,115000,0.16
2013-04-12,0.16,0.16,0.16,0.16,000,0.15
2013-04-11,0.16,0.16,0.16,0.16,32000,0.15
2013-04-10,0.16,0.16,0.16,0.16,145000,0.15
2013-04-09,0.17,0.17,0.16,0.16,325000,0.16
2013-04-08,0.16,0.16,0.16,0.16,000,0.16
2013-04-05,0.16,0.16,0.16,0.16,000,0.16
2013-04-04,0.16,0.16,0.16,0.16,82000,0.16
2013-04-03,0.17,0.17,0.17,0.17,128000,0.16
2013-04-02,0.17,0.17,0.17,0.17,260000,0.16
2013-04-01,0.17,0.17,0.17,0.17,247000,0.16
2013-03-29,0.17,0.17,0.17,0.17,000,0.16
2013-03-28,0.17,0.17,0.17,0.17,45000,0.16
2013-03-27,0.17,0.17,0.17,0.17,20000,0.16
2013-03-26,0.17,0.17,0.17,0.17,11000,0.16
2013-03-25,0.17,0.17,0.17,0.17,10000,0.17
2013-03-22,0.17,0.17,0.17,0.17,85000,0.16
2013-03-21,0.17,0.17,0.17,0.17,81000,0.16
2013-03-20,0.17,0.17,0.17,0.17,133000,0.16
2013-03-19,0.17,0.17,0.17,0.17,70000,0.16
2013-03-18,0.17,0.17,0.17,0.17,6000,0.17
2013-03-15,0.17,0.17,0.17,0.17,3000,0.17
2013-03-14,0.17,0.17,0.17,0.17,40000,0.17
2013-03-13,0.17,0.17,0.17,0.17,51000,0.17
2013-03-12,0.17,0.17,0.17,0.17,50000,0.17
2013-03-11,0.17,0.17,0.17,0.17,60000,0.17
2013-03-08,0.17,0.17,0.17,0.17,203000,0.17
2013-03-07,0.17,0.17,0.17,0.17,000,0.17
2013-03-06,0.18,0.18,0.17,0.17,259000,0.17
2013-03-05,0.17,0.17,0.17,0.17,23000,0.17
2013-03-04,0.18,0.18,0.17,0.17,607000,0.17
2013-03-01,0.18,0.18,0.18,0.18,110000,0.17
2013-02-28,0.18,0.18,0.18,0.18,139000,0.17
2013-02-27,0.18,0.18,0.18,0.18,27000,0.18
2013-02-26,0.18,0.18,0.18,0.18,50000,0.18
2013-02-25,0.18,0.18,0.18,0.18,393000,0.18
2013-02-22,0.18,0.18,0.18,0.18,97000,0.17
2013-02-21,0.18,0.18,0.18,0.18,23000,0.17
2013-02-20,0.18,0.18,0.18,0.18,244000,0.18
2013-02-19,0.18,0.18,0.18,0.18,000,0.18
2013-02-18,0.18,0.18,0.18,0.18,50000,0.18
2013-02-15,0.18,0.18,0.18,0.18,130000,0.18
2013-02-14,0.18,0.18,0.18,0.18,100000,0.17
2013-02-13,0.18,0.18,0.18,0.18,45000,0.17
2013-02-12,0.18,0.18,0.18,0.18,000,0.18
2013-02-11,0.18,0.18,0.18,0.18,000,0.18
2013-02-08,0.18,0.18,0.18,0.18,15000,0.18
2013-02-07,0.18,0.18,0.18,0.18,000,0.18
2013-02-06,0.18,0.18,0.18,0.18,000,0.18
2013-02-05,0.18,0.18,0.18,0.18,10000,0.18
2013-02-04,0.18,0.18,0.18,0.18,43000,0.18
2013-02-01,0.18,0.18,0.18,0.18,56000,0.18
2013-01-31,0.18,0.19,0.18,0.19,633000,0.18
2013-01-30,0.18,0.18,0.18,0.18,55000,0.18
