Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.29,0.31,0.29,0.31,83000,0.31
2013-06-03,0.31,0.31,0.29,0.29,443000,0.29
2013-05-31,0.31,0.31,0.31,0.31,145000,0.31
2013-05-30,0.31,0.31,0.30,0.30,119000,0.30
2013-05-29,0.31,0.32,0.31,0.31,551000,0.31
2013-05-28,0.31,0.32,0.30,0.31,1481000,0.31
2013-05-27,0.30,0.31,0.29,0.31,36000,0.31
2013-05-24,0.29,0.29,0.29,0.29,000,0.29
2013-05-23,0.31,0.31,0.29,0.29,208000,0.29
2013-05-22,0.31,0.31,0.31,0.31,53000,0.31
2013-05-21,0.31,0.31,0.31,0.31,67000,0.31
2013-05-20,0.31,0.31,0.31,0.31,202000,0.31
2013-05-17,0.30,0.31,0.29,0.30,225000,0.30
2013-05-16,0.31,0.31,0.30,0.30,33000,0.30
2013-05-15,0.31,0.31,0.31,0.31,64000,0.31
2013-05-14,0.30,0.30,0.30,0.30,000,0.30
2013-05-13,0.30,0.31,0.30,0.30,106000,0.30
2013-05-10,0.31,0.31,0.30,0.30,429000,0.30
2013-05-09,0.31,0.31,0.31,0.31,75000,0.31
2013-05-08,0.31,0.31,0.31,0.31,128000,0.31
2013-05-07,0.31,0.32,0.31,0.31,57000,0.31
2013-05-06,0.31,0.31,0.30,0.30,315000,0.30
2013-05-03,0.31,0.31,0.31,0.31,133000,0.31
2013-05-02,0.31,0.31,0.31,0.31,117000,0.31
2013-05-01,0.31,0.31,0.31,0.31,000,0.31
2013-04-30,0.31,0.31,0.31,0.31,262000,0.31
2013-04-29,0.32,0.32,0.31,0.32,105000,0.32
2013-04-26,0.31,0.32,0.31,0.32,232000,0.32
2013-04-25,0.31,0.31,0.31,0.31,11000,0.31
2013-04-24,0.31,0.31,0.31,0.31,000,0.31
2013-04-23,0.31,0.31,0.31,0.31,000,0.31
2013-04-22,0.32,0.32,0.31,0.31,109000,0.31
2013-04-19,0.32,0.32,0.31,0.32,469000,0.32
2013-04-18,0.32,0.32,0.32,0.32,73000,0.32
2013-04-17,0.32,0.32,0.32,0.32,62000,0.32
2013-04-16,0.32,0.32,0.32,0.32,000,0.32
2013-04-15,0.32,0.32,0.32,0.32,238000,0.32
2013-04-12,0.32,0.32,0.32,0.32,211000,0.32
2013-04-11,0.32,0.33,0.32,0.32,238000,0.32
2013-04-10,0.32,0.32,0.32,0.32,23000,0.32
2013-04-09,0.32,0.32,0.32,0.32,82000,0.32
2013-04-08,0.32,0.32,0.31,0.32,27000,0.32
2013-04-05,0.32,0.33,0.32,0.32,475000,0.32
2013-04-04,0.33,0.33,0.33,0.33,10000,0.33
2013-04-03,0.33,0.33,0.33,0.33,000,0.33
2013-04-02,0.32,0.33,0.32,0.33,32000,0.33
2013-04-01,0.34,0.34,0.34,0.34,145000,0.34
2013-03-29,0.34,0.34,0.34,0.34,000,0.34
2013-03-28,0.34,0.34,0.34,0.34,124000,0.34
2013-03-27,0.34,0.34,0.34,0.34,247000,0.34
2013-03-26,0.34,0.34,0.34,0.34,547000,0.34
2013-03-25,0.34,0.34,0.34,0.34,349000,0.34
2013-03-22,0.32,0.34,0.32,0.33,45000,0.33
2013-03-21,0.34,0.34,0.34,0.34,80000,0.34
2013-03-20,0.33,0.33,0.32,0.33,206000,0.33
2013-03-19,0.33,0.33,0.32,0.32,138000,0.32
2013-03-18,0.33,0.34,0.33,0.34,264000,0.34
2013-03-15,0.32,0.34,0.31,0.33,734000,0.33
2013-03-14,0.32,0.32,0.32,0.32,2000,0.32
2013-03-13,0.32,0.32,0.32,0.32,246000,0.32
2013-03-12,0.32,0.32,0.32,0.32,41000,0.32
2013-03-11,0.32,0.33,0.32,0.32,578000,0.32
2013-03-08,0.32,0.33,0.32,0.33,204000,0.33
2013-03-07,0.33,0.33,0.32,0.32,338000,0.32
2013-03-06,0.32,0.34,0.32,0.33,553000,0.33
2013-03-05,0.32,0.32,0.32,0.32,226000,0.32
2013-03-04,0.34,0.34,0.31,0.31,1312000,0.31
2013-03-01,0.35,0.35,0.34,0.34,983000,0.34
2013-02-28,0.35,0.35,0.34,0.34,278000,0.34
2013-02-27,0.35,0.35,0.34,0.34,386000,0.34
2013-02-26,0.35,0.35,0.34,0.34,1227000,0.34
2013-02-25,0.36,0.37,0.35,0.35,371000,0.35
2013-02-22,0.36,0.37,0.35,0.35,1994000,0.35
2013-02-21,0.36,0.37,0.35,0.37,3421000,0.37
2013-02-20,0.36,0.37,0.35,0.36,1007000,0.36
2013-02-19,0.37,0.37,0.35,0.37,1498000,0.37
2013-02-18,0.36,0.37,0.36,0.37,1064000,0.37
2013-02-15,0.35,0.37,0.35,0.36,3084000,0.36
2013-02-14,0.35,0.35,0.34,0.35,855000,0.35
2013-02-13,0.34,0.37,0.34,0.35,3464000,0.35
2013-02-12,0.34,0.34,0.34,0.34,000,0.34
2013-02-11,0.34,0.34,0.34,0.34,000,0.34
2013-02-08,0.34,0.35,0.34,0.34,1163000,0.34
2013-02-07,0.34,0.34,0.34,0.34,1055000,0.34
2013-02-06,0.34,0.35,0.34,0.34,477000,0.34
2013-02-05,0.35,0.35,0.34,0.34,1917000,0.34
2013-02-04,0.37,0.37,0.35,0.35,1957000,0.35
2013-02-01,0.36,0.38,0.36,0.37,16296000,0.37
2013-01-31,0.35,0.35,0.34,0.35,520000,0.35
2013-01-30,0.35,0.36,0.35,0.35,580000,0.35
2013-01-29,0.35,0.36,0.35,0.35,1070000,0.35
2013-01-28,0.35,0.36,0.35,0.35,2739000,0.35
2013-01-25,0.34,0.35,0.34,0.34,820000,0.34
2013-01-24,0.35,0.35,0.34,0.34,736000,0.34
2013-01-23,0.35,0.36,0.35,0.35,1540000,0.35
2013-01-22,0.35,0.35,0.34,0.35,407000,0.35
2013-01-21,0.38,0.38,0.35,0.35,22082000,0.35
2013-01-18,0.35,0.37,0.34,0.37,6377000,0.37
2013-01-17,0.34,0.35,0.33,0.34,3911000,0.34
2013-01-16,0.34,0.34,0.33,0.33,173000,0.33
2013-01-15,0.34,0.34,0.33,0.33,572000,0.33
2013-01-14,0.34,0.34,0.34,0.34,1085000,0.34
2013-01-11,0.34,0.34,0.34,0.34,346000,0.34
2013-01-10,0.34,0.35,0.34,0.34,1259000,0.34
2013-01-09,0.33,0.34,0.33,0.34,818000,0.34
2013-01-08,0.34,0.34,0.32,0.34,846000,0.34
2013-01-07,0.32,0.34,0.32,0.34,3201000,0.34
2013-01-04,0.33,0.33,0.32,0.33,711000,0.33
2013-01-03,0.32,0.34,0.32,0.32,1183000,0.32
2013-01-02,0.31,0.32,0.31,0.32,473000,0.32
2013-01-01,0.31,0.31,0.31,0.31,000,0.31
2012-12-31,0.31,0.31,0.31,0.31,000,0.31
2012-12-28,0.31,0.31,0.31,0.31,432000,0.31
2012-12-27,0.31,0.31,0.31,0.31,375000,0.31
2012-12-26,0.31,0.31,0.30,0.31,72000,0.31
2012-12-25,0.31,0.31,0.31,0.31,000,0.31
2012-12-24,0.31,0.31,0.31,0.31,30000,0.31
2012-12-21,0.31,0.31,0.31,0.31,95000,0.31
2012-12-20,0.31,0.31,0.31,0.31,62000,0.31
2012-12-19,0.31,0.31,0.31,0.31,296000,0.31
2012-12-18,0.31,0.31,0.31,0.31,249000,0.31
2012-12-17,0.31,0.31,0.30,0.31,112000,0.31
2012-12-14,0.31,0.31,0.31,0.31,60000,0.31
2012-12-13,0.31,0.31,0.30,0.31,188000,0.31
2012-12-12,0.30,0.31,0.30,0.31,364000,0.31
2012-12-11,0.31,0.31,0.30,0.30,92000,0.30
2012-12-10,0.31,0.31,0.30,0.30,577000,0.30
2012-12-07,0.31,0.32,0.31,0.32,158000,0.32
2012-12-06,0.31,0.31,0.31,0.31,756000,0.31
2012-12-05,0.30,0.31,0.30,0.31,586000,0.31
2012-12-04,0.30,0.30,0.29,0.30,136000,0.30
2012-12-03,0.29,0.31,0.29,0.30,4529000,0.30
2012-11-30,0.28,0.30,0.28,0.29,1163000,0.29
2012-11-29,0.28,0.28,0.28,0.28,57000,0.28
2012-11-28,0.28,0.28,0.28,0.28,76000,0.28
2012-11-27,0.28,0.28,0.28,0.28,132000,0.28
2012-11-26,0.29,0.29,0.28,0.28,79000,0.28
2012-11-23,0.28,0.29,0.28,0.29,294000,0.29
2012-11-22,0.28,0.28,0.28,0.28,91000,0.28
