Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,2.12,2.22,2.11,2.19,18996000,2.19
2013-06-03,2.13,2.16,2.11,2.12,9868000,2.12
2013-05-31,2.11,2.15,2.10,2.15,22687000,2.15
2013-05-30,2.15,2.16,2.08,2.14,13645000,2.14
2013-05-29,2.21,2.22,2.14,2.16,17170000,2.16
2013-05-28,2.23,2.24,2.19,2.20,12920000,2.20
2013-05-27,2.18,2.24,2.18,2.22,12336000,2.22
2013-05-24,2.17,2.17,2.17,2.17,000,2.17
2013-05-23,2.29,2.30,2.17,2.17,20237000,2.17
2013-05-22,2.33,2.34,2.29,2.30,7555000,2.30
2013-05-21,2.28,2.34,2.28,2.34,5586000,2.34
2013-05-20,2.29,2.31,2.27,2.29,8162000,2.29
2013-05-17,2.34,2.34,2.28,2.29,6936000,2.29
2013-05-16,2.32,2.34,2.30,2.33,10251000,2.33
2013-05-15,2.34,2.35,2.32,2.33,5033000,2.33
2013-05-14,2.36,2.37,2.32,2.35,6709000,2.35
2013-05-13,2.36,2.38,2.34,2.36,5843000,2.36
2013-05-10,2.36,2.37,2.32,2.34,4308000,2.34
2013-05-09,2.37,2.37,2.34,2.36,3709000,2.36
2013-05-08,2.39,2.41,2.37,2.37,11358000,2.37
2013-05-07,2.35,2.39,2.35,2.38,10470000,2.38
2013-05-06,2.34,2.35,2.32,2.34,3228000,2.34
2013-05-03,2.34,2.37,2.32,2.33,6585000,2.33
2013-05-02,2.32,2.34,2.31,2.32,6010000,2.32
2013-05-01,2.32,2.32,2.32,2.32,000,2.32
2013-04-30,2.41,2.41,2.31,2.32,11591000,2.32
2013-04-29,2.37,2.45,2.36,2.38,11833000,2.38
2013-04-26,2.25,2.34,2.25,2.34,11281000,2.34
2013-04-25,2.27,2.28,2.25,2.27,7489000,2.27
2013-04-24,2.27,2.29,2.23,2.29,10064000,2.27
2013-04-23,2.29,2.31,2.26,2.28,7915000,2.26
2013-04-22,2.26,2.30,2.25,2.30,7034000,2.28
2013-04-19,2.27,2.28,2.23,2.26,6796000,2.24
2013-04-18,2.24,2.30,2.22,2.28,9717000,2.26
2013-04-17,2.30,2.32,2.26,2.26,10472000,2.24
2013-04-16,2.23,2.28,2.20,2.28,11212000,2.26
2013-04-15,2.25,2.27,2.24,2.26,9042000,2.24
2013-04-12,2.22,2.27,2.21,2.24,16565000,2.22
2013-04-11,2.20,2.23,2.19,2.20,14826000,2.18
2013-04-10,2.17,2.20,2.17,2.18,9234000,2.16
2013-04-09,2.18,2.18,2.16,2.17,4306000,2.15
2013-04-08,2.16,2.19,2.16,2.16,7317000,2.14
2013-04-05,2.13,2.17,2.13,2.17,10933000,2.15
2013-04-04,2.14,2.14,2.12,2.13,3254000,2.11
2013-04-03,2.11,2.16,2.10,2.14,13004000,2.12
2013-04-02,2.10,2.11,2.09,2.10,6153000,2.08
2013-04-01,2.10,2.11,2.09,2.10,3584000,2.08
2013-03-29,2.09,2.09,2.09,2.09,000,2.07
2013-03-28,2.13,2.13,2.09,2.09,15642000,2.07
2013-03-27,2.12,2.13,2.10,2.13,6376000,2.11
2013-03-26,2.09,2.12,2.08,2.11,9236000,2.09
2013-03-25,2.11,2.11,2.08,2.09,7323000,2.07
2013-03-22,2.11,2.12,2.09,2.10,7544000,2.08
2013-03-21,2.10,2.13,2.09,2.12,5493000,2.10
2013-03-20,2.08,2.10,2.08,2.10,6558000,2.08
2013-03-19,2.10,2.11,2.09,2.09,9134000,2.07
2013-03-18,2.07,2.10,2.06,2.10,8643000,2.08
2013-03-15,2.07,2.11,2.07,2.11,17299000,2.09
2013-03-14,2.09,2.09,2.05,2.06,20298000,2.04
2013-03-13,2.10,2.11,2.07,2.10,11445000,2.08
2013-03-12,2.11,2.13,2.09,2.10,10210000,2.08
2013-03-11,2.13,2.14,2.09,2.10,8484000,2.08
2013-03-08,2.13,2.13,2.10,2.10,6761000,2.08
2013-03-07,2.11,2.14,2.11,2.13,7123000,2.11
2013-03-06,2.12,2.14,2.11,2.12,7271000,2.10
2013-03-05,2.08,2.11,2.06,2.11,12653000,2.09
2013-03-04,2.12,2.12,2.08,2.09,11175000,2.07
2013-03-01,2.15,2.15,2.11,2.12,8915000,2.10
2013-02-28,2.14,2.15,2.13,2.15,10897000,2.13
2013-02-27,2.13,2.15,2.12,2.14,6475000,2.12
2013-02-26,2.13,2.14,2.11,2.13,11740000,2.11
2013-02-25,2.16,2.17,2.13,2.14,6963000,2.12
2013-02-22,2.18,2.18,2.15,2.16,7790000,2.14
2013-02-21,2.18,2.19,2.15,2.18,7224000,2.16
2013-02-20,2.18,2.20,2.16,2.19,10182000,2.17
2013-02-19,2.18,2.18,2.14,2.18,10933000,2.16
2013-02-18,2.18,2.18,2.15,2.17,6722000,2.15
2013-02-15,2.15,2.18,2.13,2.18,12900000,2.16
2013-02-14,2.16,2.17,2.14,2.15,9765000,2.13
2013-02-13,2.16,2.16,2.14,2.15,6167000,2.13
2013-02-12,2.13,2.13,2.13,2.13,000,2.11
2013-02-11,2.13,2.13,2.13,2.13,000,2.11
2013-02-08,2.11,2.13,2.09,2.13,9410000,2.11
2013-02-07,2.13,2.14,2.11,2.12,6126000,2.10
2013-02-06,2.13,2.14,2.12,2.14,6176000,2.12
2013-02-05,2.12,2.13,2.11,2.11,7364000,2.09
2013-02-04,2.12,2.13,2.11,2.12,7531000,2.10
2013-02-01,2.13,2.14,2.11,2.12,6846000,2.10
2013-01-31,2.10,2.12,2.09,2.12,15959000,2.10
2013-01-30,2.11,2.13,2.10,2.12,12613000,2.10
2013-01-29,2.14,2.14,2.08,2.10,13298000,2.08
2013-01-28,2.13,2.15,2.12,2.13,6185000,2.11
2013-01-25,2.12,2.14,2.10,2.12,16133000,2.10
2013-01-24,2.18,2.18,2.12,2.13,9753000,2.11
2013-01-23,2.18,2.20,2.17,2.19,4931000,2.16
2013-01-22,2.18,2.19,2.16,2.17,4814000,2.14
2013-01-21,2.16,2.19,2.16,2.17,4236000,2.14
2013-01-18,2.18,2.19,2.16,2.16,7404000,2.13
2013-01-17,2.17,2.17,2.14,2.17,5761000,2.14
2013-01-16,2.13,2.17,2.12,2.15,8418000,2.12
2013-01-15,2.12,2.14,2.11,2.13,8179000,2.10
2013-01-14,2.12,2.14,2.11,2.13,5047000,2.10
2013-01-11,2.15,2.17,2.11,2.13,11966000,2.10
2013-01-10,2.15,2.20,2.13,2.16,18625000,2.13
2013-01-09,2.12,2.15,2.09,2.13,13036000,2.10
2013-01-08,2.12,2.12,2.10,2.12,5134000,2.09
2013-01-07,2.13,2.15,2.12,2.12,4663000,2.09
2013-01-04,2.14,2.14,2.10,2.12,5316000,2.09
2013-01-03,2.15,2.16,2.10,2.13,7727000,2.10
2013-01-02,2.15,2.17,2.13,2.13,4466000,2.10
2013-01-01,2.13,2.13,2.13,2.13,000,2.10
2012-12-31,2.16,2.17,2.13,2.13,8153000,2.10
2012-12-28,2.14,2.16,2.11,2.15,7492000,2.12
2012-12-27,2.13,2.14,2.12,2.13,3243000,2.10
2012-12-26,2.13,2.14,2.12,2.13,2279000,2.10
2012-12-25,2.12,2.12,2.12,2.12,000,2.09
2012-12-24,2.11,2.14,2.10,2.12,2753000,2.09
2012-12-21,2.12,2.12,2.08,2.12,7215000,2.09
2012-12-20,2.09,2.12,2.09,2.11,5632000,2.08
2012-12-19,2.10,2.10,2.08,2.09,5631000,2.07
2012-12-18,2.10,2.11,2.07,2.08,13505000,2.06
2012-12-17,2.13,2.13,2.08,2.08,7195000,2.06
2012-12-14,2.10,2.13,2.09,2.12,7496000,2.09
2012-12-13,2.09,2.11,2.07,2.09,6944000,2.07
2012-12-12,2.12,2.13,2.07,2.08,13068000,2.06
2012-12-11,2.14,2.14,2.08,2.11,7035000,2.08
2012-12-10,2.11,2.14,2.10,2.12,12624000,2.09
2012-12-07,2.06,2.10,2.06,2.10,10656000,2.07
2012-12-06,2.06,2.07,2.04,2.05,4778000,2.03
2012-12-05,2.04,2.07,2.04,2.05,5461000,2.03
2012-12-04,2.05,2.05,2.03,2.05,4738000,2.03
2012-12-03,2.08,2.09,2.04,2.05,6016000,2.03
2012-11-30,2.09,2.09,2.06,2.07,15678000,2.05
2012-11-29,2.07,2.09,2.05,2.07,9009000,2.05
2012-11-28,2.07,2.07,2.03,2.05,8197000,2.03
2012-11-27,2.07,2.08,2.05,2.07,7741000,2.05
2012-11-26,2.07,2.10,2.05,2.10,8892000,2.06
2012-11-23,2.07,2.07,2.04,2.06,7038000,2.02
2012-11-22,2.05,2.09,2.04,2.04,21954000,2.00
2012-11-21,2.10,2.14,2.09,2.11,8281000,2.07
2012-11-20,2.10,2.11,2.07,2.10,5968000,2.06
2012-11-19,2.08,2.09,2.06,2.08,6501000,2.04
2012-11-16,2.03,2.11,2.02,2.08,13813000,2.04
2012-11-15,2.06,2.07,2.03,2.06,11027000,2.02
2012-11-14,2.08,2.09,2.05,2.08,9796000,2.04
2012-11-13,2.09,2.09,2.09,2.09,000,2.05
2012-11-12,2.06,2.09,2.05,2.09,5905000,2.05
2012-11-09,2.07,2.09,2.06,2.06,5917000,2.02
2012-11-08,2.10,2.12,2.06,2.09,8710000,2.05
2012-11-07,2.08,2.12,2.06,2.11,7231000,2.07
2012-11-06,2.08,2.11,2.06,2.07,7568000,2.03
2012-11-05,2.11,2.11,2.07,2.09,8366000,2.05
2012-11-02,2.15,2.18,2.10,2.12,5655000,2.08
2012-11-01,2.13,2.15,2.08,2.13,7924000,2.09
2012-10-31,2.10,2.14,2.10,2.11,15731000,2.07
2012-10-30,2.20,2.20,2.09,2.10,13932000,2.06
2012-10-29,2.25,2.25,2.16,2.20,13990000,2.16
2012-10-26,2.18,2.18,2.18,2.18,000,2.14
2012-10-25,2.15,2.19,2.14,2.18,11544000,2.14
2012-10-24,2.12,2.18,2.12,2.15,9247000,2.08
