Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.04,0.04,0.04,0.04,000,0.04
2013-06-03,0.04,0.04,0.04,0.04,000,0.04
2013-05-31,0.04,0.04,0.04,0.04,200000,0.04
2013-05-30,0.04,0.04,0.04,0.04,25000,0.04
2013-05-29,0.04,0.04,0.04,0.04,20000,0.04
2013-05-28,0.04,0.04,0.04,0.04,493000,0.04
2013-05-27,0.04,0.04,0.04,0.04,295000,0.04
2013-05-24,0.04,0.04,0.04,0.04,000,0.04
2013-05-23,0.04,0.04,0.04,0.04,30000,0.04
2013-05-22,0.04,0.04,0.04,0.04,85000,0.04
2013-05-21,0.04,0.04,0.04,0.04,129000,0.04
2013-05-20,0.04,0.04,0.04,0.04,167000,0.04
2013-05-17,0.04,0.04,0.04,0.04,000,0.04
2013-05-16,0.04,0.04,0.04,0.04,401000,0.04
2013-05-15,0.04,0.04,0.04,0.04,248000,0.04
2013-05-14,0.04,0.04,0.04,0.04,220000,0.04
2013-05-13,0.04,0.04,0.04,0.04,120000,0.04
2013-05-10,0.04,0.04,0.04,0.04,267000,0.04
2013-05-09,0.04,0.04,0.04,0.04,30000,0.04
2013-05-08,0.04,0.04,0.04,0.04,15000,0.04
2013-05-07,0.04,0.04,0.04,0.04,210000,0.04
2013-05-06,0.04,0.04,0.04,0.04,42000,0.04
2013-05-03,0.04,0.04,0.04,0.04,117000,0.04
2013-05-02,0.04,0.04,0.04,0.04,127000,0.04
2013-05-01,0.04,0.04,0.04,0.04,000,0.04
2013-04-30,0.04,0.04,0.04,0.04,165000,0.04
2013-04-29,0.04,0.04,0.04,0.04,492000,0.04
2013-04-26,0.04,0.04,0.04,0.04,87000,0.04
2013-04-25,0.04,0.04,0.04,0.04,555000,0.04
2013-04-24,0.04,0.04,0.04,0.04,371000,0.04
2013-04-23,0.04,0.04,0.04,0.04,176000,0.04
2013-04-22,0.05,0.05,0.04,0.04,554000,0.04
2013-04-19,0.05,0.05,0.04,0.05,400000,0.05
2013-04-18,0.04,0.05,0.04,0.05,344000,0.05
2013-04-17,0.04,0.05,0.04,0.05,183000,0.05
2013-04-16,0.04,0.04,0.04,0.04,156000,0.04
2013-04-15,0.04,0.05,0.04,0.05,457000,0.05
2013-04-12,0.04,0.04,0.04,0.04,140000,0.04
2013-04-11,0.04,0.04,0.04,0.04,58000,0.04
2013-04-10,0.04,0.04,0.04,0.04,234000,0.04
2013-04-09,0.04,0.04,0.04,0.04,300000,0.04
2013-04-08,0.05,0.05,0.05,0.05,100000,0.05
2013-04-05,0.05,0.05,0.05,0.05,000,0.05
2013-04-04,0.04,0.05,0.04,0.05,433000,0.05
2013-04-03,0.04,0.05,0.04,0.04,533000,0.04
2013-04-02,0.04,0.04,0.04,0.04,000,0.04
2013-04-01,0.04,0.04,0.04,0.04,50000,0.04
2013-03-29,0.04,0.04,0.04,0.04,000,0.04
2013-03-28,0.05,0.05,0.04,0.04,60000,0.04
2013-03-27,0.05,0.05,0.05,0.05,95000,0.05
