Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.41,0.41,0.41,0.41,124000,0.41
2013-06-03,0.41,0.41,0.40,0.41,316000,0.41
2013-05-31,0.42,0.42,0.41,0.41,323000,0.41
2013-05-30,0.41,0.42,0.41,0.42,196000,0.42
2013-05-29,0.44,0.44,0.42,0.42,627000,0.42
2013-05-28,0.43,0.44,0.43,0.44,1161000,0.44
2013-05-27,0.42,0.43,0.41,0.43,430000,0.43
2013-05-24,0.42,0.42,0.42,0.42,000,0.42
2013-05-23,0.44,0.44,0.41,0.42,1491000,0.42
2013-05-22,0.41,0.44,0.41,0.44,3643000,0.44
2013-05-21,0.41,0.41,0.41,0.41,532000,0.41
2013-05-20,0.41,0.41,0.40,0.41,704000,0.41
2013-05-17,0.40,0.41,0.40,0.41,262000,0.41
2013-05-16,0.41,0.41,0.41,0.41,315000,0.41
2013-05-15,0.42,0.42,0.41,0.41,1101000,0.41
2013-05-14,0.43,0.43,0.41,0.42,867000,0.42
2013-05-13,0.42,0.44,0.41,0.43,3295000,0.43
2013-05-10,0.38,0.41,0.38,0.41,3246000,0.41
2013-05-09,0.38,0.38,0.37,0.38,269000,0.38
2013-05-08,0.38,0.38,0.37,0.37,137000,0.37
2013-05-07,0.37,0.38,0.37,0.37,257000,0.37
2013-05-06,0.37,0.37,0.36,0.37,266000,0.37
2013-05-03,0.38,0.40,0.38,0.38,1178000,0.32
2013-05-02,0.37,0.38,0.37,0.37,1578000,0.31
2013-05-01,0.37,0.37,0.37,0.37,000,0.31
2013-04-30,0.35,0.37,0.35,0.37,1326000,0.31
2013-04-29,0.35,0.35,0.35,0.35,763000,0.30
2013-04-26,0.34,0.34,0.34,0.34,40000,0.28
2013-04-25,0.34,0.34,0.34,0.34,57000,0.28
2013-04-24,0.34,0.34,0.34,0.34,294000,0.28
2013-04-23,0.34,0.35,0.34,0.35,507000,0.29
2013-04-22,0.33,0.33,0.33,0.33,5000,0.28
2013-04-19,0.34,0.34,0.34,0.34,38000,0.28
2013-04-18,0.33,0.34,0.33,0.34,132000,0.28
2013-04-17,0.34,0.34,0.33,0.33,50000,0.28
2013-04-16,0.33,0.33,0.33,0.33,96000,0.28
2013-04-15,0.34,0.34,0.33,0.33,137000,0.28
2013-04-12,0.34,0.34,0.33,0.34,131000,0.28
2013-04-11,0.35,0.35,0.34,0.34,42000,0.28
2013-04-10,0.34,0.34,0.33,0.34,74000,0.28
2013-04-09,0.34,0.34,0.33,0.33,227000,0.28
2013-04-08,0.34,0.34,0.34,0.34,51000,0.28
2013-04-05,0.35,0.35,0.33,0.34,393000,0.28
2013-04-04,0.35,0.35,0.34,0.34,221000,0.29
2013-04-03,0.34,0.34,0.34,0.34,20000,0.29
2013-04-02,0.35,0.35,0.34,0.34,104000,0.29
2013-04-01,0.35,0.35,0.35,0.35,62000,0.29
2013-03-29,0.35,0.35,0.35,0.35,000,0.29
2013-03-28,0.35,0.35,0.35,0.35,97000,0.29
2013-03-27,0.35,0.35,0.35,0.35,245000,0.29
2013-03-26,0.35,0.35,0.34,0.34,125000,0.29
2013-03-25,0.34,0.35,0.34,0.35,551000,0.29
2013-03-22,0.34,0.34,0.34,0.34,47000,0.28
2013-03-21,0.34,0.34,0.34,0.34,222000,0.29
2013-03-20,0.34,0.34,0.34,0.34,152000,0.28
2013-03-19,0.33,0.34,0.33,0.34,206000,0.28
2013-03-18,0.34,0.34,0.31,0.33,1028000,0.28
2013-03-15,0.36,0.38,0.34,0.34,1476000,0.28
2013-03-14,0.36,0.37,0.36,0.36,121000,0.30
2013-03-13,0.37,0.38,0.36,0.36,92000,0.30
2013-03-12,0.36,0.37,0.36,0.36,236000,0.30
2013-03-11,0.37,0.37,0.37,0.37,290000,0.31
2013-03-08,0.37,0.37,0.37,0.37,69000,0.31
