Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,1.20,1.20,1.18,1.19,172000,1.17
2013-06-03,1.26,1.27,1.19,1.19,422000,1.17
2013-05-31,1.28,1.29,1.28,1.29,51000,1.27
2013-05-30,1.27,1.30,1.25,1.29,27000,1.27
2013-05-29,1.28,1.28,1.28,1.28,10000,1.26
2013-05-23,1.27,1.27,1.27,1.27,10000,1.25
2013-05-22,1.30,1.30,1.30,1.30,33000,1.28
2013-05-21,1.30,1.30,1.30,1.30,1000,1.28
2013-05-20,1.28,1.28,1.27,1.28,123000,1.26
2013-05-17,1.28,1.28,1.28,1.28,79000,1.26
2013-05-15,1.30,1.30,1.29,1.30,20000,1.28
2013-05-13,1.28,1.29,1.28,1.28,14000,1.26
2013-05-10,1.28,1.29,1.28,1.29,3000,1.27
2013-05-08,1.30,1.30,1.27,1.30,93000,1.28
2013-05-07,1.30,1.30,1.30,1.30,36000,1.28
2013-05-06,1.30,1.30,1.30,1.30,11000,1.28
2013-05-03,1.30,1.30,1.30,1.30,11000,1.28
2013-04-30,1.30,1.30,1.29,1.30,74000,1.28
2013-04-29,1.30,1.30,1.29,1.29,59000,1.27
2013-04-26,1.30,1.30,1.30,1.30,11000,1.28
2013-04-22,1.40,1.40,1.40,1.40,2000,1.38
2013-04-19,1.30,1.40,1.30,1.40,128000,1.38
2013-04-17,1.30,1.30,1.30,1.30,12000,1.28
2013-04-16,1.28,1.28,1.26,1.26,24000,1.24
2013-04-15,1.26,1.26,1.26,1.26,15000,1.24
2013-04-12,1.29,1.29,1.29,1.29,5000,1.27
2013-04-11,1.29,1.30,1.29,1.29,59000,1.27
2013-04-08,1.29,1.29,1.29,1.29,8000,1.27
2013-04-05,1.30,1.30,1.29,1.29,848000,1.27
2013-04-04,1.27,1.30,1.27,1.30,81000,1.28
2013-04-03,1.32,1.32,1.32,1.32,2000,1.30
2013-04-02,1.27,1.29,1.27,1.29,24000,1.27
2013-03-28,1.28,1.28,1.27,1.27,36000,1.25
2013-03-27,1.28,1.28,1.28,1.28,20000,1.26
2013-03-25,1.25,1.25,1.25,1.25,2000,1.22
2013-03-20,1.27,1.27,1.27,1.27,15000,1.25
2013-03-19,1.27,1.27,1.27,1.27,10000,1.25
2013-03-18,1.28,1.28,1.28,1.28,20000,1.26
2013-03-15,1.29,1.29,1.29,1.29,10000,1.27
2013-03-14,1.28,1.29,1.28,1.29,523000,1.27
2013-03-13,1.28,1.30,1.26,1.26,44000,1.24
2013-03-12,1.25,1.25,1.25,1.25,1000,1.22
2013-03-11,1.27,1.27,1.27,1.27,10000,1.25
2013-03-07,1.25,1.25,1.25,1.25,3000,1.23
2013-03-06,1.24,1.27,1.24,1.25,44000,1.23
2013-03-04,1.24,1.24,1.23,1.23,88000,1.21
2013-03-01,1.26,1.26,1.25,1.25,421000,1.22
2013-02-28,1.27,1.28,1.26,1.27,187000,1.25
2013-02-25,1.30,1.30,1.30,1.30,43000,1.28
