Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,2.51,2.54,2.51,2.52,10600,2.52
2013-06-03,2.51,2.53,2.51,2.53,7300,2.53
2013-05-31,2.56,2.56,2.51,2.51,3800,2.51
2013-05-30,2.49,2.51,2.49,2.50,25800,2.50
2013-05-29,2.51,2.52,2.44,2.50,32900,2.50
2013-05-28,2.52,2.52,2.52,2.52,10000,2.52
2013-05-27,2.49,2.56,2.49,2.51,3000,2.51
2013-05-24,2.49,2.49,2.49,2.49,000,2.49
2013-05-23,2.54,2.54,2.48,2.49,9300,2.49
2013-05-22,2.52,2.57,2.52,2.54,7700,2.54
2013-05-21,2.55,2.55,2.50,2.52,16200,2.52
2013-05-20,2.57,2.57,2.56,2.56,5600,2.56
2013-05-17,2.57,2.58,2.54,2.56,12100,2.56
2013-05-16,2.58,2.62,2.57,2.59,13500,2.59
2013-05-15,2.55,2.60,2.53,2.59,47100,2.59
2013-05-14,2.50,2.60,2.50,2.52,45400,2.52
2013-05-13,2.50,2.51,2.49,2.50,34200,2.50
2013-05-10,2.46,2.52,2.46,2.49,13400,2.49
2013-05-09,2.50,2.50,2.46,2.46,62200,2.46
2013-05-08,2.50,2.52,2.49,2.50,52100,2.50
2013-05-07,2.50,2.53,2.48,2.50,40100,2.50
2013-05-06,2.58,2.58,2.55,2.55,29000,2.55
2013-05-03,2.60,2.60,2.58,2.58,5700,2.58
2013-05-02,2.62,2.63,2.60,2.62,9700,2.62
2013-05-01,2.62,2.62,2.62,2.62,000,2.62
2013-04-30,2.63,2.63,2.60,2.62,30700,2.62
2013-04-29,2.61,2.64,2.61,2.63,1200,2.63
2013-04-26,2.64,2.65,2.62,2.63,42100,2.63
2013-04-25,2.68,2.69,2.66,2.66,11000,2.66
2013-04-24,2.69,2.69,2.63,2.65,7900,2.65
2013-04-23,2.65,2.68,2.64,2.64,20300,2.64
2013-04-22,2.67,2.67,2.63,2.65,9200,2.65
2013-04-19,2.70,2.70,2.67,2.68,20400,2.68
2013-04-18,2.70,2.72,2.70,2.70,8300,2.70
2013-04-17,2.70,2.70,2.70,2.70,11200,2.70
2013-04-16,2.70,2.70,2.70,2.70,2000,2.70
2013-04-15,2.71,2.72,2.71,2.71,14300,2.71
2013-04-12,2.80,2.80,2.70,2.71,26000,2.71
2013-04-11,2.80,2.80,2.70,2.75,22000,2.75
2013-04-10,2.82,2.82,2.75,2.78,14000,2.78
2013-04-09,2.83,2.83,2.71,2.76,16900,2.76
2013-04-08,2.85,2.85,2.70,2.71,21200,2.71
2013-04-05,2.86,2.86,2.75,2.75,109100,2.75
2013-04-04,2.86,2.86,2.80,2.83,20900,2.83
2013-04-03,2.87,2.87,2.81,2.81,7200,2.81
2013-04-02,2.87,2.87,2.80,2.80,28900,2.80
2013-04-01,2.87,2.87,2.80,2.83,6700,2.83
2013-03-29,2.84,2.84,2.84,2.84,000,2.84
2013-03-28,2.89,2.89,2.83,2.84,9500,2.84
2013-03-27,2.87,2.98,2.87,2.88,8100,2.88
2013-03-26,2.85,2.85,2.82,2.82,16100,2.82
2013-03-25,2.85,2.85,2.84,2.84,11500,2.84
2013-03-22,2.86,2.87,2.84,2.84,50000,2.84
2013-03-21,2.86,2.86,2.83,2.84,22300,2.84
2013-03-20,2.83,2.85,2.83,2.84,6500,2.84
2013-03-19,2.85,2.89,2.85,2.88,19000,2.88
2013-03-18,2.86,2.87,2.84,2.87,35200,2.87
2013-03-15,2.88,2.92,2.87,2.88,26900,2.88
2013-03-14,2.85,2.91,2.84,2.88,13900,2.88
2013-03-13,2.94,2.94,2.85,2.90,49400,2.90
2013-03-12,2.91,2.95,2.90,2.93,34300,2.93
2013-03-11,2.95,2.97,2.95,2.97,7600,2.97
2013-03-08,2.98,2.99,2.97,2.97,11000,2.97
2013-03-07,2.97,2.99,2.96,2.98,32400,2.98
2013-03-06,2.96,3.00,2.96,2.97,7800,2.97
2013-03-05,3.04,3.04,2.90,2.96,14800,2.96
2013-03-04,2.98,2.99,2.96,2.97,46600,2.97
2013-03-01,2.98,3.00,2.96,2.97,66700,2.97
2013-02-28,3.00,3.00,2.98,2.98,21900,2.98
2013-02-27,3.01,3.03,3.00,3.00,40600,3.00
2013-02-26,3.01,3.01,2.99,3.00,29700,3.00
2013-02-25,3.01,3.06,3.00,3.01,11200,3.01
2013-02-22,3.01,3.01,3.01,3.01,14000,3.01
2013-02-21,3.01,3.03,3.00,3.02,15000,3.02
2013-02-20,3.00,3.04,3.00,3.01,25200,3.01
2013-02-19,3.02,3.02,3.00,3.00,34600,3.00
2013-02-18,3.02,3.08,3.02,3.05,11800,3.05
2013-02-15,3.03,3.06,3.00,3.02,77900,3.02
2013-02-14,3.05,3.11,3.02,3.03,81200,3.03
2013-02-13,3.03,3.05,3.03,3.03,9800,3.03
2013-02-12,3.03,3.03,3.03,3.03,000,3.03
2013-02-11,3.03,3.03,3.03,3.03,000,3.03
2013-02-08,3.02,3.09,3.02,3.03,63000,3.03
2013-02-07,3.02,3.05,3.00,3.02,49600,3.02
2013-02-06,3.04,3.05,3.01,3.02,93800,3.02
2013-02-05,3.02,3.09,3.01,3.04,39700,3.04
2013-02-04,3.06,3.08,3.03,3.04,51100,3.04
2013-02-01,3.06,3.08,3.04,3.08,35800,3.08
2013-01-31,3.16,3.16,3.07,3.08,68700,3.08
2013-01-30,3.23,3.23,3.13,3.17,393500,3.17
2013-01-29,3.02,3.09,3.02,3.04,36700,3.04
2013-01-28,3.02,3.10,3.00,3.02,55400,3.02
2013-01-25,3.00,3.02,3.00,3.02,2400,3.02
2013-01-24,3.00,3.02,3.00,3.01,6400,3.01
2013-01-23,3.00,3.03,2.99,3.00,36600,3.00
2013-01-22,3.01,3.08,2.98,2.98,51100,2.98
2013-01-21,3.01,3.02,3.00,3.01,11600,3.01
2013-01-18,3.03,3.03,3.01,3.02,7700,3.02
2013-01-17,3.02,3.05,3.02,3.03,11900,3.03
2013-01-16,3.00,3.13,2.99,3.02,112800,3.02
2013-01-15,3.04,3.05,3.03,3.03,28400,3.03
2013-01-14,3.06,3.15,3.01,3.06,49000,3.06
2013-01-11,3.03,3.05,3.03,3.05,9900,3.05
2013-01-10,3.11,3.11,3.00,3.03,177600,3.03
2013-01-09,3.11,3.13,3.09,3.11,31000,3.11
2013-01-08,3.09,3.11,3.09,3.09,12000,3.09
2013-01-07,3.09,3.20,3.08,3.12,53500,3.12
2013-01-04,3.09,3.12,3.09,3.09,29700,3.09
2013-01-03,3.10,3.13,3.08,3.09,87600,3.09
2013-01-02,3.04,3.14,3.04,3.10,73100,3.10
2013-01-01,3.04,3.04,3.04,3.04,000,3.04
2012-12-31,3.02,3.04,3.01,3.04,7100,3.04
2012-12-28,3.01,3.05,3.01,3.05,20200,3.05
2012-12-27,3.02,3.05,3.01,3.01,35000,3.01
2012-12-26,3.01,3.05,3.01,3.04,28000,3.04
2012-12-25,3.02,3.02,3.02,3.02,000,3.02
2012-12-24,3.02,3.03,3.02,3.02,14200,3.02
2012-12-21,3.03,3.03,3.03,3.03,3900,3.03
2012-12-20,3.03,3.04,3.02,3.03,19100,3.03
2012-12-19,3.05,3.05,3.03,3.03,47900,3.03
2012-12-18,3.04,3.05,3.04,3.05,29100,3.05
2012-12-17,3.05,3.06,3.04,3.04,36600,3.04
2012-12-14,3.04,3.07,3.04,3.06,20600,3.06
2012-12-13,3.05,3.07,3.05,3.06,347200,3.06
2012-12-12,3.04,3.06,3.03,3.05,41600,3.05
2012-12-11,3.08,3.08,3.04,3.04,38700,3.04
2012-12-10,3.07,3.10,3.07,3.09,18700,3.09
2012-12-07,3.05,3.07,3.03,3.07,27000,3.07
2012-12-06,3.05,3.06,3.04,3.04,41300,3.04
2012-12-05,3.03,3.06,3.02,3.05,61900,3.05
2012-12-04,3.10,3.10,3.05,3.05,91200,3.05
2012-12-03,3.15,3.17,3.10,3.15,15000,3.15
2012-11-30,3.17,3.18,3.17,3.17,1500,3.17
2012-11-29,3.19,3.19,3.17,3.18,24300,3.18
2012-11-28,3.16,3.20,3.16,3.19,20100,3.19
2012-11-27,3.20,3.20,3.18,3.19,26500,3.19
2012-11-26,3.24,3.24,3.16,3.17,10100,3.17
2012-11-23,3.25,3.26,3.20,3.20,22400,3.20
2012-11-22,3.28,3.28,3.20,3.21,42900,3.21
2012-11-21,3.31,3.38,3.20,3.30,103400,3.30
2012-11-20,3.32,3.50,3.25,3.32,234400,3.32
2012-11-19,3.02,3.03,3.02,3.03,6600,3.03
2012-11-16,3.01,3.03,3.01,3.03,41400,3.03
2012-11-15,3.03,3.04,3.01,3.02,45800,3.02
2012-11-14,3.05,3.05,3.03,3.03,1500,3.03
2012-11-13,3.08,3.08,3.08,3.08,000,3.08
2012-11-12,3.10,3.10,3.08,3.08,13700,3.08
2012-11-09,3.11,3.11,3.10,3.11,27500,3.06
2012-11-08,3.12,3.12,3.10,3.10,5200,3.05
2012-11-07,3.12,3.13,3.11,3.12,16100,3.07
2012-11-06,3.11,3.13,3.10,3.13,20000,3.08
2012-11-05,3.11,3.14,3.11,3.11,19300,3.06
2012-11-02,3.15,3.18,3.11,3.15,69700,3.10
2012-11-01,3.12,3.15,3.12,3.15,9500,3.10
2012-10-31,3.10,3.13,3.10,3.13,4600,3.08
2012-10-30,3.12,3.12,3.12,3.12,000,3.07
2012-10-29,3.12,3.12,3.12,3.12,7100,3.07
2012-10-26,3.13,3.13,3.13,3.13,000,3.08
2012-10-25,3.12,3.15,3.12,3.13,12900,3.08
2012-10-24,3.18,3.18,3.11,3.12,1400,3.07
2012-10-23,3.16,3.20,3.15,3.15,14300,3.10
2012-10-22,3.15,3.18,3.15,3.18,17200,3.13
2012-10-19,3.13,3.18,3.13,3.18,2500,3.13
2012-10-18,3.15,3.15,3.15,3.15,1400,3.10
2012-10-17,3.14,3.15,3.14,3.15,6000,3.10
2012-10-16,3.18,3.21,3.14,3.14,10900,3.09
2012-10-15,3.19,3.19,3.16,3.19,8500,3.14
2012-10-12,3.21,3.21,3.20,3.20,1100,3.15
