Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.03,0.03,0.03,0.03,000,0.03
2013-06-03,0.03,0.03,0.03,0.03,150000,0.03
2013-05-31,0.03,0.03,0.03,0.03,3010000,0.03
2013-05-30,0.03,0.03,0.03,0.03,886000,0.03
2013-05-29,0.03,0.03,0.03,0.03,1284000,0.03
2013-05-28,0.03,0.03,0.03,0.03,220000,0.03
2013-05-27,0.03,0.03,0.03,0.03,88000,0.03
2013-05-24,0.03,0.03,0.03,0.03,000,0.03
2013-05-23,0.03,0.03,0.03,0.03,1132000,0.03
2013-05-22,0.03,0.03,0.03,0.03,2212000,0.03
2013-05-21,0.03,0.03,0.03,0.03,1290000,0.03
2013-05-20,0.03,0.03,0.03,0.03,13000,0.03
2013-05-17,0.03,0.03,0.03,0.03,900000,0.03
2013-05-16,0.03,0.03,0.03,0.03,000,0.03
2013-05-15,0.03,0.03,0.03,0.03,120000,0.03
2013-05-14,0.03,0.03,0.03,0.03,192000,0.03
2013-05-13,0.03,0.03,0.03,0.03,360000,0.03
2013-05-10,0.03,0.03,0.03,0.03,000,0.03
2013-05-09,0.03,0.03,0.03,0.03,112000,0.03
2013-05-08,0.03,0.03,0.03,0.03,825000,0.03
2013-05-07,0.03,0.03,0.03,0.03,1196000,0.03
2013-05-06,0.03,0.03,0.03,0.03,748000,0.03
2013-05-03,0.03,0.03,0.03,0.03,000,0.03
2013-05-02,0.03,0.03,0.03,0.03,000,0.03
2013-05-01,0.03,0.03,0.03,0.03,000,0.03
2013-04-30,0.03,0.03,0.03,0.03,500000,0.03
2013-04-29,0.03,0.03,0.03,0.03,1806000,0.03
2013-04-26,0.03,0.03,0.03,0.03,150000,0.03
2013-04-25,0.03,0.03,0.03,0.03,492000,0.03
2013-04-24,0.03,0.03,0.03,0.03,400000,0.03
2013-04-23,0.03,0.03,0.03,0.03,100000,0.03
2013-04-22,0.03,0.03,0.03,0.03,950000,0.03
2013-04-19,0.03,0.03,0.03,0.03,3860000,0.03
2013-04-18,0.03,0.03,0.03,0.03,2979000,0.03
2013-04-17,0.03,0.03,0.03,0.03,2539000,0.03
2013-04-16,0.03,0.03,0.03,0.03,705000,0.03
2013-04-15,0.03,0.03,0.03,0.03,000,0.03
2013-04-12,0.03,0.03,0.03,0.03,1115000,0.03
2013-04-11,0.03,0.03,0.03,0.03,500000,0.03
2013-04-10,0.03,0.03,0.03,0.03,2770000,0.03
