Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,107.25,107.30,107.25,107.26,2100,107.26
2013-06-03,107.35,107.40,107.30,107.40,1500,107.40
2013-05-31,107.30,107.40,107.30,107.32,900,107.32
2013-05-30,107.40,107.60,107.00,107.30,7300,107.30
2013-05-29,107.35,107.35,107.35,107.35,400,107.35
2013-05-28,107.15,107.20,107.15,107.15,6300,107.15
2013-05-27,107.75,107.85,107.00,107.00,4600,107.00
2013-05-23,107.80,107.80,107.71,107.71,4500,107.71
2013-05-22,107.87,107.95,107.87,107.95,1500,107.95
2013-05-21,107.82,107.90,107.82,107.86,700,107.86
2013-05-20,107.83,107.85,107.82,107.82,900,107.82
2013-05-17,107.85,107.85,107.82,107.82,1600,107.82
2013-05-16,108.00,108.00,107.72,107.72,2700,107.72
2013-05-15,107.82,107.82,107.80,107.81,1800,107.81
2013-05-14,108.00,108.00,107.82,107.82,600,107.82
2013-05-13,107.81,107.81,107.80,107.80,1500,107.80
2013-05-10,107.80,107.80,107.80,107.80,200,107.80
2013-05-09,107.70,107.80,107.70,107.80,2500,107.80
2013-05-08,107.70,107.76,107.70,107.70,3400,107.70
2013-05-07,107.50,107.80,107.50,107.51,1600,107.51
2013-05-06,109.64,109.77,109.64,109.75,1000,109.73
2013-05-03,109.60,109.60,109.60,109.60,900,109.58
2013-05-02,109.70,109.70,109.60,109.60,1200,109.58
2013-04-30,109.50,109.60,109.50,109.60,1900,109.58
2013-04-29,109.40,109.50,109.40,109.50,500,109.48
2013-04-26,109.12,109.50,109.12,109.40,500,109.38
2013-04-25,109.10,109.11,109.10,109.11,300,109.09
2013-04-24,109.10,109.10,109.10,109.10,500,109.08
2013-04-23,109.00,109.00,109.00,109.00,200,108.98
2013-04-22,108.91,108.91,108.91,108.91,200,108.89
2013-04-19,109.25,109.40,108.90,108.90,4100,108.88
2013-04-18,109.30,109.30,109.30,109.30,1400,109.28
2013-04-17,109.20,109.30,109.20,109.30,900,109.28
2013-04-16,109.40,109.40,109.30,109.30,1400,109.28
2013-04-15,109.20,109.50,109.20,109.50,2100,109.48
2013-04-12,109.30,109.30,109.20,109.20,2400,109.18
2013-04-11,109.20,109.20,109.10,109.10,900,109.08
2013-04-10,109.00,109.20,109.00,109.10,900,109.08
2013-04-09,108.90,109.10,108.90,109.10,1500,109.08
2013-04-08,108.98,109.00,108.82,108.82,500,108.80
2013-04-05,108.88,108.88,108.88,108.88,500,108.86
2013-04-04,109.00,109.00,108.90,108.90,1300,108.88
2013-04-03,108.65,108.90,108.65,108.90,200,108.88
2013-04-02,108.63,108.63,108.63,108.63,100,108.61
2013-04-01,108.31,109.78,108.31,109.58,1000,109.56
2013-03-28,108.00,108.00,108.00,108.00,200,107.98
2013-03-27,108.80,108.80,108.80,108.80,300,108.78
2013-03-25,108.60,109.00,108.60,108.80,1400,108.78
2013-03-22,108.50,108.50,108.50,108.50,2400,108.48
2013-03-21,108.50,108.50,108.50,108.50,300,108.48
2013-03-20,108.40,108.40,108.30,108.30,700,108.28
2013-03-19,108.80,108.80,108.50,108.50,1000,108.48
2013-03-18,108.35,108.80,108.35,108.80,1000,108.78
2013-03-14,108.20,108.30,108.20,108.30,1600,108.28
2013-03-13,108.42,108.42,108.02,108.10,10700,108.08
2013-03-12,108.46,108.46,108.43,108.43,1900,108.41
2013-03-11,108.42,108.50,108.42,108.50,2600,108.48
2013-03-08,108.45,108.45,108.40,108.45,1700,108.43
2013-03-07,108.40,108.42,108.40,108.42,1000,108.40
2013-03-06,108.31,108.40,108.31,108.40,1300,108.38
2013-03-05,108.31,108.31,108.31,108.31,200,108.29
2013-03-04,108.20,108.39,108.19,108.21,600,108.19
2013-03-01,108.40,108.40,108.40,108.40,300,108.38
2013-02-28,108.22,108.30,108.22,108.30,600,108.28
2013-02-27,108.20,108.26,108.20,108.26,300,108.24
2013-02-26,108.40,108.45,108.40,108.45,1600,108.43
2013-02-25,108.40,108.40,108.40,108.40,300,108.38
2013-02-22,108.40,108.40,108.40,108.40,1800,108.38
2013-02-21,108.55,108.55,108.43,108.43,800,108.41
2013-02-20,108.55,108.55,108.50,108.54,900,108.52
2013-02-19,108.48,108.50,108.45,108.45,1800,108.43
2013-02-18,108.36,108.48,108.36,108.48,700,108.46
2013-02-15,108.36,108.36,108.36,108.36,500,108.34
2013-02-14,108.40,108.50,108.40,108.50,3200,108.48
2013-02-13,108.28,108.40,108.28,108.40,600,108.38
2013-02-08,108.10,108.28,108.02,108.28,1500,108.26
2013-02-07,107.80,107.90,107.80,107.90,500,107.88
2013-02-06,108.20,108.25,107.30,107.30,3300,107.28
2013-02-05,108.10,108.20,108.10,108.20,1000,108.18
2013-02-04,108.20,108.50,108.15,108.40,2100,108.38
2013-02-01,108.25,108.25,108.14,108.14,600,108.12
2013-01-31,108.20,108.20,108.01,108.20,2400,108.18
2013-01-30,108.20,108.24,108.12,108.24,3100,108.22
2013-01-29,108.00,108.20,108.00,108.20,2900,108.18
2013-01-28,107.90,108.00,107.90,108.00,2900,107.98
2013-01-25,107.95,108.20,107.90,108.20,6400,108.18
2013-01-24,108.40,108.40,107.95,107.95,300,107.93
2013-01-23,107.90,107.91,107.90,107.91,600,107.89
2013-01-22,107.90,108.00,107.90,107.90,3800,107.88
2013-01-21,108.30,108.50,108.30,108.30,500,108.28
2013-01-18,107.90,108.10,107.90,108.10,1200,108.08
2013-01-17,108.00,108.10,107.90,108.00,2900,107.98
2013-01-16,107.90,107.90,107.90,107.90,900,107.88
2013-01-15,107.80,107.90,107.80,107.90,500,107.88
2013-01-14,107.70,107.80,107.60,107.80,1500,107.78
2013-01-11,108.00,108.00,107.70,107.70,2000,107.68
2013-01-10,107.75,107.95,107.70,107.80,2400,107.78
2013-01-09,107.98,107.98,107.75,107.75,1600,107.73
2013-01-08,107.90,107.95,107.72,107.95,1500,107.93
2013-01-07,108.00,108.00,107.90,107.90,1400,107.88
2013-01-04,107.57,108.00,107.57,107.80,2900,107.78
2013-01-03,108.03,108.05,107.77,107.77,1200,107.75
2013-01-02,107.99,108.04,107.99,108.03,4700,108.01
2012-12-31,107.08,108.04,107.08,108.03,600,108.01
2012-12-28,107.64,108.10,107.64,108.06,4700,108.04
2012-12-27,107.50,107.84,107.50,107.84,600,107.82
2012-12-26,107.60,107.60,107.46,107.50,900,107.48
2012-12-24,108.40,108.40,107.70,107.80,1200,107.78
2012-12-21,106.80,106.90,106.80,106.90,300,106.88
2012-12-20,106.90,106.98,106.90,106.98,2000,106.96
2012-12-19,106.90,107.00,106.90,107.00,4400,106.98
2012-12-18,106.90,106.90,106.90,106.90,600,106.88
2012-12-17,106.80,107.00,106.80,107.00,2100,106.98
2012-12-14,106.52,106.80,106.52,106.60,1100,106.58
2012-12-13,106.45,106.60,106.45,106.60,400,106.58
2012-12-12,106.30,106.40,106.30,106.40,900,106.38
2012-12-11,106.25,106.35,106.25,106.26,1200,106.24
2012-12-10,106.40,106.40,106.25,106.25,2000,106.23
2012-12-07,106.40,106.40,106.30,106.30,1200,106.28
2012-12-06,106.20,106.30,106.20,106.22,1000,106.20
2012-12-05,106.43,106.43,106.20,106.20,3100,106.18
2012-12-04,106.40,106.40,106.40,106.40,900,106.38
2012-12-03,106.00,106.40,105.91,106.40,800,106.38
2012-11-30,106.10,106.30,105.90,105.90,1500,105.88
2012-11-29,106.00,106.10,105.90,105.91,9100,105.89
2012-11-28,106.40,106.40,105.80,105.80,6400,105.78
2012-11-27,106.30,106.30,106.30,106.30,400,106.28
2012-11-26,106.30,106.50,106.30,106.50,800,106.48
