Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,8.12,8.21,8.03,8.09,67800,8.09
2013-05-31,8.21,8.23,8.20,8.23,6400,8.23
2013-05-30,8.22,8.28,8.07,8.25,12300,8.25
2013-05-29,8.30,8.33,8.26,8.26,6000,8.26
2013-05-28,8.15,8.28,8.15,8.28,22000,8.28
2013-05-23,8.04,8.23,8.04,8.04,54700,8.04
2013-05-22,8.21,8.23,8.17,8.20,6500,8.20
2013-05-21,8.26,8.26,8.18,8.21,38300,8.21
2013-05-20,7.85,8.22,7.85,8.18,5400,8.18
2013-05-17,7.89,8.11,7.89,8.11,15400,8.11
2013-05-16,7.78,7.88,7.76,7.88,48700,7.88
2013-05-15,7.86,7.86,7.78,7.78,61400,7.78
2013-05-14,7.95,7.96,7.77,7.77,33700,7.77
2013-05-13,8.22,8.22,8.22,8.22,300,8.22
2013-05-10,7.97,7.97,7.97,7.97,11500,7.97
2013-05-09,8.14,8.14,7.96,8.01,45800,8.01
2013-05-08,7.89,8.02,7.89,7.98,30200,7.98
2013-05-07,7.79,7.92,7.79,7.92,1300,7.92
2013-05-06,7.63,7.93,7.63,7.91,42300,7.91
2013-05-03,7.51,7.83,7.51,7.79,16600,7.79
2013-05-02,7.69,7.69,7.65,7.66,1300,7.66
2013-04-30,7.62,7.66,7.62,7.66,10100,7.66
2013-04-29,7.64,7.65,7.58,7.65,24600,7.65
2013-04-26,7.67,7.75,7.67,7.67,9200,7.67
2013-04-25,7.80,7.80,7.72,7.72,52300,7.72
2013-04-24,7.55,7.83,7.54,7.83,83600,7.83
2013-04-23,7.72,7.89,7.72,7.72,9100,7.72
2013-04-22,7.66,8.00,7.66,7.90,67600,7.90
2013-04-19,7.75,7.95,7.71,7.92,142400,7.92
2013-04-18,7.58,7.72,7.58,7.72,70700,7.72
2013-04-17,7.46,7.74,7.46,7.67,55700,7.67
2013-04-16,7.58,7.65,7.52,7.62,76700,7.62
2013-04-15,7.73,7.73,7.57,7.58,196400,7.58
2013-04-12,7.77,7.80,7.73,7.73,171400,7.73
2013-04-11,7.91,7.91,7.77,7.80,406500,7.80
2013-04-10,7.87,7.91,7.75,7.91,101600,7.91
2013-04-09,7.76,7.79,7.76,7.77,27100,7.77
2013-04-08,7.58,7.71,7.58,7.69,50300,7.69
2013-04-05,7.72,7.81,7.57,7.60,133600,7.60
2013-04-04,7.71,7.75,7.71,7.75,6500,7.75
2013-04-03,7.85,7.85,7.77,7.77,24500,7.77
2013-04-02,7.80,7.83,7.73,7.80,88300,7.80
2013-04-01,8.15,8.15,7.77,7.80,61700,7.80
2013-03-28,8.07,8.07,7.84,7.85,144000,7.85
2013-03-27,8.28,8.28,8.08,8.09,10900,8.09
2013-03-26,8.32,8.32,8.16,8.16,2200,8.16
2013-03-25,8.28,8.28,8.16,8.18,23200,8.18
2013-03-22,8.14,8.22,8.14,8.20,29600,8.20
2013-03-21,8.15,8.22,8.15,8.18,30500,8.18
2013-03-20,7.95,8.11,7.95,8.09,37600,8.09
2013-03-19,7.85,7.90,7.83,7.90,22500,7.90
2013-03-18,7.80,7.91,7.80,7.87,104300,7.87
2013-03-15,7.90,8.16,7.88,7.93,70600,7.93
2013-03-14,8.03,8.03,7.88,7.92,25200,7.92
2013-03-13,7.98,7.98,7.92,7.95,25400,7.95
2013-03-11,8.20,8.20,8.07,8.08,117800,8.08
2013-03-08,8.21,8.32,8.21,8.26,3700,8.26
2013-03-07,8.35,8.35,8.20,8.28,31900,8.28
2013-03-06,8.30,8.35,8.27,8.35,21200,8.35
2013-03-05,8.05,8.26,8.00,8.26,67900,8.26
2013-03-04,8.43,8.43,7.99,8.06,180100,8.06
2013-03-01,8.36,8.40,8.30,8.40,44200,8.40
2013-02-28,8.26,8.42,8.26,8.40,36400,8.40
2013-02-27,8.00,8.11,8.00,8.09,5000,8.09
2013-02-26,8.16,8.19,8.01,8.05,131900,8.05
2013-02-25,8.16,8.23,8.14,8.18,50500,8.18
2013-02-22,8.16,8.22,8.15,8.16,24000,8.16
2013-02-21,8.44,8.47,8.13,8.19,97200,8.19
2013-02-19,8.65,8.66,8.41,8.41,58500,8.41
2013-02-18,8.78,8.78,8.62,8.64,28700,8.64
2013-02-15,8.87,8.87,8.75,8.76,25200,8.76
2013-02-14,8.71,8.75,8.66,8.73,68400,8.73
2013-02-13,8.87,8.87,8.68,8.68,13200,8.68
2013-02-08,8.69,8.69,8.68,8.68,1200,8.68
2013-02-07,8.72,8.72,8.63,8.65,54500,8.65
2013-02-06,8.64,8.76,8.64,8.73,21400,8.73
2013-02-05,8.69,8.69,8.60,8.69,7700,8.69
2013-02-04,8.84,8.84,8.69,8.71,72900,8.71
2013-02-01,8.55,8.70,8.55,8.66,92400,8.66
2013-01-31,8.58,8.58,8.56,8.56,16000,8.56
2013-01-30,8.55,8.58,8.55,8.58,24400,8.58
2013-01-29,8.50,8.51,8.48,8.51,37400,8.51
2013-01-28,8.23,8.46,8.23,8.46,10000,8.46
2013-01-25,8.34,8.34,8.20,8.21,70400,8.21
2013-01-24,8.30,8.39,8.17,8.28,36400,8.28
2013-01-23,8.35,8.36,8.25,8.25,57600,8.25
2013-01-22,8.40,8.40,8.37,8.37,29600,8.37
2013-01-21,8.35,8.41,8.31,8.41,123200,8.41
2013-01-18,8.23,8.33,8.19,8.25,68000,8.25
2013-01-17,8.25,8.27,8.15,8.15,18300,8.15
2013-01-16,8.38,8.38,8.13,8.21,10000,8.21
2013-01-15,8.30,8.33,8.30,8.33,15600,8.33
2013-01-14,8.12,8.24,8.02,8.24,932400,8.24
2013-01-11,8.26,8.26,8.07,8.08,11300,8.08
2013-01-10,8.27,8.30,8.20,8.20,56900,8.20
2013-01-09,8.30,8.30,8.16,8.25,138300,8.25
2013-01-08,8.33,8.34,8.19,8.23,136200,8.23
2013-01-07,8.29,8.29,8.20,8.26,42400,8.26
2013-01-04,8.62,8.62,8.16,8.24,134100,8.24
2013-01-03,8.54,8.69,8.54,8.64,49900,8.64
2013-01-02,8.41,8.50,8.38,8.50,150600,8.50
2012-12-28,8.30,8.35,8.22,8.34,23700,8.34
2012-12-27,8.30,8.30,8.23,8.23,500,8.23
2012-12-26,8.23,8.26,8.22,8.24,6500,8.24
2012-12-24,8.13,8.13,7.99,7.99,26400,7.99
2012-12-21,8.07,8.07,7.97,7.98,32200,7.98
2012-12-20,8.10,8.10,7.94,8.07,289100,8.07
2012-12-19,8.08,8.08,7.96,7.99,76900,7.99
2012-12-18,8.47,8.47,7.88,7.97,269900,7.97
2012-12-17,7.88,7.90,7.75,7.85,174800,7.85
2012-12-14,7.35,7.72,7.35,7.72,12800,7.72
2012-12-13,7.42,7.43,7.35,7.35,46400,7.35
2012-12-12,7.45,7.46,7.40,7.44,70100,7.44
2012-12-11,7.45,7.55,7.37,7.38,181300,7.38
2012-12-10,7.30,7.44,7.30,7.40,57800,7.40
2012-12-07,7.27,7.27,7.11,7.25,54800,7.25
2012-12-06,7.15,7.18,7.06,7.18,38600,7.18
2012-12-05,6.87,7.30,6.83,7.30,272000,7.30
2012-12-04,6.75,6.80,6.73,6.80,167300,6.80
2012-12-03,6.84,6.86,6.75,6.75,29700,6.75
2012-11-30,6.88,6.88,6.77,6.84,37900,6.84
2012-11-29,7.00,7.00,6.74,6.83,139900,6.83
2012-11-28,6.82,7.18,6.74,7.18,57100,7.18
2012-11-27,7.00,7.00,6.87,6.88,7300,6.88
2012-11-26,7.04,7.04,6.97,6.97,6100,6.97
2012-11-23,6.97,7.18,6.97,7.04,231800,7.04
2012-11-22,7.06,7.23,6.94,6.95,77800,6.95
2012-11-21,6.97,7.05,6.88,7.05,373300,7.05
2012-11-20,7.03,7.03,6.90,6.90,30600,6.90
2012-11-19,7.08,7.23,6.90,7.00,392200,7.00
2012-11-16,7.08,7.08,6.94,6.95,297200,6.95
2012-11-15,7.40,7.40,7.00,7.05,280000,7.05
2012-11-14,7.27,7.27,7.07,7.15,329600,7.15
2012-11-12,7.30,7.30,7.09,7.17,9700,7.17
2012-11-09,7.09,7.18,7.09,7.15,299400,7.15
2012-11-08,7.30,7.30,7.15,7.15,286000,7.15
2012-11-07,7.26,7.26,7.22,7.26,16900,7.26
