Date,Open,High,Low,Close,Volume,Adj Close
2013-06-05,1.80,1.80,1.80,1.80,6000,1.80
2013-06-04,1.82,1.82,1.82,1.82,000,1.82
2013-05-06,2.00,2.00,1.89,1.89,12000,1.89
2013-03-04,1.85,1.85,1.85,1.85,100,1.85
2013-03-01,1.85,1.85,1.85,1.85,700,1.85
2013-02-04,1.88,1.88,1.88,1.88,16400,1.88
2013-01-21,1.86,1.86,1.86,1.86,5000,1.86
2013-01-10,1.88,1.88,1.88,1.88,2000,1.88
2013-01-04,1.87,1.87,1.87,1.87,4300,1.87
2013-01-02,1.86,1.86,1.86,1.86,3000,1.86
2012-11-06,1.73,1.73,1.73,1.73,66000,1.73
2012-10-22,1.72,1.72,1.72,1.72,66000,1.72
2012-09-20,1.72,1.72,1.72,1.72,1000,1.72
2012-08-21,1.67,1.67,1.67,1.67,2300,1.67
2012-08-08,1.67,1.67,1.67,1.67,4700,1.67
2012-08-03,1.63,1.63,1.63,1.63,13000,1.63
2012-07-26,1.58,1.58,1.58,1.58,46000,1.58
2012-07-25,1.56,1.56,1.56,1.56,66000,1.56
2012-07-24,1.65,1.65,1.65,1.65,1000,1.59
2012-06-27,1.63,1.63,1.63,1.63,5000,1.57
2012-06-18,1.64,1.64,1.64,1.64,99000,1.58
2012-06-04,1.55,1.55,1.55,1.55,1000,1.50
2012-06-01,1.60,1.60,1.60,1.60,33000,1.54
2012-05-31,1.60,1.60,1.60,1.60,33000,1.54
2012-05-22,1.80,1.80,1.65,1.65,8000,1.59
2012-03-20,1.76,1.76,1.76,1.76,100,1.70
2012-03-19,1.78,1.78,1.77,1.77,5100,1.70
2012-03-14,1.80,1.80,1.80,1.80,2500,1.73
2012-03-12,1.77,1.78,1.77,1.78,1100,1.71
2012-03-07,1.74,1.74,1.74,1.74,4500,1.68
2012-03-06,1.78,1.78,1.78,1.78,3000,1.71
2012-03-02,1.81,1.81,1.81,1.81,11500,1.75
2012-02-10,1.75,1.75,1.75,1.75,1700,1.68
2012-02-07,1.73,1.73,1.73,1.73,33000,1.67
2012-01-30,1.72,1.72,1.72,1.72,2000,1.66
2012-01-26,1.70,1.70,1.70,1.70,2300,1.64
2012-01-25,1.68,1.68,1.68,1.68,33000,1.62
2012-01-16,1.60,1.60,1.60,1.60,66000,1.55
2012-01-11,1.61,1.61,1.61,1.61,12500,1.55
2011-12-13,1.54,1.54,1.54,1.54,33000,1.48
2011-12-01,1.57,1.59,1.57,1.59,73000,1.53
2011-11-30,1.51,1.51,1.51,1.51,66000,1.46
2011-11-29,1.49,1.49,1.49,1.49,66000,1.44
2011-11-24,1.48,1.48,1.48,1.48,5000,1.43
2011-11-21,1.48,1.48,1.48,1.48,66000,1.43
2011-11-17,1.56,1.56,1.56,1.56,33000,1.51
2011-11-10,1.56,1.56,1.56,1.56,33000,1.50
2011-10-28,1.64,1.64,1.64,1.64,6100,1.58
2011-10-19,1.53,1.53,1.53,1.53,33000,1.47
2011-10-17,1.54,1.54,1.54,1.54,33000,1.49
2011-10-14,1.53,1.53,1.52,1.52,180000,1.47
2011-10-12,1.49,1.49,1.49,1.49,66000,1.43
2011-10-06,1.43,1.44,1.43,1.44,165000,1.39
2011-10-03,1.44,1.44,1.44,1.44,6700,1.39
2011-09-29,1.47,1.49,1.47,1.49,99000,1.44
2011-09-23,1.45,1.45,1.45,1.45,99000,1.39
2011-09-22,1.53,1.53,1.53,1.53,34000,1.48
2011-09-21,1.56,1.56,1.56,1.56,99000,1.51
2011-09-20,1.56,1.56,1.56,1.56,5000,1.51
2011-09-15,1.59,1.59,1.59,1.59,33000,1.53
2011-09-14,1.58,1.59,1.58,1.59,165000,1.53
2011-09-13,1.58,1.58,1.58,1.58,100000,1.52
2011-09-01,1.70,1.70,1.70,1.70,10000,1.63
2011-08-31,1.69,1.69,1.69,1.69,50000,1.63
2011-08-29,1.65,1.65,1.65,1.65,33000,1.59
2011-08-26,1.62,1.62,1.62,1.62,33000,1.56
2011-08-24,1.62,1.62,1.62,1.62,66000,1.57
2011-08-23,1.42,1.42,1.42,1.42,50000,1.37
2011-08-16,1.67,1.67,1.67,1.67,5000,1.61
2011-07-27,1.84,1.84,1.84,1.84,5500,1.77
2011-07-20,1.80,1.80,1.80,1.80,3600,1.73
2011-07-04,1.82,1.82,1.82,1.82,60000,1.76
2011-07-01,1.80,1.80,1.80,1.80,50000,1.73
2011-06-29,1.76,1.76,1.76,1.76,5700,1.70
2011-06-20,1.75,1.75,1.75,1.75,13000,1.68
2011-06-03,1.82,1.82,1.82,1.82,5000,1.75
2011-05-24,1.78,1.78,1.78,1.78,8400,1.71
2011-05-11,1.83,1.83,1.83,1.83,28000,1.76
