Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,3.63,3.63,3.60,3.60,000,3.60
2013-05-27,3.66,3.66,3.66,3.66,1300,3.66
2013-05-06,3.81,3.81,3.81,3.81,000,3.81
2013-04-30,3.78,3.78,3.78,3.78,1000,3.78
2013-04-18,3.62,3.62,3.62,3.62,2700,3.62
2013-04-05,3.62,3.62,3.62,3.62,400,3.62
2013-04-04,3.67,3.67,3.67,3.67,000,3.67
2013-03-27,3.71,3.71,3.71,3.71,500,3.71
2013-03-25,3.75,3.75,3.75,3.75,500,3.75
2013-03-07,3.76,3.76,3.76,3.76,800,3.76
2013-03-04,3.76,3.76,3.76,3.76,1000,3.76
2013-03-01,3.76,3.76,3.76,3.76,1000,3.76
2013-02-26,3.76,3.76,3.76,3.76,300,3.76
2013-02-25,3.75,3.75,3.75,3.75,2900,3.75
2013-02-19,3.77,3.77,3.77,3.77,31700,3.77
2013-02-04,3.76,3.76,3.76,3.76,000,3.76
2013-01-21,3.76,3.76,3.73,3.73,20100,3.73
2013-01-07,3.71,3.71,3.71,3.71,000,3.71
2012-12-27,3.61,3.61,3.61,3.61,000,3.61
2012-12-21,3.61,3.61,3.61,3.61,000,3.61
2012-12-12,3.61,3.61,3.61,3.61,2400,3.61
2012-12-03,3.52,3.52,3.52,3.52,000,3.52
2012-11-01,3.43,3.43,3.43,3.43,000,3.43
2012-10-16,3.43,3.43,3.43,3.43,1800,3.43
2012-10-01,3.41,3.42,3.41,3.42,10000,3.42
2012-09-19,3.41,3.41,3.41,3.41,1000,3.41
2012-09-03,3.24,3.24,3.24,3.24,000,3.24
2012-08-24,3.28,3.29,3.28,3.29,33000,3.29
2012-08-23,3.33,3.33,3.33,3.33,5000,3.33
2012-08-14,3.31,3.31,3.31,3.31,000,3.31
2012-07-27,3.13,3.15,3.13,3.15,33000,3.15
2012-06-27,3.03,3.06,3.03,3.05,35000,3.05
2012-06-11,3.22,3.22,3.09,3.09,300,3.09
2012-05-09,3.24,3.24,3.23,3.23,2000,3.23
2012-05-07,3.32,3.32,3.27,3.27,1000,3.27
2012-04-25,3.32,3.32,3.32,3.32,2000,3.32
2012-04-05,3.34,3.34,3.34,3.34,2000,3.34
2012-03-27,3.36,3.36,3.36,3.36,2000,3.36
2012-03-09,3.36,3.36,3.36,3.36,16700,3.36
2012-03-08,3.35,3.35,3.35,3.35,16500,3.35
2012-03-06,3.38,3.38,3.34,3.34,18500,3.34
2012-03-05,3.40,3.40,3.40,3.40,16500,3.40
2012-03-02,3.44,3.44,3.44,3.44,16500,3.44
2012-02-21,3.43,3.43,3.43,3.43,16500,3.43
2012-02-16,3.38,3.38,3.38,3.38,16500,3.38
2012-02-07,3.37,3.37,3.36,3.36,35400,3.36
2012-02-06,3.38,3.38,3.38,3.38,16500,3.38
2012-02-03,3.34,3.34,3.33,3.33,25700,3.33
2012-02-02,3.32,3.33,3.32,3.33,49500,3.33
2012-01-25,3.25,3.25,3.25,3.25,10000,3.25
2012-01-18,3.14,3.14,3.14,3.14,16500,3.14
2012-01-16,3.05,3.05,3.05,3.05,20000,3.05
2012-01-12,3.07,3.07,3.07,3.07,16500,3.07
2012-01-06,2.99,2.99,2.99,2.99,10000,2.99
2012-01-03,3.03,3.03,3.03,3.03,16500,3.03
