Date,Open,High,Low,Close,Volume,Adj Close
2013-05-30,57.95,57.98,57.95,57.98,200,57.98
2013-05-23,58.60,58.60,56.52,56.52,400,56.52
2013-05-22,58.37,58.37,58.37,58.37,300,58.37
2013-05-20,57.65,57.65,57.65,57.65,000,57.65
2013-05-15,57.37,57.37,57.37,57.37,1000,57.37
2013-05-14,57.22,57.22,57.22,57.22,200,57.22
2013-05-13,56.19,56.19,56.17,56.17,000,56.17
2013-05-10,58.29,58.29,56.68,56.77,1300,56.77
2013-05-09,58.60,58.80,58.60,58.80,300,58.80
2013-05-06,58.51,58.51,58.31,58.31,100,58.31
2013-05-03,58.05,58.05,58.05,58.05,000,58.05
2013-04-25,56.27,56.65,56.27,56.65,100,56.65
2013-04-24,55.90,55.90,55.90,55.90,100,55.90
2013-04-19,54.90,54.90,54.90,54.90,000,54.90
2013-04-18,55.19,55.22,55.19,55.19,200,55.19
2013-04-17,56.59,56.59,56.59,56.59,000,56.59
2013-04-16,55.50,56.15,55.50,56.15,600,56.15
2013-04-15,56.38,56.38,55.46,55.46,000,55.46
2013-04-11,56.58,56.58,56.58,56.58,300,56.58
2013-04-10,56.00,56.00,56.00,56.00,000,56.00
2013-04-09,55.38,55.38,55.00,55.00,400,55.00
2013-04-08,55.70,55.70,55.37,55.37,400,55.37
2013-04-05,56.47,56.47,55.84,55.84,100,55.84
2013-04-04,56.90,56.90,56.90,56.90,000,56.90
2013-04-03,57.91,57.91,57.90,57.90,100,57.90
2013-04-02,58.80,58.80,58.80,58.80,000,58.80
2013-02-26,60.87,61.04,60.87,61.04,000,61.04
2013-02-25,61.81,61.81,61.81,61.81,100,61.81
2013-02-22,61.81,61.81,61.81,61.81,100,61.81
2013-02-20,62.20,62.20,62.20,62.20,000,62.20
2013-02-18,60.54,60.54,60.54,60.54,100,60.54
2013-02-13,60.00,60.00,60.00,60.00,100,60.00
2013-02-05,58.68,58.68,58.48,58.48,000,58.48
2013-01-29,59.24,59.26,59.24,59.26,100,59.26
2013-01-28,58.82,58.82,58.42,58.42,100,58.42
2013-01-25,59.72,59.72,59.32,59.32,1200,59.32
2013-01-24,60.41,60.52,60.32,60.32,1000,60.32
2013-01-17,61.27,61.27,61.27,61.27,000,61.27
2013-01-10,61.96,62.42,61.96,62.42,300,62.42
2013-01-08,62.34,62.34,62.34,62.34,500,62.34
2013-01-07,62.52,62.60,62.32,62.60,100,62.60
2013-01-04,62.36,62.36,62.35,62.35,000,62.35
2013-01-03,63.24,63.24,63.24,63.24,700,63.24
2013-01-02,62.00,63.92,62.00,63.85,3600,63.85
2012-12-28,61.39,61.67,61.39,61.67,3400,61.67
2012-12-14,61.20,61.20,61.20,61.20,100,61.20
2012-12-13,61.14,61.15,61.14,61.15,100,61.15
2012-11-30,58.50,58.55,58.50,58.55,900,58.55
2012-11-23,57.44,57.44,57.44,57.44,800,57.44
2012-11-20,56.62,56.65,56.54,56.54,100,56.54
2012-11-16,55.83,55.83,55.63,55.63,000,55.63
2012-11-15,55.90,56.03,55.90,56.03,000,56.03
2012-11-09,56.55,56.55,56.47,56.47,900,56.47
2012-11-08,57.03,57.03,56.78,56.92,8300,56.92
2012-11-07,57.99,58.10,57.99,58.10,6400,58.10
2012-11-06,57.16,57.16,57.16,57.16,800,57.16
2012-11-05,56.63,56.63,56.63,56.63,800,56.63
2012-11-01,56.27,56.27,56.17,56.17,000,56.17
2012-10-31,56.78,57.05,56.78,57.05,3600,57.05
2012-10-30,56.78,56.78,56.78,56.78,800,56.78
2012-10-29,56.10,56.10,55.93,55.93,000,55.93
2012-10-25,56.41,56.98,56.41,56.98,8900,56.98
2012-10-24,56.08,56.08,55.80,55.80,1000,55.80
2012-10-23,56.43,56.44,56.40,56.40,1700,56.40
2012-10-22,56.58,56.58,56.45,56.45,000,56.45
2012-10-18,57.74,57.74,57.70,57.70,800,57.70
2012-10-17,57.64,57.65,57.64,57.65,100,57.65
2012-10-16,56.88,56.88,56.88,56.88,800,56.88
2012-10-15,56.27,56.27,56.27,56.27,800,56.27
2012-10-12,56.41,56.41,56.15,56.15,1700,56.15
2012-10-10,57.24,57.24,56.86,56.86,100,56.86
2012-10-08,58.18,58.18,58.18,58.18,800,58.18
2012-10-05,58.82,58.82,58.66,58.66,1700,58.66
2012-10-04,58.61,58.61,58.58,58.58,1700,58.58
2012-10-03,58.30,58.30,58.30,58.30,1700,58.30
2012-10-01,58.18,58.20,58.18,58.20,1700,58.20
2012-09-28,58.39,58.39,58.39,58.39,800,58.39
2012-09-24,57.74,57.74,57.74,57.74,800,57.74
2012-09-21,58.36,58.36,58.36,58.36,800,58.36
2012-09-19,58.49,58.49,58.49,58.49,800,58.49
2012-09-18,58.62,58.63,58.53,58.53,2600,58.53
2012-09-17,58.80,58.80,58.80,58.80,800,58.80
2012-09-14,58.28,59.02,58.28,58.86,4300,58.86
2012-09-12,56.55,56.55,56.54,56.54,200,56.54
2012-09-07,55.24,55.36,55.24,55.35,1100,55.35
2012-09-06,53.89,53.89,53.89,53.89,800,53.89
2012-09-05,54.22,54.22,53.52,53.52,1100,53.52
2012-09-03,54.30,54.30,54.30,54.30,800,54.30
2012-08-29,55.36,55.64,55.36,55.45,8000,55.45
2012-08-28,54.96,55.19,54.96,55.19,900,55.19
