Date,Open,High,Low,Close,Volume,Adj Close
2013-05-16,1.41,1.41,1.41,1.41,142000,1.41
2013-05-15,1.39,1.39,1.39,1.39,1000,1.39
2013-05-14,1.40,1.40,1.40,1.40,71400,1.40
2013-04-16,1.33,1.33,1.33,1.33,2200,1.33
2013-04-15,1.34,1.34,1.33,1.33,1000,1.33
2013-04-12,1.34,1.34,1.34,1.34,100,1.34
2013-04-10,1.33,1.33,1.33,1.33,3500,1.33
2013-03-12,1.32,1.32,1.32,1.32,600,1.32
2013-02-14,1.33,1.33,1.33,1.33,2500,1.33
2013-02-08,1.31,1.32,1.31,1.32,26900,1.32
2012-12-06,1.24,1.24,1.24,1.24,500,1.24
2012-11-22,1.21,1.21,1.21,1.21,15000,1.21
2012-11-19,1.19,1.19,1.19,1.19,10000,1.19
2012-10-29,1.23,1.23,1.23,1.23,10000,1.23
2012-09-21,1.40,1.40,1.25,1.25,29000,1.25
2012-09-17,1.26,1.26,1.26,1.26,569000,1.26
2012-09-14,1.25,1.25,1.25,1.25,49000,1.25
2012-08-24,1.20,1.20,1.20,1.20,25000,1.20
2012-08-22,1.20,1.20,1.20,1.20,50000,1.20
2012-08-15,1.21,1.21,1.20,1.20,75000,1.20
2012-08-03,1.19,1.20,1.19,1.20,150000,1.20
2012-07-30,1.19,1.19,1.19,1.19,3000,1.19
2012-07-23,1.17,1.17,1.17,1.17,99000,1.17
2012-07-20,1.18,1.18,1.18,1.18,50000,1.18
2012-07-19,1.18,1.18,1.18,1.18,49000,1.18
2012-07-17,1.30,1.30,1.17,1.17,18000,1.17
2012-07-11,1.14,1.14,1.14,1.14,98000,1.14
2012-07-02,1.08,1.08,1.08,1.08,580000,1.08
2012-06-26,1.08,1.09,1.08,1.08,586400,1.08
2012-06-25,1.08,1.08,1.08,1.08,79000,1.08
2012-06-14,1.06,1.06,1.06,1.06,360000,1.06
2012-05-24,1.06,1.06,1.06,1.06,500,1.06
2012-05-09,1.13,1.13,1.13,1.13,3300,1.13
2012-05-07,1.15,1.15,1.14,1.14,25000,1.14
2012-04-25,1.15,1.15,1.15,1.15,25000,1.15
2012-04-16,1.15,1.15,1.14,1.14,000,1.14
2012-04-13,1.17,1.17,1.16,1.16,98000,1.16
2012-03-20,1.15,1.15,1.15,1.15,100,1.15
2012-03-12,1.13,1.13,1.13,1.13,1000,1.13
2012-03-09,1.14,1.14,1.14,1.14,25000,1.14
2012-03-08,1.15,1.15,1.12,1.14,25100,1.14
2012-02-29,1.16,1.16,1.16,1.16,000,1.16
2012-02-24,1.15,1.15,1.15,1.15,3200,1.15
2012-02-17,1.15,1.15,1.15,1.15,000,1.15
2012-02-10,1.13,1.13,1.13,1.13,3000,1.13
2012-01-30,1.11,1.11,1.11,1.11,100,1.11
2012-01-27,1.09,1.09,1.09,1.09,2000,1.09
2012-01-09,0.98,0.98,0.98,0.98,000,0.98
