Date,Open,High,Low,Close,Volume,Adj Close
2013-05-28,27.18,27.18,27.18,27.18,500,27.18
2013-05-23,26.84,26.84,26.84,26.84,400,26.84
2013-05-07,26.37,26.38,26.37,26.38,800,26.38
2013-04-22,25.50,25.50,25.50,25.50,000,25.50
2013-04-09,25.55,25.55,25.53,25.53,3100,25.53
2013-04-08,25.40,25.40,25.40,25.40,100,25.40
2013-04-04,25.40,25.40,25.40,25.40,300,25.40
2013-04-02,25.59,25.59,25.59,25.59,000,25.59
2013-03-28,25.51,25.51,25.51,25.51,000,25.51
2013-03-22,25.17,25.17,25.14,25.14,6000,25.14
2013-03-21,26.79,26.79,25.50,25.50,1400,25.50
2013-03-18,25.16,25.16,25.16,25.16,200,25.16
2013-03-12,25.43,25.43,25.43,25.43,000,25.43
2013-03-11,25.37,25.37,25.37,25.37,500,25.37
2013-03-08,25.26,25.26,25.26,25.26,300,25.26
2013-03-06,25.20,25.20,25.20,25.20,000,25.20
2013-02-22,24.68,24.68,24.68,24.68,200,24.68
2013-02-21,24.68,24.68,24.68,24.68,100,24.68
2013-02-19,24.86,24.86,24.86,24.86,100,24.86
2013-02-15,24.83,24.83,24.83,24.83,000,24.83
2013-02-08,24.70,24.70,24.70,24.70,100,24.70
2013-02-06,24.71,24.71,24.71,24.71,300,24.71
2013-01-14,23.96,23.96,23.96,23.96,1000,23.96
2013-01-07,23.81,23.81,23.81,23.81,200,23.81
2012-12-28,23.14,23.14,23.14,23.14,200,23.14
2012-12-26,23.23,23.23,23.23,23.23,200,23.23
2012-12-12,23.22,23.22,23.22,23.22,3000,23.22
2012-12-04,22.76,22.90,22.76,22.90,1200,22.90
2012-11-28,22.75,22.75,22.75,22.75,100,22.75
2012-11-21,22.46,22.46,22.46,22.46,100,22.46
2012-11-09,22.46,22.47,22.46,22.47,500,22.47
2012-11-05,23.00,23.00,23.00,23.00,100,23.00
2012-10-29,22.88,22.88,22.83,22.83,200,22.83
2012-10-22,23.15,23.15,23.15,23.15,000,23.15
2012-10-15,23.15,23.15,23.15,23.15,200,23.15
2012-10-12,23.29,23.29,23.29,23.29,400,23.29
2012-08-24,22.71,22.71,22.71,22.71,100,22.71
2012-08-22,22.82,22.82,22.82,22.82,200,22.82
2012-08-14,22.76,22.76,22.76,22.76,3000,22.76
2012-07-31,22.42,22.42,22.42,22.42,200,22.42
2012-07-26,21.64,21.64,21.64,21.64,200,21.64
2012-07-25,21.60,21.60,21.60,21.60,400,21.60
2012-07-17,21.96,21.96,21.96,21.96,3000,21.96
2012-07-11,21.68,21.68,21.68,21.68,200,21.68
2012-06-28,21.54,21.54,21.52,21.52,6000,21.52
2012-06-26,21.14,21.18,21.14,21.18,9000,21.18
2012-06-12,21.18,21.18,21.18,21.18,000,21.18
2012-05-31,21.28,21.28,21.28,21.28,000,21.28
2012-05-25,21.28,21.28,21.28,21.28,3000,21.28
2012-05-24,21.14,21.14,21.14,21.14,3000,21.14
2012-04-27,22.40,22.40,22.40,22.40,000,22.40
2012-04-19,22.37,22.37,22.37,22.37,3000,22.37
2012-04-18,22.29,22.29,22.29,22.29,2000,22.29
2012-04-10,22.22,22.22,22.22,22.22,2000,22.22
2012-03-13,22.13,22.13,22.13,22.13,3000,22.13
2012-02-23,21.80,21.80,21.80,21.80,000,21.80
2012-02-15,21.75,21.75,21.75,21.75,3000,21.75
2012-01-27,21.05,21.08,21.05,21.08,2000,21.08
2012-01-19,20.95,20.95,20.95,20.95,100,20.95
2012-01-18,20.75,20.75,20.75,20.75,000,20.75
2012-01-03,20.52,20.52,20.52,20.52,1000,20.52
2011-12-28,20.20,20.20,20.20,20.20,500,20.20
2011-12-27,20.20,20.20,20.18,20.18,2500,20.18
2011-12-23,20.18,20.18,20.18,20.18,100,20.18
2011-12-19,19.43,19.43,19.38,19.38,7500,19.38
2011-12-05,20.05,20.05,20.05,20.05,900,20.05
