Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.40,0.40,0.39,0.39,90000,0.39
2013-06-03,0.38,0.38,0.38,0.38,000,0.38
2013-05-31,0.39,0.39,0.38,0.38,40000,0.38
2013-05-30,0.39,0.39,0.38,0.38,21000,0.38
2013-05-29,0.39,0.39,0.39,0.39,20000,0.39
2013-05-28,0.39,0.39,0.39,0.39,000,0.39
2013-05-27,0.39,0.39,0.39,0.39,40000,0.39
2013-05-24,0.38,0.38,0.38,0.38,000,0.38
2013-05-23,0.38,0.38,0.38,0.38,33000,0.38
2013-05-22,0.38,0.38,0.38,0.38,2000,0.38
2013-05-21,0.38,0.38,0.38,0.38,10000,0.38
2013-05-20,0.40,0.40,0.39,0.39,140000,0.39
2013-05-17,0.38,0.40,0.38,0.40,43000,0.40
2013-05-16,0.40,0.40,0.38,0.38,45000,0.38
2013-05-15,0.41,0.41,0.41,0.41,15000,0.41
2013-05-14,0.40,0.40,0.39,0.39,127000,0.39
2013-05-13,0.41,0.41,0.41,0.41,2000,0.41
2013-05-10,0.41,0.41,0.41,0.41,3000,0.41
2013-05-09,0.41,0.41,0.41,0.41,000,0.41
2013-05-08,0.41,0.41,0.41,0.41,87000,0.41
2013-05-07,0.41,0.41,0.41,0.41,73000,0.41
2013-05-06,0.39,0.41,0.39,0.41,75000,0.41
2013-05-03,0.38,0.39,0.38,0.39,207000,0.39
2013-05-02,0.39,0.39,0.38,0.40,41000,0.40
2013-05-01,0.40,0.40,0.40,0.40,000,0.40
2013-04-30,0.40,0.40,0.40,0.40,35000,0.40
2013-04-29,0.39,0.41,0.38,0.40,130000,0.40
2013-04-26,0.42,0.42,0.40,0.40,79000,0.40
2013-04-25,0.42,0.42,0.42,0.42,24000,0.42
2013-04-24,0.42,0.42,0.42,0.42,65000,0.42
2013-04-23,0.42,0.42,0.42,0.42,000,0.42
2013-04-22,0.42,0.42,0.42,0.42,000,0.42
2013-04-19,0.44,0.44,0.42,0.42,34000,0.42
2013-04-18,0.44,0.44,0.44,0.44,000,0.44
2013-04-17,0.44,0.44,0.44,0.44,000,0.44
2013-04-16,0.44,0.44,0.44,0.44,34000,0.44
