Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.29,0.29,0.29,0.29,30000,0.29
2013-06-03,0.29,0.29,0.29,0.29,000,0.29
2013-05-31,0.29,0.29,0.29,0.29,40000,0.29
2013-05-30,0.29,0.29,0.29,0.29,000,0.29
2013-05-29,0.29,0.29,0.29,0.29,000,0.29
2013-05-28,0.29,0.29,0.29,0.29,000,0.29
2013-05-27,0.29,0.29,0.29,0.29,12000,0.29
2013-05-24,0.29,0.29,0.29,0.29,000,0.29
2013-05-23,0.29,0.29,0.29,0.29,18000,0.29
2013-05-22,0.29,0.31,0.29,0.30,35000,0.30
2013-05-21,0.30,0.30,0.29,0.29,150000,0.29
2013-05-20,0.30,0.31,0.30,0.31,15000,0.31
2013-05-17,0.29,0.29,0.29,0.29,155000,0.29
2013-05-16,0.30,0.30,0.30,0.30,50000,0.30
2013-05-15,0.29,0.29,0.29,0.29,50000,0.29
2013-05-14,0.30,0.30,0.29,0.29,300000,0.29
2013-05-13,0.29,0.29,0.29,0.29,000,0.29
2013-05-10,0.29,0.29,0.29,0.29,20000,0.29
2013-05-09,0.30,0.30,0.29,0.29,210000,0.29
2013-05-08,0.30,0.30,0.30,0.30,20000,0.30
2013-05-07,0.29,0.29,0.29,0.29,000,0.29
2013-05-06,0.31,0.31,0.29,0.29,110000,0.29
2013-05-03,0.30,0.30,0.29,0.30,157000,0.30
2013-05-02,0.29,0.29,0.29,0.29,22000,0.29
2013-05-01,0.29,0.29,0.29,0.29,000,0.29
2013-04-30,0.30,0.30,0.29,0.29,300000,0.29
2013-04-29,0.29,0.30,0.29,0.30,116000,0.30
2013-04-26,0.29,0.29,0.29,0.29,000,0.29
2013-04-25,0.29,0.29,0.29,0.29,000,0.29
2013-04-24,0.29,0.29,0.29,0.29,000,0.29
2013-04-23,0.29,0.29,0.29,0.29,000,0.29
2013-04-22,0.29,0.29,0.29,0.29,000,0.29
2013-04-19,0.29,0.29,0.29,0.29,000,0.29
2013-04-18,0.29,0.29,0.29,0.29,000,0.29
2013-04-17,0.29,0.29,0.29,0.29,000,0.29
2013-04-16,0.28,0.29,0.28,0.29,87000,0.29
2013-04-15,0.28,0.28,0.28,0.28,1000,0.28
2013-04-12,0.29,0.29,0.29,0.29,000,0.29
2013-04-11,0.29,0.29,0.29,0.29,000,0.29
2013-04-10,0.29,0.29,0.29,0.29,000,0.29
2013-04-09,0.29,0.29,0.29,0.29,32000,0.29
2013-04-08,0.29,0.29,0.29,0.29,000,0.29
2013-04-05,0.29,0.29,0.29,0.29,000,0.29
2013-04-04,0.29,0.29,0.29,0.29,000,0.29
2013-04-03,0.30,0.31,0.29,0.29,60000,0.29
2013-04-02,0.30,0.30,0.30,0.30,000,0.30
2013-04-01,0.30,0.30,0.30,0.30,160000,0.30
2013-03-29,0.30,0.30,0.30,0.30,000,0.30
2013-03-28,0.30,0.30,0.30,0.30,48000,0.30
2013-03-27,0.31,0.31,0.31,0.31,55000,0.31
2013-03-26,0.31,0.31,0.30,0.30,22000,0.30
2013-03-25,0.31,0.31,0.31,0.31,105000,0.31
2013-03-22,0.31,0.31,0.31,0.31,20000,0.31
2013-03-21,0.31,0.31,0.31,0.31,83000,0.31
2013-03-20,0.30,0.30,0.30,0.30,3000,0.30
2013-03-19,0.31,0.31,0.31,0.31,30000,0.31
2013-03-18,0.30,0.30,0.30,0.30,100000,0.30
2013-03-15,0.31,0.31,0.31,0.31,29000,0.31
2013-03-14,0.31,0.31,0.31,0.31,80000,0.31
2013-03-13,0.31,0.31,0.31,0.31,100000,0.31
2013-03-12,0.30,0.30,0.30,0.30,10000,0.30
2013-03-11,0.30,0.30,0.30,0.30,135000,0.30
2013-03-08,0.30,0.30,0.30,0.30,107000,0.30
2013-03-07,0.30,0.31,0.30,0.30,177000,0.30
2013-03-06,0.30,0.30,0.30,0.30,000,0.30
2013-03-05,0.30,0.30,0.30,0.30,40000,0.30
2013-03-04,0.31,0.31,0.29,0.30,306000,0.30
2013-03-01,0.31,0.31,0.31,0.31,000,0.31
2013-02-28,0.31,0.31,0.31,0.31,91000,0.31
2013-02-27,0.31,0.31,0.31,0.31,20000,0.31
2013-02-26,0.31,0.31,0.31,0.31,70000,0.31
2013-02-25,0.31,0.31,0.31,0.31,130000,0.31
2013-02-22,0.31,0.31,0.31,0.31,000,0.31
2013-02-21,0.30,0.31,0.30,0.31,20000,0.31
2013-02-20,0.31,0.31,0.31,0.31,52000,0.31
2013-02-19,0.31,0.31,0.31,0.31,160000,0.31
2013-02-18,0.31,0.31,0.31,0.31,000,0.31
2013-02-15,0.31,0.31,0.31,0.31,000,0.31
2013-02-14,0.31,0.31,0.31,0.31,15000,0.31
2013-02-13,0.31,0.31,0.31,0.31,99000,0.31
2013-02-12,0.32,0.32,0.32,0.32,000,0.32
2013-02-11,0.32,0.32,0.32,0.32,000,0.32
2013-02-08,0.32,0.32,0.31,0.32,252000,0.32
2013-02-07,0.32,0.33,0.32,0.33,284000,0.32
2013-02-06,0.33,0.33,0.32,0.32,212000,0.31
2013-02-05,0.33,0.33,0.33,0.33,112000,0.32
2013-02-04,0.33,0.34,0.32,0.33,775000,0.32
2013-02-01,0.32,0.32,0.31,0.32,250000,0.31
2013-01-31,0.31,0.31,0.31,0.31,000,0.30
2013-01-30,0.32,0.32,0.31,0.31,130000,0.30
2013-01-29,0.31,0.32,0.31,0.31,45000,0.30
2013-01-28,0.31,0.34,0.31,0.32,509000,0.31
2013-01-25,0.31,0.31,0.31,0.31,29000,0.30
2013-01-24,0.31,0.31,0.31,0.31,31000,0.30
2013-01-23,0.31,0.31,0.31,0.31,40000,0.29
2013-01-22,0.31,0.31,0.30,0.31,320000,0.29
2013-01-21,0.31,0.31,0.31,0.31,50000,0.29
2013-01-18,0.31,0.31,0.31,0.31,000,0.30
2013-01-17,0.31,0.31,0.31,0.31,20000,0.30
2013-01-16,0.32,0.32,0.32,0.32,20000,0.31
2013-01-15,0.31,0.31,0.31,0.31,172000,0.30
2013-01-14,0.32,0.32,0.31,0.31,334000,0.30
2013-01-11,0.32,0.33,0.31,0.33,151000,0.32
2013-01-10,0.32,0.33,0.32,0.32,144000,0.31
2013-01-09,0.32,0.33,0.32,0.33,9000,0.32
2013-01-08,0.33,0.33,0.32,0.32,363000,0.31
2013-01-07,0.32,0.34,0.32,0.33,556000,0.32
2013-01-04,0.33,0.33,0.32,0.33,104000,0.32
2013-01-03,0.32,0.33,0.32,0.32,410000,0.31
2013-01-02,0.33,0.34,0.32,0.33,398000,0.32
2013-01-01,0.33,0.33,0.33,0.33,000,0.32
2012-12-31,0.32,0.33,0.32,0.33,88000,0.32
2012-12-28,0.32,0.33,0.32,0.33,105000,0.32
2012-12-27,0.34,0.34,0.32,0.33,195000,0.32
2012-12-26,0.32,0.35,0.32,0.34,432000,0.32
2012-12-25,0.32,0.32,0.32,0.32,000,0.31
2012-12-24,0.32,0.32,0.32,0.32,51000,0.31
2012-12-21,0.31,0.31,0.31,0.31,122000,0.30
2012-12-20,0.31,0.32,0.31,0.32,235000,0.31
2012-12-19,0.32,0.32,0.31,0.31,368000,0.30
2012-12-18,0.31,0.32,0.29,0.32,756000,0.31
2012-12-17,0.32,0.32,0.31,0.31,345000,0.30
2012-12-14,0.32,0.32,0.32,0.32,221000,0.31
2012-12-13,0.32,0.33,0.32,0.33,282000,0.32
2012-12-12,0.34,0.36,0.33,0.34,1896000,0.32
2012-12-11,0.28,0.33,0.28,0.33,3058000,0.32
2012-12-10,0.25,0.28,0.25,0.28,550000,0.26
2012-12-07,0.24,0.25,0.24,0.25,636000,0.24
2012-12-06,0.23,0.24,0.23,0.24,214000,0.23
2012-12-05,0.22,0.23,0.22,0.23,506000,0.22
2012-12-04,0.23,0.23,0.23,0.23,115000,0.22
2012-12-03,0.22,0.23,0.22,0.23,468000,0.22
2012-11-30,0.22,0.22,0.22,0.22,232000,0.21
2012-11-29,0.22,0.22,0.22,0.22,122000,0.21
2012-11-28,0.22,0.22,0.22,0.22,45000,0.21
2012-11-27,0.22,0.22,0.22,0.22,220000,0.21
2012-11-26,0.22,0.22,0.22,0.22,112000,0.21
2012-11-23,0.22,0.23,0.22,0.22,225000,0.21
2012-11-22,0.22,0.22,0.21,0.21,155000,0.20
2012-11-21,0.22,0.22,0.22,0.22,500000,0.21
2012-11-20,0.22,0.22,0.22,0.22,275000,0.21
2012-11-19,0.22,0.22,0.22,0.22,973000,0.21
2012-11-16,0.22,0.23,0.22,0.22,1220000,0.21
2012-11-15,0.60,0.60,0.57,0.57,2072000,0.54
2012-11-14,0.60,0.62,0.60,0.60,1414000,0.57
2012-11-13,0.60,0.60,0.60,0.60,000,0.57
2012-11-12,0.58,0.60,0.58,0.60,1067000,0.57
2012-11-09,0.58,0.59,0.58,0.58,1142000,0.55
2012-11-08,0.58,0.58,0.57,0.57,759000,0.55
2012-11-07,0.59,0.59,0.58,0.58,209000,0.56
2012-11-06,0.59,0.59,0.58,0.59,244000,0.56
2012-11-05,0.58,0.60,0.58,0.59,1646000,0.56
2012-11-02,0.60,0.60,0.58,0.58,768000,0.55
2012-11-01,0.62,0.64,0.57,0.60,4448000,0.56
2012-10-31,0.53,0.53,0.53,0.53,80000,0.49
2012-10-30,0.52,0.53,0.52,0.53,268000,0.49
2012-10-29,0.52,0.54,0.52,0.54,823000,0.50
2012-10-26,0.52,0.52,0.52,0.52,000,0.49
2012-10-25,0.52,0.53,0.52,0.52,93000,0.49
2012-10-24,0.53,0.53,0.52,0.52,44000,0.49
2012-10-23,0.53,0.53,0.53,0.53,60000,0.49
2012-10-22,0.52,0.52,0.52,0.52,15000,0.49
2012-10-19,0.52,0.55,0.52,0.53,1127000,0.49
2012-10-18,0.53,0.53,0.50,0.52,528000,0.48
2012-10-17,0.52,0.52,0.52,0.52,86000,0.48
2012-10-16,0.52,0.52,0.52,0.52,299000,0.48
2012-10-15,0.53,0.53,0.52,0.52,155000,0.49
2012-10-12,0.54,0.54,0.53,0.53,339000,0.49
2012-10-11,0.54,0.54,0.53,0.53,20000,0.49
2012-10-10,0.54,0.54,0.54,0.54,65000,0.50
2012-10-09,0.53,0.54,0.53,0.54,597000,0.50
2012-10-08,0.54,0.54,0.53,0.53,324000,0.49
2012-10-05,0.53,0.53,0.53,0.53,000,0.49
2012-10-04,0.52,0.53,0.52,0.53,44000,0.49
2012-10-03,0.52,0.52,0.52,0.52,17000,0.49
2012-10-02,0.53,0.54,0.52,0.52,343000,0.49
2012-10-01,0.54,0.55,0.53,0.54,247000,0.50
2012-09-28,0.54,0.55,0.54,0.55,14000,0.51
2012-09-27,0.54,0.54,0.54,0.54,68000,0.50
2012-09-26,0.54,0.54,0.53,0.53,139000,0.49
2012-09-25,0.54,0.54,0.53,0.54,306000,0.50
2012-09-24,0.54,0.54,0.53,0.53,99000,0.49
2012-09-21,0.54,0.54,0.54,0.54,75000,0.50
2012-09-20,0.54,0.54,0.53,0.54,224000,0.50
2012-09-19,0.55,0.56,0.55,0.55,217000,0.51
2012-09-18,0.54,0.55,0.54,0.54,121000,0.50
2012-09-17,0.53,0.54,0.53,0.54,372000,0.50
2012-09-14,0.53,0.54,0.53,0.54,118000,0.50
2012-09-13,0.54,0.54,0.53,0.53,49000,0.49
2012-09-12,0.54,0.54,0.53,0.54,226000,0.50
2012-09-11,0.52,0.54,0.52,0.54,276000,0.50
2012-09-10,0.52,0.53,0.52,0.53,195000,0.49
2012-09-07,0.52,0.52,0.52,0.52,186000,0.48
2012-09-06,0.51,0.52,0.51,0.52,37000,0.48
2012-09-05,0.52,0.52,0.52,0.52,168000,0.48
2012-09-04,0.52,0.53,0.52,0.52,276000,0.49
2012-09-03,0.53,0.53,0.51,0.51,327000,0.48
2012-08-31,0.53,0.53,0.53,0.53,000,0.49
2012-08-30,0.54,0.54,0.52,0.53,138000,0.49
2012-08-29,0.53,0.53,0.52,0.53,529000,0.49
2012-08-28,0.54,0.54,0.54,0.54,365000,0.50
2012-08-27,0.52,0.55,0.52,0.54,1240000,0.50
2012-08-24,0.51,0.51,0.51,0.51,170000,0.47
2012-08-23,0.51,0.51,0.51,0.51,50000,0.47
2012-08-22,0.51,0.52,0.51,0.51,320000,0.48
2012-08-21,0.51,0.51,0.50,0.51,353000,0.48
2012-08-20,0.51,0.51,0.51,0.51,000,0.47
2012-08-17,0.51,0.51,0.51,0.51,158000,0.47
2012-08-16,0.51,0.51,0.51,0.51,35000,0.47
2012-08-15,0.50,0.51,0.50,0.51,323000,0.47
2012-08-14,0.51,0.51,0.50,0.50,273000,0.47
2012-08-13,0.51,0.52,0.51,0.51,709000,0.47
2012-08-10,0.49,0.49,0.49,0.49,30000,0.46
2012-08-09,0.49,0.49,0.49,0.49,000,0.46
2012-08-08,0.50,0.50,0.49,0.49,99000,0.46
2012-08-07,0.50,0.50,0.50,0.50,60000,0.46
2012-08-06,0.50,0.50,0.50,0.50,110000,0.46
2012-08-03,0.50,0.50,0.49,0.50,152000,0.46
2012-08-02,0.50,0.50,0.50,0.50,97000,0.46
2012-08-01,0.50,0.50,0.50,0.50,100000,0.46
2012-07-31,0.50,0.50,0.50,0.50,201000,0.47
2012-07-30,0.50,0.50,0.50,0.50,29000,0.46
2012-07-27,0.49,0.50,0.49,0.50,80000,0.46
2012-07-26,0.50,0.50,0.49,0.49,90000,0.46
2012-07-25,0.50,0.50,0.50,0.50,30000,0.47
2012-07-24,0.50,0.50,0.50,0.50,134000,0.47
2012-07-23,0.49,0.50,0.49,0.50,432000,0.47
2012-07-20,0.49,0.49,0.49,0.49,87000,0.46
2012-07-19,0.50,0.50,0.49,0.49,114000,0.46
2012-07-18,0.49,0.49,0.49,0.49,47000,0.46
2012-07-17,0.49,0.50,0.49,0.50,86000,0.46
2012-07-16,0.50,0.50,0.49,0.49,248000,0.46
2012-07-13,0.47,0.50,0.47,0.49,409000,0.46
2012-07-12,0.46,0.47,0.46,0.47,136000,0.44
2012-07-11,0.46,0.46,0.46,0.46,50000,0.42
2012-07-10,0.46,0.46,0.45,0.46,44000,0.42
2012-07-09,0.45,0.46,0.45,0.46,170000,0.42
2012-07-06,0.46,0.46,0.45,0.46,300000,0.42
2012-07-05,0.47,0.47,0.46,0.46,56000,0.42
2012-07-04,0.46,0.46,0.46,0.46,150000,0.43
2012-07-03,0.46,0.46,0.46,0.46,25000,0.42
2012-07-02,0.46,0.46,0.45,0.45,205000,0.42
2012-06-29,0.45,0.46,0.45,0.46,84000,0.42
2012-06-28,0.45,0.46,0.45,0.45,149000,0.42
2012-06-27,0.44,0.44,0.44,0.44,178000,0.41
2012-06-26,0.43,0.44,0.43,0.44,228000,0.40
2012-06-25,0.43,0.43,0.43,0.43,183000,0.40
2012-06-22,0.43,0.43,0.43,0.43,70000,0.40
2012-06-21,0.43,0.43,0.43,0.43,31000,0.40
2012-06-20,0.43,0.43,0.43,0.43,117000,0.40
2012-06-19,0.43,0.43,0.43,0.43,35000,0.40
2012-06-18,0.43,0.43,0.43,0.43,000,0.40
2012-06-15,0.43,0.43,0.43,0.43,5000,0.40
2012-06-14,0.43,0.43,0.43,0.43,90000,0.40
2012-06-13,0.43,0.43,0.43,0.43,92000,0.40
2012-06-12,0.42,0.43,0.42,0.43,125000,0.40
2012-06-11,0.43,0.43,0.43,0.43,195000,0.40
2012-06-08,0.43,0.43,0.43,0.43,220000,0.40
2012-06-07,0.43,0.44,0.43,0.44,92000,0.40
2012-06-06,0.42,0.43,0.42,0.43,130000,0.40
2012-06-05,0.42,0.43,0.42,0.43,136000,0.40
2012-06-04,0.42,0.43,0.41,0.43,320000,0.40
2012-06-01,0.43,0.43,0.43,0.43,70000,0.40
2012-05-31,0.43,0.43,0.43,0.43,66000,0.40
2012-05-30,0.43,0.43,0.43,0.43,230000,0.40
2012-05-29,0.43,0.44,0.43,0.44,870000,0.40
2012-05-28,0.41,0.43,0.41,0.43,706000,0.40
2012-05-25,0.41,0.41,0.41,0.41,188000,0.39
2012-05-24,0.41,0.41,0.41,0.41,72000,0.39
