Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.07,0.07,0.07,0.07,3925000,0.07
2013-06-03,0.07,0.07,0.07,0.07,328000,0.07
2013-05-31,0.07,0.07,0.07,0.07,6630000,0.07
2013-05-30,0.07,0.08,0.07,0.07,70418000,0.07
2013-05-29,0.06,0.07,0.06,0.06,26844000,0.06
2013-05-28,0.06,0.06,0.06,0.06,9067000,0.06
2013-05-27,0.06,0.06,0.06,0.06,3255000,0.06
2013-05-24,0.06,0.06,0.06,0.06,000,0.06
2013-05-23,0.06,0.06,0.06,0.06,2671000,0.06
2013-05-22,0.06,0.06,0.06,0.06,6068000,0.06
2013-05-21,0.06,0.06,0.06,0.06,1276000,0.06
2013-05-20,0.06,0.06,0.06,0.06,3097000,0.06
2013-05-17,0.06,0.06,0.06,0.06,8764000,0.06
2013-05-16,0.06,0.06,0.06,0.06,2793000,0.06
2013-05-15,0.06,0.06,0.06,0.06,2081000,0.06
2013-05-14,0.06,0.06,0.06,0.06,2490000,0.06
2013-05-13,0.06,0.06,0.06,0.06,2419000,0.06
2013-05-10,0.06,0.06,0.06,0.06,3787000,0.06
2013-05-09,0.06,0.06,0.06,0.06,3003000,0.06
2013-05-08,0.06,0.06,0.06,0.06,17130000,0.06
2013-05-07,0.06,0.06,0.06,0.06,986000,0.06
2013-05-06,0.06,0.06,0.06,0.06,2095000,0.06
2013-05-03,0.06,0.06,0.06,0.06,4773000,0.06
2013-05-02,0.06,0.06,0.06,0.06,13137000,0.06
2013-05-01,0.06,0.06,0.06,0.06,000,0.06
2013-04-30,0.06,0.06,0.06,0.06,9708000,0.06
2013-04-29,0.06,0.07,0.06,0.06,5376000,0.06
2013-04-26,0.06,0.07,0.06,0.06,4800000,0.06
2013-04-25,0.06,0.07,0.06,0.07,3095000,0.07
2013-04-24,0.06,0.07,0.06,0.06,19156000,0.06
2013-04-23,0.06,0.07,0.06,0.07,17917000,0.07
2013-04-22,0.07,0.07,0.06,0.06,3957000,0.06
2013-04-19,0.06,0.07,0.06,0.07,13063000,0.07
2013-04-18,0.07,0.07,0.06,0.07,4571000,0.07
2013-04-17,0.07,0.07,0.07,0.07,21337000,0.07
2013-04-16,0.07,0.07,0.06,0.07,27908000,0.07
2013-04-15,0.07,0.07,0.07,0.07,32865000,0.07
2013-04-12,0.06,0.07,0.06,0.07,38335000,0.07
2013-04-11,0.06,0.06,0.06,0.06,6370000,0.06
2013-04-10,0.06,0.06,0.06,0.06,13880000,0.06
2013-04-09,0.06,0.06,0.06,0.06,14369000,0.06
2013-04-08,0.06,0.06,0.06,0.06,4295000,0.06
2013-04-05,0.06,0.06,0.05,0.06,14762000,0.06
2013-04-04,0.06,0.07,0.06,0.06,26211000,0.06
2013-04-03,0.06,0.06,0.06,0.06,5331000,0.06
2013-04-02,0.06,0.06,0.06,0.06,6875000,0.06
2013-04-01,0.06,0.06,0.06,0.06,3193000,0.06
2013-03-29,0.06,0.06,0.06,0.06,000,0.06
2013-03-28,0.06,0.06,0.06,0.06,7671000,0.06
2013-03-27,0.07,0.07,0.06,0.06,7820000,0.06
2013-03-26,0.06,0.07,0.06,0.06,9537000,0.06
2013-03-25,0.06,0.07,0.06,0.06,15396000,0.06
2013-03-22,0.06,0.06,0.06,0.06,22700000,0.06
2013-03-21,0.06,0.06,0.06,0.06,1985000,0.06
2013-03-20,0.06,0.06,0.06,0.06,7945000,0.06
2013-03-19,0.06,0.06,0.06,0.06,8936000,0.06
2013-03-18,0.06,0.06,0.06,0.06,4456000,0.06
2013-03-15,0.06,0.06,0.06,0.06,18164000,0.06
2013-03-14,0.06,0.06,0.06,0.06,6713000,0.06
2013-03-13,0.06,0.06,0.06,0.06,7738000,0.06
2013-03-12,0.06,0.06,0.06,0.06,20613000,0.06
2013-03-11,0.06,0.06,0.05,0.06,20935000,0.06
2013-03-08,0.07,0.07,0.06,0.06,10335000,0.06
2013-03-07,0.07,0.07,0.06,0.07,17364000,0.07
2013-03-06,0.07,0.07,0.07,0.07,14696000,0.07
2013-03-05,0.07,0.07,0.07,0.07,37341000,0.07
2013-03-04,0.07,0.07,0.06,0.06,24115000,0.06
2013-03-01,0.07,0.07,0.07,0.07,22883000,0.07
2013-02-28,0.07,0.08,0.07,0.07,16294000,0.07
2013-02-27,0.07,0.08,0.07,0.07,63556000,0.07
2013-02-26,0.07,0.07,0.07,0.07,36821000,0.07
2013-02-25,0.08,0.08,0.07,0.08,90262000,0.08
2013-02-22,0.06,0.08,0.06,0.08,248221000,0.08
2013-02-21,0.06,0.06,0.06,0.06,12140000,0.06
2013-02-20,0.06,0.06,0.06,0.06,43863000,0.06
2013-02-19,0.06,0.06,0.06,0.06,16020000,0.06
2013-02-18,0.06,0.06,0.06,0.06,10901000,0.06
2013-02-15,0.06,0.06,0.06,0.06,9613000,0.06
2013-02-14,0.06,0.07,0.06,0.06,44741000,0.06
2013-02-13,0.06,0.07,0.06,0.06,65509000,0.06
2013-02-12,0.06,0.06,0.06,0.06,000,0.06
2013-02-11,0.06,0.06,0.06,0.06,000,0.06
2013-02-08,0.05,0.06,0.05,0.06,18999000,0.06
2013-02-07,0.06,0.06,0.05,0.05,69708000,0.05
2013-02-06,0.04,0.06,0.04,0.06,47045000,0.06
2013-02-05,0.04,0.04,0.04,0.04,8728000,0.04
2013-02-04,0.05,0.05,0.04,0.04,10356000,0.04
2013-02-01,0.05,0.05,0.05,0.05,3040000,0.05
2013-01-31,0.05,0.05,0.04,0.04,5379000,0.04
2013-01-30,0.05,0.05,0.05,0.05,6113000,0.05
2013-01-29,0.05,0.05,0.05,0.05,11596000,0.05
2013-01-28,0.05,0.05,0.04,0.05,17554000,0.05
2013-01-25,0.05,0.05,0.04,0.04,13723000,0.04
2013-01-24,0.05,0.05,0.05,0.05,3580000,0.05
2013-01-23,0.05,0.05,0.05,0.05,5380000,0.05
2013-01-22,0.05,0.05,0.05,0.05,17890000,0.05
2013-01-21,0.05,0.05,0.05,0.05,22932000,0.05
2013-01-18,0.04,0.05,0.04,0.05,72820000,0.05
2013-01-17,0.04,0.04,0.04,0.04,12536000,0.04
2013-01-16,0.04,0.04,0.04,0.04,7049000,0.04
2013-01-15,0.04,0.04,0.04,0.04,3986000,0.04
2013-01-14,0.04,0.04,0.04,0.04,8306000,0.04
2013-01-11,0.04,0.04,0.04,0.04,10376000,0.04
2013-01-10,0.04,0.05,0.04,0.04,12131000,0.04
2013-01-09,0.04,0.05,0.04,0.04,10760000,0.04
2013-01-08,0.04,0.04,0.04,0.04,8811000,0.04
2013-01-07,0.05,0.05,0.04,0.05,12521000,0.05
2013-01-04,0.04,0.05,0.04,0.04,50305000,0.04
2013-01-03,0.04,0.04,0.04,0.04,12178000,0.04
2013-01-02,0.04,0.04,0.04,0.04,23201000,0.04
2013-01-01,0.04,0.04,0.04,0.04,000,0.04
2012-12-31,0.04,0.04,0.04,0.04,6559000,0.04
2012-12-28,0.04,0.04,0.04,0.04,5943000,0.04
2012-12-27,0.04,0.04,0.04,0.04,11126000,0.04
2012-12-26,0.04,0.04,0.04,0.04,14659000,0.04
2012-12-25,0.04,0.04,0.04,0.04,000,0.04
2012-12-24,0.04,0.04,0.04,0.04,14771000,0.04
2012-12-21,0.04,0.04,0.04,0.04,17201000,0.04
2012-12-20,0.04,0.04,0.04,0.04,7401000,0.04
2012-12-19,0.05,0.05,0.04,0.04,13825000,0.04
2012-12-18,0.04,0.05,0.04,0.04,32362000,0.04
2012-12-17,0.04,0.05,0.04,0.04,14255000,0.04
2012-12-14,0.04,0.05,0.04,0.04,14019000,0.04
2012-12-13,0.05,0.05,0.04,0.05,32233000,0.05
2012-12-12,0.04,0.05,0.04,0.05,92749000,0.05
2012-12-11,0.04,0.05,0.04,0.04,71056000,0.04
2012-12-10,0.04,0.04,0.04,0.04,32018000,0.04
2012-12-07,0.03,0.04,0.03,0.04,129727000,0.04
2012-12-06,0.03,0.03,0.03,0.03,2585000,0.03
2012-12-05,0.03,0.03,0.03,0.03,21987000,0.03
2012-12-04,0.03,0.03,0.03,0.03,3690000,0.03
2012-12-03,0.03,0.03,0.03,0.03,11192000,0.03
2012-11-30,0.03,0.03,0.03,0.03,8081000,0.03
2012-11-29,0.03,0.03,0.03,0.03,26064000,0.03
2012-11-28,0.03,0.04,0.02,0.03,111802000,0.03
2012-11-27,0.02,0.02,0.02,0.02,27505000,0.02
2012-11-26,0.02,0.02,0.02,0.02,13350000,0.02
2012-11-23,0.02,0.03,0.02,0.02,17113000,0.02
2012-11-22,0.02,0.02,0.02,0.02,12546000,0.02
2012-11-21,0.02,0.02,0.02,0.02,1816000,0.02
2012-11-20,0.02,0.02,0.02,0.02,9104000,0.02
2012-11-19,0.02,0.02,0.02,0.02,7147000,0.02
2012-11-16,0.02,0.02,0.02,0.02,9606000,0.02
2012-11-15,0.02,0.02,0.02,0.02,3993000,0.02
2012-11-14,0.02,0.02,0.01,0.01,129000,0.01
2012-11-13,0.02,0.02,0.02,0.02,000,0.02
2012-11-12,0.02,0.02,0.02,0.02,357000,0.02
2012-11-09,0.02,0.02,0.02,0.02,000,0.02
2012-11-08,0.02,0.02,0.02,0.02,600000,0.02
2012-11-07,0.02,0.02,0.02,0.02,10000,0.02
2012-11-06,0.02,0.02,0.02,0.02,1665000,0.02
2012-11-05,0.02,0.02,0.02,0.02,655000,0.02
2012-11-02,0.02,0.02,0.02,0.02,1000000,0.02
2012-11-01,0.02,0.02,0.02,0.02,400000,0.02
2012-10-31,0.02,0.02,0.02,0.02,622000,0.02
