Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,2.26,2.27,2.24,2.25,2053000,2.25
2013-06-03,2.26,2.27,2.25,2.25,3358000,2.25
2013-05-31,2.28,2.30,2.23,2.28,56945000,2.28
2013-05-30,2.40,2.41,2.33,2.37,5780000,2.37
2013-05-29,2.40,2.44,2.40,2.44,5780000,2.44
2013-05-28,2.40,2.45,2.38,2.38,7945000,2.38
2013-05-27,2.30,2.38,2.29,2.37,4499000,2.37
2013-05-24,2.29,2.29,2.29,2.29,000,2.29
2013-05-23,2.36,2.36,2.23,2.29,10258000,2.29
2013-05-22,2.39,2.39,2.36,2.37,2632000,2.37
2013-05-21,2.40,2.40,2.33,2.36,4010000,2.36
2013-05-20,2.37,2.41,2.37,2.40,6712000,2.40
2013-05-17,2.36,2.37,2.35,2.36,3393000,2.36
2013-05-16,2.33,2.40,2.31,2.36,14076000,2.36
2013-05-15,2.29,2.29,2.29,2.29,000,2.29
2013-05-14,2.26,2.29,2.23,2.29,5374000,2.29
2013-05-13,2.30,2.34,2.24,2.25,5360000,2.25
2013-05-10,2.23,2.34,2.22,2.29,20354000,2.29
2013-05-09,2.19,2.23,2.17,2.21,9834000,2.21
2013-05-08,2.15,2.18,2.14,2.14,3308000,2.14
2013-05-07,2.15,2.17,2.13,2.14,3892000,2.14
2013-05-06,2.07,2.16,2.06,2.14,8521000,2.14
2013-05-03,2.06,2.07,2.04,2.05,1988000,2.05
2013-05-02,2.02,2.07,2.02,2.04,5212000,2.04
2013-05-01,2.04,2.04,2.04,2.04,000,2.04
2013-04-30,2.00,2.04,2.00,2.04,4274000,2.04
2013-04-29,2.00,2.03,1.99,1.99,3332000,1.99
2013-04-26,2.06,2.07,2.00,2.00,4729000,2.00
2013-04-25,2.05,2.08,2.04,2.06,3057000,2.06
2013-04-24,2.04,2.08,1.99,2.05,8052000,2.05
2013-04-23,2.09,2.09,2.01,2.03,6890000,2.03
2013-04-22,2.10,2.11,2.06,2.09,3053000,2.09
2013-04-19,2.09,2.10,2.07,2.09,3847000,2.09
2013-04-18,2.15,2.17,2.06,2.08,8498000,2.08
2013-04-17,2.12,2.15,2.10,2.11,5232000,2.11
2013-04-16,2.09,2.13,2.09,2.12,3089000,2.12
2013-04-15,2.12,2.15,2.11,2.12,2955000,2.12
2013-04-12,2.13,2.14,2.10,2.11,4624000,2.11
2013-04-11,2.13,2.15,2.12,2.14,3039000,2.14
2013-04-10,2.17,2.18,2.10,2.12,9397000,2.12
2013-04-09,2.13,2.18,2.11,2.16,10320000,2.16
2013-04-08,2.11,2.14,2.09,2.10,6772000,2.10
2013-04-05,2.15,2.17,2.09,2.11,7950000,2.11
2013-04-04,2.18,2.18,2.13,2.15,4392000,2.15
2013-04-03,2.20,2.23,2.17,2.18,6098000,2.18
2013-04-02,2.17,2.21,2.16,2.21,3885000,2.21
2013-04-01,2.18,2.21,2.16,2.17,6957000,2.17
2013-03-29,2.17,2.17,2.17,2.17,000,2.17
2013-03-28,2.10,2.17,2.09,2.17,12640000,2.17
2013-03-27,2.06,2.11,2.05,2.10,11650000,2.10
2013-03-26,2.06,2.06,2.02,2.05,3295000,2.05
2013-03-25,2.06,2.08,2.04,2.04,4107000,2.04
2013-03-22,2.00,2.07,2.00,2.04,12307000,2.04
2013-03-21,1.98,2.03,1.98,2.01,7928000,2.01
2013-03-20,2.00,2.02,1.97,1.97,7432000,1.97
2013-03-19,1.93,1.98,1.93,1.96,5249000,1.96
2013-03-18,1.95,1.95,1.90,1.93,5822000,1.93
2013-03-15,1.97,1.99,1.95,1.95,3131000,1.95
2013-03-14,1.96,1.98,1.96,1.96,2912000,1.96
2013-03-13,1.99,2.00,1.95,1.95,3090000,1.94
2013-03-12,1.97,2.02,1.97,1.99,4439000,1.99
2013-03-11,1.99,2.01,1.98,1.98,2566000,1.98
2013-03-08,2.02,2.04,1.99,1.99,4855000,1.99
2013-03-07,2.03,2.04,1.99,2.03,6248000,2.03
2013-03-06,2.06,2.08,2.01,2.03,8532000,2.03
2013-03-05,1.94,2.05,1.94,2.01,18237000,2.01
2013-03-04,1.95,1.96,1.93,1.93,4922000,1.93
2013-03-01,1.95,1.96,1.92,1.95,65757000,1.94
2013-02-28,2.00,2.00,2.00,2.00,000,1.99
2013-02-27,1.99,2.00,1.98,2.00,4265000,1.99
2013-02-26,2.00,2.01,1.98,1.98,4906000,1.98
2013-02-25,2.04,2.04,2.00,2.01,5359000,2.01
2013-02-22,1.97,2.02,1.96,2.02,15195000,2.02
2013-02-21,1.93,1.99,1.93,1.96,10352000,1.96
2013-02-20,1.91,1.98,1.91,1.94,13533000,1.94
2013-02-19,1.93,1.94,1.90,1.90,6094000,1.90
2013-02-18,1.90,1.95,1.90,1.92,16319000,1.92
2013-02-15,1.81,1.88,1.80,1.87,17308000,1.87
2013-02-14,1.80,1.82,1.79,1.80,4310000,1.80
2013-02-13,1.81,1.83,1.78,1.79,4717000,1.79
2013-02-12,1.80,1.80,1.80,1.80,000,1.80
2013-02-11,1.80,1.80,1.80,1.80,000,1.80
2013-02-08,1.82,1.83,1.80,1.80,2712000,1.80
2013-02-07,1.82,1.84,1.80,1.82,7695000,1.82
2013-02-06,1.83,1.83,1.80,1.82,5019000,1.81
2013-02-05,1.80,1.80,1.75,1.79,8445000,1.79
2013-02-04,1.83,1.85,1.81,1.81,8082000,1.81
2013-02-01,1.81,1.82,1.80,1.82,4228000,1.81
2013-01-31,1.82,1.82,1.79,1.81,5399000,1.81
2013-01-30,1.80,1.83,1.80,1.81,6886000,1.81
2013-01-29,1.81,1.82,1.79,1.80,5475000,1.80
2013-01-28,1.81,1.85,1.79,1.81,9603000,1.81
2013-01-25,1.81,1.82,1.78,1.79,7224000,1.79
2013-01-24,1.81,1.84,1.80,1.80,8121000,1.80
2013-01-23,1.75,1.81,1.75,1.80,15933000,1.80
2013-01-22,1.76,1.77,1.73,1.75,8956000,1.74
2013-01-21,1.81,1.81,1.75,1.76,15619000,1.76
2013-01-18,1.84,1.86,1.79,1.81,10270000,1.81
2013-01-17,1.86,1.87,1.83,1.83,4527000,1.83
2013-01-16,1.85,1.87,1.83,1.86,13127000,1.85
2013-01-15,1.88,1.89,1.81,1.82,12114000,1.82
2013-01-14,1.87,1.90,1.87,1.88,3867000,1.88
2013-01-11,1.90,1.92,1.87,1.88,13417000,1.87
2013-01-10,1.88,1.89,1.86,1.88,13149000,1.88
2013-01-09,1.79,1.87,1.79,1.87,18335000,1.86
2013-01-08,1.80,1.84,1.77,1.79,13109000,1.79
2013-01-07,1.73,1.82,1.72,1.79,17421000,1.79
2013-01-04,1.71,1.73,1.70,1.71,5683000,1.71
2013-01-03,1.71,1.74,1.68,1.71,11737000,1.70
2013-01-02,1.70,1.73,1.66,1.69,9899000,1.69
2013-01-01,1.69,1.69,1.69,1.69,000,1.69
2012-12-31,1.63,1.69,1.62,1.69,6638000,1.69
2012-12-28,1.58,1.65,1.58,1.63,9540000,1.63
2012-12-27,1.58,1.59,1.57,1.58,4959000,1.57
2012-12-26,1.53,1.59,1.53,1.58,12630000,1.57
2012-12-25,1.53,1.53,1.53,1.53,000,1.53
2012-12-24,1.51,1.53,1.51,1.53,1139000,1.53
2012-12-21,1.54,1.54,1.51,1.51,2722000,1.51
2012-12-20,1.53,1.54,1.52,1.54,4853000,1.54
2012-12-19,1.55,1.57,1.52,1.53,11799000,1.53
2012-12-18,1.56,1.57,1.54,1.55,23725000,1.55
2012-12-17,1.47,1.51,1.47,1.50,9001000,1.50
2012-12-14,1.45,1.47,1.45,1.46,5127000,1.46
2012-12-13,1.43,1.46,1.43,1.45,16790000,1.45
2012-12-12,1.42,1.43,1.41,1.42,5406000,1.42
2012-12-11,1.42,1.43,1.40,1.40,2999000,1.40
2012-12-10,1.44,1.44,1.41,1.41,4773000,1.41
2012-12-07,1.41,1.43,1.40,1.42,5256000,1.42
2012-12-06,1.44,1.44,1.39,1.40,6656000,1.40
2012-12-05,1.43,1.45,1.42,1.44,2728000,1.44
2012-12-04,1.42,1.44,1.41,1.43,1929000,1.43
2012-12-03,1.45,1.46,1.42,1.42,4140000,1.42
2012-11-30,1.45,1.47,1.44,1.45,9140000,1.44
2012-11-29,1.42,1.46,1.41,1.45,13947000,1.44
2012-11-28,1.40,1.43,1.39,1.41,5841000,1.41
2012-11-27,1.42,1.42,1.39,1.40,3929000,1.40
2012-11-26,1.39,1.42,1.39,1.39,7519000,1.39
2012-11-23,1.41,1.41,1.39,1.39,4397000,1.39
2012-11-22,1.42,1.43,1.40,1.41,10765000,1.41
2012-11-21,1.35,1.41,1.33,1.41,16091000,1.41
2012-11-20,1.40,1.41,1.34,1.35,8483000,1.34
2012-11-19,1.42,1.43,1.38,1.39,7452000,1.39
2012-11-16,1.38,1.42,1.37,1.41,15159000,1.41
2012-11-15,1.48,1.48,1.36,1.37,19952000,1.37
2012-11-14,1.50,1.50,1.48,1.49,8321000,1.49
2012-11-13,1.50,1.50,1.50,1.50,000,1.49
2012-11-12,1.47,1.51,1.47,1.50,13740000,1.49
2012-11-09,1.43,1.49,1.42,1.47,17739000,1.46
2012-11-08,1.38,1.44,1.38,1.44,18364000,1.44
2012-11-07,1.40,1.40,1.37,1.39,18452000,1.39
2012-11-06,1.34,1.34,1.34,1.34,000,1.33
2012-11-05,1.31,1.35,1.31,1.34,12706000,1.33
2012-11-02,1.27,1.32,1.27,1.31,9668000,1.31
2012-11-01,1.29,1.29,1.26,1.26,6610000,1.26
2012-10-31,1.30,1.30,1.28,1.29,3983000,1.29
2012-10-30,1.28,1.32,1.28,1.29,10087000,1.29
2012-10-29,1.34,1.35,1.28,1.28,14408000,1.28
2012-10-26,1.36,1.36,1.36,1.36,000,1.35
2012-10-25,1.35,1.38,1.34,1.36,6669000,1.35
2012-10-24,1.36,1.36,1.36,1.36,000,1.36
2012-10-23,1.41,1.41,1.36,1.36,16848000,1.36
2012-10-22,1.35,1.41,1.34,1.40,13987000,1.40
2012-10-19,1.33,1.38,1.32,1.36,14705000,1.35
2012-10-18,1.33,1.34,1.32,1.32,5087000,1.31
2012-10-17,1.34,1.34,1.32,1.33,3823000,1.32
2012-10-16,1.35,1.35,1.33,1.33,4051000,1.32
2012-10-15,1.32,1.34,1.31,1.34,5494000,1.33
2012-10-12,1.33,1.34,1.32,1.33,3405000,1.32
2012-10-11,1.33,1.34,1.31,1.33,4980000,1.33
2012-10-10,1.33,1.33,1.32,1.33,5877000,1.32
2012-10-09,1.34,1.36,1.34,1.34,6593000,1.33
2012-10-08,1.34,1.35,1.33,1.34,6688000,1.33
2012-10-05,1.31,1.36,1.31,1.34,19737000,1.33
2012-10-04,1.30,1.32,1.27,1.30,10203000,1.30
2012-10-03,1.33,1.33,1.28,1.30,12760000,1.30
2012-10-02,1.35,1.35,1.33,1.33,3635000,1.33
2012-10-01,1.35,1.36,1.33,1.35,3989000,1.34
2012-09-28,1.36,1.36,1.34,1.35,6914000,1.34
2012-09-27,1.36,1.38,1.35,1.35,12912000,1.34
2012-09-26,1.30,1.38,1.29,1.36,31728000,1.35
2012-09-25,1.29,1.29,1.28,1.29,14462000,1.29
2012-09-24,1.27,1.27,1.25,1.26,9250000,1.26
2012-09-21,1.26,1.28,1.26,1.28,6787000,1.28
2012-09-20,1.28,1.28,1.25,1.25,9014000,1.25
2012-09-19,1.26,1.30,1.25,1.27,13975000,1.27
2012-09-18,1.26,1.28,1.25,1.26,7588000,1.26
2012-09-17,1.26,1.29,1.26,1.27,15313000,1.27
2012-09-14,1.28,1.28,1.26,1.26,7220000,1.26
2012-09-13,1.27,1.27,1.25,1.26,9521000,1.26
2012-09-12,1.24,1.27,1.24,1.27,21241000,1.27
2012-09-11,1.17,1.25,1.17,1.24,16021000,1.24
2012-09-10,1.19,1.20,1.16,1.19,10122000,1.19
2012-09-07,1.12,1.21,1.11,1.20,27614000,1.20
2012-09-06,1.06,1.11,1.05,1.11,16007000,1.11
