Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,1.25,1.28,1.25,1.27,1169000,1.27
2013-06-03,1.25,1.27,1.23,1.25,1187000,1.25
2013-05-31,1.26,1.29,1.24,1.29,1838000,1.29
2013-05-30,1.28,1.28,1.17,1.26,5953000,1.26
2013-05-29,1.36,1.37,1.28,1.28,1893000,1.28
2013-05-28,1.33,1.34,1.32,1.34,1301000,1.34
2013-05-27,1.36,1.36,1.34,1.34,1476000,1.34
2013-05-24,1.36,1.36,1.36,1.36,000,1.36
2013-05-23,1.39,1.39,1.33,1.36,3617000,1.36
2013-05-22,1.39,1.41,1.38,1.40,609000,1.40
2013-05-21,1.40,1.40,1.38,1.39,1178000,1.39
2013-05-20,1.42,1.43,1.38,1.40,1173000,1.40
2013-05-17,1.42,1.44,1.42,1.42,356000,1.42
2013-05-16,1.43,1.45,1.43,1.44,308000,1.43
2013-05-15,1.41,1.44,1.41,1.44,495000,1.43
2013-05-14,1.42,1.43,1.41,1.42,403000,1.41
2013-05-13,1.42,1.43,1.40,1.42,626000,1.41
2013-05-10,1.42,1.43,1.42,1.42,700000,1.42
2013-05-09,1.42,1.43,1.41,1.42,839000,1.42
2013-05-08,1.38,1.41,1.38,1.41,1444000,1.41
2013-05-07,1.41,1.41,1.36,1.38,1677000,1.37
2013-05-06,1.41,1.42,1.41,1.41,502000,1.40
2013-05-03,1.42,1.42,1.40,1.41,408000,1.40
2013-05-02,1.42,1.42,1.41,1.43,652000,1.43
2013-05-01,1.43,1.43,1.43,1.43,000,1.43
2013-04-30,1.43,1.44,1.40,1.43,1320000,1.43
2013-04-29,1.43,1.45,1.43,1.45,706000,1.44
2013-04-26,1.42,1.45,1.42,1.44,1890000,1.41
2013-04-25,1.40,1.43,1.40,1.43,2169000,1.40
2013-04-24,1.40,1.41,1.39,1.40,5041000,1.38
2013-04-23,1.38,1.40,1.38,1.40,1207000,1.37
2013-04-22,1.35,1.38,1.35,1.38,351000,1.35
