Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.67,0.69,0.67,0.69,90000,0.69
2013-06-03,0.68,0.68,0.68,0.68,190000,0.68
2013-05-31,0.68,0.68,0.68,0.68,297000,0.68
2013-05-30,0.68,0.68,0.67,0.68,179000,0.68
2013-05-29,0.69,0.69,0.68,0.68,437000,0.68
2013-05-28,0.70,0.70,0.69,0.69,292000,0.69
2013-05-27,0.69,0.70,0.69,0.70,115000,0.70
2013-05-24,0.69,0.69,0.69,0.69,000,0.69
2013-05-23,0.71,0.71,0.68,0.69,763000,0.69
2013-05-22,0.73,0.73,0.71,0.71,866000,0.71
2013-05-21,0.69,0.74,0.69,0.73,1890000,0.73
2013-05-20,0.68,0.68,0.68,0.68,111000,0.68
2013-05-17,0.68,0.69,0.68,0.69,612000,0.69
2013-05-16,0.68,0.68,0.68,0.68,144000,0.68
2013-05-15,0.67,0.67,0.67,0.67,23000,0.67
2013-05-14,0.68,0.68,0.67,0.67,45000,0.67
2013-05-13,0.68,0.68,0.67,0.67,77000,0.67
2013-05-10,0.68,0.68,0.68,0.68,20000,0.68
2013-05-09,0.68,0.68,0.65,0.67,411000,0.67
2013-05-08,0.67,0.69,0.67,0.68,40000,0.68
2013-05-07,0.65,0.67,0.65,0.67,103000,0.67
2013-05-06,0.66,0.66,0.65,0.65,12000,0.65
2013-05-03,0.66,0.66,0.66,0.66,31000,0.66
2013-05-02,0.66,0.66,0.65,0.66,89000,0.66
2013-05-01,0.66,0.66,0.66,0.66,000,0.66
2013-04-30,0.67,0.67,0.66,0.66,199000,0.66
2013-04-29,0.66,0.67,0.65,0.67,186000,0.67
2013-04-26,0.67,0.67,0.65,0.67,405000,0.66
2013-04-25,0.68,0.68,0.67,0.68,157000,0.66
2013-04-24,0.68,0.68,0.68,0.68,196000,0.67
2013-04-23,0.68,0.69,0.68,0.68,93000,0.67
2013-04-22,0.69,0.69,0.69,0.69,288000,0.68
2013-04-19,0.69,0.69,0.69,0.69,76000,0.68
2013-04-18,0.70,0.70,0.70,0.70,000,0.69
2013-04-17,0.70,0.70,0.69,0.70,162000,0.69
2013-04-16,0.70,0.70,0.69,0.70,425000,0.69
2013-04-15,0.69,0.71,0.69,0.70,452000,0.69
2013-04-12,0.69,0.69,0.69,0.69,43000,0.68
2013-04-11,0.69,0.69,0.68,0.69,169000,0.67
2013-04-10,0.68,0.68,0.68,0.68,135000,0.67
2013-04-09,0.68,0.69,0.68,0.68,186000,0.67
2013-04-08,0.69,0.69,0.68,0.68,71000,0.67
