Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,7.20,7.33,7.20,7.24,2842000,7.24
2013-06-03,7.32,7.35,7.24,7.24,416000,7.24
2013-05-31,7.38,7.38,7.21,7.21,1061000,7.21
2013-05-30,7.75,7.75,7.15,7.30,1381000,7.30
2013-05-29,8.20,8.20,7.73,7.79,1147000,7.79
2013-05-28,8.08,8.15,8.08,8.14,91000,8.14
2013-05-27,8.00,8.20,8.00,8.05,319000,8.05
2013-05-24,7.95,7.95,7.95,7.95,000,7.95
2013-05-23,8.20,8.25,7.90,7.95,2400000,7.95
2013-05-22,8.20,8.34,8.20,8.28,221000,8.28
2013-05-21,8.38,8.38,8.16,8.30,480000,8.30
2013-05-20,8.36,8.45,8.29,8.38,669000,8.38
2013-05-17,8.34,8.42,8.14,8.36,545000,8.36
2013-05-16,8.43,8.59,8.38,8.38,1656000,8.38
2013-05-15,8.03,8.47,8.03,8.43,1267000,8.43
2013-05-14,8.25,8.35,8.21,8.35,810000,8.35
2013-05-13,8.10,8.23,8.09,8.15,1740000,8.15
2013-05-10,7.92,8.24,7.92,8.04,5008000,8.04
2013-05-09,7.75,7.85,7.67,7.83,732000,7.83
2013-05-08,7.54,7.65,7.54,7.65,587000,7.65
2013-05-07,7.46,7.55,7.46,7.54,425000,7.54
2013-05-06,7.44,7.50,7.41,7.46,655000,7.46
2013-05-03,7.38,7.47,7.32,7.36,1410000,7.36
2013-05-02,7.20,7.32,7.20,7.20,2064000,7.20
2013-05-01,7.20,7.20,7.20,7.20,000,7.20
2013-04-30,7.26,7.38,7.20,7.20,1805000,7.20
2013-04-29,7.35,7.38,7.01,7.35,1398000,7.35
2013-04-26,7.37,7.39,7.37,7.37,717000,7.37
2013-04-25,7.40,7.40,7.35,7.37,827000,7.37
2013-04-24,7.32,7.45,7.32,7.40,1678000,7.40
2013-04-23,7.41,7.46,7.31,7.32,976000,7.32
2013-04-22,7.46,7.46,7.36,7.41,881000,7.41
2013-04-19,7.42,7.43,7.34,7.36,603000,7.36
2013-04-18,7.31,7.48,7.31,7.42,1195000,7.42
2013-04-17,7.27,7.33,7.23,7.31,1586000,7.31
2013-04-16,7.25,7.26,7.22,7.22,306000,7.22
2013-04-15,7.29,7.31,7.24,7.24,841000,7.24
2013-04-12,7.13,7.29,7.13,7.29,3056000,7.29
2013-04-11,7.01,7.17,7.01,7.10,4677000,7.10
2013-04-10,6.90,7.05,6.90,7.01,2417000,7.01
2013-04-09,6.89,6.95,6.88,6.90,718000,6.90
2013-04-08,6.91,6.91,6.84,6.89,64000,6.89
2013-04-05,6.89,6.95,6.89,6.90,1283000,6.90
2013-04-04,6.92,6.92,6.84,6.84,717000,6.84
2013-04-03,6.91,6.96,6.87,6.93,1011000,6.93
2013-04-02,6.90,6.93,6.83,6.87,1358000,6.87
2013-04-01,6.91,6.91,6.85,6.86,27000,6.86
2013-03-29,6.86,6.86,6.86,6.86,000,6.86
2013-03-28,6.89,6.89,6.86,6.86,1025000,6.86
2013-03-27,6.84,6.95,6.84,6.90,675000,6.90
2013-03-26,6.89,6.89,6.89,6.89,3000,6.89
2013-03-25,6.85,6.90,6.82,6.84,619000,6.84
2013-03-22,6.72,6.85,6.72,6.80,301000,6.80
2013-03-21,6.72,6.75,6.71,6.72,225000,6.72
2013-03-20,6.77,6.78,6.71,6.71,2069000,6.71
2013-03-19,6.82,6.82,6.82,6.82,34000,6.82
2013-03-18,6.78,6.88,6.77,6.83,541000,6.83
2013-03-15,6.85,6.86,6.78,6.78,705000,6.78
2013-03-14,6.79,6.84,6.77,6.77,429000,6.77
2013-03-13,6.79,6.84,6.78,6.78,1972000,6.78
2013-03-12,6.82,6.88,6.79,6.79,1339000,6.79
2013-03-11,6.73,6.83,6.73,6.82,256000,6.82
2013-03-08,6.76,6.77,6.75,6.75,149000,6.75
2013-03-07,6.83,6.83,6.78,6.82,547000,6.82
2013-03-06,6.83,6.83,6.74,6.76,375000,6.76
2013-03-05,6.76,6.76,6.74,6.74,127000,6.74
2013-03-04,6.75,6.78,6.71,6.74,306000,6.74
2013-03-01,6.73,6.80,6.72,6.75,699000,6.75
2013-02-28,6.80,6.82,6.71,6.72,741000,6.72
2013-02-27,6.71,6.84,6.71,6.83,235000,6.83
2013-02-26,6.73,6.77,6.71,6.72,6065000,6.72
2013-02-25,6.80,6.81,6.74,6.75,649000,6.75
2013-02-22,6.75,6.80,6.70,6.75,928000,6.75
2013-02-21,6.85,6.85,6.71,6.71,788000,6.71
2013-02-20,6.83,6.88,6.83,6.87,845000,6.87
2013-02-19,6.87,6.90,6.86,6.88,652000,6.88
2013-02-18,6.78,6.88,6.77,6.84,1132000,6.84
2013-02-15,6.72,6.81,6.71,6.72,980000,6.72
2013-02-14,6.70,6.77,6.69,6.73,720000,6.73
2013-02-13,6.71,6.75,6.69,6.70,224000,6.70
2013-02-12,6.71,6.71,6.71,6.71,000,6.71
2013-02-11,6.71,6.71,6.71,6.71,000,6.71
2013-02-08,6.70,6.73,6.70,6.71,781000,6.71
2013-02-07,6.70,6.84,6.70,6.70,287000,6.70
2013-02-06,6.70,6.80,6.70,6.76,1440000,6.76
2013-02-05,6.75,6.78,6.67,6.69,1605000,6.69
2013-02-04,6.87,6.95,6.83,6.85,1475000,6.68
2013-02-01,6.88,6.91,6.86,6.87,165000,6.70
2013-01-31,7.00,7.00,6.80,6.91,1047000,6.74
2013-01-30,6.80,6.85,6.80,6.80,1581000,6.64
2013-01-29,6.80,6.83,6.79,6.81,1766000,6.65
2013-01-28,6.75,6.86,6.73,6.80,1027000,6.64
2013-01-25,6.67,6.75,6.67,6.70,6321000,6.54
2013-01-24,6.56,6.63,6.56,6.60,239000,6.44
2013-01-23,6.59,6.61,6.59,6.60,357000,6.44
2013-01-22,6.61,6.68,6.57,6.59,453000,6.43
2013-01-21,6.64,6.69,6.60,6.66,1072000,6.50
2013-01-18,6.52,6.65,6.52,6.63,1457000,6.47
2013-01-17,6.54,6.60,6.53,6.57,1909000,6.41
2013-01-16,6.47,6.58,6.46,6.55,3014000,6.39
2013-01-15,6.47,6.50,6.42,6.48,1907000,6.32
2013-01-14,6.41,6.52,6.41,6.50,1248000,6.34
2013-01-11,6.39,6.47,6.35,6.43,1638000,6.27
2013-01-10,6.33,6.40,6.32,6.34,926000,6.19
2013-01-09,6.36,6.37,6.28,6.31,558000,6.16
2013-01-08,6.32,6.35,6.32,6.32,739000,6.17
2013-01-07,6.45,6.45,6.29,6.38,1222000,6.23
2013-01-04,6.35,6.44,6.33,6.37,986000,6.22
2013-01-03,6.45,6.45,6.33,6.35,857000,6.20
2013-01-02,6.42,6.43,6.36,6.39,345000,6.24
2013-01-01,6.37,6.37,6.37,6.37,000,6.22
2012-12-31,6.34,6.40,6.28,6.37,245000,6.22
2012-12-28,6.55,6.55,6.33,6.35,1534000,6.20
2012-12-27,6.52,6.52,6.44,6.47,2484000,6.31
2012-12-26,6.56,6.56,6.49,6.52,217000,6.36
2012-12-25,6.51,6.51,6.51,6.51,000,6.35
2012-12-24,6.56,6.56,6.40,6.51,161000,6.35
2012-12-21,6.46,6.52,6.38,6.52,425000,6.36
2012-12-20,6.42,6.42,6.15,6.38,1387000,6.23
2012-12-19,6.36,6.36,6.31,6.34,159000,6.19
2012-12-18,6.35,6.49,6.29,6.36,942000,6.21
2012-12-17,6.41,6.49,6.28,6.34,985000,6.19
2012-12-14,6.38,6.48,6.38,6.43,1687000,6.27
2012-12-13,6.49,6.49,6.32,6.38,1111000,6.23
2012-12-12,6.50,6.82,6.42,6.51,950000,6.35
2012-12-11,6.51,6.60,6.48,6.53,540000,6.37
2012-12-10,6.61,6.73,6.45,6.60,1447000,6.44
2012-12-07,6.62,6.72,6.61,6.67,673000,6.51
2012-12-06,6.70,6.70,6.62,6.66,596000,6.50
2012-12-05,6.72,6.76,6.61,6.61,899000,6.45
2012-12-04,6.84,6.84,6.71,6.72,1220000,6.56
2012-12-03,6.73,6.84,6.71,6.78,1457000,6.62
2012-11-30,6.68,6.85,6.67,6.77,1321000,6.61
2012-11-29,6.66,6.72,6.66,6.68,1280000,6.52
2012-11-28,6.61,6.74,6.61,6.66,2509000,6.50
2012-11-27,6.63,6.74,6.63,6.70,1730000,6.54
2012-11-26,6.61,6.74,6.61,6.69,630000,6.53
2012-11-23,6.62,6.73,6.59,6.70,2227000,6.54
2012-11-22,6.50,6.64,6.50,6.59,3431000,6.43
2012-11-21,6.41,6.50,6.41,6.49,2773000,6.33
2012-11-20,6.41,6.44,6.41,6.41,1439000,6.26
2012-11-19,6.38,6.46,6.38,6.42,2385000,6.27
2012-11-16,6.38,6.48,6.37,6.44,1902000,6.28
2012-11-15,6.24,6.43,6.24,6.39,3409000,6.24
2012-11-14,6.30,6.40,6.27,6.27,4181000,6.12
2012-11-13,6.28,6.28,6.28,6.28,000,6.13
2012-11-12,6.22,6.28,6.18,6.28,1307000,6.13
2012-11-09,6.21,6.24,6.17,6.18,3076000,6.03
2012-11-08,6.29,6.29,6.17,6.21,1297000,6.06
2012-11-07,6.25,6.25,6.25,6.25,000,6.10
2012-11-06,6.29,6.29,6.23,6.25,1112000,6.10
2012-11-05,6.27,6.30,6.25,6.30,2196000,6.15
2012-11-02,6.30,6.35,6.25,6.30,2661000,6.15
2012-11-01,6.10,6.35,6.10,6.25,3065000,6.10
2012-10-31,6.02,6.16,6.01,6.12,3139000,5.97
2012-10-30,6.02,6.05,6.01,6.02,1890000,5.87
2012-10-29,5.98,6.06,5.98,6.01,1447000,5.86
2012-10-26,5.97,5.97,5.97,5.97,000,5.83
2012-10-25,6.00,6.01,5.97,5.97,7448000,5.83
2012-10-24,5.95,6.04,5.94,6.00,977000,5.86
2012-10-23,5.94,5.96,5.94,5.94,140000,5.80
2012-10-22,5.85,5.99,5.84,5.94,966000,5.80
2012-10-19,5.79,5.94,5.79,5.82,1125000,5.68
2012-10-18,5.87,5.88,5.76,5.76,1249000,5.62
2012-10-17,5.92,5.93,5.83,5.83,2084000,5.69
2012-10-16,5.93,5.95,5.90,5.92,1258000,5.78
2012-10-15,6.00,6.00,5.92,5.93,799000,5.79
2012-10-12,6.01,6.01,6.01,6.01,2000,5.86
2012-10-11,5.91,6.02,5.91,6.00,473000,5.86
2012-10-10,6.05,6.05,5.97,5.97,946000,5.83
2012-10-09,6.12,6.12,6.06,6.07,379000,5.92
