Date,Open,High,Low,Close,Volume,Adj Close
2013-05-28,1.15,1.25,1.15,1.25,14000,1.25
2013-05-23,1.20,1.20,1.15,1.15,22000,1.15
2013-05-22,1.25,1.25,1.24,1.25,40500,1.25
2013-05-21,1.24,1.24,1.24,1.24,21500,1.24
2013-05-16,1.23,1.28,1.23,1.28,8500,1.28
2013-05-14,1.22,1.22,1.22,1.22,9000,1.22
2013-05-13,1.20,1.20,1.20,1.20,2500,1.20
2013-04-30,1.20,1.20,1.20,1.20,2500,1.20
2013-04-29,1.19,1.20,1.19,1.20,30500,1.20
2013-04-03,1.16,1.18,1.16,1.16,11000,1.16
2013-03-26,1.10,1.11,1.10,1.11,11500,1.11
2013-03-22,1.10,1.10,1.10,1.10,182500,1.10
2013-03-18,1.09,1.10,1.09,1.10,11000,1.10
2013-03-14,1.08,1.09,1.08,1.09,16500,1.09
2013-03-13,1.08,1.10,1.08,1.10,10000,1.10
2013-03-12,1.08,1.08,1.08,1.08,45000,1.08
2013-03-11,1.05,1.08,1.05,1.08,20000,1.08
2013-03-08,1.08,1.08,1.08,1.08,70000,1.08
2013-03-07,1.08,1.08,1.08,1.08,20000,1.08
2013-03-06,1.04,1.07,1.04,1.04,30000,1.04
2013-02-26,1.07,1.08,1.07,1.08,43000,1.08
2013-02-25,1.07,1.08,1.07,1.08,83500,1.08
2013-02-22,1.08,1.08,1.08,1.08,23000,1.08
2013-02-21,1.08,1.08,1.07,1.08,73500,1.08
2013-02-20,1.08,1.09,1.08,1.09,169000,1.09
2013-02-19,1.07,1.08,1.07,1.08,194500,1.08
2013-02-18,1.09,1.09,1.08,1.09,56000,1.09
2013-02-15,1.08,1.08,1.08,1.08,57000,1.08
2013-02-14,1.09,1.09,1.09,1.09,37000,1.09
2013-02-13,1.10,1.10,1.09,1.09,26000,1.09
2013-02-08,1.08,1.09,1.08,1.09,10000,1.09
2013-02-07,1.08,1.09,1.08,1.08,75500,1.08
2013-02-06,1.08,1.09,1.08,1.09,38500,1.09
2013-02-05,1.08,1.09,1.08,1.09,23500,1.09
2013-01-31,1.10,1.10,1.09,1.10,46000,1.10
2013-01-30,1.09,1.09,1.09,1.09,4000,1.09
2013-01-29,1.09,1.09,1.09,1.09,27500,1.09
2013-01-28,1.09,1.09,1.09,1.09,68000,1.09
2013-01-25,1.08,1.09,1.08,1.09,87000,1.09
2013-01-22,1.08,1.08,1.08,1.08,84000,1.08
2013-01-21,1.08,1.09,1.08,1.09,39000,1.09
2013-01-18,1.08,1.08,1.08,1.08,183500,1.08
2013-01-17,1.08,1.08,1.08,1.08,10000,1.08
