Date,Open,High,Low,Close,Volume,Adj Close
2012-10-15,200.37,201.77,200.25,201.09,000,201.09
2012-10-10,200.31,201.16,200.01,201.02,000,201.02
2012-10-09,202.32,203.40,201.69,202.09,000,202.09
2012-10-05,203.63,204.63,203.05,204.04,000,204.04
2012-10-04,202.64,203.28,202.00,202.65,000,202.65
2012-10-03,203.45,203.45,201.27,201.97,000,201.97
2012-10-02,203.45,203.85,202.84,203.05,000,203.05
2012-10-01,202.23,202.66,201.36,202.20,000,202.20
2012-09-28,203.11,203.35,201.99,202.07,000,202.07
2012-09-27,201.12,202.93,200.97,202.36,000,202.36
2012-09-25,202.44,203.17,202.01,202.05,000,202.05
2012-09-24,204.02,204.26,202.24,202.43,000,202.43
2012-09-21,203.74,204.74,203.34,204.11,000,204.11
2012-09-20,205.18,205.32,202.73,202.73,000,202.73
2012-09-19,204.22,205.99,203.74,205.04,000,205.04
2012-09-18,204.23,204.90,203.30,203.51,000,203.51
2012-09-17,204.45,206.22,204.43,204.43,000,204.43
2012-09-14,203.38,204.33,203.04,203.27,000,203.27
2012-09-13,199.73,201.35,199.40,200.61,000,200.61
2012-09-12,198.36,200.43,198.30,200.19,000,200.19
2012-09-11,197.64,198.36,197.18,197.50,000,197.50
2012-09-10,198.38,199.11,197.53,197.79,000,197.79
2012-09-07,197.65,199.54,197.54,198.56,000,198.56
2012-09-06,195.75,196.17,194.64,195.63,000,195.63
2012-09-05,198.21,198.21,195.38,195.78,000,195.78
2012-09-03,199.24,200.02,198.88,198.96,000,198.96
2012-08-31,198.11,199.18,197.79,199.15,000,199.15
2012-08-30,200.32,200.69,198.89,198.89,000,198.89
2012-08-29,201.56,201.75,200.21,200.36,000,200.36
2012-08-28,201.20,201.63,200.79,201.22,000,201.22
2012-08-27,202.37,203.08,201.09,201.45,000,201.45
2012-08-24,202.33,202.66,200.99,201.58,000,201.58
2012-08-23,202.44,203.94,202.44,203.18,000,203.18
2012-08-22,203.71,203.71,202.13,202.62,000,202.62
2012-08-21,204.71,205.08,203.74,204.37,000,204.37
2012-08-17,205.03,205.11,203.75,204.66,000,204.66
2012-08-16,204.15,205.76,203.66,204.14,000,204.14
2012-08-15,205.03,205.03,202.79,202.97,000,202.97
2012-08-14,202.91,205.92,202.91,205.92,000,205.92
2012-08-10,202.17,202.82,201.83,202.46,000,202.46
2012-08-08,203.00,203.40,201.30,201.53,000,201.53
2012-08-07,203.96,204.60,202.29,202.41,000,202.41
2012-08-06,204.43,205.02,203.32,203.34,000,203.34
2012-08-03,200.68,203.28,200.00,202.76,000,202.76
2012-08-02,202.76,203.00,201.12,201.55,000,201.55
2012-08-01,200.42,204.06,200.42,203.24,000,203.24
2012-07-31,200.18,201.55,200.18,201.22,000,201.22
2012-07-27,202.39,202.75,199.51,200.22,000,200.22
2012-07-26,201.91,202.64,200.48,200.48,000,200.48
2012-07-25,200.33,201.40,199.79,201.04,000,201.04
2012-07-24,200.83,202.09,200.51,201.00,000,201.00
2012-07-23,203.89,203.89,200.11,200.57,000,200.57
2012-07-20,205.59,205.85,203.90,204.57,000,204.57
2012-07-19,206.96,206.96,205.54,206.14,000,206.14
2012-07-18,207.20,207.53,204.24,205.21,000,205.21
2012-07-17,205.43,207.42,205.39,206.52,000,206.52
2012-07-16,205.71,206.20,204.38,205.11,000,205.11
2012-07-13,205.25,205.97,204.37,204.83,000,204.83
2012-07-12,206.91,207.22,204.75,205.22,000,205.22
2012-07-11,204.85,207.43,204.63,206.91,000,206.91
2012-07-10,205.88,206.44,204.40,206.40,000,206.40
2012-07-09,207.23,207.68,204.69,204.70,000,204.70
2012-07-06,206.25,209.28,206.05,208.77,000,208.77
2012-07-05,203.54,206.32,202.88,206.32,000,206.32
2012-07-04,204.35,205.20,203.29,203.29,000,203.29
2012-07-03,200.17,203.49,199.55,203.04,000,203.04
2012-07-02,197.97,199.65,197.92,199.27,000,199.27
2012-06-29,194.78,197.68,194.74,196.29,000,196.29
2012-06-28,197.01,197.44,194.32,194.32,000,194.32
2012-06-27,194.15,196.72,194.13,196.02,000,196.02
2012-06-26,193.15,194.88,192.63,194.47,000,194.47
2012-06-25,194.22,195.12,193.09,193.52,000,193.52
2012-06-22,191.70,194.78,191.33,194.74,000,194.74
2012-06-21,195.98,196.26,193.43,193.99,000,193.99
2012-06-20,196.06,196.99,195.30,195.72,000,195.72
2012-06-19,194.14,195.83,194.04,195.06,000,195.06
2012-06-18,194.33,195.67,193.34,193.75,000,193.75
2012-06-15,189.57,192.45,189.52,192.45,000,192.45
2012-06-14,189.70,190.49,188.71,188.71,000,188.71
2012-06-13,189.90,191.73,189.90,190.17,000,190.17
2012-06-12,188.43,190.56,187.60,189.90,000,189.90
2012-06-11,188.68,190.37,188.68,190.22,000,190.22
2012-06-08,188.00,188.90,186.22,186.42,000,186.42
2012-06-07,191.65,191.71,187.91,188.32,000,188.32
2012-06-06,186.69,190.09,186.69,190.09,000,190.09
2012-06-05,187.23,188.79,185.96,185.96,000,185.96
2012-06-01,192.27,193.05,190.38,190.77,000,190.77
2012-05-31,193.00,194.08,192.10,192.81,000,192.81
2012-05-30,195.85,196.47,194.27,194.27,000,194.27
2012-05-29,193.00,196.98,193.00,196.03,000,196.03
2012-05-28,192.25,194.51,192.04,193.41,000,193.41
2012-05-25,193.12,193.42,191.67,193.10,000,193.10
2012-05-24,191.93,193.15,191.44,192.53,000,192.53
2012-05-23,192.84,192.98,191.10,191.10,000,191.10
2012-05-22,192.71,195.45,192.63,194.99,000,194.99
2012-05-21,188.60,191.25,188.05,190.97,000,190.97
2012-05-18,189.61,189.61,185.91,188.29,000,188.29
2012-05-17,194.25,195.21,192.87,192.87,000,192.87
2012-05-16,198.35,198.35,193.83,194.76,000,194.76
2012-05-14,201.87,202.43,195.89,196.30,000,196.30
2012-05-11,202.24,202.43,200.12,200.83,000,200.83
2012-05-10,202.45,203.70,201.46,202.31,000,202.31
2012-05-09,205.91,206.00,204.21,204.54,000,204.54
2012-05-08,209.95,210.38,207.61,207.81,000,207.81
2012-05-07,211.85,212.13,208.16,208.91,000,208.91
2012-05-04,216.07,216.22,214.48,215.03,000,215.03
2012-05-03,217.28,217.51,216.58,216.71,000,216.71
2012-05-02,215.58,217.13,215.49,217.08,000,217.08
2012-04-30,215.10,215.72,214.32,214.78,000,214.78
2012-04-27,217.27,217.36,214.90,215.64,000,215.64
2012-04-26,217.36,217.94,215.46,216.68,000,216.68
2012-04-25,219.42,219.42,216.78,217.16,000,217.16
2012-04-24,217.57,218.98,217.28,218.48,000,218.48
2012-04-23,222.25,222.56,218.52,218.68,000,218.68
2012-04-20,222.63,223.23,221.64,221.83,000,221.83
2012-04-19,221.84,223.23,221.36,223.20,000,223.20
2012-04-18,222.48,223.11,221.37,222.39,000,222.39
2012-04-17,223.86,223.94,219.36,220.88,000,220.88
2012-04-16,222.32,224.11,222.04,223.82,000,223.82
2012-04-13,226.11,226.47,224.07,224.07,000,224.07
2012-04-12,223.79,225.42,222.47,224.63,000,224.63
2012-04-11,222.99,224.18,222.16,222.95,000,222.95
2012-04-10,224.15,225.70,224.11,225.70,000,225.70
2012-04-09,225.54,225.54,223.32,224.05,000,224.05
2012-04-05,226.25,227.75,225.08,226.99,000,226.99
2012-04-04,229.11,229.43,226.81,227.15,000,227.15
2012-04-03,230.31,230.65,228.63,229.44,000,229.44
2012-04-02,228.53,229.36,228.06,228.83,000,228.83
2012-03-30,226.32,227.99,226.21,227.88,000,227.88
2012-03-29,226.47,227.19,225.58,225.66,000,225.66
2012-03-28,228.65,228.71,226.64,227.18,000,227.18
2012-03-27,227.44,229.29,227.26,228.96,000,228.96
2012-03-26,227.25,227.25,225.16,225.16,000,225.16
2012-03-23,226.40,226.91,225.25,226.91,000,226.91
2012-03-22,228.15,228.66,225.91,225.91,000,225.91
2012-03-21,228.75,229.25,226.53,228.21,000,228.21
2012-03-20,231.08,231.18,228.62,229.03,000,229.03
2012-03-19,232.35,232.92,229.18,229.26,000,229.26
2012-03-16,231.86,233.12,231.27,231.34,000,231.34
2012-03-15,230.96,231.38,228.39,230.88,000,230.88
2012-03-14,229.86,231.09,229.14,230.30,000,230.30
2012-03-13,224.08,227.45,224.08,226.96,000,226.96
2012-03-12,224.46,225.08,222.82,222.82,000,222.82
2012-03-09,225.36,226.48,224.23,224.23,000,224.23
2012-03-08,222.84,225.32,222.79,224.42,000,224.42
2012-03-07,220.34,223.07,219.38,221.48,000,221.48
2012-03-06,228.73,229.06,222.81,223.17,000,223.17
2012-03-05,229.32,230.26,228.19,228.83,000,228.83
2012-03-02,229.35,230.41,228.50,229.49,000,229.49
2012-03-01,231.61,232.12,227.28,227.47,000,227.47
2012-02-29,231.99,233.52,230.93,231.07,000,231.07
2012-02-28,230.03,231.82,229.11,231.21,000,231.21
2012-02-27,233.96,234.58,229.88,229.88,000,229.88
2012-02-24,232.54,235.16,231.76,235.11,000,235.11
2012-02-23,233.51,234.70,229.98,232.30,000,232.30
2012-02-22,235.12,238.74,232.91,235.22,000,235.22
2012-02-21,233.75,236.46,233.75,236.45,000,236.45
2012-02-20,234.04,234.94,231.85,233.82,000,233.82
2012-02-17,233.56,234.72,230.34,231.31,000,231.31
2012-02-16,234.47,235.00,230.17,230.19,000,230.19
2012-02-15,232.61,236.55,232.55,236.28,000,236.28
2012-02-14,229.94,232.19,227.48,231.82,000,231.82
2012-02-13,228.65,229.85,227.60,229.78,000,229.78
2012-02-10,233.45,234.68,228.01,228.51,000,228.51
2012-02-09,230.95,234.79,229.43,232.61,000,232.61
2012-02-08,227.16,231.60,226.61,231.60,000,231.60
2012-02-07,225.86,227.55,224.26,225.91,000,225.91
2012-02-06,225.51,228.10,225.51,225.51,000,225.51
2012-02-03,219.92,223.18,219.92,222.72,000,222.72
2012-02-02,216.56,220.63,216.56,219.21,000,219.21
2012-02-01,216.74,217.21,213.91,215.64,000,215.64
2012-01-31,213.77,216.93,213.77,216.87,000,216.87
2012-01-30,215.51,216.04,213.93,214.62,000,214.62
2012-01-27,214.42,216.56,214.21,216.46,000,216.46
2012-01-26,216.90,218.66,213.32,215.08,000,215.08
2012-01-25,211.96,216.22,211.66,216.22,000,216.22
2012-01-20,207.27,212.01,207.27,211.23,000,211.23
2012-01-19,204.14,207.42,204.11,206.39,000,206.39
2012-01-18,203.74,206.14,202.84,203.47,000,203.47
2012-01-17,201.44,204.82,201.38,204.62,000,204.62
2012-01-16,201.60,201.74,199.68,200.62,000,200.62
2012-01-13,201.27,203.19,201.00,202.88,000,202.88
2012-01-12,200.83,201.62,199.69,200.50,000,200.50
2012-01-11,197.22,201.06,197.00,201.06,000,201.06
2012-01-10,194.77,196.88,194.03,196.88,000,196.88
2012-01-09,193.89,195.20,192.22,194.37,000,194.37
2012-01-06,194.81,195.24,193.60,195.07,000,195.07
2012-01-05,192.79,196.31,192.59,193.93,000,193.93
2012-01-04,192.97,193.70,191.68,193.11,000,193.11
2012-01-03,187.47,192.54,187.47,192.21,000,192.21
