Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.10,0.10,0.10,0.10,70000,0.10
2013-06-03,0.09,0.09,0.09,0.09,88000,0.09
2013-05-31,0.10,0.10,0.10,0.10,000,0.10
2013-05-30,0.10,0.10,0.10,0.10,000,0.10
2013-05-29,0.10,0.10,0.10,0.10,36000,0.10
2013-05-28,0.10,0.10,0.10,0.10,000,0.10
2013-05-27,0.10,0.10,0.10,0.10,000,0.10
2013-05-24,0.10,0.10,0.10,0.10,000,0.10
2013-05-23,0.10,0.10,0.10,0.10,000,0.10
2013-05-22,0.10,0.10,0.10,0.10,108000,0.10
2013-05-21,0.10,0.10,0.10,0.10,100000,0.10
2013-05-20,0.10,0.10,0.10,0.10,30000,0.10
2013-05-17,0.10,0.10,0.10,0.10,000,0.10
2013-05-16,0.10,0.10,0.10,0.10,000,0.10
2013-05-15,0.10,0.10,0.10,0.10,000,0.10
2013-05-14,0.10,0.10,0.10,0.10,000,0.10
2013-05-13,0.10,0.10,0.10,0.10,000,0.10
2013-05-10,0.10,0.10,0.10,0.10,180000,0.10
2013-05-09,0.10,0.10,0.10,0.10,000,0.10
2013-05-08,0.10,0.10,0.10,0.10,000,0.10
2013-05-07,0.10,0.10,0.10,0.10,000,0.10
2013-05-06,0.10,0.10,0.09,0.10,130000,0.10
2013-05-03,0.09,0.10,0.09,0.10,150000,0.10
2013-05-02,0.09,0.09,0.09,0.09,000,0.09
2013-05-01,0.09,0.09,0.09,0.09,000,0.09
2013-04-30,0.09,0.09,0.09,0.09,5000,0.09
2013-04-29,0.09,0.09,0.09,0.09,000,0.09
2013-04-26,0.09,0.09,0.09,0.09,11000,0.09
2013-04-25,0.09,0.09,0.09,0.09,000,0.09
2013-04-24,0.09,0.10,0.09,0.09,34000,0.09
2013-04-23,0.09,0.09,0.09,0.09,000,0.09
2013-04-22,0.09,0.09,0.09,0.09,22000,0.09
2013-04-19,0.10,0.10,0.10,0.10,000,0.10
2013-04-18,0.10,0.10,0.10,0.10,000,0.10
2013-04-17,0.10,0.10,0.10,0.10,000,0.10
2013-04-16,0.10,0.10,0.10,0.10,000,0.10
2013-04-15,0.10,0.10,0.10,0.10,000,0.10
2013-04-12,0.10,0.10,0.10,0.10,50000,0.10
2013-04-11,0.09,0.09,0.09,0.09,000,0.09
2013-04-10,0.09,0.09,0.09,0.09,000,0.09
2013-04-09,0.09,0.10,0.09,0.09,20000,0.09
2013-04-08,0.09,0.09,0.09,0.09,000,0.09
2013-04-05,0.09,0.09,0.09,0.09,000,0.09
2013-04-04,0.09,0.09,0.09,0.09,000,0.09
2013-04-03,0.09,0.09,0.09,0.09,000,0.09
2013-04-02,0.09,0.09,0.09,0.09,000,0.09
2013-04-01,0.10,0.10,0.09,0.09,35000,0.09
2013-03-29,0.10,0.10,0.10,0.10,000,0.10
2013-03-28,0.10,0.10,0.10,0.10,46000,0.10
2013-03-27,0.09,0.09,0.09,0.09,235000,0.09
2013-03-26,0.10,0.10,0.09,0.09,587000,0.09
2013-03-25,0.10,0.10,0.10,0.10,13000,0.10
2013-03-22,0.10,0.10,0.10,0.10,000,0.10
2013-03-21,0.10,0.10,0.10,0.10,100000,0.10
2013-03-20,0.10,0.10,0.10,0.10,56000,0.10
2013-03-19,0.10,0.10,0.10,0.10,11000,0.10
2013-03-18,0.10,0.10,0.10,0.10,000,0.10
2013-03-15,0.10,0.10,0.10,0.10,000,0.10
2013-03-14,0.10,0.10,0.10,0.10,000,0.10
2013-03-13,0.10,0.10,0.10,0.10,000,0.10
2013-03-12,0.10,0.10,0.10,0.10,000,0.10
2013-03-11,0.10,0.10,0.09,0.10,118000,0.10
2013-03-08,0.10,0.10,0.10,0.10,63000,0.10
2013-03-07,0.10,0.10,0.10,0.10,28000,0.10
2013-03-06,0.10,0.10,0.10,0.10,000,0.10
2013-03-05,0.10,0.10,0.10,0.10,000,0.10
2013-03-04,0.10,0.10,0.09,0.10,112000,0.10
2013-03-01,0.10,0.10,0.10,0.10,4000,0.10
2013-02-28,0.10,0.10,0.10,0.10,000,0.10
2013-02-27,0.10,0.10,0.10,0.10,000,0.10
2013-02-26,0.10,0.10,0.10,0.10,000,0.10
2013-02-25,0.10,0.10,0.10,0.10,000,0.10
2013-02-22,0.10,0.10,0.10,0.10,000,0.10
2013-02-21,0.10,0.10,0.10,0.10,50000,0.10
2013-02-20,0.10,0.10,0.10,0.10,000,0.10
2013-02-19,0.10,0.10,0.10,0.10,40000,0.10
2013-02-18,0.10,0.10,0.10,0.10,50000,0.10
2013-02-15,0.10,0.10,0.10,0.10,421000,0.10
2013-02-14,0.10,0.10,0.10,0.10,20000,0.10
2013-02-13,0.10,0.10,0.10,0.10,193000,0.10
2013-02-12,0.10,0.10,0.10,0.10,000,0.10
2013-02-11,0.10,0.10,0.10,0.10,000,0.10
2013-02-08,0.10,0.10,0.10,0.10,000,0.10
2013-02-07,0.10,0.10,0.10,0.10,000,0.10
2013-02-06,0.10,0.10,0.10,0.10,3000,0.10
2013-02-05,0.10,0.10,0.10,0.10,000,0.10
2013-02-04,0.10,0.10,0.10,0.10,000,0.10
2013-02-01,0.10,0.10,0.10,0.10,000,0.10
2013-01-31,0.10,0.10,0.10,0.10,000,0.10
2013-01-30,0.10,0.10,0.10,0.10,000,0.10
2013-01-29,0.10,0.10,0.10,0.10,5000,0.10
2013-01-28,0.10,0.10,0.10,0.10,111000,0.10
2013-01-25,0.10,0.10,0.10,0.10,102000,0.10
2013-01-24,0.10,0.10,0.10,0.10,51000,0.10
2013-01-23,0.10,0.10,0.10,0.10,91000,0.10
2013-01-22,0.10,0.10,0.10,0.10,53000,0.10
2013-01-21,0.10,0.10,0.09,0.10,158000,0.10
2013-01-18,0.10,0.10,0.09,0.09,70000,0.09
2013-01-17,0.09,0.10,0.09,0.10,203000,0.10
2013-01-16,0.10,0.10,0.10,0.10,128000,0.10
2013-01-15,0.12,0.12,0.12,0.12,000,0.12
2013-01-14,0.12,0.12,0.12,0.12,000,0.12
2013-01-11,0.12,0.12,0.12,0.12,1000,0.12
2013-01-10,0.10,0.10,0.10,0.10,000,0.10
2013-01-09,0.10,0.12,0.10,0.10,258000,0.10
2013-01-08,0.10,0.10,0.10,0.10,000,0.10
2013-01-07,0.10,0.10,0.10,0.10,50000,0.10
2013-01-04,0.09,0.10,0.09,0.10,181000,0.10
2013-01-03,0.09,0.09,0.09,0.09,000,0.09
2013-01-02,0.09,0.09,0.09,0.09,000,0.09
2013-01-01,0.09,0.09,0.09,0.09,000,0.09
2012-12-31,0.09,0.09,0.09,0.09,000,0.09
2012-12-28,0.09,0.09,0.09,0.09,000,0.09
2012-12-27,0.09,0.09,0.09,0.09,000,0.09
2012-12-26,0.09,0.09,0.09,0.09,20000,0.09
2012-12-25,0.09,0.09,0.09,0.09,000,0.09
2012-12-24,0.09,0.09,0.09,0.09,000,0.09
2012-12-21,0.09,0.09,0.09,0.09,220000,0.09
2012-12-20,0.09,0.09,0.09,0.09,100000,0.09
2012-12-19,0.09,0.09,0.09,0.09,99000,0.09
2012-12-18,0.09,0.09,0.09,0.09,5000,0.09
2012-12-17,0.09,0.09,0.09,0.09,000,0.09
2012-12-14,0.09,0.09,0.09,0.09,33000,0.09
2012-12-13,0.09,0.09,0.09,0.09,6000,0.09
2012-12-12,0.09,0.09,0.09,0.09,000,0.09
2012-12-11,0.09,0.09,0.09,0.09,71000,0.09
2012-12-10,0.09,0.09,0.09,0.09,000,0.09
2012-12-07,0.09,0.09,0.09,0.09,000,0.09
2012-12-06,0.09,0.09,0.09,0.09,330000,0.09
2012-12-05,0.09,0.09,0.09,0.09,14000,0.09
2012-12-04,0.09,0.09,0.09,0.09,000,0.09
2012-12-03,0.09,0.09,0.09,0.09,000,0.09
2012-11-30,0.09,0.09,0.09,0.09,22000,0.09
2012-11-29,0.09,0.09,0.09,0.09,1000,0.09
2012-11-28,0.09,0.09,0.09,0.09,000,0.09
2012-11-27,0.09,0.09,0.09,0.09,17000,0.09
