Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.86,0.87,0.86,0.87,68000,0.87
2013-06-03,0.86,0.86,0.86,0.86,32000,0.86
2013-05-31,0.86,0.87,0.86,0.87,68000,0.87
2013-05-30,0.86,0.87,0.86,0.87,186000,0.87
2013-05-29,0.87,0.88,0.86,0.88,174000,0.88
2013-05-28,0.85,0.86,0.85,0.86,64000,0.86
2013-05-27,0.85,0.86,0.83,0.85,81000,0.85
2013-05-24,0.85,0.85,0.85,0.85,000,0.85
2013-05-23,0.85,0.85,0.83,0.85,77000,0.85
2013-05-22,0.88,0.88,0.85,0.87,41000,0.87
2013-05-21,0.84,0.88,0.83,0.88,260000,0.88
2013-05-20,0.84,0.84,0.83,0.84,53000,0.84
2013-05-17,0.84,0.84,0.83,0.83,66000,0.83
2013-05-16,0.84,0.84,0.82,0.84,108000,0.84
2013-05-15,0.84,0.84,0.84,0.84,207000,0.84
2013-05-14,0.85,0.85,0.83,0.83,48000,0.83
2013-05-13,0.84,0.85,0.83,0.84,145000,0.84
2013-05-10,0.83,0.84,0.83,0.84,234000,0.84
2013-05-09,0.83,0.83,0.82,0.83,99000,0.83
2013-05-08,0.82,0.83,0.82,0.83,53000,0.83
2013-05-07,0.83,0.83,0.82,0.82,75000,0.82
2013-05-06,0.83,0.83,0.83,0.83,80000,0.83
2013-05-03,0.83,0.83,0.83,0.83,40000,0.83
2013-05-02,0.84,0.84,0.84,0.85,15000,0.85
2013-05-01,0.85,0.85,0.85,0.85,000,0.85
2013-04-30,0.85,0.85,0.83,0.85,56000,0.85
2013-04-29,0.85,0.85,0.84,0.85,116000,0.85
2013-04-26,0.89,0.89,0.88,0.88,251000,0.85
2013-04-25,0.88,0.89,0.88,0.89,102000,0.85
2013-04-24,0.88,0.89,0.88,0.89,79000,0.85
2013-04-23,0.89,0.89,0.88,0.89,31000,0.85
2013-04-22,0.87,0.90,0.87,0.90,248000,0.86
2013-04-19,0.88,0.88,0.87,0.87,31000,0.83
2013-04-18,0.87,0.87,0.87,0.87,5000,0.83
2013-04-17,0.88,0.88,0.87,0.88,15000,0.84
2013-04-16,0.87,0.88,0.86,0.88,58000,0.84
2013-04-15,0.88,0.88,0.88,0.88,10000,0.84
2013-04-12,0.88,0.88,0.87,0.88,65000,0.84
2013-04-11,0.88,0.88,0.87,0.87,121000,0.83
2013-04-10,0.87,0.88,0.87,0.88,52000,0.84
2013-04-09,0.87,0.88,0.87,0.88,34000,0.84
2013-04-08,0.87,0.88,0.87,0.88,107000,0.84
2013-04-05,0.87,0.88,0.87,0.88,87000,0.84
2013-04-04,0.87,0.87,0.87,0.87,26000,0.83
2013-04-03,0.88,0.88,0.88,0.88,70000,0.84
2013-04-02,0.87,0.89,0.87,0.88,72000,0.85
2013-04-01,0.88,0.88,0.88,0.88,46000,0.85
2013-03-29,0.88,0.88,0.88,0.88,000,0.84
2013-03-28,0.88,0.89,0.88,0.88,116000,0.84
2013-03-27,0.88,0.88,0.88,0.88,58000,0.84
2013-03-26,0.88,0.89,0.88,0.88,75000,0.84
2013-03-25,0.88,0.88,0.88,0.88,41000,0.84
2013-03-22,0.88,0.88,0.87,0.88,66000,0.84
2013-03-21,0.86,0.88,0.86,0.88,384000,0.84
2013-03-20,0.86,0.87,0.86,0.87,25000,0.83
