Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.35,0.35,0.34,0.35,8031000,0.35
2013-06-03,0.34,0.36,0.34,0.34,16316000,0.34
2013-05-31,0.34,0.35,0.34,0.34,6896000,0.34
2013-05-30,0.34,0.35,0.34,0.34,6630000,0.34
2013-05-29,0.36,0.36,0.34,0.35,6831000,0.35
2013-05-28,0.35,0.37,0.35,0.35,14688000,0.35
2013-05-27,0.35,0.37,0.34,0.36,22301000,0.36
2013-05-24,0.34,0.34,0.34,0.34,000,0.34
2013-05-23,0.34,0.37,0.33,0.34,51732000,0.34
2013-05-22,0.32,0.35,0.32,0.34,35772000,0.34
2013-05-21,0.32,0.33,0.32,0.32,4168000,0.32
2013-05-20,0.32,0.34,0.32,0.32,26377000,0.32
2013-05-17,0.31,0.32,0.31,0.32,26907000,0.32
2013-05-16,0.31,0.31,0.30,0.30,2881000,0.30
2013-05-15,0.30,0.31,0.30,0.31,6056000,0.31
2013-05-14,0.30,0.31,0.29,0.30,4798000,0.30
2013-05-13,0.31,0.32,0.29,0.29,32964000,0.29
2013-05-10,0.28,0.29,0.28,0.29,7256000,0.29
2013-05-09,0.28,0.28,0.28,0.28,454000,0.28
2013-05-08,0.28,0.28,0.28,0.28,823000,0.28
2013-05-07,0.28,0.28,0.28,0.28,1470000,0.28
2013-05-06,0.28,0.28,0.28,0.28,395000,0.28
2013-05-03,0.28,0.28,0.28,0.28,1803000,0.28
2013-05-02,0.28,0.28,0.28,0.28,772000,0.28
2013-05-01,0.28,0.28,0.28,0.28,000,0.28
2013-04-30,0.28,0.28,0.28,0.28,739000,0.28
2013-04-29,0.28,0.28,0.28,0.28,3303000,0.28
2013-04-26,0.28,0.28,0.28,0.28,705000,0.28
2013-04-25,0.28,0.28,0.28,0.28,2558000,0.28
2013-04-24,0.28,0.28,0.28,0.28,409000,0.28
2013-04-23,0.28,0.28,0.28,0.28,5306000,0.28
2013-04-22,0.28,0.29,0.28,0.28,7207000,0.28
2013-04-19,0.28,0.28,0.28,0.28,796000,0.28
2013-04-18,0.28,0.28,0.28,0.28,1083000,0.28
2013-04-17,0.28,0.28,0.28,0.28,934000,0.28
2013-04-16,0.28,0.28,0.28,0.28,1025000,0.28
2013-04-15,0.28,0.28,0.28,0.28,293000,0.28
2013-04-12,0.28,0.28,0.28,0.28,110000,0.28
2013-04-11,0.28,0.28,0.28,0.28,2773000,0.28
2013-04-10,0.28,0.28,0.28,0.28,2222000,0.28
2013-04-09,0.28,0.28,0.27,0.28,11188000,0.28
2013-04-08,0.28,0.28,0.27,0.27,453000,0.27
2013-04-05,0.28,0.28,0.27,0.28,1744000,0.28
2013-04-04,0.28,0.28,0.27,0.28,1356000,0.28
2013-04-03,0.28,0.28,0.28,0.28,326000,0.28
2013-04-02,0.28,0.28,0.27,0.28,3781000,0.28
2013-04-01,0.28,0.28,0.28,0.28,1006000,0.28
2013-03-29,0.28,0.28,0.28,0.28,000,0.28
2013-03-28,0.28,0.28,0.28,0.28,2999000,0.28
2013-03-27,0.28,0.28,0.28,0.28,2121000,0.28
2013-03-26,0.28,0.28,0.28,0.28,5286000,0.28
2013-03-25,0.28,0.28,0.28,0.28,1607000,0.28
2013-03-22,0.28,0.28,0.28,0.28,1567000,0.28
2013-03-21,0.28,0.28,0.28,0.28,689000,0.28
2013-03-20,0.28,0.28,0.28,0.28,1020000,0.28
2013-03-19,0.28,0.28,0.27,0.27,614000,0.27
2013-03-18,0.27,0.28,0.27,0.28,1220000,0.28
2013-03-15,0.28,0.28,0.27,0.28,6690000,0.28
2013-03-14,0.28,0.28,0.28,0.28,2622000,0.28
2013-03-13,0.28,0.28,0.28,0.28,3361000,0.28
2013-03-12,0.28,0.28,0.28,0.28,1240000,0.28
2013-03-11,0.28,0.28,0.28,0.28,1617000,0.28
2013-03-08,0.28,0.28,0.28,0.28,1921000,0.28
2013-03-07,0.28,0.28,0.28,0.28,1691000,0.28
2013-03-06,0.28,0.28,0.28,0.28,2939000,0.28
2013-03-05,0.28,0.28,0.28,0.28,1058000,0.28
2013-03-04,0.28,0.28,0.27,0.27,4956000,0.27
2013-03-01,0.28,0.28,0.28,0.28,2467000,0.28
2013-02-28,0.29,0.29,0.28,0.28,968000,0.28
2013-02-27,0.29,0.29,0.28,0.28,1260000,0.28
2013-02-26,0.29,0.29,0.28,0.29,3805000,0.29
2013-02-25,0.29,0.29,0.28,0.28,783000,0.28
2013-02-22,0.29,0.29,0.28,0.29,851000,0.29
2013-02-21,0.29,0.29,0.28,0.28,1554000,0.28
2013-02-20,0.29,0.30,0.29,0.29,890000,0.29
2013-02-19,0.29,0.31,0.29,0.29,5481000,0.29
2013-02-18,0.29,0.29,0.28,0.29,769000,0.29
2013-02-15,0.29,0.29,0.29,0.29,1058000,0.29
2013-02-14,0.29,0.29,0.28,0.29,472000,0.29
2013-02-13,0.28,0.29,0.28,0.29,2450000,0.29
2013-02-12,0.28,0.28,0.28,0.28,000,0.28
2013-02-11,0.28,0.28,0.28,0.28,000,0.28
2013-02-08,0.29,0.29,0.28,0.28,933000,0.28
2013-02-07,0.29,0.29,0.28,0.28,1129000,0.28
2013-02-06,0.29,0.29,0.28,0.29,1736000,0.29
2013-02-05,0.29,0.29,0.28,0.28,1458000,0.28
2013-02-04,0.29,0.29,0.29,0.29,1213000,0.29
2013-02-01,0.29,0.30,0.29,0.29,913000,0.29
2013-01-31,0.29,0.30,0.29,0.29,1690000,0.29
2013-01-30,0.31,0.31,0.29,0.29,3506000,0.29
2013-01-29,0.29,0.31,0.29,0.30,13578000,0.30
2013-01-28,0.29,0.29,0.29,0.29,2871000,0.29
2013-01-25,0.29,0.29,0.29,0.29,271000,0.29
2013-01-24,0.30,0.30,0.29,0.29,2650000,0.29
2013-01-23,0.29,0.31,0.29,0.31,25906000,0.31
2013-01-22,0.28,0.28,0.28,0.28,1620000,0.28
2013-01-21,0.28,0.29,0.28,0.28,5034000,0.28
2013-01-18,0.28,0.28,0.28,0.28,1449000,0.28
2013-01-17,0.28,0.29,0.28,0.28,3803000,0.28
2013-01-16,0.29,0.29,0.28,0.28,1597000,0.28
2013-01-15,0.29,0.29,0.28,0.29,2821000,0.29
2013-01-14,0.29,0.29,0.28,0.29,2791000,0.29
2013-01-11,0.29,0.29,0.29,0.29,3649000,0.29
2013-01-10,0.30,0.30,0.29,0.29,5023000,0.29
2013-01-09,0.28,0.30,0.28,0.29,13480000,0.29
2013-01-08,0.29,0.29,0.28,0.28,2063000,0.28
2013-01-07,0.29,0.29,0.28,0.29,2994000,0.29
2013-01-04,0.29,0.29,0.28,0.28,6372000,0.28
2013-01-03,0.29,0.29,0.28,0.29,3816000,0.29
2013-01-02,0.29,0.29,0.28,0.29,8513000,0.29
2013-01-01,0.28,0.28,0.28,0.28,000,0.28
2012-12-31,0.28,0.28,0.28,0.28,2477000,0.28
2012-12-28,0.29,0.29,0.28,0.29,2442000,0.29
2012-12-27,0.28,0.29,0.28,0.28,5370000,0.28
2012-12-26,0.28,0.29,0.28,0.29,15693000,0.29
2012-12-25,0.28,0.28,0.28,0.28,000,0.28
2012-12-24,0.27,0.28,0.27,0.28,3834000,0.28
