Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,0.16,0.16,0.16,0.16,1009000,0.16
2013-05-31,0.16,0.17,0.16,0.16,833000,0.16
2013-05-30,0.16,0.16,0.16,0.16,988000,0.16
2013-05-29,0.17,0.17,0.16,0.16,1962000,0.16
2013-05-28,0.17,0.17,0.17,0.17,130000,0.17
2013-05-27,0.16,0.17,0.16,0.17,1186000,0.17
2013-05-24,0.17,0.17,0.17,0.17,000,0.17
2013-05-23,0.17,0.17,0.16,0.17,931000,0.17
2013-05-22,0.17,0.17,0.17,0.17,1251000,0.17
2013-05-21,0.17,0.17,0.17,0.17,1013000,0.17
2013-05-20,0.17,0.17,0.17,0.17,495000,0.17
2013-05-17,0.17,0.17,0.17,0.17,1171000,0.17
2013-05-16,0.17,0.17,0.17,0.17,1525000,0.17
2013-05-15,0.16,0.16,0.16,0.16,1019000,0.16
2013-05-14,0.16,0.16,0.16,0.16,443000,0.16
2013-05-13,0.16,0.16,0.16,0.16,911000,0.16
2013-05-10,0.16,0.16,0.16,0.16,637000,0.16
2013-05-09,0.16,0.16,0.16,0.16,762000,0.16
2013-05-08,0.16,0.16,0.16,0.16,3618000,0.16
2013-05-07,0.17,0.17,0.16,0.16,13166000,0.16
2013-05-06,0.17,0.17,0.17,0.17,639000,0.17
2013-05-03,0.17,0.17,0.17,0.17,637000,0.17
2013-05-02,0.17,0.17,0.17,0.17,135000,0.17
2013-05-01,0.17,0.17,0.17,0.17,000,0.17
2013-04-30,0.17,0.17,0.17,0.17,424000,0.17
2013-04-29,0.17,0.17,0.17,0.17,573000,0.17
2013-04-26,0.17,0.17,0.17,0.17,361000,0.17
2013-04-25,0.17,0.17,0.17,0.17,193000,0.17
2013-04-24,0.17,0.17,0.17,0.17,366000,0.17
2013-04-23,0.17,0.17,0.17,0.17,179000,0.17
2013-04-22,0.17,0.17,0.17,0.17,535000,0.17
2013-04-19,0.17,0.17,0.17,0.17,506000,0.17
2013-04-18,0.17,0.17,0.17,0.17,964000,0.17
2013-04-17,0.17,0.17,0.17,0.17,1070000,0.17
2013-04-16,0.17,0.17,0.17,0.17,516000,0.17
2013-04-15,0.17,0.17,0.17,0.17,569000,0.17
2013-04-12,0.17,0.17,0.17,0.17,802000,0.17
2013-04-11,0.17,0.17,0.17,0.17,1367000,0.17
2013-04-10,0.17,0.17,0.17,0.17,441000,0.17
2013-04-09,0.17,0.17,0.17,0.17,1880000,0.17
2013-04-08,0.17,0.17,0.17,0.17,667000,0.17
2013-04-05,0.17,0.17,0.17,0.17,798000,0.17
2013-04-04,0.16,0.17,0.16,0.17,93000,0.17
2013-04-03,0.17,0.17,0.16,0.16,463000,0.16
2013-04-02,0.16,0.17,0.16,0.16,412000,0.16
2013-04-01,0.16,0.16,0.16,0.16,1058000,0.16
2013-03-29,0.17,0.17,0.17,0.17,000,0.17
2013-03-28,0.17,0.17,0.16,0.17,512000,0.17
2013-03-27,0.17,0.17,0.17,0.17,226000,0.17
2013-03-26,0.16,0.17,0.16,0.17,529000,0.17
2013-03-25,0.16,0.17,0.16,0.17,937000,0.17
2013-03-22,0.16,0.17,0.16,0.16,246000,0.16
2013-03-21,0.17,0.17,0.16,0.17,501000,0.17
2013-03-20,0.17,0.17,0.16,0.17,1101000,0.17
2013-03-19,0.17,0.17,0.17,0.17,754000,0.17
2013-03-18,0.17,0.17,0.17,0.17,414000,0.17
2013-03-15,0.17,0.17,0.17,0.17,127000,0.17
2013-03-14,0.17,0.17,0.17,0.17,214000,0.17
2013-03-13,0.17,0.17,0.17,0.17,327000,0.17
2013-03-12,0.17,0.17,0.17,0.17,1213000,0.17
2013-03-11,0.17,0.17,0.17,0.17,1223000,0.17
2013-03-08,0.17,0.17,0.17,0.17,2367000,0.17
2013-03-07,0.17,0.17,0.17,0.17,923000,0.17
2013-03-06,0.17,0.17,0.17,0.17,2612000,0.17
2013-03-05,0.16,0.17,0.16,0.16,1085000,0.16
2013-03-04,0.16,0.16,0.16,0.16,501000,0.16
2013-03-01,0.16,0.16,0.16,0.16,1698000,0.16
2013-02-28,0.17,0.17,0.16,0.16,1838000,0.16
2013-02-27,0.17,0.17,0.17,0.17,342000,0.17
2013-02-26,0.17,0.17,0.17,0.17,1342000,0.17
2013-02-25,0.17,0.17,0.17,0.17,1151000,0.17
2013-02-22,0.18,0.18,0.18,0.18,1703000,0.18
2013-02-21,0.18,0.18,0.18,0.18,1067000,0.18
2013-02-20,0.18,0.18,0.17,0.18,2259000,0.18
2013-02-19,0.18,0.18,0.17,0.18,4657000,0.18
2013-02-18,0.18,0.18,0.17,0.18,5225000,0.18
2013-02-15,0.18,0.18,0.17,0.18,2716000,0.18
2013-02-14,0.18,0.18,0.18,0.18,877000,0.18
2013-02-13,0.18,0.18,0.18,0.18,2823000,0.18
2013-02-12,0.18,0.18,0.18,0.18,000,0.18
2013-02-11,0.18,0.18,0.18,0.18,000,0.18
2013-02-08,0.18,0.18,0.18,0.18,2997000,0.18
2013-02-07,0.18,0.18,0.18,0.18,80000,0.18
2013-02-06,0.18,0.18,0.18,0.18,530000,0.18
2013-02-05,0.18,0.18,0.17,0.17,1131000,0.17
2013-02-04,0.18,0.18,0.18,0.18,1628000,0.18
2013-02-01,0.18,0.18,0.17,0.17,868000,0.17
2013-01-31,0.17,0.18,0.17,0.18,653000,0.18
2013-01-30,0.17,0.18,0.17,0.17,1399000,0.17
2013-01-29,0.17,0.17,0.17,0.17,765000,0.17
2013-01-28,0.17,0.17,0.17,0.17,880000,0.17
2013-01-25,0.17,0.17,0.17,0.17,745000,0.17
2013-01-24,0.17,0.17,0.17,0.17,1283000,0.17
2013-01-23,0.17,0.17,0.17,0.17,623000,0.17
2013-01-22,0.17,0.17,0.17,0.17,796000,0.17
2013-01-21,0.17,0.17,0.17,0.17,100000,0.17
2013-01-18,0.17,0.17,0.17,0.17,599000,0.17
2013-01-17,0.17,0.17,0.17,0.17,1197000,0.17
2013-01-16,0.17,0.17,0.17,0.17,866000,0.17
2013-01-15,0.17,0.17,0.17,0.17,1455000,0.17
2013-01-14,0.17,0.17,0.17,0.17,825000,0.17
2013-01-11,0.17,0.17,0.17,0.17,944000,0.17
2013-01-10,0.18,0.18,0.17,0.17,14257000,0.17
2013-01-09,0.16,0.17,0.16,0.17,3087000,0.17
2013-01-08,0.16,0.16,0.16,0.16,1224000,0.16
2013-01-07,0.17,0.17,0.16,0.16,761000,0.16
2013-01-04,0.17,0.17,0.16,0.16,836000,0.16
2013-01-03,0.16,0.17,0.16,0.17,855000,0.17
2013-01-02,0.16,0.17,0.16,0.16,1289000,0.16
2013-01-01,0.16,0.16,0.16,0.16,000,0.16
2012-12-31,0.16,0.16,0.16,0.16,1125000,0.16
2012-12-28,0.16,0.16,0.16,0.16,1988000,0.16
2012-12-27,0.17,0.17,0.16,0.16,1332000,0.16
2012-12-26,0.16,0.16,0.16,0.16,1820000,0.16
2012-12-25,0.16,0.16,0.16,0.16,000,0.16
2012-12-24,0.16,0.16,0.16,0.16,1557000,0.16
2012-12-21,0.16,0.16,0.16,0.16,632000,0.16
