Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.25,0.26,0.25,0.26,1016000,0.26
2013-06-03,0.26,0.26,0.25,0.25,983000,0.25
2013-05-31,0.26,0.26,0.26,0.26,900000,0.26
2013-05-30,0.26,0.26,0.26,0.26,6184000,0.26
2013-05-29,0.27,0.27,0.26,0.26,3829000,0.26
2013-05-28,0.27,0.27,0.26,0.27,1352000,0.27
2013-05-27,0.27,0.27,0.27,0.27,1464000,0.27
2013-05-24,0.26,0.26,0.26,0.26,000,0.26
2013-05-23,0.27,0.28,0.26,0.26,3732000,0.26
2013-05-22,0.27,0.28,0.27,0.28,1959000,0.28
2013-05-21,0.27,0.27,0.26,0.27,2266000,0.27
2013-05-20,0.26,0.27,0.26,0.27,2232000,0.27
2013-05-17,0.26,0.26,0.26,0.26,837000,0.26
2013-05-16,0.26,0.26,0.26,0.26,1414000,0.26
2013-05-15,0.26,0.26,0.26,0.26,575000,0.26
2013-05-14,0.26,0.26,0.26,0.26,2647000,0.26
2013-05-13,0.26,0.27,0.26,0.26,2217000,0.26
2013-05-10,0.26,0.26,0.26,0.26,4603000,0.26
2013-05-09,0.26,0.26,0.26,0.26,1343000,0.26
2013-05-08,0.26,0.26,0.25,0.26,2929000,0.26
2013-05-07,0.25,0.26,0.25,0.26,388000,0.26
2013-05-06,0.25,0.25,0.25,0.25,200000,0.25
2013-05-03,0.25,0.26,0.25,0.25,1099000,0.25
2013-05-02,0.25,0.25,0.25,0.25,2140000,0.25
2013-05-01,0.25,0.25,0.25,0.25,000,0.25
2013-04-30,0.26,0.26,0.25,0.25,4540000,0.25
2013-04-29,0.26,0.26,0.26,0.26,740000,0.26
2013-04-26,0.26,0.26,0.25,0.25,1703000,0.25
2013-04-25,0.26,0.26,0.25,0.26,606000,0.26
2013-04-24,0.25,0.26,0.25,0.26,380000,0.26
2013-04-23,0.25,0.26,0.25,0.25,389000,0.25
2013-04-22,0.25,0.26,0.25,0.25,344000,0.25
2013-04-19,0.26,0.26,0.25,0.25,1215000,0.25
2013-04-18,0.26,0.26,0.25,0.25,1032000,0.25
2013-04-17,0.26,0.26,0.26,0.26,275000,0.26
2013-04-16,0.26,0.26,0.26,0.26,1560000,0.26
2013-04-15,0.26,0.26,0.26,0.26,2734000,0.26
2013-04-12,0.28,0.28,0.27,0.28,1475000,0.26
2013-04-11,0.28,0.28,0.27,0.28,734000,0.26
2013-04-10,0.27,0.28,0.27,0.28,599000,0.26
2013-04-09,0.28,0.28,0.27,0.27,699000,0.26
2013-04-08,0.28,0.28,0.27,0.28,434000,0.26
2013-04-05,0.28,0.28,0.27,0.27,823000,0.26
2013-04-04,0.28,0.28,0.27,0.28,1856000,0.26
2013-04-03,0.28,0.28,0.27,0.28,4532000,0.26
2013-04-02,0.28,0.28,0.28,0.28,1141000,0.26
2013-04-01,0.27,0.28,0.27,0.28,1119000,0.26
2013-03-29,0.28,0.28,0.28,0.28,000,0.26
2013-03-28,0.27,0.28,0.27,0.28,732000,0.26
2013-03-27,0.28,0.28,0.27,0.27,725000,0.26
2013-03-26,0.27,0.28,0.27,0.28,849000,0.26
2013-03-25,0.27,0.28,0.27,0.28,1379000,0.26
2013-03-22,0.27,0.28,0.27,0.27,201000,0.26
2013-03-21,0.27,0.28,0.27,0.27,719000,0.26
2013-03-20,0.27,0.27,0.26,0.27,1215000,0.26
2013-03-19,0.27,0.27,0.27,0.27,1379000,0.26
2013-03-18,0.27,0.27,0.26,0.27,4385000,0.26
2013-03-15,0.27,0.27,0.26,0.26,1564000,0.26
2013-03-14,0.27,0.27,0.27,0.27,506000,0.26
2013-03-13,0.28,0.28,0.27,0.27,1508000,0.26
2013-03-12,0.27,0.28,0.26,0.28,2410000,0.26
2013-03-11,0.27,0.27,0.26,0.26,1396000,0.26
2013-03-08,0.27,0.28,0.27,0.27,1632000,0.26
2013-03-07,0.27,0.27,0.27,0.27,2032000,0.26
2013-03-06,0.27,0.28,0.26,0.27,5018000,0.26
2013-03-05,0.26,0.27,0.26,0.27,3054000,0.26
2013-03-04,0.27,0.27,0.26,0.26,3794000,0.26
2013-03-01,0.27,0.27,0.26,0.27,1735000,0.26
2013-02-28,0.27,0.27,0.27,0.27,2341000,0.26
2013-02-27,0.27,0.28,0.26,0.27,2493000,0.26
2013-02-26,0.27,0.27,0.26,0.26,2265000,0.26
2013-02-25,0.27,0.28,0.27,0.27,2816000,0.26
2013-02-22,0.27,0.28,0.27,0.27,4136000,0.26
2013-02-21,0.27,0.28,0.27,0.27,1145000,0.26
2013-02-20,0.28,0.28,0.27,0.27,2908000,0.26
2013-02-19,0.27,0.28,0.27,0.28,1673000,0.26
2013-02-18,0.27,0.28,0.27,0.27,2904000,0.26
2013-02-15,0.27,0.28,0.27,0.27,4787000,0.26
2013-02-14,0.28,0.28,0.27,0.28,5303000,0.26
2013-02-13,0.28,0.28,0.27,0.28,5878000,0.26
2013-02-12,0.28,0.28,0.28,0.28,000,0.26
2013-02-11,0.28,0.28,0.28,0.28,000,0.26
2013-02-08,0.26,0.28,0.26,0.28,4044000,0.26
2013-02-07,0.26,0.27,0.26,0.27,810000,0.26
2013-02-06,0.27,0.27,0.26,0.26,2562000,0.26
2013-02-05,0.27,0.27,0.26,0.27,4443000,0.26
2013-02-04,0.27,0.28,0.27,0.27,8831000,0.26
2013-02-01,0.27,0.27,0.26,0.26,10631000,0.26
2013-01-31,0.27,0.27,0.26,0.27,3510000,0.26
2013-01-30,0.27,0.27,0.26,0.26,4191000,0.26
2013-01-29,0.27,0.28,0.26,0.26,20389000,0.26
2013-01-28,0.26,0.27,0.25,0.27,22216000,0.26
2013-01-25,0.25,0.26,0.25,0.26,2451000,0.25
2013-01-24,0.25,0.25,0.25,0.25,825000,0.25
2013-01-23,0.25,0.26,0.25,0.25,2174000,0.25
2013-01-22,0.25,0.26,0.25,0.25,18695000,0.25
2013-01-21,0.25,0.25,0.25,0.25,660000,0.24
2013-01-18,0.25,0.25,0.25,0.25,642000,0.25
2013-01-17,0.25,0.25,0.25,0.25,988000,0.24
2013-01-16,0.25,0.25,0.25,0.25,1925000,0.24
2013-01-15,0.25,0.25,0.25,0.25,851000,0.24
