Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.12,0.12,0.11,0.11,3773000,0.11
2013-06-03,0.11,0.11,0.11,0.11,3533000,0.11
2013-05-31,0.12,0.12,0.11,0.12,9321000,0.12
2013-05-30,0.12,0.12,0.11,0.11,6152000,0.11
2013-05-29,0.12,0.12,0.11,0.12,8158000,0.12
2013-05-28,0.11,0.12,0.11,0.12,8822000,0.12
2013-05-27,0.11,0.12,0.11,0.11,4233000,0.11
2013-05-24,0.11,0.11,0.11,0.11,000,0.11
2013-05-23,0.12,0.12,0.11,0.11,29728000,0.11
2013-05-22,0.12,0.12,0.12,0.12,22175000,0.12
2013-05-21,0.12,0.12,0.12,0.12,14308000,0.12
2013-05-20,0.12,0.12,0.12,0.12,4366000,0.11
2013-05-17,0.12,0.12,0.12,0.12,5254000,0.12
2013-05-16,0.12,0.12,0.12,0.12,2223000,0.11
2013-05-15,0.12,0.12,0.12,0.12,7387000,0.12
2013-05-14,0.12,0.12,0.12,0.12,57624000,0.12
2013-05-13,0.12,0.12,0.12,0.12,9293000,0.11
2013-05-10,0.12,0.12,0.12,0.12,15871000,0.11
2013-05-09,0.12,0.12,0.12,0.12,6145000,0.11
2013-05-08,0.12,0.12,0.12,0.12,12633000,0.12
2013-05-07,0.11,0.12,0.11,0.11,6769000,0.11
2013-05-06,0.12,0.12,0.11,0.11,8298000,0.11
2013-05-03,0.12,0.12,0.11,0.11,4505000,0.11
2013-05-02,0.12,0.12,0.11,0.12,6364000,0.11
2013-05-01,0.12,0.12,0.12,0.12,000,0.11
2013-04-30,0.12,0.12,0.12,0.12,8220000,0.11
2013-04-29,0.12,0.12,0.12,0.12,4672000,0.11
2013-04-26,0.12,0.12,0.12,0.12,13780000,0.12
2013-04-25,0.11,0.12,0.11,0.12,9657000,0.11
2013-04-24,0.11,0.12,0.11,0.11,7208000,0.11
2013-04-23,0.12,0.12,0.11,0.11,3577000,0.11
2013-04-22,0.12,0.12,0.11,0.11,5028000,0.11
2013-04-19,0.12,0.12,0.11,0.12,4730000,0.11
2013-04-18,0.11,0.12,0.11,0.12,6157000,0.11
2013-04-17,0.12,0.12,0.11,0.11,8775000,0.11
2013-04-16,0.12,0.12,0.11,0.12,9739000,0.11
2013-04-15,0.12,0.12,0.12,0.12,7843000,0.11
2013-04-12,0.12,0.12,0.12,0.12,4820000,0.12
2013-04-11,0.12,0.12,0.12,0.12,18504000,0.12
2013-04-10,0.12,0.12,0.12,0.12,11348000,0.12
2013-04-09,0.12,0.12,0.12,0.12,11510000,0.12
2013-04-08,0.12,0.12,0.12,0.12,9339000,0.12
2013-04-05,0.12,0.12,0.12,0.12,12766000,0.12
2013-04-04,0.12,0.12,0.12,0.12,14221000,0.12
2013-04-03,0.12,0.12,0.12,0.12,24741000,0.12
2013-04-02,0.12,0.13,0.12,0.12,10926000,0.12
2013-04-01,0.12,0.13,0.12,0.12,20855000,0.12
2013-03-29,0.12,0.12,0.12,0.12,000,0.12
2013-03-28,0.13,0.13,0.12,0.12,8504000,0.12
2013-03-27,0.13,0.13,0.12,0.13,29330000,0.12
2013-03-26,0.12,0.13,0.12,0.13,24377000,0.12
2013-03-25,0.12,0.12,0.12,0.12,10785000,0.12
2013-03-22,0.12,0.12,0.12,0.12,7934000,0.12
2013-03-21,0.12,0.12,0.12,0.12,7988000,0.12
2013-03-20,0.12,0.12,0.12,0.12,7960000,0.12
2013-03-19,0.12,0.12,0.12,0.12,7502000,0.12
2013-03-18,0.12,0.12,0.12,0.12,3049000,0.12
2013-03-15,0.12,0.12,0.12,0.12,21113000,0.12
2013-03-14,0.12,0.12,0.12,0.12,6607000,0.12
2013-03-13,0.12,0.12,0.12,0.12,8453000,0.12
2013-03-12,0.12,0.12,0.12,0.12,5960000,0.12
