Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.32,0.32,0.31,0.31,42000,0.31
2013-06-03,0.31,0.32,0.31,0.32,365000,0.31
2013-05-31,0.31,0.31,0.31,0.31,60000,0.31
2013-05-30,0.31,0.31,0.31,0.31,281000,0.31
2013-05-29,0.32,0.32,0.31,0.31,394000,0.31
2013-05-28,0.31,0.32,0.30,0.31,1299000,0.31
2013-05-27,0.34,0.34,0.33,0.34,435000,0.33
2013-05-24,0.34,0.34,0.34,0.34,000,0.33
2013-05-23,0.34,0.34,0.33,0.34,376000,0.33
2013-05-22,0.34,0.34,0.33,0.34,940000,0.33
2013-05-21,0.33,0.34,0.32,0.33,336000,0.32
2013-05-20,0.32,0.34,0.32,0.33,227000,0.32
2013-05-17,0.32,0.33,0.32,0.32,238000,0.32
2013-05-16,0.32,0.33,0.32,0.32,326000,0.32
2013-05-15,0.33,0.34,0.33,0.33,117000,0.32
2013-05-14,0.32,0.33,0.32,0.32,262000,0.31
2013-05-13,0.32,0.32,0.32,0.32,145000,0.32
2013-05-10,0.32,0.33,0.32,0.33,206000,0.32
2013-05-09,0.32,0.34,0.32,0.32,460000,0.32
2013-05-08,0.31,0.33,0.31,0.32,564000,0.31
2013-05-07,0.31,0.32,0.31,0.31,262000,0.31
2013-05-06,0.31,0.31,0.31,0.31,000,0.31
2013-05-03,0.31,0.31,0.31,0.31,125000,0.31
2013-05-02,0.31,0.31,0.31,0.31,346000,0.30
2013-05-01,0.31,0.31,0.31,0.31,000,0.30
2013-04-30,0.31,0.31,0.31,0.31,37000,0.30
2013-04-29,0.31,0.31,0.31,0.31,158000,0.31
2013-04-26,0.31,0.31,0.31,0.31,102000,0.31
2013-04-25,0.31,0.31,0.31,0.31,25000,0.31
2013-04-24,0.31,0.31,0.31,0.31,8000,0.30
2013-04-23,0.31,0.31,0.31,0.31,130000,0.30
2013-04-22,0.31,0.31,0.31,0.31,29000,0.30
2013-04-19,0.31,0.31,0.31,0.31,651000,0.31
2013-04-18,0.31,0.31,0.31,0.31,83000,0.31
2013-04-17,0.31,0.31,0.31,0.31,167000,0.31
2013-04-16,0.31,0.31,0.31,0.31,70000,0.31
2013-04-15,0.31,0.31,0.31,0.31,100000,0.31
2013-04-12,0.32,0.32,0.31,0.31,216000,0.31
2013-04-11,0.31,0.31,0.31,0.31,55000,0.31
2013-04-10,0.31,0.32,0.31,0.32,330000,0.31
2013-04-09,0.31,0.32,0.31,0.32,175000,0.31
2013-04-08,0.31,0.32,0.31,0.31,146000,0.31
2013-04-05,0.32,0.32,0.32,0.32,35000,0.31
2013-04-04,0.32,0.32,0.32,0.32,52000,0.32
2013-04-03,0.32,0.32,0.32,0.32,166000,0.32
2013-04-02,0.32,0.32,0.31,0.32,81000,0.31
2013-04-01,0.32,0.32,0.31,0.31,224000,0.31
2013-03-29,0.32,0.32,0.32,0.32,000,0.32
2013-03-28,0.32,0.32,0.32,0.32,129000,0.32
2013-03-27,0.32,0.34,0.32,0.33,65000,0.32
2013-03-26,0.32,0.32,0.32,0.32,324000,0.32
2013-03-25,0.32,0.32,0.31,0.32,449000,0.31
2013-03-22,0.32,0.32,0.32,0.32,125000,0.31
2013-03-21,0.32,0.32,0.32,0.32,10000,0.31
2013-03-20,0.32,0.32,0.32,0.32,6000,0.31
2013-03-19,0.32,0.32,0.32,0.32,52000,0.31
2013-03-18,0.32,0.32,0.32,0.32,14000,0.32
2013-03-15,0.32,0.33,0.32,0.32,220000,0.32
2013-03-14,0.32,0.32,0.32,0.32,80000,0.31
2013-03-13,0.32,0.32,0.31,0.32,150000,0.31
2013-03-12,0.32,0.32,0.32,0.32,518000,0.31
2013-03-11,0.31,0.32,0.31,0.32,47000,0.31
2013-03-08,0.31,0.32,0.31,0.32,119000,0.31
2013-03-07,0.31,0.32,0.31,0.32,50000,0.31
2013-03-06,0.32,0.32,0.31,0.31,56000,0.31
2013-03-05,0.31,0.32,0.31,0.32,151000,0.32
2013-03-04,0.32,0.32,0.31,0.31,384000,0.31
2013-03-01,0.34,0.34,0.32,0.32,121000,0.32
2013-02-28,0.34,0.34,0.34,0.34,5000,0.33
2013-02-27,0.33,0.33,0.33,0.33,38000,0.32
2013-02-26,0.34,0.34,0.33,0.33,35000,0.32
2013-02-25,0.34,0.34,0.34,0.34,81000,0.33
2013-02-22,0.33,0.34,0.33,0.34,251000,0.33
2013-02-21,0.34,0.34,0.34,0.34,281000,0.33
2013-02-20,0.34,0.34,0.34,0.34,220000,0.33
2013-02-19,0.34,0.34,0.34,0.34,203000,0.33
2013-02-18,0.34,0.34,0.34,0.34,128000,0.34
2013-02-15,0.34,0.34,0.34,0.34,117000,0.34
2013-02-14,0.34,0.34,0.34,0.34,385000,0.33
2013-02-13,0.34,0.35,0.34,0.34,610000,0.34
2013-02-12,0.34,0.34,0.34,0.34,000,0.33
2013-02-11,0.34,0.34,0.34,0.34,000,0.33
2013-02-08,0.33,0.34,0.33,0.34,488000,0.33
2013-02-07,0.32,0.32,0.31,0.31,126000,0.31
2013-02-06,0.32,0.32,0.31,0.31,299000,0.31
2013-02-05,0.33,0.33,0.32,0.32,135000,0.31
2013-02-04,0.34,0.34,0.33,0.34,331000,0.33
2013-02-01,0.34,0.34,0.33,0.33,45000,0.32
2013-01-31,0.34,0.34,0.34,0.34,195000,0.33
2013-01-30,0.34,0.34,0.34,0.34,809000,0.33
2013-01-29,0.33,0.34,0.32,0.34,1528000,0.33
2013-01-28,0.31,0.33,0.31,0.32,754000,0.32
2013-01-25,0.31,0.32,0.31,0.31,79000,0.31
2013-01-24,0.30,0.31,0.30,0.31,186000,0.30
2013-01-23,0.30,0.31,0.30,0.31,100000,0.30
2013-01-22,0.31,0.31,0.31,0.31,95000,0.30
2013-01-21,0.32,0.32,0.31,0.31,97000,0.31
2013-01-18,0.32,0.32,0.31,0.31,71000,0.31
2013-01-17,0.32,0.32,0.31,0.32,134000,0.31
2013-01-16,0.32,0.32,0.30,0.31,452000,0.31
2013-01-15,0.32,0.32,0.31,0.31,254000,0.31
2013-01-14,0.32,0.33,0.31,0.32,640000,0.32
2013-01-11,0.32,0.33,0.32,0.33,254000,0.32
2013-01-10,0.32,0.32,0.31,0.32,272000,0.32
2013-01-09,0.31,0.32,0.31,0.32,622000,0.31
2013-01-08,0.31,0.31,0.31,0.31,190000,0.30
2013-01-07,0.31,0.31,0.31,0.31,20000,0.30
2013-01-04,0.31,0.31,0.31,0.31,95000,0.31
