Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.83,0.84,0.83,0.83,703000,0.83
2013-06-03,0.83,0.85,0.83,0.83,1043000,0.83
2013-05-31,0.83,0.85,0.83,0.85,1064000,0.85
2013-05-30,0.84,0.84,0.82,0.83,944000,0.83
2013-05-29,0.85,0.86,0.83,0.84,1176000,0.84
2013-05-28,0.83,0.86,0.83,0.86,2956000,0.86
2013-05-27,0.82,0.83,0.82,0.82,560000,0.82
2013-05-24,0.82,0.82,0.82,0.82,000,0.82
2013-05-23,0.83,0.83,0.81,0.82,2002000,0.82
2013-05-22,0.82,0.84,0.82,0.83,1925000,0.83
2013-05-21,0.82,0.83,0.81,0.82,941000,0.82
2013-05-20,0.83,0.85,0.82,0.82,2610000,0.82
2013-05-17,0.82,0.84,0.82,0.83,1565000,0.83
2013-05-16,0.81,0.83,0.81,0.82,1707000,0.82
2013-05-15,0.83,0.83,0.80,0.81,1704000,0.81
2013-05-14,0.79,0.83,0.79,0.82,5721000,0.82
2013-05-13,0.76,0.79,0.74,0.77,2329000,0.77
2013-05-10,0.77,0.77,0.76,0.76,486000,0.76
2013-05-09,0.79,0.79,0.76,0.77,1078000,0.77
2013-05-08,0.79,0.80,0.77,0.77,2705000,0.77
2013-05-07,0.77,0.77,0.76,0.77,676000,0.77
2013-05-06,0.77,0.77,0.75,0.77,1691000,0.77
2013-05-03,0.73,0.75,0.73,0.75,1586000,0.75
2013-05-02,0.69,0.73,0.69,0.70,393000,0.70
2013-05-01,0.70,0.70,0.70,0.70,000,0.69
2013-04-30,0.69,0.70,0.69,0.70,159000,0.69
2013-04-29,0.70,0.70,0.69,0.69,74000,0.68
2013-04-26,0.69,0.70,0.69,0.70,365000,0.69
2013-04-25,0.69,0.70,0.69,0.69,229000,0.68
2013-04-24,0.71,0.71,0.69,0.69,75000,0.68
2013-04-23,0.70,0.71,0.69,0.71,80000,0.70
2013-04-22,0.69,0.70,0.69,0.70,22000,0.69
2013-04-19,0.69,0.69,0.69,0.69,71000,0.68
2013-04-18,0.71,0.71,0.69,0.69,561000,0.68
2013-04-17,0.71,0.71,0.71,0.71,46000,0.70
2013-04-16,0.71,0.71,0.70,0.71,156000,0.70
2013-04-15,0.71,0.71,0.70,0.71,377000,0.70
2013-04-12,0.71,0.71,0.70,0.70,200000,0.69
2013-04-11,0.70,0.71,0.70,0.71,451000,0.70
2013-04-10,0.71,0.72,0.70,0.70,191000,0.69
2013-04-09,0.70,0.70,0.70,0.70,22000,0.69
2013-04-08,0.69,0.70,0.69,0.70,189000,0.69
2013-04-05,0.70,0.70,0.69,0.70,156000,0.69
2013-04-04,0.71,0.71,0.70,0.70,150000,0.69
2013-04-03,0.71,0.71,0.71,0.71,64000,0.70
2013-04-02,0.73,0.73,0.71,0.72,130000,0.71
2013-04-01,0.71,0.73,0.71,0.73,463000,0.71
2013-03-29,0.71,0.71,0.71,0.71,000,0.70
2013-03-28,0.71,0.71,0.71,0.71,49000,0.70
2013-03-27,0.72,0.72,0.71,0.72,188000,0.71
2013-03-26,0.72,0.72,0.71,0.71,135000,0.70
2013-03-25,0.71,0.73,0.70,0.72,502000,0.71
2013-03-22,0.70,0.71,0.70,0.70,385000,0.69
2013-03-21,0.70,0.72,0.70,0.70,422000,0.69
2013-03-20,0.69,0.70,0.68,0.70,318000,0.69
2013-03-19,0.69,0.69,0.68,0.68,59000,0.67
2013-03-18,0.70,0.70,0.69,0.69,118000,0.68
2013-03-15,0.69,0.71,0.69,0.69,1069000,0.68
2013-03-14,0.68,0.69,0.68,0.68,275000,0.67
2013-03-13,0.67,0.68,0.67,0.68,156000,0.66
2013-03-12,0.67,0.67,0.67,0.67,122000,0.66
2013-03-11,0.69,0.69,0.67,0.67,137000,0.66
2013-03-08,0.68,0.68,0.67,0.67,27000,0.66
2013-03-07,0.68,0.69,0.68,0.68,307000,0.67
2013-03-06,0.67,0.69,0.67,0.68,244000,0.66
2013-03-05,0.67,0.68,0.67,0.67,125000,0.65
