Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,3.35,3.36,3.33,3.35,74000,3.35
2013-06-03,3.34,3.38,3.30,3.32,150000,3.32
2013-05-31,3.34,3.36,3.31,3.31,337000,3.31
2013-05-30,3.41,3.41,3.31,3.35,252000,3.35
2013-05-29,3.47,3.48,3.38,3.38,146000,3.38
2013-05-28,3.47,3.47,3.44,3.44,63000,3.44
2013-05-27,3.37,3.46,3.37,3.44,126000,3.44
2013-05-24,3.37,3.37,3.37,3.37,000,3.37
2013-05-23,3.46,3.50,3.34,3.37,564000,3.37
2013-05-22,3.47,3.50,3.47,3.48,187000,3.48
2013-05-21,3.50,3.52,3.45,3.47,148000,3.47
2013-05-20,3.55,3.57,3.52,3.52,145000,3.52
2013-05-17,3.56,3.59,3.55,3.56,104000,3.56
2013-05-16,3.58,3.59,3.58,3.58,168000,3.58
2013-05-15,3.60,3.60,3.55,3.58,191000,3.58
2013-05-14,3.60,3.60,3.52,3.52,53000,3.52
2013-05-13,3.61,3.62,3.55,3.57,252000,3.57
2013-05-10,3.58,3.62,3.57,3.60,163000,3.60
2013-05-09,3.58,3.59,3.55,3.59,242000,3.59
2013-05-08,3.58,3.64,3.57,3.62,165000,3.58
2013-05-07,3.59,3.61,3.56,3.57,152000,3.53
2013-05-06,3.52,3.63,3.52,3.62,395000,3.58
2013-05-03,3.56,3.56,3.50,3.52,115000,3.48
2013-05-02,3.46,3.56,3.45,3.45,401000,3.41
2013-05-01,3.45,3.45,3.45,3.45,000,3.41
2013-04-30,3.44,3.46,3.44,3.45,154000,3.41
2013-04-29,3.43,3.45,3.43,3.43,112000,3.39
2013-04-26,3.41,3.44,3.41,3.43,153000,3.39
2013-04-25,3.40,3.42,3.38,3.40,228000,3.36
2013-04-24,3.41,3.42,3.40,3.42,91000,3.38
2013-04-23,3.45,3.45,3.40,3.40,106000,3.36
2013-04-22,3.43,3.48,3.42,3.44,168000,3.40
2013-04-19,3.39,3.42,3.39,3.41,118000,3.37
2013-04-18,3.40,3.43,3.38,3.39,478000,3.35
2013-04-17,3.43,3.43,3.39,3.41,158000,3.37
2013-04-16,3.39,3.42,3.38,3.39,333000,3.35
2013-04-15,3.41,3.43,3.39,3.41,198000,3.37
2013-04-12,3.38,3.41,3.36,3.41,182000,3.37
2013-04-11,3.40,3.41,3.38,3.38,196000,3.34
2013-04-10,3.39,3.42,3.36,3.37,261000,3.33
2013-04-09,3.40,3.44,3.30,3.38,396000,3.34
2013-04-08,3.42,3.42,3.36,3.37,477000,3.33
2013-04-05,3.50,3.51,3.41,3.43,369000,3.39
2013-04-04,3.47,3.49,3.42,3.49,231000,3.45
2013-04-03,3.53,3.53,3.42,3.46,646000,3.42
2013-04-02,3.33,3.50,3.33,3.48,848000,3.44
