Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.19,0.19,0.19,0.19,142998000,0.19
2013-06-03,0.19,0.19,0.19,0.19,127136000,0.19
2013-05-31,0.19,0.19,0.19,0.19,128269000,0.19
2013-05-30,0.19,0.20,0.19,0.19,217881000,0.19
2013-05-29,0.19,0.20,0.19,0.19,98543000,0.19
2013-05-28,0.19,0.19,0.19,0.19,146407000,0.19
2013-05-27,0.20,0.20,0.19,0.19,130039000,0.19
2013-05-24,0.20,0.20,0.20,0.20,000,0.20
2013-05-23,0.20,0.20,0.20,0.20,122817000,0.20
2013-05-22,0.20,0.20,0.20,0.20,126437000,0.20
2013-05-21,0.20,0.20,0.20,0.20,114386000,0.20
2013-05-20,0.20,0.20,0.19,0.20,129250000,0.20
2013-05-17,0.20,0.20,0.20,0.20,129621000,0.20
2013-05-16,0.20,0.20,0.20,0.20,99682000,0.20
2013-05-15,0.20,0.20,0.20,0.20,129275000,0.20
2013-05-14,0.20,0.20,0.20,0.20,123413000,0.20
2013-05-13,0.20,0.20,0.20,0.20,83265000,0.20
2013-05-10,0.20,0.20,0.20,0.20,85720000,0.20
2013-05-09,0.20,0.20,0.20,0.20,87345000,0.20
2013-05-08,0.20,0.20,0.20,0.20,85452000,0.20
2013-05-07,0.20,0.21,0.20,0.20,95845000,0.20
2013-05-06,0.20,0.20,0.20,0.20,72801000,0.20
2013-05-03,0.20,0.20,0.20,0.20,115964000,0.20
2013-05-02,0.20,0.20,0.20,0.20,39082000,0.20
2013-05-01,0.20,0.20,0.20,0.20,000,0.20
2013-04-30,0.21,0.21,0.20,0.20,70932000,0.20
2013-04-29,0.20,0.21,0.20,0.20,77661000,0.20
2013-04-26,0.20,0.20,0.20,0.20,59493000,0.20
2013-04-25,0.20,0.20,0.20,0.20,92730000,0.20
2013-04-24,0.20,0.20,0.20,0.20,78594000,0.20
2013-04-23,0.20,0.21,0.20,0.20,65617000,0.20
2013-04-22,0.20,0.21,0.20,0.20,65900000,0.20
2013-04-19,0.21,0.22,0.20,0.20,57730000,0.20
2013-04-18,0.21,0.22,0.21,0.22,76102000,0.22
2013-04-17,0.22,0.22,0.21,0.21,94989000,0.21
2013-04-16,0.22,0.22,0.22,0.22,53647000,0.22
2013-04-15,0.22,0.22,0.22,0.22,116830000,0.22
2013-04-12,0.20,0.22,0.20,0.22,72067000,0.22
