Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.64,0.64,0.64,0.64,000,0.64
2013-06-03,0.64,0.64,0.64,0.64,000,0.64
2013-05-31,0.64,0.64,0.64,0.64,000,0.64
2013-05-30,0.64,0.64,0.64,0.64,000,0.64
2013-05-29,0.64,0.64,0.64,0.64,000,0.64
2013-05-28,0.58,0.64,0.58,0.64,28000,0.64
2013-05-27,0.64,0.64,0.64,0.64,000,0.64
2013-05-24,0.64,0.64,0.64,0.64,000,0.64
2013-05-23,0.64,0.64,0.64,0.64,000,0.64
2013-05-22,0.63,0.66,0.63,0.64,96000,0.64
2013-05-21,0.55,0.62,0.55,0.62,87000,0.62
2013-05-20,0.54,0.54,0.54,0.54,000,0.54
2013-05-17,0.54,0.54,0.54,0.54,40000,0.54
2013-05-16,0.52,0.52,0.52,0.52,000,0.52
2013-05-15,0.52,0.52,0.52,0.52,000,0.52
2013-05-14,0.52,0.52,0.52,0.52,000,0.52
2013-05-13,0.52,0.52,0.52,0.52,000,0.52
2013-05-10,0.52,0.52,0.52,0.52,000,0.52
2013-05-09,0.52,0.52,0.52,0.52,2000,0.52
2013-05-08,0.52,0.52,0.52,0.52,000,0.52
2013-05-07,0.52,0.52,0.52,0.52,000,0.52
2013-05-06,0.52,0.52,0.52,0.52,000,0.52
2013-05-03,0.52,0.52,0.52,0.52,3000,0.52
2013-05-02,0.52,0.52,0.52,0.52,000,0.52
2013-05-01,0.52,0.52,0.52,0.52,000,0.52
2013-04-30,0.52,0.52,0.52,0.52,000,0.52
2013-04-29,0.52,0.52,0.52,0.52,000,0.52
2013-04-26,0.56,0.56,0.52,0.52,40000,0.52
2013-04-25,0.58,0.58,0.58,0.58,000,0.58
2013-04-24,0.58,0.58,0.58,0.58,000,0.58
2013-04-23,0.56,0.58,0.56,0.58,12000,0.58
2013-04-22,0.51,0.58,0.51,0.58,5000,0.58
2013-04-19,0.58,0.58,0.58,0.58,000,0.58
2013-04-18,0.58,0.58,0.58,0.58,1000,0.58
2013-04-17,0.57,0.57,0.57,0.57,50000,0.57
2013-04-16,0.55,0.55,0.55,0.55,1000,0.55
2013-04-15,0.53,0.53,0.53,0.53,000,0.53
2013-04-12,0.57,0.57,0.53,0.53,5000,0.53
2013-04-11,0.55,0.55,0.55,0.55,000,0.55
2013-04-10,0.55,0.55,0.55,0.55,14000,0.55
2013-04-09,0.55,0.55,0.55,0.55,2000,0.55
2013-04-08,0.51,0.51,0.51,0.51,000,0.51
2013-04-05,0.50,0.51,0.50,0.51,3000,0.51
2013-04-04,0.56,0.56,0.55,0.55,10000,0.55
2013-04-03,0.56,0.56,0.56,0.56,000,0.56
2013-04-02,0.54,0.56,0.54,0.56,15000,0.56
2013-04-01,0.55,0.55,0.55,0.55,000,0.55
2013-03-29,0.55,0.55,0.55,0.55,000,0.55
2013-03-28,0.55,0.55,0.55,0.55,000,0.55
2013-03-27,0.55,0.55,0.55,0.55,2000,0.55
2013-03-26,0.50,0.55,0.50,0.55,7000,0.55
2013-03-25,0.60,0.60,0.60,0.60,000,0.60
2013-03-22,0.60,0.60,0.60,0.60,5000,0.60
2013-03-21,0.58,0.58,0.58,0.58,000,0.58
2013-03-20,0.58,0.58,0.58,0.58,000,0.58
2013-03-19,0.58,0.58,0.58,0.58,000,0.58
2013-03-18,0.58,0.58,0.58,0.58,000,0.58
2013-03-15,0.58,0.58,0.58,0.58,000,0.58
2013-03-14,0.58,0.58,0.58,0.58,000,0.58
2013-03-13,0.58,0.58,0.58,0.58,000,0.58
2013-03-12,0.58,0.58,0.58,0.58,000,0.58
2013-03-11,0.58,0.58,0.58,0.58,000,0.58
2013-03-08,0.58,0.58,0.58,0.58,2000,0.58
2013-03-07,0.56,0.56,0.56,0.56,2000,0.56
2013-03-06,0.56,0.56,0.56,0.56,2000,0.56
2013-03-05,0.56,0.56,0.56,0.56,5000,0.56
2013-03-04,0.54,0.56,0.54,0.56,37000,0.56
2013-03-01,0.54,0.54,0.54,0.54,8000,0.54
2013-02-28,0.59,0.59,0.59,0.59,000,0.59
2013-02-27,0.59,0.59,0.59,0.59,2000,0.59
2013-02-26,0.60,0.60,0.60,0.60,000,0.60
2013-02-25,0.60,0.60,0.60,0.60,26000,0.60
2013-02-22,0.60,0.60,0.60,0.60,2000,0.60
2013-02-21,0.61,0.61,0.61,0.61,000,0.61
2013-02-20,0.61,0.61,0.61,0.61,1000,0.61
2013-02-19,0.60,0.61,0.60,0.61,8000,0.61
2013-02-18,0.60,0.60,0.60,0.60,3000,0.60
2013-02-15,0.60,0.60,0.60,0.60,4000,0.60
2013-02-14,0.62,0.62,0.62,0.62,000,0.62
2013-02-13,0.62,0.62,0.62,0.62,000,0.62
2013-02-12,0.62,0.62,0.62,0.62,000,0.62
2013-02-11,0.62,0.62,0.62,0.62,000,0.62
2013-02-08,0.62,0.62,0.62,0.62,000,0.62
2013-02-07,0.62,0.62,0.62,0.62,11000,0.62
2013-02-06,0.62,0.62,0.62,0.62,25000,0.62
2013-02-05,0.62,0.62,0.62,0.62,12000,0.62
2013-02-04,0.62,0.62,0.62,0.62,3000,0.62
2013-02-01,0.62,0.62,0.62,0.62,9000,0.62
2013-01-31,0.62,0.62,0.62,0.62,000,0.62
2013-01-30,0.62,0.62,0.62,0.62,9000,0.62
2013-01-29,0.62,0.62,0.62,0.62,15000,0.62
2013-01-28,0.61,0.64,0.61,0.64,53000,0.64
2013-01-25,0.61,0.61,0.61,0.61,33000,0.61
2013-01-24,0.61,0.61,0.61,0.61,000,0.61
2013-01-23,0.61,0.61,0.61,0.61,5000,0.61
2013-01-22,0.61,0.61,0.61,0.61,10000,0.61
2013-01-21,0.61,0.61,0.61,0.61,3000,0.61
2013-01-18,0.63,0.63,0.63,0.63,000,0.63
2013-01-17,0.62,0.63,0.60,0.63,45000,0.63
2013-01-16,0.64,0.64,0.64,0.64,3500000,0.64
2013-01-15,0.65,0.65,0.64,0.64,1738000,0.64
2013-01-14,0.65,0.65,0.65,0.65,1623000,0.65
2013-01-11,0.64,0.64,0.64,0.64,79000,0.64
2013-01-10,0.64,0.64,0.64,0.64,142000,0.64
2013-01-09,0.64,0.64,0.64,0.64,69000,0.64
2013-01-08,0.64,0.64,0.63,0.64,148000,0.64
2013-01-07,0.64,0.64,0.61,0.61,32000,0.61
2013-01-04,0.60,0.60,0.60,0.60,22000,0.60
2013-01-03,0.64,0.64,0.64,0.64,80000,0.64
2013-01-02,0.63,0.64,0.63,0.64,93000,0.64
2013-01-01,0.64,0.64,0.64,0.64,000,0.64
2012-12-31,0.64,0.64,0.64,0.64,21000,0.64
