Date,Open,High,Low,Close,Volume,Adj Close
2013-05-27,13.15,13.15,13.15,13.15,200,13.15
2013-05-13,10.44,10.55,10.44,10.55,1200,10.55
2013-05-08,10.52,10.52,10.50,10.50,1700,10.50
2013-05-06,10.49,10.49,10.49,10.49,800,10.49
2013-05-02,13.04,13.04,13.04,12.94,100,12.94
2013-04-25,10.52,10.52,10.52,10.52,500,10.52
2013-04-10,10.52,10.52,10.52,10.52,2500,10.52
2013-04-04,12.94,12.94,12.94,12.94,300,12.94
2013-04-02,12.94,12.94,12.94,12.94,100,12.94
2013-03-28,12.98,12.98,12.98,12.98,800,12.98
2013-03-15,10.39,10.40,10.39,10.40,400,10.40
2013-03-12,10.40,10.40,10.40,10.40,2300,10.40
2013-03-07,10.50,10.50,10.50,10.50,200,10.50
2013-03-05,13.03,13.03,13.03,13.03,500,13.03
2013-03-04,13.07,13.08,13.07,13.08,400,13.08
2013-02-28,13.04,13.04,13.04,13.04,1000,13.04
2013-02-25,10.44,10.44,10.44,10.44,1000,10.44
2013-02-18,13.03,13.03,13.03,13.03,300,13.03
2013-02-15,10.44,10.44,10.44,10.44,700,10.44
2013-01-31,13.00,13.00,13.00,13.00,200,13.00
2013-01-28,13.00,13.00,13.00,13.00,100,13.00
2013-01-16,10.48,10.48,10.48,10.48,95400,10.48
2013-01-10,10.46,10.50,10.46,10.50,1100,10.50
2013-01-09,10.40,10.40,10.37,10.37,500,10.37
2013-01-02,10.46,10.46,10.46,10.46,600,10.46
2012-12-17,12.73,12.82,12.73,12.73,2600,12.73
2012-12-12,10.43,10.43,10.43,10.43,700,10.43
2012-12-10,10.39,10.39,10.39,10.39,200,10.39
2012-12-04,12.82,12.82,12.69,12.77,5400,12.77
2012-12-03,12.73,12.75,12.73,12.73,4000,12.73
2012-10-29,10.27,10.27,10.27,10.27,37300,10.22
2012-10-25,12.46,12.52,12.46,12.52,3500,12.46
2012-10-24,12.48,12.48,12.48,12.48,500,12.42
2012-10-23,12.47,12.47,12.47,12.47,1800,12.41
2012-10-15,10.16,10.16,10.16,10.16,1300,10.11
2012-10-11,10.16,10.16,10.16,10.16,100,10.11
2012-10-08,10.16,10.18,10.16,10.18,7900,10.13
2012-09-20,10.11,10.11,10.11,10.11,1000,10.06
2012-09-14,10.12,10.12,10.12,10.12,2000,10.07
2012-09-10,10.04,10.04,10.04,10.04,1000,9.99
2012-09-05,10.00,10.00,10.00,10.00,500,9.95
2012-09-03,10.01,10.01,10.01,10.01,1000,9.96
2012-07-17,12.55,12.55,12.55,12.55,1000,12.49
2012-06-20,9.86,9.86,9.86,9.86,400,9.81
2012-06-14,9.82,9.82,9.82,9.82,900,9.77
2012-06-13,9.84,9.84,9.84,9.84,1000,9.79
2012-06-08,9.76,9.76,9.76,9.76,1000,9.71
2012-06-07,9.83,9.83,9.83,9.83,1000,9.78
2012-06-06,9.74,9.74,9.74,9.74,1000,9.69
2012-06-04,9.69,9.69,9.69,9.69,9000,9.64
2012-05-31,9.70,9.70,9.70,9.70,1000,9.62
2012-05-18,9.83,9.83,9.83,9.83,4000,9.74
2012-04-12,10.04,10.04,10.04,10.04,1400,9.95
2012-04-02,10.07,10.07,10.07,10.07,2900,9.98
2012-03-02,10.15,10.15,10.15,10.15,2000,10.06
2012-02-22,10.17,10.17,10.17,10.17,3000,10.08
2012-02-21,10.20,10.20,10.20,10.20,1500,10.11
2012-02-17,10.14,10.14,10.14,10.14,500,10.05
2012-02-10,10.18,10.18,10.18,10.18,1000,10.09
2012-02-09,10.22,10.22,10.22,10.22,100,10.13
2012-02-08,10.21,10.21,10.21,10.21,1300,10.12
2012-02-07,10.13,10.13,10.13,10.13,500,10.04
2012-01-06,9.74,9.74,9.74,9.74,200,9.66
