Date,Open,High,Low,Close,Volume,Adj Close
2013-04-30,72.75,72.75,72.75,72.75,100,72.75
2013-04-24,71.08,71.08,71.08,71.08,1000,71.08
2013-02-20,72.86,72.86,72.86,72.86,000,72.86
2013-01-09,71.34,71.34,71.34,71.34,2700,71.34
2013-01-02,71.10,71.10,71.10,71.10,000,71.10
2012-11-28,71.34,71.34,71.34,71.34,100,71.34
2012-11-27,70.56,70.56,70.56,70.56,2000,70.56
2012-11-16,67.95,67.95,67.67,67.67,100,67.67
2012-11-09,68.96,68.96,68.86,68.86,000,68.86
2012-10-17,74.94,74.94,74.94,74.94,000,74.94
2012-10-08,75.75,75.75,75.75,75.75,100,75.75
2012-09-11,76.05,76.05,76.05,76.05,700,76.05
2012-08-29,75.95,75.95,75.95,75.95,1600,75.95
2012-08-21,76.58,76.58,76.58,76.58,200,76.58
2012-08-17,75.78,75.78,75.78,75.78,000,75.78
2012-08-10,74.15,74.15,74.15,74.15,200,74.15
2012-08-07,73.09,73.53,73.09,73.53,200,73.53
2012-08-01,71.79,71.80,71.79,71.80,400,71.80
2012-07-30,70.31,70.31,70.31,70.31,000,70.31
2012-07-24,70.04,70.11,70.04,70.11,4800,70.11
2012-07-12,69.46,69.48,68.97,68.97,4400,68.97
2012-07-11,69.88,70.03,69.88,70.03,2000,70.03
2012-06-29,69.32,69.36,69.32,69.36,1000,69.36
2012-06-14,69.60,69.60,69.60,69.60,200,69.60
2012-05-18,69.40,69.96,69.29,69.94,4000,69.94
2012-05-10,72.92,72.92,72.92,72.92,1000,72.92
2012-04-02,77.94,77.94,77.94,77.94,600,77.94
2012-03-01,74.07,74.08,74.07,74.07,600,74.07
2012-02-27,73.44,73.44,73.42,73.42,600,73.42
2012-02-17,73.51,73.51,73.51,73.51,000,73.51
2012-02-15,72.99,72.99,72.94,72.94,5300,72.94
2012-02-09,71.63,71.65,71.63,71.65,1000,71.65
2012-02-02,69.96,70.18,69.71,70.10,4600,70.10
2012-02-01,69.15,69.37,68.98,69.37,4200,69.37
2012-01-27,68.76,68.76,68.76,68.76,000,68.76
2012-01-26,68.87,68.91,68.87,68.91,1000,68.91
2012-01-12,65.86,65.86,65.86,65.86,000,65.86
2012-01-11,65.74,65.78,65.74,65.78,1000,65.78
2012-01-06,65.20,65.20,65.20,65.20,100,65.20
2012-01-03,65.31,65.36,65.07,65.07,10000,65.07
2011-12-22,62.68,62.68,62.68,62.68,1000,62.68
2011-12-12,65.61,65.61,65.61,65.61,000,65.61
2011-12-09,64.81,65.23,64.50,64.97,4000,64.97
2011-12-06,65.68,65.68,65.68,65.68,400,65.68
2011-12-02,65.16,65.70,65.13,65.70,1600,65.70
2011-11-30,61.92,62.00,61.92,62.00,6000,62.00
2011-11-21,63.65,63.65,63.20,63.20,1200,63.20
2011-11-10,64.85,64.85,64.85,64.85,000,64.85
2011-11-08,66.68,66.68,66.68,66.68,400,66.68
2011-11-04,66.27,66.27,66.27,66.27,1400,66.27
2011-11-03,64.10,64.10,64.10,64.10,000,64.10
2011-11-02,65.06,65.06,65.06,65.06,100,65.06
2011-10-28,65.41,65.42,65.41,65.42,800,65.42
2011-10-20,65.46,65.46,64.12,64.24,2400,64.24
2011-10-19,64.29,64.73,64.29,64.73,2400,64.73
2011-10-14,64.93,64.93,64.92,64.92,400,64.92
2011-10-11,63.20,63.20,63.20,63.20,100,63.20
2011-09-14,60.20,60.20,60.20,60.20,000,60.20
2011-08-23,56.86,57.28,56.86,57.28,2000,57.28
2011-08-22,57.19,57.19,56.14,56.14,4500,56.14
2011-08-19,57.02,57.02,56.95,56.95,2100,56.95
2011-08-12,60.38,60.38,60.38,60.38,200,60.38
2011-08-11,58.62,58.66,58.60,58.66,15000,58.66
2011-08-08,59.58,59.58,59.57,59.57,8200,59.57
2011-08-05,61.49,61.50,61.46,61.46,1000,61.46
2011-07-29,65.78,65.79,65.78,65.78,5000,65.78
2011-07-28,66.26,66.26,66.26,66.26,200,66.26
2011-07-22,67.36,67.36,67.36,67.36,600,67.36
2011-07-20,66.76,67.96,66.29,67.77,3400,67.77
2011-07-15,65.00,65.01,64.93,64.93,15000,64.93
2011-07-14,65.44,65.44,65.16,65.44,36400,65.44
2011-07-12,65.24,65.24,65.24,65.24,5000,65.24
2011-06-29,64.05,64.05,64.05,64.05,000,64.05
2011-06-28,62.97,62.98,62.95,62.98,16000,62.98
2011-06-24,63.92,63.92,63.54,63.56,30400,63.56
2011-06-22,63.03,63.03,62.96,63.03,8000,63.03
2011-06-20,61.49,61.49,61.46,61.46,12000,61.46
2011-06-17,62.02,62.06,62.02,62.06,12000,62.06
2011-06-16,62.23,62.23,61.97,62.22,31500,62.22
2011-06-15,64.01,64.03,63.33,63.33,29100,63.33
2011-06-09,63.63,63.63,63.63,63.63,2000,63.63
2011-05-31,66.30,66.30,66.30,66.30,200,66.30
2011-05-11,68.41,68.41,68.41,68.41,100,68.41
2011-04-15,65.33,65.33,65.33,65.33,2000,65.33
2011-03-22,65.00,65.00,65.00,65.00,100,65.00
2011-03-17,63.22,63.66,63.19,63.66,51200,63.66
2011-03-16,64.87,64.97,64.87,64.97,800,64.97
2011-03-15,65.61,65.61,64.32,64.42,32400,64.42
2011-03-14,66.01,66.01,65.60,65.70,75000,65.70
2011-03-11,65.91,65.91,65.24,65.34,10000,65.34
2011-03-10,66.73,66.73,66.63,66.68,18000,66.68
2011-03-09,67.50,67.50,67.36,67.36,3000,67.36
2011-03-08,67.31,67.43,67.31,67.34,9400,67.34
2011-03-07,68.03,68.03,68.03,68.03,5000,68.03
2011-03-02,67.02,67.02,67.02,67.02,20000,67.02
2011-02-24,66.52,66.54,66.52,66.54,20000,66.54
2011-02-07,68.97,69.04,68.97,69.04,20000,69.04
2011-02-02,66.58,67.99,66.57,67.99,26400,67.99
2011-01-31,66.50,66.50,66.50,66.50,1000,66.50
2011-01-28,67.89,67.89,67.89,67.89,000,67.89
2011-01-27,67.70,67.70,67.70,67.70,5000,67.70
2011-01-21,66.35,66.35,66.35,66.35,000,66.35
2011-01-20,67.34,67.34,67.32,67.32,5400,67.32
2011-01-18,67.08,67.12,67.08,67.12,8000,67.12
2011-01-12,66.65,66.65,66.65,66.65,2000,66.65
2011-01-05,65.09,65.12,65.03,65.03,28000,65.03
2011-01-04,65.66,65.66,65.05,65.05,10000,65.05
