Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,164.68,164.68,164.68,164.68,000,164.68
2013-05-29,166.48,166.48,166.48,166.48,200,166.48
2013-05-28,167.08,167.08,167.08,167.08,100,167.08
2013-05-21,167.89,167.89,167.89,167.89,100,167.89
2013-05-20,167.75,167.89,167.75,167.89,1200,167.89
2013-05-16,166.88,166.88,166.50,166.50,000,166.50
2013-05-15,166.07,166.07,166.07,166.07,000,166.07
2013-05-10,164.17,164.17,164.15,164.15,200,164.15
2013-05-08,163.00,163.00,163.00,163.00,000,163.00
2013-05-06,162.11,162.11,162.11,162.11,500,162.11
2013-05-03,160.56,160.56,160.56,160.56,000,160.56
2013-05-02,161.00,161.00,161.00,160.01,000,160.01
2013-04-30,160.01,160.01,160.01,160.01,000,160.01
2013-04-29,159.04,159.04,159.04,159.04,000,159.04
2013-04-25,158.79,158.79,158.79,158.79,000,158.79
2013-04-24,158.79,158.79,158.79,158.79,000,158.79
2013-04-19,157.00,157.00,157.00,157.00,000,157.00
2013-04-17,157.15,157.15,157.15,157.15,300,157.15
2013-04-16,156.27,156.50,156.27,156.50,000,156.50
2013-04-10,157.51,157.51,157.51,157.51,000,157.51
2013-04-09,157.44,157.44,157.44,157.44,200,157.44
2013-04-02,156.92,156.92,156.92,156.92,1000,156.92
2013-02-19,152.96,152.96,152.96,152.96,100,152.96
2013-02-18,152.96,152.96,152.96,152.96,1200,152.96
2013-02-15,153.18,153.18,153.00,153.00,100,153.00
2013-02-06,151.94,151.94,151.94,151.94,000,151.94
2013-01-30,151.43,151.43,151.43,151.43,000,151.43
2013-01-23,149.75,149.75,149.60,149.60,1900,149.60
2013-01-15,147.87,147.87,147.80,147.80,000,147.80
2013-01-14,148.71,148.71,148.67,148.67,500,148.67
2013-01-11,149.00,149.00,149.00,149.00,000,149.00
2013-01-09,146.40,146.40,146.40,146.40,600,146.40
2013-01-08,146.80,146.80,146.80,146.80,000,146.80
2013-01-07,147.10,147.10,147.10,147.10,000,147.10
2013-01-03,147.40,147.40,147.40,147.40,100,147.40
2013-01-02,143.71,144.70,143.71,144.70,4100,144.70
2012-12-27,142.29,143.00,142.29,142.90,100,142.90
2012-12-26,143.28,144.00,143.28,144.00,3700,144.00
2012-12-21,143.56,143.70,143.04,143.70,15000,143.70
2012-12-20,145.40,145.40,145.40,145.40,000,145.40
2012-12-19,145.84,145.84,144.62,145.30,5800,145.30
2012-12-17,143.70,143.70,143.62,143.62,300,143.62
2012-12-14,143.95,143.95,143.71,143.71,100,143.71
2012-12-13,144.20,144.20,144.20,144.20,000,144.20
2012-12-11,144.06,144.06,144.06,144.06,000,144.06
2012-12-10,144.05,144.05,144.05,144.05,000,144.05
2012-11-28,141.05,141.05,141.05,141.05,100,141.05
2012-11-21,139.60,139.60,139.50,139.50,000,139.50
2012-11-20,139.24,139.30,139.24,139.30,600,139.30
2012-11-19,137.65,137.65,137.65,137.65,000,137.65
2012-11-15,142.60,142.60,142.60,142.60,000,142.60
2012-11-08,142.83,142.83,142.83,142.83,000,142.83
2012-11-05,143.13,143.13,143.13,143.13,1900,143.13
2012-11-02,143.13,143.13,143.13,143.13,1900,143.13
2012-11-01,142.15,142.15,142.15,142.15,000,142.15
2012-10-24,142.39,142.40,142.16,142.16,1100,142.16
2012-10-19,146.00,146.30,146.00,146.30,000,146.30
2012-10-12,145.76,145.76,145.76,145.76,200,145.76
2012-10-09,147.96,147.96,147.96,147.96,1900,147.96
2012-10-04,146.12,146.12,146.12,146.12,000,146.12
2012-10-03,144.83,144.83,144.83,144.83,000,144.83
2012-09-28,145.80,145.80,145.80,145.80,000,145.80
2012-09-26,146.10,146.10,146.10,146.10,000,146.10
2012-09-25,147.00,147.00,147.00,147.00,000,147.00
2012-09-11,143.96,143.96,143.96,143.96,000,143.96
2012-09-10,144.38,144.38,144.38,144.38,000,144.38
2012-09-07,144.50,144.50,144.20,144.33,1500,144.33
2012-09-03,141.42,141.47,141.42,141.47,1000,141.47
2012-08-29,142.08,142.08,142.08,142.08,000,142.08
2012-08-23,142.72,142.75,142.66,142.66,1200,142.66
2012-08-17,142.81,142.88,142.18,142.18,100,142.18
2012-08-13,140.81,140.81,140.81,140.81,000,140.81
2012-08-03,137.76,138.40,137.73,138.40,1400,138.40
2012-08-01,138.50,138.50,138.50,138.50,200,138.50
2012-07-30,138.59,138.59,138.59,138.59,000,138.59
2012-07-24,135.67,136.97,135.67,135.87,10300,135.87
2012-07-18,137.01,137.01,137.01,137.01,000,137.01
2012-07-13,134.36,134.36,134.36,134.36,200,134.36
2012-07-02,136.55,136.55,136.55,136.55,000,136.55
2012-06-28,133.32,133.32,133.31,133.31,400,133.31
2012-06-27,132.69,132.70,132.69,132.70,400,132.70
2012-06-26,132.44,132.44,132.44,132.44,200,132.44
