Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.09,0.09,0.09,0.09,000,0.09
2013-06-03,0.09,0.09,0.09,0.09,000,0.09
2013-05-31,0.09,0.09,0.09,0.09,000,0.09
2013-05-30,0.09,0.09,0.09,0.09,6000,0.09
2013-05-29,0.09,0.11,0.09,0.09,52000,0.09
2013-05-28,0.09,0.09,0.09,0.09,000,0.09
2013-05-27,0.09,0.09,0.09,0.09,000,0.09
2013-05-24,0.09,0.09,0.09,0.09,000,0.09
2013-05-23,0.09,0.09,0.09,0.09,573000,0.09
2013-05-22,0.09,0.09,0.09,0.09,300000,0.09
2013-05-21,0.10,0.10,0.10,0.10,000,0.10
2013-05-20,0.09,0.10,0.09,0.10,176000,0.10
2013-05-17,0.09,0.09,0.09,0.09,412000,0.09
2013-05-16,0.09,0.09,0.09,0.09,000,0.09
2013-05-15,0.09,0.09,0.09,0.09,20000,0.09
2013-05-14,0.09,0.09,0.09,0.09,300000,0.09
2013-05-13,0.09,0.09,0.09,0.09,000,0.09
2013-05-10,0.10,0.10,0.09,0.09,700000,0.09
2013-05-09,0.09,0.09,0.09,0.09,000,0.09
2013-05-08,0.10,0.10,0.09,0.09,80000,0.09
2013-05-07,0.10,0.10,0.10,0.10,144000,0.10
2013-05-06,0.09,0.09,0.09,0.09,000,0.09
2013-05-03,0.09,0.09,0.09,0.09,150000,0.09
2013-05-02,0.09,0.09,0.09,0.10,300000,0.10
2013-05-01,0.10,0.10,0.10,0.10,000,0.10
2013-04-30,0.10,0.10,0.10,0.10,000,0.10
2013-04-29,0.10,0.10,0.10,0.10,42000,0.10
2013-04-26,0.10,0.10,0.10,0.10,338000,0.10
2013-04-25,0.09,0.09,0.09,0.09,100000,0.09
2013-04-24,0.10,0.10,0.10,0.10,14000,0.10
2013-04-23,0.10,0.10,0.10,0.10,000,0.10
2013-04-22,0.10,0.10,0.10,0.10,180000,0.10
2013-04-19,0.10,0.10,0.10,0.10,000,0.10
2013-04-18,0.10,0.10,0.10,0.10,104000,0.10
2013-04-17,0.10,0.10,0.10,0.10,403000,0.10
2013-04-16,0.10,0.10,0.10,0.10,000,0.10
2013-04-15,0.10,0.10,0.10,0.10,346000,0.10
2013-04-12,0.10,0.10,0.10,0.10,418000,0.10
2013-04-11,0.10,0.10,0.10,0.10,244000,0.10
2013-04-10,0.10,0.10,0.10,0.10,582000,0.10
2013-04-09,0.10,0.10,0.10,0.10,000,0.10
2013-04-08,0.10,0.10,0.10,0.10,245000,0.10
2013-04-05,0.10,0.10,0.10,0.10,200000,0.10
2013-04-04,0.10,0.10,0.10,0.10,000,0.10
2013-04-03,0.10,0.10,0.10,0.10,360000,0.10
2013-04-02,0.10,0.10,0.10,0.10,12000,0.10
2013-04-01,0.10,0.10,0.10,0.10,138000,0.10
2013-03-29,0.11,0.11,0.11,0.11,000,0.11
2013-03-28,0.10,0.11,0.10,0.11,450000,0.11
2013-03-27,0.11,0.11,0.11,0.11,50000,0.11
2013-03-26,0.11,0.11,0.11,0.11,323000,0.11
2013-03-25,0.11,0.11,0.11,0.11,764000,0.11
2013-03-22,0.10,0.10,0.10,0.10,877000,0.10
2013-03-21,0.10,0.10,0.10,0.10,350000,0.10
2013-03-20,0.09,0.10,0.09,0.10,449000,0.10
2013-03-19,0.09,0.10,0.09,0.09,489000,0.09
2013-03-18,0.10,0.10,0.09,0.09,833000,0.09
2013-03-15,0.10,0.10,0.10,0.10,1625000,0.10
2013-03-14,0.09,0.10,0.09,0.10,1089000,0.10
2013-03-13,0.09,0.10,0.09,0.09,3702000,0.09
2013-03-12,0.09,0.10,0.09,0.09,5371000,0.09
2013-03-11,0.11,0.11,0.09,0.09,3357000,0.09
2013-03-08,0.12,0.12,0.11,0.11,1437000,0.11
2013-03-07,0.12,0.12,0.11,0.12,4932000,0.12
2013-03-06,0.13,0.14,0.12,0.12,8127000,0.12
2013-03-05,0.13,0.14,0.13,0.13,228844000,0.13
2013-03-04,0.13,0.13,0.12,0.12,350000,0.12
2013-03-01,0.14,0.14,0.14,0.14,164000,0.14
2013-02-28,0.12,0.12,0.12,0.12,000,0.12
2013-02-27,0.13,0.13,0.12,0.12,141000,0.12
2013-02-26,0.12,0.12,0.12,0.12,000,0.12
2013-02-25,0.12,0.12,0.12,0.12,59000,0.12
2013-02-22,0.13,0.13,0.13,0.13,200000,0.13
2013-02-21,0.13,0.13,0.13,0.13,164000,0.13
2013-02-20,0.13,0.13,0.13,0.13,000,0.13
2013-02-19,0.13,0.13,0.13,0.13,40000,0.13
2013-02-18,0.13,0.13,0.13,0.13,558000,0.13
2013-02-15,0.13,0.13,0.13,0.13,423000,0.13
2013-02-14,0.13,0.13,0.13,0.13,148000,0.13
2013-02-13,0.13,0.13,0.13,0.13,000,0.13
2013-02-12,0.13,0.13,0.13,0.13,000,0.13
2013-02-11,0.13,0.13,0.13,0.13,000,0.13
2013-02-08,0.13,0.13,0.13,0.13,476000,0.13
2013-02-07,0.13,0.13,0.13,0.13,419000,0.13
2013-02-06,0.13,0.13,0.13,0.13,717000,0.13
2013-02-05,0.13,0.14,0.13,0.14,698000,0.14
2013-02-04,0.13,0.13,0.13,0.13,121000,0.13
2013-02-01,0.13,0.14,0.13,0.14,61000,0.14
2013-01-31,0.13,0.13,0.13,0.13,520000,0.13
2013-01-30,0.14,0.14,0.13,0.13,2395000,0.13
2013-01-29,0.14,0.14,0.14,0.14,2413000,0.14
2013-01-28,0.14,0.14,0.14,0.14,340000,0.14
2013-01-25,0.14,0.14,0.14,0.14,240000,0.14
2013-01-24,0.14,0.14,0.14,0.14,170000,0.14
2013-01-23,0.15,0.15,0.14,0.14,2675000,0.14
2013-01-22,0.14,0.16,0.14,0.15,28824000,0.15
2013-01-21,0.14,0.14,0.14,0.14,000,0.14
2013-01-18,0.14,0.14,0.14,0.14,000,0.14
2013-01-17,0.14,0.14,0.14,0.14,170000,0.14
2013-01-16,0.14,0.15,0.14,0.15,2316000,0.15
2013-01-15,0.14,0.14,0.14,0.14,000,0.14
2013-01-14,0.14,0.14,0.14,0.14,85000,0.14
2013-01-11,0.14,0.14,0.14,0.14,50000,0.14
2013-01-10,0.14,0.14,0.14,0.14,000,0.14
2013-01-09,0.14,0.14,0.14,0.14,000,0.14
2013-01-08,0.14,0.14,0.14,0.14,000,0.14
2013-01-07,0.14,0.14,0.13,0.14,470000,0.14
2013-01-04,0.14,0.14,0.14,0.14,10000,0.14
2013-01-03,0.14,0.14,0.14,0.14,000,0.14
2013-01-02,0.14,0.14,0.14,0.14,000,0.14
2013-01-01,0.14,0.14,0.14,0.14,000,0.14
2012-12-31,0.14,0.14,0.14,0.14,17000,0.14
2012-12-28,0.14,0.14,0.14,0.14,000,0.14
2012-12-27,0.14,0.14,0.14,0.14,000,0.14
2012-12-26,0.14,0.14,0.14,0.14,138000,0.14
2012-12-25,0.14,0.14,0.14,0.14,000,0.14
2012-12-24,0.14,0.14,0.14,0.14,200000,0.14
