Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,40.29,40.38,39.20,39.25,268500,39.25
2013-06-03,40.07,40.30,39.94,39.94,108500,39.94
2013-05-31,40.30,40.38,39.96,40.11,450000,40.11
2013-05-30,41.00,41.01,40.01,40.65,521500,40.65
2013-05-29,40.80,40.96,40.49,40.65,147000,40.65
2013-05-28,40.43,40.60,39.94,40.60,176500,40.60
2013-05-27,40.41,40.79,40.04,40.08,186000,40.08
2013-05-24,40.16,40.16,40.16,40.16,000,40.16
2013-05-23,40.50,40.65,39.80,40.16,258000,40.16
2013-05-22,40.30,40.50,39.91,40.43,202000,40.43
2013-05-21,40.04,40.50,40.04,40.39,43000,40.39
2013-05-20,40.94,40.94,39.90,39.99,2436000,39.99
2013-05-17,41.51,41.51,40.65,40.65,274500,40.65
2013-05-16,40.20,41.40,40.14,41.00,319000,41.00
2013-05-15,40.09,40.30,39.81,39.91,144500,39.91
2013-05-14,40.69,40.69,39.80,40.10,91000,40.10
2013-05-13,40.55,40.55,39.93,40.10,123500,40.10
2013-05-10,40.30,40.47,40.30,40.47,84000,40.47
2013-05-09,40.11,40.40,40.01,40.15,182500,40.15
2013-05-08,40.32,40.33,40.11,40.11,169000,40.11
2013-05-07,39.86,40.05,39.31,39.80,368000,39.80
2013-05-06,39.77,40.05,39.46,39.66,149500,39.66
2013-05-03,39.47,39.66,39.10,39.51,168500,39.51
2013-05-02,39.00,39.47,39.00,39.00,300000,39.00
2013-05-01,39.00,39.00,39.00,39.00,000,39.00
2013-04-30,39.10,39.25,38.93,39.00,86000,39.00
2013-04-29,39.01,39.36,38.80,38.85,93500,38.85
2013-04-26,39.20,39.20,38.71,38.71,139500,38.71
2013-04-25,39.80,39.80,38.85,39.12,182000,39.12
2013-04-24,39.72,39.85,39.58,39.72,105500,39.72
2013-04-23,39.55,39.78,39.21,39.78,136500,39.78
2013-04-22,39.66,39.66,39.44,39.53,98000,39.53
2013-04-19,39.40,39.60,39.12,39.60,34500,39.60
2013-04-18,39.90,40.00,38.86,39.35,83500,39.35
2013-04-17,39.41,40.70,39.41,39.71,174500,39.71
2013-04-16,39.09,40.45,38.83,39.59,419000,39.59
2013-04-15,38.87,39.20,38.87,39.13,272500,39.13
2013-04-12,39.11,39.30,38.31,38.40,629000,38.40
2013-04-11,38.40,38.77,38.30,38.64,77500,38.64
2013-04-10,38.00,38.32,37.82,38.00,251500,38.00
2013-04-09,38.74,39.00,38.07,38.32,114500,38.32
2013-04-08,39.60,39.61,38.80,38.80,230000,38.80
2013-04-05,39.40,39.56,39.26,39.47,231000,39.47
2013-04-04,39.50,39.78,39.43,39.68,62000,39.68
2013-04-03,39.30,39.66,39.30,39.36,153000,39.36
2013-04-02,39.84,40.45,39.28,39.30,159500,39.30
2013-04-01,39.78,40.32,39.59,39.79,64000,39.79
2013-03-29,39.58,39.58,39.58,39.58,000,39.58
2013-03-28,39.80,40.45,39.58,39.58,263500,39.58
2013-03-27,39.75,39.98,39.75,39.90,173000,39.90
2013-03-26,39.60,39.80,39.38,39.79,129000,39.79
2013-03-25,39.51,39.99,39.23,39.62,241000,39.62
