Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.16,0.16,0.16,0.16,666000,0.16
2013-06-03,0.16,0.16,0.16,0.16,815000,0.16
2013-05-31,0.16,0.16,0.16,0.16,1539000,0.16
2013-05-30,0.16,0.16,0.16,0.16,5079000,0.16
2013-05-29,0.16,0.16,0.16,0.16,4864000,0.16
2013-05-28,0.16,0.16,0.15,0.16,1047000,0.16
2013-05-27,0.16,0.16,0.16,0.16,601000,0.16
2013-05-24,0.16,0.16,0.16,0.16,000,0.16
2013-05-23,0.16,0.16,0.16,0.16,1574000,0.16
2013-05-22,0.16,0.16,0.16,0.16,2479000,0.16
2013-05-21,0.16,0.16,0.16,0.16,1734000,0.16
2013-05-20,0.16,0.16,0.15,0.16,3909000,0.16
2013-05-17,0.16,0.16,0.15,0.16,3012000,0.16
2013-05-16,0.15,0.16,0.15,0.15,5356000,0.15
2013-05-15,0.16,0.16,0.16,0.16,1831000,0.16
2013-05-14,0.16,0.16,0.16,0.16,3277000,0.16
2013-05-13,0.16,0.16,0.16,0.16,8593000,0.16
2013-05-10,0.16,0.16,0.16,0.16,5320000,0.16
2013-05-09,0.16,0.16,0.16,0.16,3453000,0.16
2013-05-08,0.17,0.17,0.16,0.16,2241000,0.16
2013-05-07,0.16,0.17,0.16,0.16,4861000,0.16
2013-05-06,0.16,0.16,0.16,0.16,3873000,0.16
2013-05-03,0.16,0.17,0.16,0.16,5652000,0.16
2013-05-02,0.17,0.17,0.16,0.17,4549000,0.17
2013-05-01,0.17,0.17,0.17,0.17,000,0.17
2013-04-30,0.17,0.17,0.17,0.17,9381000,0.17
2013-04-29,0.17,0.17,0.17,0.17,2744000,0.17
2013-04-26,0.17,0.17,0.17,0.17,13140000,0.17
2013-04-25,0.17,0.17,0.17,0.17,10530000,0.17
2013-04-24,0.17,0.17,0.17,0.17,6480000,0.17
2013-04-23,0.17,0.17,0.16,0.16,6480000,0.16
2013-04-22,0.17,0.17,0.17,0.17,2147000,0.17
2013-04-19,0.17,0.17,0.17,0.17,1932000,0.17
2013-04-18,0.17,0.17,0.17,0.17,4080000,0.17
2013-04-17,0.17,0.17,0.17,0.17,9382000,0.17
2013-04-16,0.17,0.18,0.17,0.17,10507000,0.17
2013-04-15,0.17,0.18,0.17,0.17,11627000,0.17
2013-04-12,0.17,0.17,0.17,0.17,4044000,0.17
2013-04-11,0.17,0.18,0.17,0.17,5270000,0.17
2013-04-10,0.17,0.17,0.17,0.17,10599000,0.17
