Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.20,0.20,0.20,0.20,5000,0.20
2013-06-03,0.20,0.20,0.20,0.20,000,0.20
2013-05-31,0.20,0.20,0.20,0.20,000,0.20
2013-05-30,0.20,0.20,0.20,0.20,000,0.20
2013-05-29,0.20,0.20,0.20,0.20,34000,0.20
2013-05-28,0.18,0.21,0.18,0.19,29000,0.19
2013-05-27,0.20,0.20,0.20,0.20,000,0.20
2013-05-24,0.20,0.20,0.20,0.20,000,0.20
2013-05-23,0.20,0.20,0.20,0.20,000,0.20
2013-05-22,0.20,0.20,0.20,0.20,000,0.20
2013-05-21,0.20,0.20,0.20,0.20,6000,0.20
2013-05-20,0.18,0.18,0.18,0.18,000,0.18
2013-05-17,0.18,0.18,0.18,0.18,6000,0.18
2013-05-16,0.18,0.18,0.18,0.18,35000,0.18
2013-05-15,0.17,0.17,0.17,0.17,000,0.17
2013-05-14,0.17,0.17,0.17,0.17,6000,0.17
2013-05-13,0.23,0.23,0.23,0.23,000,0.23
2013-05-10,0.23,0.23,0.23,0.23,000,0.23
2013-05-09,0.23,0.23,0.23,0.23,000,0.23
2013-05-08,0.23,0.23,0.23,0.23,000,0.23
2013-05-07,0.23,0.23,0.23,0.23,000,0.23
2013-05-06,0.23,0.23,0.23,0.23,000,0.23
2013-05-03,0.23,0.23,0.23,0.23,56000,0.23
2013-05-02,0.23,0.23,0.23,0.24,25000,0.24
2013-05-01,0.24,0.24,0.24,0.24,000,0.24
2013-04-30,0.24,0.24,0.24,0.24,000,0.24
2013-04-29,0.24,0.24,0.24,0.24,000,0.24
2013-04-26,0.24,0.24,0.24,0.24,8000,0.24
2013-04-25,0.23,0.23,0.23,0.23,000,0.23
2013-04-24,0.23,0.23,0.23,0.23,000,0.23
2013-04-23,0.23,0.23,0.23,0.23,32000,0.23
2013-04-22,0.23,0.23,0.23,0.23,491000,0.23
2013-04-19,0.23,0.23,0.23,0.23,220000,0.23
2013-04-18,0.23,0.23,0.23,0.23,500000,0.23
2013-04-17,0.23,0.23,0.23,0.23,60000,0.23
2013-04-16,0.21,0.23,0.21,0.23,262000,0.23
2013-04-15,0.22,0.22,0.21,0.21,170000,0.21
