Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.40,0.41,0.40,0.41,693000,0.41
2013-06-03,0.40,0.40,0.40,0.40,522000,0.40
2013-05-31,0.41,0.41,0.40,0.41,385000,0.41
2013-05-30,0.41,0.41,0.40,0.41,623000,0.41
2013-05-29,0.41,0.41,0.41,0.41,544000,0.41
2013-05-28,0.41,0.41,0.41,0.41,475000,0.41
2013-05-27,0.41,0.41,0.41,0.41,540000,0.41
2013-05-24,0.41,0.41,0.41,0.41,000,0.41
2013-05-23,0.43,0.43,0.41,0.41,2044000,0.41
2013-05-22,0.44,0.44,0.43,0.43,405000,0.43
2013-05-21,0.44,0.44,0.43,0.44,389000,0.44
2013-05-20,0.44,0.44,0.43,0.44,399000,0.44
2013-05-17,0.44,0.44,0.43,0.44,285000,0.44
2013-05-16,0.43,0.45,0.43,0.44,2949000,0.44
2013-05-15,0.42,0.42,0.41,0.42,303000,0.42
2013-05-14,0.42,0.42,0.41,0.41,62000,0.41
2013-05-13,0.41,0.42,0.41,0.41,208000,0.41
2013-05-10,0.41,0.41,0.41,0.41,606000,0.41
2013-05-09,0.43,0.43,0.41,0.42,308000,0.42
2013-05-08,0.41,0.43,0.41,0.43,490000,0.43
2013-05-07,0.42,0.42,0.41,0.41,868000,0.41
2013-05-06,0.43,0.43,0.42,0.42,270000,0.42
2013-05-03,0.43,0.43,0.42,0.42,461000,0.42
2013-05-02,0.43,0.43,0.43,0.43,441000,0.43
2013-05-01,0.43,0.43,0.43,0.43,000,0.43
2013-04-30,0.44,0.44,0.43,0.43,285000,0.43
2013-04-29,0.44,0.44,0.44,0.44,509000,0.44
2013-04-26,0.43,0.45,0.43,0.44,1603000,0.44
2013-04-25,0.43,0.44,0.42,0.43,664000,0.43
2013-04-24,0.43,0.44,0.42,0.43,707000,0.43
2013-04-23,0.42,0.44,0.41,0.43,696000,0.43
2013-04-22,0.44,0.44,0.42,0.42,1259000,0.42
2013-04-19,0.45,0.46,0.43,0.44,1843000,0.44
2013-04-18,0.46,0.47,0.44,0.45,1364000,0.45
2013-04-17,0.47,0.47,0.46,0.46,1270000,0.46
2013-04-16,0.47,0.48,0.47,0.47,1924000,0.47
2013-04-15,0.50,0.50,0.47,0.47,1413000,0.47
2013-04-12,0.51,0.52,0.50,0.50,14303000,0.50
2013-04-11,0.50,0.51,0.48,0.50,3954000,0.50
2013-04-10,0.51,0.51,0.49,0.50,522000,0.50
2013-04-09,0.47,0.53,0.47,0.50,3324000,0.50
2013-04-08,0.51,0.51,0.47,0.47,2812000,0.47
2013-04-05,0.55,0.55,0.51,0.51,2027000,0.51
2013-04-04,0.47,0.57,0.47,0.55,9520000,0.55
2013-04-03,0.64,0.65,0.64,0.65,266000,0.65
2013-04-02,0.66,0.68,0.66,0.66,103000,0.66
2013-04-01,0.66,0.68,0.66,0.68,44000,0.68
2013-03-29,0.69,0.69,0.69,0.69,000,0.69
2013-03-28,0.69,0.69,0.66,0.69,85000,0.69
2013-03-27,0.68,0.69,0.68,0.69,22000,0.69
2013-03-26,0.69,0.70,0.69,0.70,144000,0.70
2013-03-25,0.69,0.69,0.68,0.69,72000,0.69
2013-03-22,0.68,0.69,0.68,0.69,16000,0.69
2013-03-21,0.68,0.69,0.68,0.69,20000,0.69
2013-03-20,0.65,0.69,0.65,0.69,139000,0.69
2013-03-19,0.65,0.69,0.65,0.69,47000,0.69
2013-03-18,0.68,0.69,0.63,0.69,138000,0.69
2013-03-15,0.70,0.70,0.68,0.69,50000,0.69
2013-03-14,0.68,0.69,0.64,0.69,88000,0.69
2013-03-13,0.64,0.68,0.63,0.68,148000,0.68
2013-03-12,0.69,0.69,0.65,0.65,60000,0.65
2013-03-11,0.69,0.69,0.68,0.69,49000,0.69
2013-03-08,0.69,0.70,0.67,0.70,81000,0.70
2013-03-07,0.70,0.70,0.67,0.67,98000,0.67
2013-03-06,0.72,0.72,0.70,0.70,28000,0.70
2013-03-05,0.74,0.74,0.72,0.72,167000,0.72
2013-03-04,0.78,0.81,0.77,0.81,458000,0.81
2013-03-01,0.79,0.79,0.77,0.77,207000,0.77
2013-02-28,0.79,0.79,0.77,0.79,96000,0.79
2013-02-27,0.77,0.77,0.77,0.77,000,0.77
2013-02-26,0.77,0.77,0.77,0.77,9000,0.77
2013-02-25,0.75,0.75,0.75,0.75,6000,0.75
2013-02-22,0.75,0.75,0.74,0.75,133000,0.75
2013-02-21,0.75,0.76,0.75,0.76,64000,0.76
2013-02-20,0.76,0.76,0.76,0.76,32000,0.76
2013-02-19,0.76,0.76,0.75,0.75,37000,0.75
2013-02-18,0.76,0.79,0.75,0.75,71000,0.75
2013-02-15,0.77,0.78,0.75,0.75,9000,0.75
2013-02-14,0.75,0.75,0.75,0.75,11000,0.75
2013-02-13,0.75,0.75,0.75,0.75,000,0.75
2013-02-12,0.75,0.75,0.75,0.75,000,0.75
2013-02-11,0.75,0.75,0.75,0.75,000,0.75
2013-02-08,0.75,0.75,0.75,0.75,000,0.75
2013-02-07,0.75,0.75,0.75,0.75,8000,0.75
2013-02-06,0.74,0.74,0.74,0.74,1000,0.74
2013-02-05,0.74,0.74,0.74,0.74,2000,0.74
2013-02-04,0.77,0.77,0.75,0.75,14000,0.75
2013-02-01,0.77,0.77,0.77,0.77,2000,0.77
2013-01-31,0.76,0.78,0.75,0.77,82000,0.77
2013-01-30,0.77,0.77,0.76,0.76,6000,0.76
2013-01-29,0.77,0.77,0.75,0.75,23000,0.75
2013-01-28,0.76,0.77,0.75,0.77,5000,0.77
2013-01-25,0.74,0.74,0.74,0.74,000,0.74
2013-01-24,0.74,0.74,0.74,0.74,000,0.74
2013-01-23,0.74,0.74,0.74,0.74,000,0.74
2013-01-22,0.75,0.75,0.74,0.74,35000,0.74
2013-01-21,0.77,0.77,0.76,0.76,31000,0.76
2013-01-18,0.77,0.77,0.76,0.77,22000,0.77
2013-01-17,0.78,0.79,0.78,0.79,12000,0.79
2013-01-16,0.79,0.79,0.79,0.79,16000,0.79
2013-01-15,0.80,0.81,0.80,0.81,20000,0.81
2013-01-14,0.80,0.80,0.80,0.80,000,0.80
2013-01-11,0.80,0.81,0.79,0.80,65000,0.80
2013-01-10,0.80,0.80,0.79,0.79,34000,0.79
2013-01-09,0.79,0.79,0.79,0.79,000,0.79
2013-01-08,0.80,0.81,0.78,0.79,93000,0.79
2013-01-07,0.79,0.81,0.77,0.80,310000,0.80
2013-01-04,0.76,0.79,0.76,0.78,81000,0.78
