Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.08,0.08,0.08,0.08,000,0.08
2013-06-03,0.08,0.08,0.08,0.08,000,0.08
2013-05-31,0.08,0.08,0.08,0.08,000,0.08
2013-05-30,0.08,0.08,0.08,0.08,000,0.08
2013-05-29,0.08,0.08,0.08,0.08,000,0.08
2013-05-28,0.07,0.08,0.07,0.08,111000,0.08
2013-05-27,0.08,0.08,0.08,0.08,000,0.08
2013-05-24,0.08,0.08,0.08,0.08,000,0.08
2013-05-23,0.07,0.08,0.07,0.08,20000,0.08
2013-05-22,0.07,0.07,0.07,0.07,7000,0.07
2013-05-21,0.08,0.08,0.08,0.08,000,0.08
2013-05-20,0.08,0.08,0.08,0.08,000,0.08
2013-05-17,0.08,0.08,0.08,0.08,000,0.08
2013-05-16,0.08,0.08,0.08,0.08,000,0.08
2013-05-15,0.08,0.08,0.08,0.08,000,0.08
2013-05-14,0.08,0.08,0.08,0.08,000,0.08
2013-05-13,0.07,0.08,0.06,0.08,614000,0.08
2013-05-10,0.07,0.07,0.07,0.07,5000,0.07
2013-05-09,0.07,0.07,0.07,0.07,175000,0.07
2013-05-08,0.07,0.07,0.07,0.07,000,0.07
2013-05-07,0.07,0.07,0.07,0.07,50000,0.07
2013-05-06,0.07,0.07,0.07,0.07,16000,0.07
2013-05-03,0.07,0.07,0.07,0.07,000,0.07
2013-05-02,0.07,0.07,0.07,0.07,133000,0.07
2013-05-01,0.07,0.07,0.07,0.07,000,0.07
2013-04-30,0.07,0.07,0.07,0.07,000,0.07
2013-04-29,0.07,0.07,0.07,0.07,7000,0.07
2013-04-26,0.07,0.07,0.07,0.07,140000,0.07
2013-04-25,0.07,0.07,0.07,0.07,600000,0.07
2013-04-24,0.07,0.07,0.07,0.07,66000,0.07
2013-04-23,0.07,0.07,0.07,0.07,000,0.07
2013-04-22,0.07,0.07,0.07,0.07,182000,0.07
2013-04-19,0.07,0.07,0.07,0.07,1000,0.07
2013-04-18,0.07,0.07,0.07,0.07,494000,0.07
2013-04-17,0.07,0.07,0.07,0.07,1507000,0.07
2013-04-16,0.07,0.08,0.07,0.08,41000,0.08
2013-04-15,0.07,0.08,0.07,0.07,52000,0.07
2013-04-12,0.07,0.08,0.07,0.07,269000,0.07
2013-04-11,0.08,0.08,0.08,0.08,000,0.08
2013-04-10,0.07,0.08,0.07,0.08,101000,0.08
2013-04-09,0.07,0.08,0.07,0.08,99000,0.08
2013-04-08,0.07,0.07,0.07,0.07,50000,0.07
2013-04-05,0.08,0.08,0.08,0.08,000,0.08
2013-04-04,0.08,0.08,0.07,0.08,235000,0.08
2013-04-03,0.08,0.08,0.08,0.08,42000,0.08
2013-04-02,0.08,0.08,0.08,0.08,204000,0.08
2013-04-01,0.08,0.08,0.07,0.08,750000,0.08
2013-03-29,0.08,0.08,0.08,0.08,000,0.08
2013-03-28,0.08,0.08,0.08,0.08,176000,0.08
2013-03-27,0.08,0.08,0.08,0.08,290000,0.08
2013-03-26,0.09,0.09,0.09,0.09,000,0.09
2013-03-25,0.09,0.09,0.09,0.09,000,0.09
2013-03-22,0.08,0.09,0.08,0.09,810000,0.09
2013-03-21,0.08,0.09,0.08,0.08,155000,0.08
2013-03-20,0.08,0.08,0.08,0.08,000,0.08
2013-03-19,0.08,0.08,0.08,0.08,350000,0.08
2013-03-18,0.08,0.08,0.08,0.08,66000,0.08
2013-03-15,0.08,0.08,0.08,0.08,120000,0.08
2013-03-14,0.09,0.09,0.08,0.08,67000,0.08
2013-03-13,0.09,0.10,0.09,0.10,135000,0.10
2013-03-12,0.09,0.09,0.09,0.09,20000,0.09
2013-03-11,0.08,0.08,0.08,0.08,295000,0.08
2013-03-08,0.08,0.08,0.08,0.08,93000,0.08
2013-03-07,0.09,0.09,0.08,0.08,259000,0.08
2013-03-06,0.09,0.09,0.09,0.09,1000,0.09
2013-03-05,0.08,0.09,0.08,0.09,166000,0.09
2013-03-04,0.09,0.09,0.09,0.09,000,0.09
2013-03-01,0.09,0.09,0.09,0.09,375000,0.09
2013-02-28,0.09,0.09,0.09,0.09,35000,0.09
2013-02-27,0.09,0.09,0.09,0.09,221000,0.09
2013-02-26,0.09,0.09,0.09,0.09,537000,0.09
2013-02-25,0.09,0.09,0.09,0.09,475000,0.09
2013-02-22,0.09,0.09,0.09,0.09,000,0.09
2013-02-21,0.09,0.09,0.09,0.09,000,0.09
2013-02-20,0.09,0.09,0.09,0.09,495000,0.09
2013-02-19,0.09,0.10,0.09,0.10,474000,0.10
2013-02-18,0.10,0.10,0.10,0.10,000,0.10
2013-02-15,0.09,0.10,0.09,0.10,301000,0.10
2013-02-14,0.09,0.10,0.09,0.10,31000,0.10
2013-02-13,0.09,0.09,0.09,0.09,194000,0.09
2013-02-12,0.09,0.09,0.09,0.09,000,0.09
2013-02-11,0.09,0.09,0.09,0.09,000,0.09
