Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.22,0.22,0.22,0.22,35000,0.22
2013-06-03,0.22,0.22,0.22,0.22,000,0.22
2013-05-31,0.22,0.22,0.22,0.22,000,0.22
2013-05-30,0.22,0.22,0.22,0.22,50000,0.22
2013-05-29,0.21,0.22,0.21,0.22,35000,0.22
2013-05-28,0.21,0.21,0.20,0.20,20000,0.20
2013-05-27,0.21,0.21,0.21,0.21,000,0.21
2013-05-24,0.21,0.21,0.21,0.21,000,0.21
2013-05-23,0.21,0.21,0.21,0.21,50000,0.21
2013-05-22,0.22,0.22,0.22,0.22,50000,0.22
2013-05-21,0.22,0.22,0.22,0.22,48000,0.22
2013-05-20,0.22,0.22,0.22,0.22,36000,0.22
2013-05-17,0.21,0.21,0.21,0.21,000,0.21
2013-05-16,0.21,0.21,0.21,0.21,000,0.21
2013-05-15,0.21,0.21,0.21,0.21,60000,0.21
2013-05-14,0.21,0.21,0.21,0.21,50000,0.21
2013-05-13,0.21,0.21,0.21,0.21,40000,0.21
2013-05-10,0.21,0.22,0.21,0.22,40000,0.22
2013-05-09,0.21,0.21,0.21,0.21,000,0.21
2013-05-08,0.21,0.21,0.21,0.21,20000,0.21
2013-05-07,0.22,0.22,0.22,0.22,15000,0.22
2013-05-06,0.21,0.22,0.21,0.22,60000,0.22
2013-05-03,0.22,0.22,0.22,0.22,5000,0.22
2013-05-02,0.23,0.23,0.22,0.23,406000,0.23
2013-05-01,0.23,0.23,0.23,0.23,000,0.23
2013-04-30,0.22,0.23,0.22,0.23,205000,0.23
2013-04-29,0.21,0.23,0.21,0.23,910000,0.23
2013-04-26,0.19,0.22,0.19,0.21,267000,0.21
2013-04-25,0.19,0.20,0.19,0.20,150000,0.20
2013-04-24,0.20,0.20,0.20,0.20,20000,0.20
2013-04-23,0.19,0.19,0.19,0.19,000,0.19
2013-04-22,0.19,0.19,0.19,0.19,000,0.19
2013-04-19,0.19,0.19,0.19,0.19,110000,0.19
2013-04-18,0.19,0.19,0.19,0.19,90000,0.19
2013-04-17,0.20,0.20,0.20,0.20,40000,0.20
2013-04-16,0.20,0.20,0.20,0.20,2000,0.20
2013-04-15,0.20,0.20,0.20,0.20,35000,0.20
2013-04-12,0.20,0.20,0.20,0.20,60000,0.20
2013-04-11,0.20,0.20,0.20,0.20,38000,0.20
2013-04-10,0.20,0.20,0.20,0.20,000,0.20
2013-04-09,0.20,0.20,0.20,0.20,80000,0.20
2013-04-08,0.20,0.20,0.20,0.20,263000,0.20
2013-04-05,0.22,0.22,0.20,0.20,647000,0.20
2013-04-04,0.20,0.20,0.20,0.20,470000,0.20
2013-04-03,0.19,0.19,0.19,0.19,000,0.19
2013-04-02,0.19,0.19,0.19,0.19,90000,0.19
2013-04-01,0.19,0.19,0.19,0.19,10000,0.19
2013-03-29,0.19,0.19,0.19,0.19,000,0.19
2013-03-28,0.19,0.19,0.19,0.19,50000,0.19
2013-03-27,0.19,0.19,0.19,0.19,100000,0.19
2013-03-26,0.19,0.19,0.19,0.19,205000,0.19
2013-03-25,0.19,0.19,0.19,0.19,200000,0.19
2013-03-22,0.19,0.20,0.19,0.20,55000,0.20
2013-03-21,0.19,0.19,0.19,0.19,8000,0.19
2013-03-20,0.19,0.19,0.19,0.19,50000,0.19
