Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,4.54,4.54,4.54,4.54,500,4.54
2013-05-30,4.59,4.59,4.55,4.58,118400,4.58
2013-05-22,4.73,4.73,4.73,4.73,162100,4.73
2013-05-15,4.67,4.67,4.67,4.67,64500,4.67
2013-05-14,4.63,4.63,4.63,4.63,4000,4.63
2013-05-13,4.62,4.62,4.62,4.62,200,4.62
2013-05-08,4.73,4.73,4.73,4.73,1000,4.73
2013-05-06,4.56,4.56,4.56,4.56,20000,4.56
2013-04-17,4.39,4.39,4.39,4.39,5000,4.39
2013-04-15,4.42,4.42,4.42,4.42,20000,4.42
2013-04-09,4.39,4.39,4.38,4.38,300,4.38
2013-04-05,4.49,4.49,4.44,4.44,69200,4.44
2013-03-19,4.44,4.44,4.44,4.44,5000,4.44
2013-03-12,4.59,4.59,4.53,4.53,3200,4.53
2013-03-08,4.57,4.57,4.57,4.57,4000,4.57
2013-03-06,4.50,4.50,4.50,4.50,300,4.50
2013-02-28,4.52,4.52,4.52,4.52,40000,4.52
2013-02-26,4.54,4.54,4.54,4.54,83000,4.54
2013-02-08,4.55,4.55,4.55,4.55,500,4.55
2013-02-06,4.61,4.61,4.59,4.59,42600,4.59
2013-02-01,4.55,4.55,4.55,4.55,17200,4.55
2013-01-23,4.62,4.62,4.62,4.62,1700,4.62
2013-01-17,4.54,4.61,4.54,4.61,400,4.61
2013-01-16,4.65,4.65,4.60,4.60,62300,4.60
2013-01-08,4.59,4.59,4.59,4.59,2000,4.59
2013-01-03,4.61,4.61,4.61,4.61,200,4.61
2012-12-27,4.49,4.49,4.49,4.49,000,4.49
2012-12-05,4.32,4.32,4.32,4.32,11500,4.32
2012-11-21,4.20,4.20,4.20,4.20,23900,4.20
2012-09-28,4.29,4.29,4.29,4.29,21700,4.29
2012-09-19,4.26,4.26,4.26,4.26,23500,4.26
2012-09-14,4.22,4.22,4.22,4.22,000,4.22
2012-08-15,4.12,4.12,4.12,4.12,36600,4.12
2012-08-06,4.05,4.05,4.05,4.05,100,4.05
2012-08-02,4.02,4.02,4.02,4.02,200,4.02
2012-07-25,3.75,3.75,3.75,3.75,200,3.75
2012-07-19,3.95,3.98,3.95,3.98,83000,3.98
2012-07-05,3.97,3.97,3.97,3.97,34900,3.97
2012-06-12,3.85,3.85,3.85,3.85,200,3.85
2012-06-04,3.66,3.66,3.66,3.66,200,3.66
2012-05-23,3.76,3.76,3.76,3.76,51600,3.76
2012-05-16,3.87,3.87,3.87,3.87,200,3.87
2012-05-03,4.27,4.27,4.27,4.27,48500,4.27
2012-04-26,4.22,4.22,4.22,4.22,48400,4.22
2012-04-17,4.19,4.19,4.19,4.19,200,4.19
2012-04-13,4.21,4.22,4.21,4.22,5400,4.22
2012-03-28,4.40,4.40,4.20,4.20,1000,4.20
2012-03-27,4.22,4.22,4.22,4.22,12400,4.22
2012-03-19,4.30,4.30,4.30,4.30,200,4.30
2012-03-16,4.31,4.31,4.29,4.29,43400,4.29
2012-02-17,4.29,4.29,4.29,4.29,200,4.29
2012-02-16,4.25,4.25,4.25,4.25,25300,4.25
2012-01-26,4.07,4.07,4.07,4.07,28900,4.07
2012-01-25,4.07,4.07,4.07,4.07,20000,4.07
2012-01-17,3.94,3.94,3.94,3.94,200,3.94
2012-01-05,3.84,3.84,3.82,3.82,30800,3.82
