Date,Open,High,Low,Close,Volume,Adj Close
2013-05-30,13.65,13.65,13.65,13.65,200,13.65
2013-05-20,13.77,13.77,13.77,13.77,000,13.77
2013-05-09,13.49,13.49,13.49,13.49,000,13.49
2013-05-03,13.49,13.49,13.49,13.49,500,13.49
2013-04-05,13.09,13.09,13.09,13.09,1000,13.09
2013-04-04,13.17,13.27,13.17,13.27,11300,13.27
2013-03-22,13.19,13.19,13.19,13.19,200,13.19
2013-03-18,13.17,13.17,13.17,13.17,700,13.17
2013-02-26,12.95,12.95,12.95,12.95,300,12.95
2013-02-21,13.37,13.37,13.37,13.37,300,13.37
2013-02-06,13.37,13.37,13.37,13.37,300,13.37
2013-01-29,13.38,13.38,13.38,13.38,500,13.38
2013-01-22,13.13,13.13,13.13,13.13,5700,13.13
2012-10-10,11.96,11.96,11.96,11.96,2500,11.88
2012-10-08,12.16,12.17,12.12,12.12,15500,12.04
2012-10-05,12.18,12.18,12.18,12.18,5000,12.10
2012-10-03,12.11,12.11,12.11,12.11,2000,12.03
2012-09-21,12.46,12.46,12.46,12.46,200,12.38
2012-09-17,12.57,12.57,12.57,12.57,000,12.49
2012-09-05,11.57,11.57,11.57,11.57,300,11.49
2012-08-28,11.74,11.74,11.74,11.74,600,11.66
2012-08-23,11.70,11.70,11.70,11.70,3000,11.62
2012-08-21,11.54,11.54,11.54,11.54,1700,11.46
2012-08-17,11.63,11.63,11.63,11.63,6000,11.55
2012-08-08,11.55,11.55,11.55,11.55,600,11.47
2012-07-23,11.00,11.00,10.80,10.80,400,10.73
2012-07-16,10.90,10.90,10.90,10.90,900,10.83
2012-07-11,10.93,10.93,10.66,10.66,15000,10.59
2012-07-09,11.28,11.28,11.28,11.28,000,10.93
2012-06-29,11.09,11.10,11.09,11.10,12000,10.75
2012-06-20,11.14,11.14,11.14,11.14,6000,10.79
2012-06-18,11.06,11.06,11.06,11.06,6000,10.71
2012-06-08,10.64,10.64,10.64,10.64,300,10.31
2012-06-06,10.34,10.34,10.34,10.34,6000,10.02
2012-06-04,10.24,10.24,10.24,10.24,9100,9.92
2012-05-30,10.75,10.75,10.72,10.72,5300,10.38
2012-05-29,10.80,10.80,10.80,10.80,000,10.46
2012-05-28,10.88,10.88,10.88,10.88,1000,10.54
2012-05-11,11.40,11.40,11.40,11.40,1000,11.04
2012-05-07,11.47,11.47,11.46,11.46,1100,11.10
2012-04-30,12.03,12.03,12.03,12.03,300,11.65
2012-04-11,11.56,11.56,11.56,11.56,700,11.20
2012-04-09,11.84,11.84,11.84,11.84,000,11.47
2012-04-05,11.90,11.90,11.90,11.90,000,11.53
2012-03-23,12.29,12.29,12.29,12.29,700,11.91
2012-03-19,12.56,12.56,12.56,12.56,300,12.17
2012-02-29,12.29,12.29,12.29,12.29,200,11.91
2012-02-09,12.12,12.12,12.12,12.12,13500,11.74
2011-12-22,10.85,10.85,10.85,10.85,000,10.51
2011-12-19,10.50,10.50,10.50,10.50,5000,10.17
2011-12-02,8.40,11.26,8.40,11.26,20000,10.91
2011-11-23,10.34,10.56,10.34,10.56,20300,10.23
2011-11-21,10.88,10.88,10.88,10.88,5000,10.54
2011-11-14,11.67,11.67,11.67,11.67,5000,11.31
2011-11-11,11.13,11.34,11.13,11.34,15000,10.99
2011-11-10,10.91,11.06,10.91,11.06,5500,10.71
2011-11-03,11.06,11.06,11.04,11.04,10000,10.69
2011-10-31,12.02,12.02,12.02,12.02,500,11.64
2011-10-27,11.84,12.14,11.84,12.07,20500,11.69
2011-10-07,10.79,10.79,10.79,10.79,300,10.45
2011-10-06,10.55,10.55,10.55,10.55,000,10.22
2011-10-03,10.20,10.20,10.20,10.20,5000,9.88
2011-09-23,10.22,10.22,10.22,10.22,5000,9.90
2011-09-19,10.76,10.78,10.60,10.78,32100,10.44
2011-09-16,11.00,11.00,11.00,11.00,800,10.66
2011-09-15,10.80,10.80,10.80,10.80,5000,10.46
2011-09-14,10.31,10.48,10.26,10.48,30000,10.15
2011-09-13,10.42,10.52,10.42,10.52,40600,10.19
2011-09-06,11.04,11.04,11.03,11.03,10000,10.69
2011-08-25,11.60,11.60,11.60,11.60,5000,11.24
2011-08-22,11.00,11.00,11.00,11.00,500,10.66
2011-08-19,11.15,11.15,10.87,10.87,10000,10.53
2011-08-11,11.27,11.27,11.27,11.27,5000,10.92
2011-08-10,11.70,11.70,11.70,11.70,5000,11.33
2011-08-08,11.68,11.68,11.57,11.57,15300,11.21
2011-08-05,11.70,11.70,11.46,11.46,21400,11.10
2011-08-04,12.66,12.66,12.66,12.66,200,12.26
2011-08-03,12.48,12.48,12.48,12.48,5000,12.09
2011-08-02,12.90,12.90,12.90,12.90,5000,12.50
2011-08-01,13.26,13.26,13.26,13.26,5000,12.85
2011-07-29,13.08,13.08,13.02,13.02,25000,12.61
2011-07-28,13.09,13.09,13.04,13.04,20000,12.63
2011-07-26,13.55,13.55,13.55,13.55,10000,13.13
2011-07-25,13.37,13.37,13.37,13.37,5000,12.95
2011-07-18,12.90,12.90,12.90,12.90,100,12.50
2011-07-14,13.11,13.11,13.04,13.04,10000,12.63
2011-07-12,12.89,12.89,12.87,12.87,10000,12.47
2011-07-07,13.53,13.53,13.53,13.53,400,13.11
2011-06-23,13.45,13.45,13.45,13.45,400,13.03
2011-06-16,13.32,13.32,13.32,13.32,2000,12.90
2011-06-01,14.56,14.56,14.43,14.45,23000,14.00
2011-05-27,13.94,13.94,13.94,13.94,7500,13.50
2011-05-09,14.20,14.26,14.16,14.26,42600,13.81
2011-05-04,14.56,14.65,14.56,14.65,10300,14.19
2011-04-28,14.76,14.76,14.76,14.76,10500,14.30
2011-04-18,13.93,13.93,13.93,13.93,100,13.49
2011-04-12,14.00,14.00,13.99,13.99,10000,13.55
2011-04-08,14.12,14.12,14.12,14.12,10000,13.68
2011-03-21,12.80,13.36,12.80,13.36,13100,12.94
2011-03-17,12.80,12.80,12.80,12.80,10000,12.40
2011-03-15,13.22,13.22,12.82,12.82,10500,12.42
2011-03-14,13.27,13.27,13.27,13.27,20000,12.86
2011-03-02,13.50,13.52,13.46,13.52,40600,13.10
2011-02-14,13.55,13.55,13.55,13.55,200,13.13
2011-01-24,13.26,13.26,13.26,13.26,600,12.85
2011-01-19,13.42,13.42,13.42,13.42,10000,13.00
2011-01-14,13.07,13.07,13.07,13.07,000,12.66
2011-01-10,12.66,12.67,12.62,12.62,12600,12.23
2011-01-07,12.63,12.63,12.63,12.63,300,12.24
2011-01-05,12.83,12.83,12.83,12.83,300,12.43
2011-01-03,12.86,12.92,12.86,12.92,30000,12.52
