Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.31,0.32,0.31,0.32,18000,0.32
2013-06-03,0.33,0.33,0.33,0.33,000,0.33
2013-05-31,0.33,0.33,0.33,0.33,000,0.33
2013-05-30,0.33,0.33,0.33,0.33,37000,0.33
2013-05-29,0.35,0.35,0.33,0.33,39000,0.33
2013-05-28,0.33,0.35,0.33,0.34,174000,0.34
2013-05-27,0.31,0.32,0.31,0.32,33000,0.32
2013-05-24,0.30,0.30,0.30,0.30,000,0.30
2013-05-23,0.30,0.30,0.30,0.30,25000,0.30
2013-05-22,0.31,0.31,0.29,0.29,34000,0.29
2013-05-21,0.31,0.31,0.31,0.31,12000,0.31
2013-05-20,0.31,0.31,0.31,0.31,20000,0.31
2013-05-17,0.31,0.31,0.31,0.31,30000,0.31
2013-05-16,0.30,0.30,0.30,0.30,30000,0.30
2013-05-15,0.31,0.31,0.31,0.31,000,0.31
2013-05-14,0.31,0.31,0.31,0.31,000,0.31
2013-05-13,0.31,0.31,0.31,0.31,000,0.31
2013-05-10,0.31,0.31,0.31,0.31,1000,0.31
2013-05-09,0.31,0.31,0.27,0.30,139000,0.30
2013-05-08,0.31,0.33,0.31,0.33,21000,0.33
2013-05-07,0.32,0.33,0.32,0.32,49000,0.32
2013-05-06,0.34,0.34,0.33,0.34,230000,0.34
2013-05-03,0.32,0.34,0.32,0.33,70000,0.33
2013-05-02,0.34,0.34,0.34,0.34,76000,0.34
2013-05-01,0.34,0.34,0.34,0.34,000,0.34
2013-04-30,0.37,0.37,0.33,0.34,44000,0.34
2013-04-29,0.35,0.35,0.30,0.32,668000,0.32
2013-04-26,0.36,0.36,0.35,0.35,84000,0.35
2013-04-25,0.34,0.40,0.34,0.37,537000,0.37
2013-04-24,0.35,0.38,0.34,0.35,124000,0.35
2013-04-23,0.38,0.38,0.35,0.35,61000,0.35
2013-04-22,0.38,0.38,0.38,0.38,148000,0.38
2013-04-19,0.38,0.38,0.38,0.38,22000,0.38
2013-04-18,0.39,0.40,0.38,0.38,241000,0.38
2013-04-17,0.39,0.39,0.38,0.38,15000,0.38
2013-04-16,0.39,0.39,0.39,0.39,000,0.39
2013-04-15,0.41,0.41,0.39,0.39,272000,0.39
2013-04-12,0.42,0.42,0.41,0.41,157000,0.41
2013-04-11,0.41,0.41,0.41,0.41,130000,0.41
2013-04-10,0.40,0.40,0.39,0.40,3142000,0.40
2013-04-09,0.39,0.40,0.39,0.39,30000,0.39
2013-04-08,0.40,0.40,0.38,0.39,799000,0.39
2013-04-05,0.40,0.40,0.38,0.38,49000,0.38
2013-04-04,0.40,0.40,0.38,0.38,64000,0.38
2013-04-03,0.41,0.41,0.40,0.40,11000,0.40
2013-04-02,0.41,0.41,0.38,0.39,165000,0.39
2013-04-01,0.42,0.42,0.37,0.38,3849000,0.38
2013-03-29,0.41,0.41,0.41,0.41,000,0.41
2013-03-28,0.42,0.42,0.39,0.41,143000,0.41
2013-03-27,0.43,0.43,0.39,0.40,166000,0.40
2013-03-26,0.44,0.44,0.38,0.38,100000,0.38
2013-03-25,0.42,0.45,0.39,0.39,140000,0.39
2013-03-22,0.43,0.43,0.41,0.43,153000,0.43
2013-03-21,0.43,0.43,0.41,0.41,78000,0.41
2013-03-20,0.42,0.43,0.42,0.43,179000,0.43
2013-03-19,0.43,0.43,0.42,0.43,127000,0.43
2013-03-18,0.44,0.44,0.44,0.44,000,0.44
2013-03-15,0.45,0.47,0.44,0.44,101000,0.44
2013-03-14,0.44,0.45,0.44,0.44,11000,0.44
2013-03-13,0.44,0.46,0.44,0.45,66000,0.45
2013-03-12,0.43,0.43,0.43,0.43,000,0.43
2013-03-11,0.46,0.46,0.43,0.43,216000,0.43
2013-03-08,0.45,0.46,0.45,0.46,45000,0.46
2013-03-07,0.47,0.47,0.45,0.45,175000,0.45
2013-03-06,0.47,0.47,0.47,0.47,48000,0.47
2013-03-05,0.47,0.47,0.45,0.46,221000,0.46
2013-03-04,0.46,0.48,0.45,0.45,484000,0.45
2013-03-01,0.48,0.50,0.45,0.48,543000,0.48
2013-02-28,0.50,0.50,0.48,0.48,215000,0.48
2013-02-27,0.53,0.53,0.50,0.50,215000,0.50
2013-02-26,0.53,0.53,0.53,0.53,000,0.53
2013-02-25,0.53,0.53,0.53,0.53,000,0.53
2013-02-22,0.55,0.55,0.53,0.53,97000,0.53
