Date,Open,High,Low,Close,Volume,Adj Close
2012-10-15,1.21,1.24,1.21,1.24,1527000,1.24
2012-10-10,1.20,1.21,1.19,1.19,1170000,1.19
2012-10-09,1.21,1.21,1.20,1.21,3010000,1.21
2012-10-05,1.22,1.24,1.20,1.24,5524000,1.24
2012-10-04,1.19,1.21,1.18,1.21,4706000,1.21
2012-10-03,1.17,1.19,1.17,1.18,1746000,1.18
2012-10-02,1.17,1.18,1.17,1.17,719000,1.17
2012-10-01,1.16,1.18,1.16,1.17,1027000,1.17
2012-09-28,1.17,1.17,1.16,1.17,2010000,1.17
2012-09-27,1.15,1.18,1.15,1.16,4563000,1.16
2012-09-25,1.15,1.15,1.14,1.15,3005000,1.15
2012-09-24,1.16,1.17,1.14,1.15,1908000,1.15
2012-09-21,1.15,1.18,1.14,1.17,5930000,1.17
2012-09-20,1.14,1.15,1.14,1.14,2347000,1.14
2012-09-19,1.15,1.15,1.14,1.14,1413000,1.14
2012-09-18,1.16,1.16,1.14,1.15,1076000,1.15
2012-09-17,1.15,1.16,1.15,1.15,758000,1.15
2012-09-14,1.15,1.15,1.13,1.15,2928000,1.15
2012-09-13,1.13,1.15,1.13,1.15,2008000,1.15
2012-09-12,1.14,1.15,1.13,1.14,1741000,1.14
2012-09-11,1.13,1.14,1.12,1.14,1194000,1.14
2012-09-10,1.13,1.14,1.12,1.13,1378000,1.13
2012-09-07,1.13,1.13,1.12,1.13,1884000,1.13
2012-09-06,1.12,1.12,1.12,1.12,1110000,1.12
2012-09-05,1.12,1.13,1.11,1.11,1211000,1.11
2012-09-03,1.10,1.12,1.10,1.12,1473000,1.12
2012-08-31,1.09,1.11,1.09,1.10,3151000,1.10
2012-08-30,1.10,1.11,1.10,1.11,5096000,1.11
2012-08-29,1.11,1.11,1.09,1.10,833000,1.10
2012-08-28,1.10,1.11,1.09,1.11,3101000,1.11
2012-08-27,1.09,1.10,1.08,1.10,3666000,1.10
2012-08-24,1.08,1.09,1.08,1.09,1190000,1.09
2012-08-23,1.08,1.09,1.07,1.08,2336000,1.08
2012-08-22,1.07,1.08,1.07,1.08,2590000,1.08
2012-08-21,1.07,1.08,1.07,1.08,6778000,1.08
2012-08-17,1.07,1.09,1.07,1.07,1901000,1.07
2012-08-16,1.08,1.08,1.07,1.07,1412000,1.07
2012-08-15,1.09,1.09,1.07,1.08,754000,1.08
2012-08-14,1.09,1.09,1.08,1.09,1488000,1.09
2012-08-13,1.09,1.10,1.09,1.09,2037000,1.09
2012-08-10,1.09,1.09,1.07,1.09,2528000,1.09
2012-08-08,1.09,1.09,1.07,1.09,2396000,1.09
2012-08-07,1.08,1.09,1.08,1.09,2673000,1.09
2012-08-06,1.07,1.09,1.07,1.08,2366000,1.08
2012-08-03,1.07,1.07,1.06,1.07,2142000,1.07
2012-08-02,1.07,1.07,1.06,1.07,2404000,1.07
2012-08-01,1.07,1.08,1.07,1.07,1173000,1.07
2012-07-31,1.08,1.08,1.05,1.07,4555000,1.07
2012-07-27,1.05,1.07,1.05,1.07,3480000,1.05
2012-06-27,0.96,0.98,0.96,0.98,2201000,0.97
2012-06-26,0.95,0.96,0.95,0.95,2014000,0.94
2012-06-25,0.95,0.96,0.95,0.96,959000,0.95
2012-06-22,0.96,0.96,0.95,0.95,1219000,0.94
2012-06-21,0.96,0.96,0.95,0.96,2822000,0.95
2012-06-20,0.96,0.96,0.95,0.96,578000,0.95
2012-06-19,0.95,0.96,0.95,0.96,1081000,0.95
2012-06-18,0.96,0.96,0.95,0.95,2480000,0.94
2012-06-15,0.96,0.96,0.95,0.96,24186000,0.95
2012-06-14,0.95,0.95,0.94,0.95,8102000,0.94
2012-06-13,0.94,0.95,0.94,0.95,7293000,0.94
2012-06-12,0.94,0.94,0.94,0.94,6602000,0.93
