Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.07,0.07,0.07,0.07,20000,0.07
2013-06-03,0.07,0.07,0.07,0.07,000,0.07
2013-05-31,0.07,0.07,0.07,0.07,000,0.07
2013-05-30,0.07,0.07,0.07,0.07,000,0.07
2013-05-29,0.07,0.07,0.07,0.07,10000,0.07
2013-05-28,0.07,0.07,0.07,0.07,000,0.07
2013-05-27,0.07,0.07,0.07,0.07,30000,0.07
2013-05-24,0.08,0.08,0.08,0.08,000,0.08
2013-05-23,0.08,0.08,0.08,0.08,000,0.08
2013-05-22,0.08,0.08,0.08,0.08,100000,0.08
2013-05-21,0.07,0.07,0.07,0.07,000,0.07
2013-05-20,0.07,0.07,0.07,0.07,000,0.07
2013-05-17,0.07,0.07,0.07,0.07,000,0.07
2013-05-16,0.07,0.07,0.07,0.07,000,0.07
2013-05-15,0.07,0.07,0.07,0.07,1000,0.07
2013-05-14,0.08,0.08,0.08,0.08,000,0.08
2013-05-13,0.08,0.08,0.08,0.08,10145000,0.08
2013-05-10,0.07,0.08,0.07,0.08,11000,0.08
2013-05-09,0.07,0.07,0.07,0.07,000,0.07
2013-05-08,0.07,0.07,0.07,0.07,220000,0.07
2013-05-07,0.07,0.07,0.07,0.07,150000,0.07
2013-05-06,0.07,0.07,0.07,0.07,100000,0.07
2013-05-03,0.07,0.07,0.07,0.07,2000,0.07
2013-05-02,0.07,0.07,0.07,0.07,157000,0.07
2013-05-01,0.07,0.07,0.07,0.07,000,0.07
2013-04-30,0.08,0.08,0.07,0.07,443000,0.07
2013-04-29,0.08,0.08,0.08,0.08,12583000,0.08
2013-04-26,0.07,0.08,0.07,0.08,433000,0.07
2013-04-25,0.07,0.07,0.07,0.07,70000,0.07
2013-04-24,0.07,0.07,0.07,0.07,77000,0.07
2013-04-23,0.07,0.07,0.07,0.07,000,0.07
2013-04-22,0.07,0.07,0.07,0.07,000,0.07
2013-04-19,0.07,0.07,0.07,0.07,10000,0.07
