Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.11,0.11,0.11,0.11,145000,0.11
2013-06-03,0.11,0.11,0.11,0.11,306000,0.11
2013-05-31,0.11,0.11,0.11,0.11,114000,0.11
2013-05-30,0.11,0.11,0.11,0.11,000,0.11
2013-05-29,0.11,0.11,0.11,0.11,66000,0.11
2013-05-28,0.11,0.11,0.11,0.11,24000,0.11
2013-05-27,0.11,0.11,0.11,0.11,127000,0.11
2013-05-24,0.11,0.11,0.11,0.11,000,0.11
2013-05-23,0.11,0.11,0.11,0.11,21000,0.11
2013-05-22,0.11,0.12,0.11,0.11,369000,0.11
2013-05-21,0.11,0.11,0.11,0.11,326000,0.11
2013-05-20,0.11,0.11,0.11,0.11,637000,0.11
2013-05-17,0.11,0.11,0.11,0.11,90000,0.11
2013-05-16,0.11,0.11,0.11,0.11,36000,0.11
2013-05-15,0.11,0.12,0.11,0.12,10000,0.12
2013-05-14,0.11,0.11,0.11,0.11,50000,0.11
2013-05-13,0.11,0.11,0.11,0.11,20000,0.11
2013-05-10,0.11,0.11,0.11,0.11,53000,0.11
2013-05-09,0.11,0.11,0.11,0.11,95000,0.11
2013-05-08,0.11,0.11,0.11,0.11,55000,0.11
2013-05-07,0.11,0.11,0.11,0.11,50000,0.11
2013-05-06,0.11,0.11,0.11,0.11,426000,0.11
2013-05-03,0.11,0.11,0.11,0.11,25000,0.11
2013-05-02,0.12,0.12,0.12,0.12,000,0.12
2013-05-01,0.12,0.12,0.12,0.12,000,0.12
2013-04-30,0.12,0.12,0.12,0.12,000,0.12
2013-04-29,0.11,0.12,0.11,0.12,11000,0.12
2013-04-26,0.12,0.12,0.11,0.12,190000,0.12
2013-04-25,0.11,0.11,0.11,0.11,50000,0.11
2013-04-24,0.11,0.11,0.11,0.11,21000,0.11
2013-04-23,0.11,0.11,0.11,0.11,37000,0.11
2013-04-22,0.11,0.11,0.11,0.11,144000,0.11
2013-04-19,0.12,0.12,0.12,0.12,50000,0.12
2013-04-18,0.11,0.12,0.11,0.12,19000,0.12
2013-04-17,0.12,0.12,0.12,0.12,000,0.12
2013-04-16,0.11,0.12,0.11,0.12,22000,0.12
2013-04-15,0.12,0.12,0.11,0.11,46000,0.11
2013-04-12,0.11,0.12,0.11,0.12,264000,0.12
2013-04-11,0.12,0.12,0.12,0.12,100000,0.12
2013-04-10,0.12,0.12,0.12,0.12,34000,0.12
2013-04-09,0.12,0.12,0.12,0.12,25000,0.12
2013-04-08,0.12,0.12,0.12,0.12,000,0.12
2013-04-05,0.12,0.12,0.12,0.12,109000,0.12
2013-04-04,0.11,0.11,0.11,0.11,4000,0.11
2013-04-03,0.12,0.12,0.11,0.11,56000,0.11
2013-04-02,0.12,0.12,0.11,0.11,82000,0.11
2013-04-01,0.12,0.12,0.11,0.11,68000,0.11
2013-03-29,0.12,0.12,0.12,0.12,000,0.12
2013-03-28,0.12,0.12,0.12,0.12,33000,0.12
2013-03-27,0.12,0.12,0.12,0.12,106000,0.12
2013-03-26,0.12,0.12,0.12,0.12,5000,0.12
2013-03-25,0.12,0.12,0.12,0.12,000,0.12
2013-03-22,0.12,0.12,0.11,0.12,91000,0.12
2013-03-21,0.11,0.12,0.11,0.12,126000,0.12
2013-03-20,0.12,0.12,0.12,0.12,200000,0.12
2013-03-19,0.12,0.12,0.12,0.12,56000,0.12
2013-03-18,0.12,0.12,0.12,0.12,000,0.12
2013-03-15,0.12,0.12,0.12,0.12,000,0.12
2013-03-14,0.12,0.12,0.12,0.12,000,0.12
2013-03-13,0.12,0.12,0.12,0.12,000,0.12
2013-03-12,0.12,0.12,0.12,0.12,176000,0.12
2013-03-11,0.12,0.12,0.12,0.12,139000,0.12
2013-03-08,0.12,0.12,0.12,0.12,71000,0.12
2013-03-07,0.12,0.12,0.12,0.12,382000,0.12
2013-03-06,0.12,0.12,0.12,0.12,319000,0.12
2013-03-05,0.12,0.12,0.12,0.12,83000,0.12
2013-03-04,0.12,0.12,0.11,0.11,65000,0.11
2013-03-01,0.12,0.12,0.12,0.12,42000,0.12
2013-02-28,0.13,0.13,0.13,0.13,000,0.13
2013-02-27,0.12,0.13,0.12,0.13,193000,0.13
2013-02-26,0.12,0.13,0.12,0.13,24000,0.13
2013-02-25,0.13,0.13,0.13,0.13,000,0.13
2013-02-22,0.13,0.13,0.13,0.13,000,0.13
2013-02-21,0.13,0.13,0.13,0.13,000,0.13
2013-02-20,0.12,0.13,0.12,0.13,344000,0.13
2013-02-19,0.12,0.12,0.12,0.12,168000,0.12
2013-02-18,0.13,0.13,0.12,0.12,163000,0.12
2013-02-15,0.12,0.13,0.12,0.13,171000,0.13
2013-02-14,0.12,0.13,0.12,0.12,620000,0.12
2013-02-13,0.13,0.13,0.12,0.12,269000,0.12
2013-02-12,0.13,0.13,0.13,0.13,000,0.13
2013-02-11,0.13,0.13,0.13,0.13,000,0.13
2013-02-08,0.13,0.13,0.12,0.13,594000,0.13
2013-02-07,0.13,0.13,0.13,0.13,196000,0.13
2013-02-06,0.14,0.14,0.13,0.14,75000,0.14
2013-02-05,0.14,0.14,0.13,0.14,97000,0.14
2013-02-04,0.14,0.14,0.14,0.14,1053000,0.14
2013-02-01,0.13,0.14,0.13,0.14,1197000,0.14
2013-01-31,0.13,0.13,0.13,0.13,89000,0.13
2013-01-30,0.13,0.14,0.13,0.14,322000,0.14
2013-01-29,0.13,0.13,0.13,0.13,164000,0.13
2013-01-28,0.13,0.13,0.13,0.13,201000,0.13
2013-01-25,0.13,0.13,0.13,0.13,23000,0.13
2013-01-24,0.13,0.13,0.13,0.13,36000,0.13
2013-01-23,0.13,0.13,0.12,0.12,110000,0.12
