Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.94,0.94,0.94,0.94,487000,0.94
2013-06-03,0.94,0.94,0.94,0.94,410000,0.94
2013-05-31,0.96,0.96,0.94,0.95,642000,0.95
2013-05-30,0.97,0.98,0.94,0.96,1681000,0.96
2013-05-29,1.00,1.00,0.96,0.97,2516000,0.97
2013-05-28,1.00,1.01,1.00,1.00,887000,1.00
2013-05-27,0.98,1.00,0.98,0.99,861000,0.99
2013-05-24,0.98,0.98,0.98,0.98,000,0.98
2013-05-23,1.01,1.01,0.95,0.98,2006000,0.98
2013-05-22,1.01,1.02,1.01,1.01,763000,1.01
2013-05-21,0.99,1.02,0.99,1.01,1577000,1.01
2013-05-20,0.99,0.99,0.99,0.99,127000,0.99
2013-05-17,1.00,1.00,0.98,0.99,648000,0.99
2013-05-16,0.98,1.00,0.98,1.00,1547000,1.00
2013-05-15,0.94,0.99,0.94,0.98,2159000,0.98
2013-05-14,0.94,0.95,0.94,0.94,314000,0.94
2013-05-13,0.93,0.94,0.93,0.94,507000,0.94
2013-05-10,0.94,0.94,0.94,0.94,206000,0.94
2013-05-09,0.94,0.94,0.93,0.94,169000,0.94
2013-05-08,0.94,0.94,0.94,0.94,213000,0.94
2013-05-07,0.93,0.94,0.93,0.94,621000,0.94
2013-05-06,0.92,0.93,0.92,0.93,216000,0.93
2013-05-03,0.93,0.93,0.92,0.93,217000,0.93
2013-05-02,0.92,0.93,0.92,0.92,188000,0.92
2013-05-01,0.92,0.92,0.92,0.92,000,0.92
2013-04-30,0.92,0.93,0.92,0.92,197000,0.92
2013-04-29,0.93,0.93,0.92,0.93,299000,0.93
2013-04-26,0.92,0.93,0.92,0.93,174000,0.93
2013-04-25,0.92,0.93,0.92,0.92,235000,0.92
2013-04-24,0.90,0.91,0.90,0.91,138000,0.91
2013-04-23,0.91,0.91,0.90,0.90,95000,0.90
2013-04-22,0.91,0.92,0.91,0.92,77000,0.92
2013-04-19,0.90,0.93,0.90,0.91,138000,0.91
2013-04-18,0.90,0.91,0.90,0.91,96000,0.91
2013-04-17,0.91,0.91,0.91,0.91,202000,0.91
2013-04-16,0.91,0.92,0.90,0.91,334000,0.91
2013-04-15,0.93,0.93,0.91,0.91,226000,0.91
2013-04-12,0.92,0.93,0.92,0.92,118000,0.92
2013-04-11,0.94,0.94,0.93,0.93,561000,0.93
2013-04-10,0.92,0.94,0.92,0.93,778000,0.93
2013-04-09,0.92,0.93,0.92,0.92,179000,0.92
2013-04-08,0.92,0.92,0.92,0.92,306000,0.92
2013-04-05,0.92,0.93,0.92,0.92,909000,0.92
2013-04-04,0.91,0.92,0.91,0.91,111000,0.91
2013-04-03,0.91,0.93,0.91,0.92,201000,0.92
2013-04-02,0.91,0.92,0.91,0.91,245000,0.91
2013-04-01,0.92,0.92,0.92,0.92,100000,0.92
2013-03-29,0.92,0.92,0.92,0.92,000,0.92
2013-03-28,0.92,0.92,0.91,0.92,211000,0.92
2013-03-27,0.92,0.94,0.92,0.92,609000,0.92
2013-03-26,0.93,0.93,0.92,0.92,357000,0.92
2013-03-25,0.91,0.94,0.91,0.92,954000,0.92
2013-03-22,0.90,0.93,0.90,0.91,373000,0.91
2013-03-21,0.92,0.92,0.92,0.92,44000,0.92
2013-03-20,0.92,0.92,0.91,0.91,217000,0.91
2013-03-19,0.90,0.92,0.90,0.92,115000,0.92
2013-03-18,0.93,0.94,0.92,0.92,818000,0.92
2013-03-15,0.88,0.94,0.88,0.94,1922000,0.94
2013-03-14,0.88,0.89,0.88,0.89,184000,0.89
2013-03-13,0.88,0.89,0.88,0.88,356000,0.88
2013-03-12,0.88,0.89,0.88,0.88,331000,0.88
2013-03-11,0.88,0.89,0.88,0.88,621000,0.88
2013-03-08,0.87,0.88,0.87,0.88,520000,0.88
2013-03-07,0.87,0.87,0.86,0.87,692000,0.87
2013-03-06,0.87,0.87,0.86,0.87,939000,0.87
2013-03-05,0.86,0.87,0.85,0.86,603000,0.86
2013-03-04,0.88,0.88,0.86,0.86,503000,0.86
2013-03-01,0.88,0.89,0.88,0.88,463000,0.88
2013-02-28,0.89,0.89,0.88,0.89,300000,0.89
2013-02-27,0.88,0.90,0.88,0.89,506000,0.89
2013-02-26,0.89,0.89,0.88,0.88,726000,0.88
2013-02-25,0.90,0.91,0.89,0.89,803000,0.89
2013-02-22,0.91,0.91,0.90,0.90,458000,0.90
2013-02-21,0.94,0.94,0.92,0.92,471000,0.92
2013-02-20,0.94,0.94,0.94,0.94,196000,0.94
2013-02-19,0.94,0.94,0.93,0.94,316000,0.94
2013-02-18,0.94,0.94,0.94,0.94,156000,0.94
2013-02-15,0.94,0.94,0.94,0.94,590000,0.94
2013-02-14,0.94,0.94,0.93,0.94,498000,0.94
2013-02-13,0.94,0.95,0.94,0.94,437000,0.94
2013-02-12,0.94,0.94,0.94,0.94,000,0.94
2013-02-11,0.94,0.94,0.94,0.94,000,0.94
