Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.58,0.58,0.58,0.58,000,0.58
2013-06-03,0.58,0.58,0.58,0.58,000,0.58
2013-05-31,0.58,0.58,0.58,0.58,000,0.58
2013-05-30,0.58,0.58,0.58,0.58,20000,0.58
2013-05-29,0.58,0.58,0.58,0.58,7000,0.58
2013-05-28,0.58,0.58,0.58,0.58,000,0.58
2013-05-27,0.58,0.58,0.58,0.58,000,0.58
2013-05-24,0.58,0.58,0.58,0.58,000,0.58
2013-05-23,0.58,0.58,0.58,0.58,000,0.58
2013-05-22,0.59,0.59,0.58,0.58,51000,0.58
2013-05-21,0.59,0.59,0.59,0.59,000,0.59
2013-05-20,0.59,0.59,0.59,0.59,8000,0.59
2013-05-17,0.58,0.58,0.58,0.58,7000,0.58
2013-05-16,0.60,0.60,0.60,0.60,000,0.60
2013-05-15,0.60,0.60,0.60,0.60,000,0.60
2013-05-14,0.59,0.60,0.59,0.60,131000,0.60
2013-05-13,0.57,0.60,0.57,0.58,88000,0.58
2013-05-10,0.57,0.58,0.57,0.57,24000,0.57
2013-05-09,0.56,0.57,0.56,0.57,8000,0.57
2013-05-08,0.56,0.58,0.56,0.56,15000,0.56
2013-05-07,0.55,0.55,0.55,0.55,000,0.55
2013-05-06,0.55,0.55,0.55,0.55,3000,0.55
2013-05-03,0.56,0.57,0.56,0.57,61000,0.57
2013-05-02,0.56,0.56,0.56,0.56,000,0.56
2013-05-01,0.56,0.56,0.56,0.56,000,0.56
2013-04-30,0.56,0.56,0.56,0.56,000,0.56
2013-04-29,0.55,0.56,0.55,0.56,77000,0.56
2013-04-26,0.56,0.56,0.56,0.56,37000,0.56
2013-04-25,0.56,0.56,0.56,0.56,000,0.55
2013-04-24,0.53,0.56,0.53,0.56,9000,0.55
2013-04-23,0.52,0.52,0.52,0.52,000,0.51
2013-04-22,0.56,0.56,0.51,0.52,29000,0.51
2013-04-19,0.56,0.56,0.56,0.56,000,0.56
2013-04-18,0.56,0.56,0.56,0.56,55000,0.56
2013-04-17,0.56,0.56,0.56,0.56,000,0.55
2013-04-16,0.56,0.56,0.56,0.56,000,0.55
2013-04-15,0.56,0.56,0.56,0.56,000,0.55
2013-04-12,0.56,0.56,0.56,0.56,113000,0.55
2013-04-11,0.56,0.56,0.56,0.56,000,0.55
2013-04-10,0.56,0.56,0.56,0.56,000,0.55
2013-04-09,0.56,0.56,0.56,0.56,30000,0.55
2013-04-08,0.56,0.56,0.56,0.56,168000,0.56
2013-04-05,0.56,0.56,0.56,0.56,46000,0.56
2013-04-04,0.55,0.56,0.54,0.56,210000,0.55
2013-04-03,0.57,0.57,0.57,0.57,000,0.56
2013-04-02,0.57,0.57,0.57,0.57,000,0.56
2013-04-01,0.57,0.57,0.57,0.57,000,0.56
2013-03-29,0.57,0.57,0.57,0.57,000,0.56
2013-03-28,0.57,0.57,0.57,0.57,000,0.56
2013-03-27,0.50,0.57,0.50,0.57,3000,0.56
2013-03-26,0.50,0.50,0.50,0.50,4000,0.49
2013-03-25,0.52,0.52,0.52,0.52,5000,0.51
2013-03-22,0.50,0.50,0.50,0.50,000,0.49
2013-03-21,0.50,0.50,0.50,0.50,000,0.49
2013-03-20,0.50,0.50,0.50,0.50,6000,0.49
2013-03-19,0.55,0.55,0.55,0.55,2000,0.54
2013-03-18,0.50,0.50,0.50,0.50,5000,0.49
2013-03-15,0.56,0.56,0.56,0.56,24000,0.56
2013-03-14,0.56,0.56,0.56,0.56,000,0.56
2013-03-13,0.56,0.56,0.56,0.56,000,0.56
2013-03-12,0.56,0.56,0.56,0.56,000,0.56
2013-03-11,0.56,0.56,0.56,0.56,30000,0.56
2013-03-08,0.56,0.56,0.56,0.56,30000,0.56
2013-03-07,0.57,0.57,0.57,0.57,000,0.56
2013-03-06,0.57,0.57,0.57,0.57,44000,0.56
2013-03-05,0.56,0.56,0.56,0.56,000,0.55
2013-03-04,0.54,0.56,0.54,0.56,96000,0.55
2013-03-01,0.53,0.59,0.53,0.55,54000,0.54
2013-02-28,0.53,0.53,0.53,0.53,000,0.52
2013-02-27,0.56,0.56,0.53,0.53,79000,0.52
2013-02-26,0.57,0.57,0.57,0.57,000,0.56
2013-02-25,0.57,0.57,0.57,0.57,50000,0.56
2013-02-22,0.55,0.55,0.55,0.55,000,0.54
2013-02-21,0.53,0.55,0.53,0.55,99000,0.54
2013-02-20,0.54,0.55,0.54,0.54,46000,0.53
2013-02-19,0.50,0.55,0.50,0.55,42000,0.54
2013-02-18,0.50,0.50,0.50,0.50,93000,0.49
2013-02-15,0.50,0.50,0.50,0.50,000,0.49
2013-02-14,0.50,0.50,0.50,0.50,000,0.49
2013-02-13,0.50,0.50,0.50,0.50,000,0.49
2013-02-12,0.50,0.50,0.50,0.50,000,0.49
2013-02-11,0.50,0.50,0.50,0.50,000,0.49
2013-02-08,0.50,0.50,0.50,0.50,000,0.49
2013-02-07,0.50,0.50,0.50,0.50,10000,0.49
2013-02-06,0.50,0.52,0.50,0.52,51000,0.51
2013-02-05,0.50,0.50,0.49,0.49,5000,0.48
2013-02-04,0.49,0.49,0.49,0.49,000,0.48
2013-02-01,0.49,0.49,0.49,0.49,000,0.48
2013-01-31,0.49,0.49,0.49,0.49,000,0.48
2013-01-30,0.49,0.49,0.49,0.49,000,0.48
2013-01-29,0.48,0.49,0.48,0.49,44000,0.48
2013-01-28,0.46,0.46,0.46,0.46,000,0.45
