Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.43,0.44,0.43,0.44,67000,0.44
2013-06-03,0.44,0.44,0.43,0.43,254000,0.43
2013-05-31,0.44,0.44,0.43,0.44,520000,0.44
2013-05-30,0.45,0.45,0.44,0.44,245000,0.44
2013-05-29,0.46,0.46,0.45,0.45,417000,0.45
2013-05-28,0.47,0.47,0.46,0.46,126000,0.46
2013-05-27,0.47,0.47,0.47,0.47,97000,0.47
2013-05-24,0.47,0.47,0.47,0.47,000,0.47
2013-05-23,0.47,0.47,0.47,0.47,653000,0.47
2013-05-22,0.47,0.47,0.47,0.47,155000,0.47
2013-05-21,0.47,0.47,0.47,0.47,100000,0.47
2013-05-20,0.47,0.47,0.47,0.47,71000,0.47
2013-05-17,0.47,0.47,0.47,0.47,83000,0.47
2013-05-16,0.47,0.47,0.47,0.47,68000,0.47
2013-05-15,0.47,0.47,0.47,0.47,197000,0.47
2013-05-14,0.48,0.48,0.47,0.48,215000,0.48
2013-05-13,0.49,0.49,0.48,0.49,51000,0.49
2013-05-10,0.49,0.49,0.49,0.49,110000,0.49
2013-05-09,0.49,0.49,0.49,0.49,10000,0.49
2013-05-08,0.49,0.49,0.49,0.49,74000,0.49
2013-05-07,0.48,0.49,0.47,0.48,148000,0.48
2013-05-06,0.50,0.50,0.50,0.50,118000,0.49
2013-05-03,0.50,0.50,0.50,0.50,151000,0.49
2013-05-02,0.50,0.50,0.50,0.50,295000,0.49
2013-05-01,0.50,0.50,0.50,0.50,000,0.49
2013-04-30,0.50,0.50,0.50,0.50,35000,0.49
2013-04-29,0.50,0.50,0.50,0.50,19000,0.49
2013-04-26,0.50,0.50,0.50,0.50,20000,0.49
2013-04-25,0.50,0.50,0.50,0.50,000,0.49
2013-04-24,0.50,0.50,0.50,0.50,25000,0.49
2013-04-23,0.50,0.50,0.50,0.50,17000,0.49
2013-04-22,0.50,0.50,0.50,0.50,85000,0.48
2013-04-19,0.51,0.51,0.51,0.51,40000,0.49
2013-04-18,0.51,0.51,0.50,0.50,36000,0.49
2013-04-17,0.50,0.50,0.50,0.50,9000,0.49
2013-04-16,0.50,0.51,0.50,0.50,129000,0.49
2013-04-15,0.51,0.51,0.51,0.51,8000,0.49
2013-04-12,0.51,0.51,0.51,0.51,21000,0.49
2013-04-11,0.50,0.50,0.50,0.50,15000,0.49
2013-04-10,0.50,0.50,0.50,0.50,10000,0.49
2013-04-09,0.51,0.51,0.51,0.51,000,0.50
2013-04-08,0.51,0.51,0.51,0.51,44000,0.50
2013-04-05,0.50,0.51,0.50,0.51,66000,0.49
2013-04-04,0.51,0.51,0.51,0.51,000,0.50
2013-04-03,0.50,0.51,0.50,0.51,119000,0.50
2013-04-02,0.50,0.50,0.50,0.50,107000,0.49
2013-04-01,0.50,0.50,0.50,0.50,26000,0.49
2013-03-29,0.50,0.50,0.50,0.50,000,0.49
2013-03-28,0.50,0.50,0.50,0.50,20000,0.49
2013-03-27,0.51,0.51,0.50,0.50,271000,0.49
2013-03-26,0.50,0.50,0.50,0.50,102000,0.49
2013-03-25,0.50,0.50,0.50,0.50,10000,0.49
2013-03-22,0.51,0.51,0.50,0.50,115000,0.49
