Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.04,0.04,0.04,0.04,3790000,0.04
2013-06-03,0.04,0.04,0.04,0.04,2023000,0.04
2013-05-31,0.04,0.04,0.04,0.04,2750000,0.04
2013-05-30,0.04,0.04,0.04,0.04,5280000,0.04
2013-05-29,0.04,0.04,0.04,0.04,8024000,0.04
2013-05-28,0.04,0.04,0.04,0.04,6350000,0.04
2013-05-27,0.04,0.04,0.04,0.04,2700000,0.04
2013-05-24,0.04,0.04,0.04,0.04,000,0.04
2013-05-23,0.04,0.04,0.04,0.04,4070000,0.04
2013-05-22,0.04,0.04,0.04,0.04,3926000,0.04
2013-05-21,0.04,0.04,0.04,0.04,9116000,0.04
2013-05-20,0.04,0.04,0.04,0.04,383000,0.04
2013-05-17,0.04,0.04,0.04,0.04,2842000,0.04
2013-05-16,0.04,0.04,0.04,0.04,7447000,0.04
2013-05-15,0.04,0.04,0.04,0.04,640000,0.04
2013-05-14,0.04,0.04,0.04,0.04,1101000,0.04
2013-05-13,0.04,0.04,0.04,0.04,1510000,0.04
2013-05-10,0.04,0.04,0.04,0.04,230000,0.04
2013-05-09,0.04,0.04,0.04,0.04,990000,0.04
2013-05-08,0.04,0.04,0.04,0.04,2745000,0.04
2013-05-07,0.04,0.04,0.04,0.04,3482000,0.04
2013-05-06,0.04,0.04,0.04,0.04,1078000,0.04
2013-05-03,0.04,0.04,0.04,0.04,3296000,0.04
2013-05-02,0.04,0.04,0.04,0.04,1542000,0.04
2013-05-01,0.04,0.04,0.04,0.04,000,0.04
2013-04-30,0.04,0.04,0.04,0.04,210000,0.04
2013-04-29,0.04,0.04,0.04,0.04,711000,0.04
2013-04-26,0.04,0.04,0.04,0.04,777000,0.04
2013-04-25,0.04,0.05,0.04,0.04,18172000,0.04
2013-04-24,0.04,0.04,0.04,0.04,1255000,0.04
2013-04-23,0.04,0.04,0.04,0.04,2730000,0.04
2013-04-22,0.04,0.04,0.04,0.04,6046000,0.04
2013-04-19,0.04,0.04,0.04,0.04,6042000,0.04
2013-04-18,0.04,0.04,0.04,0.04,300000,0.04
2013-04-17,0.04,0.04,0.04,0.04,2120000,0.04
2013-04-16,0.04,0.04,0.04,0.04,333000,0.04
2013-04-15,0.04,0.04,0.04,0.04,588000,0.04
2013-04-12,0.04,0.04,0.04,0.04,400000,0.04
2013-04-11,0.04,0.04,0.04,0.04,1603000,0.04
2013-04-10,0.04,0.04,0.04,0.04,3898000,0.04
2013-04-09,0.04,0.04,0.04,0.04,900000,0.04
2013-04-08,0.04,0.04,0.04,0.04,2853000,0.04
