Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.03,0.03,0.03,0.03,10396000,0.03
2013-06-03,0.03,0.03,0.03,0.03,30374000,0.03
2013-05-31,0.03,0.03,0.03,0.03,125163000,0.03
2013-05-30,0.03,0.03,0.03,0.03,21182000,0.03
2013-05-29,0.03,0.03,0.03,0.03,13886000,0.03
2013-05-28,0.03,0.03,0.03,0.03,34200000,0.03
2013-05-27,0.03,0.03,0.03,0.03,6785000,0.03
2013-05-24,0.03,0.03,0.03,0.03,000,0.03
2013-05-23,0.03,0.03,0.03,0.03,15004000,0.03
2013-05-22,0.03,0.03,0.03,0.03,82865000,0.03
2013-05-21,0.03,0.03,0.03,0.03,5369000,0.03
2013-05-20,0.03,0.03,0.03,0.03,22060000,0.03
2013-05-17,0.03,0.03,0.03,0.03,18650000,0.03
2013-05-16,0.03,0.03,0.03,0.03,5070000,0.03
2013-05-15,0.03,0.03,0.03,0.03,8450000,0.03
2013-05-14,0.03,0.03,0.03,0.03,11197000,0.03
2013-05-13,0.03,0.03,0.03,0.03,8253000,0.03
2013-05-10,0.03,0.03,0.03,0.03,14040000,0.03
2013-05-09,0.03,0.03,0.03,0.03,3514000,0.03
2013-05-08,0.03,0.03,0.03,0.03,9954000,0.03
2013-05-07,0.03,0.03,0.03,0.03,92506000,0.03
2013-05-06,0.03,0.03,0.03,0.03,10036000,0.03
2013-05-03,0.03,0.03,0.03,0.03,2878000,0.03
2013-05-02,0.03,0.03,0.03,0.03,20242000,0.03
2013-05-01,0.03,0.03,0.03,0.03,000,0.03
2013-04-30,0.03,0.03,0.03,0.03,41452000,0.03
2013-04-29,0.03,0.03,0.03,0.03,93464000,0.03
2013-04-26,0.03,0.03,0.03,0.03,43857000,0.03
2013-04-25,0.03,0.03,0.03,0.03,27048000,0.03
2013-04-24,0.03,0.03,0.03,0.03,24950000,0.03
2013-04-23,0.03,0.03,0.03,0.03,8795000,0.03
2013-04-22,0.03,0.03,0.03,0.03,20018000,0.03
2013-04-19,0.03,0.03,0.03,0.03,15483000,0.03
