Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.29,0.29,0.28,0.29,703000,0.29
2013-06-03,0.28,0.29,0.28,0.29,146000,0.29
2013-05-31,0.28,0.29,0.28,0.29,138000,0.29
2013-05-30,0.28,0.29,0.28,0.29,605000,0.29
2013-05-29,0.29,0.29,0.28,0.29,1257000,0.29
2013-05-28,0.28,0.29,0.28,0.28,1333000,0.28
2013-05-27,0.28,0.28,0.28,0.28,1383000,0.28
2013-05-24,0.28,0.28,0.28,0.28,000,0.28
2013-05-23,0.28,0.28,0.28,0.28,3127000,0.28
2013-05-22,0.28,0.28,0.28,0.28,205000,0.28
2013-05-21,0.28,0.28,0.28,0.28,627000,0.28
2013-05-20,0.28,0.28,0.28,0.28,484000,0.28
2013-05-17,0.28,0.28,0.28,0.28,409000,0.28
2013-05-16,0.28,0.28,0.28,0.28,270000,0.28
2013-05-15,0.28,0.28,0.28,0.28,337000,0.28
2013-05-14,0.28,0.28,0.28,0.28,12000,0.28
2013-05-13,0.28,0.28,0.28,0.28,609000,0.28
2013-05-10,0.28,0.28,0.28,0.28,221000,0.28
2013-05-09,0.28,0.28,0.28,0.28,558000,0.28
2013-05-08,0.28,0.28,0.28,0.28,917000,0.28
2013-05-07,0.28,0.28,0.28,0.28,149000,0.28
2013-05-06,0.28,0.28,0.28,0.28,375000,0.28
2013-05-03,0.28,0.28,0.28,0.28,693000,0.28
2013-05-02,0.28,0.28,0.28,0.28,468000,0.28
2013-05-01,0.28,0.28,0.28,0.28,000,0.28
2013-04-30,0.28,0.28,0.28,0.28,153000,0.28
2013-04-29,0.29,0.29,0.28,0.28,146000,0.28
2013-04-26,0.28,0.28,0.28,0.28,366000,0.28
2013-04-25,0.28,0.28,0.28,0.28,255000,0.28
2013-04-24,0.28,0.28,0.28,0.28,462000,0.28
2013-04-23,0.28,0.28,0.28,0.28,549000,0.28
2013-04-22,0.28,0.28,0.28,0.28,268000,0.28
2013-04-19,0.28,0.28,0.28,0.28,264000,0.28
2013-04-18,0.28,0.28,0.28,0.28,1458000,0.28
2013-04-17,0.28,0.28,0.28,0.28,1585000,0.28
2013-04-16,0.28,0.28,0.28,0.28,224000,0.28
2013-04-15,0.28,0.29,0.28,0.28,710000,0.28
2013-04-12,0.28,0.29,0.28,0.28,1297000,0.28
2013-04-11,0.28,0.29,0.28,0.28,366000,0.28
2013-04-10,0.29,0.29,0.28,0.29,1835000,0.29
2013-04-09,0.29,0.29,0.29,0.29,483000,0.29
2013-04-08,0.29,0.29,0.29,0.29,1545000,0.29
2013-04-05,0.30,0.30,0.29,0.29,1819000,0.29
2013-04-04,0.29,0.29,0.29,0.29,500000,0.29
2013-04-03,0.29,0.29,0.29,0.29,1600000,0.29
2013-04-02,0.29,0.29,0.29,0.29,1307000,0.29
2013-04-01,0.28,0.29,0.28,0.29,2325000,0.29
2013-03-29,0.28,0.28,0.28,0.28,000,0.28
2013-03-28,0.28,0.28,0.28,0.28,462000,0.28
2013-03-27,0.28,0.28,0.28,0.28,176000,0.28
2013-03-26,0.29,0.29,0.28,0.28,659000,0.28
2013-03-25,0.29,0.29,0.29,0.29,1118000,0.29
2013-03-22,0.28,0.29,0.28,0.29,2082000,0.29
2013-03-21,0.28,0.29,0.28,0.29,1681000,0.29
2013-03-20,0.28,0.28,0.28,0.28,1000000,0.28
2013-03-19,0.26,0.28,0.26,0.28,1359000,0.28
2013-03-18,0.28,0.28,0.26,0.26,5444000,0.26
2013-03-15,0.28,0.28,0.28,0.28,1203000,0.28
2013-03-14,0.28,0.28,0.28,0.28,2320000,0.28
2013-03-13,0.29,0.29,0.28,0.28,1479000,0.28
2013-03-12,0.28,0.29,0.28,0.29,2621000,0.29
2013-03-11,0.32,0.32,0.28,0.28,11480000,0.28
2013-03-08,0.30,0.31,0.29,0.31,6674000,0.31
2013-03-07,0.29,0.30,0.28,0.29,2614000,0.29
2013-03-06,0.28,0.29,0.28,0.29,5481000,0.29
2013-03-05,0.26,0.28,0.26,0.28,8067000,0.28
2013-03-04,0.26,0.26,0.26,0.26,1960000,0.26
2013-03-01,0.26,0.26,0.26,0.26,724000,0.26
2013-02-28,0.26,0.27,0.26,0.26,966000,0.26
2013-02-27,0.26,0.26,0.26,0.26,1952000,0.26
2013-02-26,0.26,0.26,0.26,0.26,1043000,0.26
2013-02-25,0.26,0.27,0.26,0.27,925000,0.27
2013-02-22,0.26,0.26,0.26,0.26,88000,0.26
2013-02-21,0.26,0.26,0.26,0.26,1010000,0.26
2013-02-20,0.26,0.26,0.26,0.26,325000,0.26
2013-02-19,0.26,0.26,0.26,0.26,16000,0.26
2013-02-18,0.27,0.27,0.26,0.26,654000,0.26
2013-02-15,0.26,0.27,0.26,0.27,226000,0.27
2013-02-14,0.26,0.27,0.26,0.26,585000,0.26
2013-02-13,0.26,0.28,0.26,0.26,2334000,0.26
2013-02-12,0.26,0.26,0.26,0.26,000,0.26
2013-02-11,0.26,0.26,0.26,0.26,000,0.26
2013-02-08,0.26,0.26,0.26,0.26,1470000,0.26
2013-02-07,0.26,0.26,0.26,0.26,971000,0.26
2013-02-06,0.25,0.26,0.25,0.26,1718000,0.26
2013-02-05,0.25,0.25,0.25,0.25,3867000,0.25
2013-02-04,0.25,0.25,0.25,0.25,631000,0.25
2013-02-01,0.25,0.25,0.25,0.25,326000,0.25
2013-01-31,0.25,0.25,0.25,0.25,27000,0.25
2013-01-30,0.25,0.25,0.25,0.25,236000,0.25
2013-01-29,0.25,0.25,0.25,0.25,942000,0.25
2013-01-28,0.25,0.25,0.25,0.25,407000,0.25
2013-01-25,0.25,0.25,0.25,0.25,677000,0.25
2013-01-24,0.25,0.25,0.25,0.25,834000,0.25
2013-01-23,0.25,0.25,0.25,0.25,753000,0.25
2013-01-22,0.25,0.25,0.25,0.25,90000,0.25
2013-01-21,0.25,0.25,0.25,0.25,309000,0.25
2013-01-18,0.25,0.25,0.25,0.25,100000,0.25
2013-01-17,0.25,0.25,0.25,0.25,317000,0.25
2013-01-16,0.25,0.25,0.25,0.25,626000,0.25
2013-01-15,0.25,0.25,0.25,0.25,332000,0.25
2013-01-14,0.25,0.25,0.25,0.25,1180000,0.25
2013-01-11,0.25,0.25,0.25,0.25,962000,0.25
2013-01-10,0.26,0.26,0.25,0.25,742000,0.25
2013-01-09,0.25,0.26,0.25,0.26,1229000,0.26
2013-01-08,0.25,0.25,0.25,0.25,717000,0.25
2013-01-07,0.25,0.25,0.25,0.25,6444000,0.25
2013-01-04,0.25,0.25,0.25,0.25,3069000,0.25
2013-01-03,0.24,0.25,0.24,0.25,8564000,0.25
2013-01-02,0.23,0.23,0.23,0.23,1243000,0.23
2013-01-01,0.23,0.23,0.23,0.23,000,0.23
2012-12-31,0.23,0.23,0.23,0.23,1000,0.23
2012-12-28,0.23,0.23,0.23,0.23,576000,0.23
2012-12-27,0.23,0.23,0.23,0.23,377000,0.23
2012-12-26,0.23,0.23,0.23,0.23,363000,0.23
2012-12-25,0.23,0.23,0.23,0.23,000,0.23
2012-12-24,0.23,0.23,0.23,0.23,254000,0.23
2012-12-21,0.23,0.23,0.23,0.23,1376000,0.23
2012-12-20,0.22,0.23,0.22,0.23,2285000,0.23
2012-12-19,0.22,0.22,0.22,0.22,1920000,0.22
2012-12-18,0.22,0.22,0.22,0.22,690000,0.22
2012-12-17,0.22,0.22,0.22,0.22,410000,0.22
2012-12-14,0.22,0.22,0.22,0.22,637000,0.22
2012-12-13,0.23,0.23,0.22,0.22,523000,0.22
2012-12-12,0.23,0.23,0.22,0.23,349000,0.23
2012-12-11,0.23,0.23,0.22,0.23,4144000,0.23
2012-12-10,0.23,0.24,0.23,0.24,3500000,0.24
2012-12-07,0.24,0.24,0.23,0.23,738000,0.23
2012-12-06,0.24,0.24,0.23,0.24,412000,0.24
2012-12-05,0.24,0.24,0.23,0.23,361000,0.23
2012-12-04,0.24,0.24,0.23,0.24,154000,0.24
2012-12-03,0.24,0.24,0.23,0.24,147000,0.24
2012-11-30,0.23,0.24,0.23,0.23,1128000,0.23
2012-11-29,0.23,0.24,0.23,0.24,234000,0.24
2012-11-28,0.24,0.24,0.23,0.23,105000,0.23
2012-11-27,0.23,0.24,0.23,0.24,345000,0.24
2012-11-26,0.24,0.24,0.23,0.23,610000,0.23
2012-11-23,0.24,0.24,0.24,0.24,1425000,0.24
2012-11-22,0.24,0.24,0.24,0.24,650000,0.24
2012-11-21,0.23,0.24,0.23,0.23,552000,0.23
2012-11-20,0.24,0.24,0.23,0.23,122000,0.23
2012-11-19,0.24,0.24,0.24,0.24,316000,0.24
2012-11-16,0.24,0.24,0.23,0.24,690000,0.24
2012-11-15,0.23,0.24,0.23,0.23,1033000,0.23
2012-11-14,0.24,0.25,0.23,0.23,1845000,0.23
2012-11-13,0.24,0.24,0.24,0.24,000,0.24
2012-11-12,0.25,0.25,0.24,0.24,146000,0.24
2012-11-09,0.25,0.25,0.24,0.25,1196000,0.25
2012-11-08,0.25,0.25,0.24,0.25,256000,0.25
2012-11-07,0.25,0.25,0.25,0.25,617000,0.25
2012-11-06,0.25,0.25,0.25,0.25,156000,0.25
2012-11-05,0.25,0.25,0.24,0.25,720000,0.25
2012-11-02,0.25,0.25,0.25,0.25,782000,0.25
2012-11-01,0.25,0.25,0.25,0.25,495000,0.25
2012-10-31,0.25,0.25,0.24,0.25,622000,0.25
2012-10-30,0.24,0.25,0.24,0.24,924000,0.24
2012-10-29,0.24,0.24,0.24,0.24,377000,0.24
2012-10-26,0.24,0.24,0.24,0.24,000,0.24
2012-10-25,0.25,0.25,0.24,0.24,475000,0.24
2012-10-24,0.25,0.25,0.25,0.25,127000,0.25
2012-10-23,0.25,0.25,0.24,0.25,842000,0.25
2012-10-22,0.25,0.25,0.25,0.25,307000,0.25
2012-10-19,0.25,0.25,0.25,0.25,218000,0.25
2012-10-18,0.25,0.25,0.25,0.25,96000,0.25
2012-10-17,0.25,0.25,0.25,0.25,396000,0.25
2012-10-16,0.25,0.25,0.25,0.25,395000,0.25
2012-10-15,0.25,0.25,0.25,0.25,77000,0.25
2012-10-12,0.24,0.25,0.24,0.25,664000,0.25
2012-10-11,0.24,0.25,0.24,0.24,351000,0.24
2012-10-10,0.25,0.25,0.24,0.24,158000,0.24
2012-10-09,0.25,0.25,0.24,0.25,664000,0.25
2012-10-08,0.25,0.25,0.24,0.25,233000,0.25
2012-10-05,0.25,0.25,0.25,0.25,1632000,0.25
2012-10-04,0.25,0.25,0.25,0.25,786000,0.25
2012-10-03,0.25,0.25,0.25,0.25,454000,0.25
2012-10-02,0.25,0.25,0.25,0.25,1295000,0.25
2012-10-01,0.25,0.25,0.25,0.25,609000,0.25
2012-09-28,0.25,0.25,0.25,0.25,1103000,0.25
2012-09-27,0.25,0.25,0.25,0.25,1696000,0.25
2012-09-26,0.25,0.26,0.25,0.25,785000,0.25
2012-09-25,0.25,0.26,0.25,0.26,3101000,0.26
2012-09-24,0.24,0.25,0.23,0.24,1633000,0.24
2012-09-21,0.23,0.24,0.23,0.24,1594000,0.24
2012-09-20,0.23,0.23,0.23,0.23,652000,0.23
2012-09-19,0.22,0.23,0.22,0.22,326000,0.22
2012-09-18,0.23,0.23,0.22,0.23,4501000,0.23
2012-09-17,0.23,0.23,0.22,0.23,1175000,0.23
2012-09-14,0.23,0.23,0.22,0.23,2241000,0.23
2012-09-13,0.22,0.23,0.22,0.22,6597000,0.22
2012-09-12,0.22,0.23,0.22,0.23,1420000,0.23
2012-09-11,0.22,0.22,0.22,0.22,1285000,0.22
2012-09-10,0.22,0.22,0.22,0.22,264000,0.22
2012-09-07,0.23,0.23,0.22,0.22,1576000,0.22
2012-09-06,0.23,0.23,0.23,0.23,724000,0.23
2012-09-05,0.23,0.23,0.23,0.23,490000,0.22
2012-09-04,0.23,0.23,0.23,0.23,315000,0.23
2012-09-03,0.23,0.23,0.23,0.23,260000,0.23
2012-08-31,0.23,0.23,0.23,0.23,430000,0.23
2012-08-30,0.23,0.23,0.23,0.23,1101000,0.23
2012-08-29,0.24,0.24,0.23,0.23,195000,0.23
2012-08-28,0.24,0.24,0.23,0.24,345000,0.23
2012-08-27,0.24,0.24,0.23,0.24,579000,0.23
2012-08-24,0.23,0.24,0.23,0.24,883000,0.23
2012-08-23,0.23,0.24,0.23,0.23,518000,0.23
2012-08-22,0.24,0.24,0.23,0.24,212000,0.23
2012-08-21,0.24,0.24,0.23,0.23,202000,0.23
2012-08-20,0.24,0.24,0.24,0.24,000,0.23
2012-08-17,0.24,0.24,0.23,0.24,1245000,0.23
2012-08-16,0.24,0.24,0.23,0.23,601000,0.23
2012-08-15,0.23,0.24,0.23,0.24,1006000,0.23
2012-08-14,0.24,0.24,0.23,0.23,1092000,0.23
2012-08-13,0.23,0.24,0.23,0.23,741000,0.23
2012-08-10,0.23,0.23,0.23,0.23,731000,0.23
2012-08-09,0.23,0.23,0.23,0.23,000,0.23
2012-08-08,0.24,0.24,0.23,0.23,1274000,0.23
2012-08-07,0.24,0.24,0.23,0.24,839000,0.23
2012-08-06,0.23,0.24,0.23,0.24,1186000,0.23
2012-08-03,0.23,0.23,0.23,0.23,216000,0.23
2012-08-02,0.23,0.23,0.22,0.23,1397000,0.23
2012-08-01,0.23,0.23,0.22,0.23,755000,0.22
2012-07-31,0.22,0.23,0.22,0.23,580000,0.22
2012-07-30,0.22,0.22,0.22,0.22,1307000,0.22
2012-07-27,0.22,0.22,0.22,0.22,418000,0.22
2012-07-26,0.22,0.22,0.22,0.22,913000,0.22
2012-07-25,0.22,0.22,0.22,0.22,904000,0.21
2012-07-24,0.22,0.22,0.22,0.22,1398000,0.21
2012-07-23,0.22,0.22,0.22,0.22,1393000,0.21
2012-07-20,0.22,0.22,0.22,0.22,652000,0.21
2012-07-19,0.22,0.22,0.22,0.22,1107000,0.21
2012-07-18,0.21,0.22,0.21,0.22,7358000,0.21
2012-07-17,0.20,0.21,0.20,0.21,228000,0.20
2012-07-16,0.20,0.20,0.20,0.20,172000,0.20
2012-07-13,0.20,0.21,0.20,0.20,588000,0.20
2012-07-12,0.21,0.21,0.20,0.21,180000,0.20
2012-07-11,0.21,0.21,0.20,0.21,344000,0.20
2012-07-10,0.20,0.21,0.20,0.21,684000,0.20
2012-07-09,0.20,0.21,0.20,0.21,815000,0.20
2012-07-06,0.20,0.20,0.20,0.20,613000,0.20
2012-07-05,0.20,0.20,0.20,0.20,416000,0.20
2012-07-04,0.20,0.21,0.20,0.20,821000,0.20
2012-07-03,0.21,0.21,0.20,0.20,669000,0.19
2012-07-02,0.20,0.21,0.20,0.20,3680000,0.20
2012-06-29,0.20,0.20,0.20,0.20,1230000,0.20
2012-06-28,0.20,0.20,0.20,0.20,220000,0.19
2012-06-27,0.20,0.20,0.20,0.20,830000,0.19
2012-06-26,0.20,0.20,0.20,0.20,118000,0.19
2012-06-25,0.20,0.20,0.20,0.20,172000,0.19
2012-06-22,0.20,0.20,0.20,0.20,136000,0.19
2012-06-21,0.20,0.20,0.20,0.20,69000,0.19
2012-06-20,0.20,0.20,0.20,0.20,81000,0.19
2012-06-19,0.20,0.20,0.20,0.20,48000,0.19
2012-06-18,0.20,0.20,0.20,0.20,201000,0.19
2012-06-15,0.19,0.20,0.19,0.20,318000,0.19
2012-06-14,0.20,0.20,0.20,0.20,366000,0.19
2012-06-13,0.20,0.20,0.20,0.20,343000,0.19
2012-06-12,0.20,0.20,0.19,0.19,208000,0.19
2012-06-11,0.20,0.20,0.20,0.20,311000,0.19
2012-06-08,0.20,0.20,0.19,0.20,432000,0.19
2012-06-07,0.20,0.20,0.19,0.20,246000,0.19
2012-06-06,0.19,0.20,0.19,0.20,180000,0.19
2012-06-05,0.19,0.20,0.19,0.19,634000,0.19
2012-06-04,0.20,0.20,0.19,0.19,3052000,0.19
2012-06-01,0.21,0.22,0.21,0.21,2241000,0.20
2012-05-31,0.20,0.21,0.20,0.20,4212000,0.20
2012-05-30,0.20,0.20,0.20,0.20,1288000,0.19
2012-05-29,0.20,0.20,0.20,0.20,1121000,0.19
2012-05-28,0.20,0.20,0.20,0.20,1290000,0.19
2012-05-25,0.20,0.20,0.20,0.20,747000,0.19
2012-05-24,0.20,0.20,0.20,0.20,636000,0.19
2012-05-23,0.19,0.20,0.19,0.20,4944000,0.19
2012-05-22,0.19,0.20,0.19,0.19,1602000,0.19
2012-05-21,0.19,0.19,0.19,0.19,2573000,0.19
2012-05-18,0.19,0.19,0.18,0.19,2056000,0.18
2012-05-17,0.19,0.19,0.19,0.19,335000,0.18
2012-05-16,0.19,0.19,0.19,0.19,5277000,0.18
2012-05-15,0.19,0.19,0.19,0.19,3023000,0.18
2012-05-14,0.18,0.19,0.18,0.19,2592000,0.18
2012-05-11,0.18,0.18,0.18,0.18,406000,0.18
2012-05-10,0.18,0.18,0.18,0.18,15000,0.18
2012-05-09,0.18,0.19,0.18,0.19,344000,0.18
2012-05-08,0.18,0.18,0.18,0.18,556000,0.18
2012-05-07,0.18,0.18,0.18,0.18,900000,0.18
2012-05-04,0.19,0.19,0.19,0.19,100000,0.18
2012-05-03,0.19,0.19,0.19,0.19,335000,0.18
2012-05-02,0.19,0.19,0.19,0.19,88000,0.18
2012-05-01,0.19,0.19,0.19,0.19,000,0.18
2012-04-30,0.19,0.19,0.19,0.19,50000,0.18
2012-04-27,0.19,0.19,0.19,0.19,762000,0.18
2012-04-26,0.18,0.19,0.18,0.19,354000,0.18
2012-04-25,0.19,0.19,0.19,0.19,442000,0.18
2012-04-24,0.19,0.19,0.19,0.19,666000,0.18
2012-04-23,0.19,0.19,0.18,0.18,349000,0.18
2012-04-20,0.19,0.19,0.18,0.19,1245000,0.18
2012-04-19,0.18,0.18,0.18,0.18,991000,0.18
2012-04-18,0.18,0.18,0.18,0.18,1170000,0.18
2012-04-17,0.18,0.18,0.18,0.18,289000,0.18
2012-04-16,0.18,0.18,0.18,0.18,170000,0.18
2012-04-13,0.18,0.18,0.18,0.18,175000,0.18
2012-04-12,0.18,0.18,0.18,0.18,796000,0.18
2012-04-11,0.18,0.19,0.18,0.18,722000,0.18
2012-04-10,0.18,0.18,0.18,0.18,526000,0.18
2012-04-09,0.19,0.19,0.18,0.18,779000,0.17
2012-04-06,0.18,0.18,0.18,0.18,000,0.18
2012-04-05,0.18,0.19,0.18,0.18,2846000,0.18
2012-04-04,0.18,0.18,0.18,0.18,788000,0.17
2012-04-03,0.18,0.18,0.18,0.18,928000,0.17
2012-04-02,0.18,0.18,0.18,0.18,666000,0.17
2012-03-30,0.18,0.18,0.18,0.18,5447000,0.17
2012-03-29,0.17,0.18,0.17,0.18,1853000,0.17
2012-03-28,0.17,0.17,0.17,0.17,393000,0.17
2012-03-27,0.17,0.17,0.17,0.17,165000,0.17
2012-03-26,0.17,0.17,0.17,0.17,275000,0.17
2012-03-23,0.17,0.17,0.17,0.17,251000,0.17
2012-03-22,0.17,0.17,0.17,0.17,69000,0.17
2012-03-21,0.17,0.17,0.17,0.17,413000,0.17
2012-03-20,0.17,0.17,0.17,0.17,245000,0.17
2012-03-19,0.17,0.17,0.17,0.17,393000,0.17
2012-03-16,0.17,0.17,0.17,0.17,564000,0.17
2012-03-15,0.17,0.17,0.17,0.17,484000,0.17
2012-03-14,0.17,0.17,0.17,0.17,1317000,0.17
2012-03-13,0.17,0.17,0.17,0.17,1254000,0.17
2012-03-12,0.17,0.17,0.17,0.17,581000,0.17
2012-03-09,0.17,0.17,0.17,0.17,537000,0.16
2012-03-08,0.17,0.17,0.17,0.17,300000,0.16
2012-03-07,0.17,0.17,0.17,0.17,360000,0.16
2012-03-06,0.17,0.17,0.17,0.17,817000,0.16
2012-03-05,0.17,0.17,0.17,0.17,534000,0.17
2012-03-02,0.17,0.17,0.17,0.17,84000,0.17
2012-03-01,0.17,0.17,0.17,0.17,125000,0.16
2012-02-29,0.17,0.17,0.17,0.17,126000,0.17
2012-02-28,0.17,0.17,0.17,0.17,155000,0.16
2012-02-27,0.17,0.17,0.17,0.17,265000,0.16
2012-02-24,0.17,0.17,0.17,0.17,139000,0.16
2012-02-23,0.17,0.17,0.17,0.17,198000,0.16
2012-02-22,0.17,0.17,0.17,0.17,491000,0.17
2012-02-21,0.17,0.17,0.17,0.17,519000,0.16
2012-02-20,0.17,0.17,0.17,0.17,479000,0.17
2012-02-17,0.17,0.17,0.17,0.17,304000,0.17
2012-02-16,0.17,0.17,0.17,0.17,243000,0.17
2012-02-15,0.17,0.17,0.17,0.17,425000,0.17
2012-02-14,0.17,0.17,0.17,0.17,950000,0.16
2012-02-13,0.17,0.17,0.17,0.17,422000,0.17
2012-02-10,0.17,0.17,0.17,0.17,487000,0.17
2012-02-09,0.18,0.18,0.17,0.17,686000,0.17
2012-02-08,0.18,0.18,0.18,0.18,1746000,0.17
2012-02-07,0.18,0.18,0.18,0.18,15486000,0.17
2012-02-06,0.16,0.18,0.16,0.18,3536000,0.17
2012-02-03,0.16,0.16,0.16,0.16,171000,0.16
2012-02-02,0.16,0.16,0.16,0.16,72000,0.16
2012-02-01,0.16,0.16,0.16,0.16,213000,0.16
2012-01-31,0.16,0.16,0.16,0.16,208000,0.16
2012-01-30,0.16,0.16,0.16,0.16,153000,0.16
2012-01-27,0.16,0.16,0.16,0.16,224000,0.16
2012-01-26,0.16,0.16,0.16,0.16,309000,0.15
2012-01-25,0.16,0.16,0.16,0.16,390000,0.16
2012-01-24,0.16,0.16,0.16,0.16,000,0.16
2012-01-23,0.16,0.16,0.16,0.16,000,0.16
2012-01-20,0.16,0.16,0.16,0.16,200000,0.16
2012-01-19,0.16,0.16,0.16,0.16,14000,0.16
2012-01-18,0.16,0.16,0.16,0.16,131000,0.16
2012-01-17,0.16,0.16,0.16,0.16,72000,0.15
2012-01-16,0.16,0.16,0.16,0.16,41000,0.16
2012-01-13,0.16,0.16,0.16,0.16,196000,0.16
2012-01-12,0.16,0.16,0.16,0.16,50000,0.15
2012-01-11,0.16,0.16,0.16,0.16,403000,0.15
2012-01-10,0.16,0.16,0.16,0.16,735000,0.15
2012-01-09,0.16,0.16,0.16,0.16,316000,0.15
2012-01-06,0.16,0.16,0.16,0.16,53000,0.15
2012-01-05,0.16,0.16,0.16,0.16,3000,0.15
2012-01-04,0.16,0.16,0.16,0.16,179000,0.15
2012-01-03,0.16,0.16,0.16,0.16,114000,0.15
2012-01-02,0.16,0.16,0.16,0.16,000,0.15
