Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.31,0.31,0.30,0.30,109000,0.30
2013-06-03,0.30,0.31,0.30,0.30,119000,0.30
2013-05-31,0.30,0.30,0.29,0.30,121000,0.30
2013-05-30,0.31,0.31,0.30,0.30,723000,0.30
2013-05-29,0.31,0.31,0.31,0.31,759000,0.31
2013-05-28,0.31,0.31,0.31,0.31,133000,0.31
2013-05-27,0.31,0.31,0.31,0.31,145000,0.31
2013-05-24,0.31,0.31,0.31,0.31,000,0.31
2013-05-23,0.31,0.31,0.31,0.31,101000,0.31
2013-05-22,0.31,0.32,0.31,0.32,200000,0.32
2013-05-21,0.31,0.31,0.31,0.31,426000,0.31
2013-05-20,0.31,0.31,0.31,0.31,124000,0.31
2013-05-17,0.31,0.31,0.31,0.31,537000,0.31
2013-05-16,0.31,0.31,0.31,0.31,165000,0.31
2013-05-15,0.31,0.31,0.31,0.31,410000,0.31
2013-05-14,0.31,0.32,0.31,0.32,551000,0.32
2013-05-13,0.31,0.31,0.31,0.31,411000,0.31
2013-05-10,0.31,0.31,0.31,0.31,108000,0.31
2013-05-09,0.31,0.31,0.31,0.31,397000,0.31
2013-05-08,0.31,0.31,0.31,0.31,205000,0.31
2013-05-07,0.31,0.31,0.30,0.31,116000,0.31
2013-05-06,0.31,0.31,0.31,0.31,300000,0.31
2013-05-03,0.31,0.31,0.30,0.31,265000,0.31
2013-05-02,0.31,0.31,0.31,0.31,73000,0.31
2013-05-01,0.31,0.31,0.31,0.31,000,0.31
2013-04-30,0.31,0.31,0.31,0.31,434000,0.31
2013-04-29,0.31,0.31,0.31,0.31,32000,0.31
2013-04-26,0.31,0.31,0.31,0.31,88000,0.31
2013-04-25,0.31,0.31,0.31,0.31,98000,0.30
2013-04-24,0.31,0.31,0.31,0.31,207000,0.31
2013-04-23,0.31,0.31,0.31,0.31,89000,0.30
2013-04-22,0.31,0.31,0.31,0.31,279000,0.30
2013-04-19,0.31,0.31,0.31,0.31,51000,0.30
2013-04-18,0.31,0.31,0.31,0.31,125000,0.30
2013-04-17,0.31,0.31,0.31,0.31,168000,0.31
2013-04-16,0.31,0.31,0.31,0.31,298000,0.31
2013-04-15,0.31,0.31,0.31,0.31,155000,0.30
2013-04-12,0.31,0.31,0.31,0.31,410000,0.31
